id	people	action	specialEffects	loveLv	eye	voicecode	voicecodeLady	status
int	int	int	int	int	int	int	int	int
101	101	101		10	0	vo_colorEgg_101_01_01	vo_colorEgg_101_01_01	1
102	101	102		10	0	vo_colorEgg_101_01_02	vo_colorEgg_101_01_02	1
103	101	201		25	0	vo_colorEgg_101_02_01	vo_colorEgg_101_02_01	1
104	101	202		25	0	vo_colorEgg_101_02_02	vo_colorEgg_101_02_02	1
105	101	301		30	0	vo_colorEgg_101_03_01	vo_colorEgg_101_03_01	1
106	101	302		30	0	vo_colorEgg_101_03_02	vo_colorEgg_101_03_02	1
107	101	401		100	1	vo_colorEgg_101_04_01	vo_colorEgg_101_04_01	1
108	101	402		100	0	vo_colorEgg_101_04_02	vo_colorEgg_101_04_02	1
109	101	403		100	0	vo_colorEgg_101_04_03	vo_colorEgg_101_04_03	1
201	102	101		10	1	vo_colorEgg_102_01_01	vo_colorEgg_102_01_01	1
202	102	102		10	0	vo_colorEgg_102_01_02	vo_colorEgg_102_01_02	1
203	102	201		25	0	vo_colorEgg_102_02_01	vo_colorEgg_102_02_01	1
204	102	202		25	0	vo_colorEgg_102_02_02	vo_colorEgg_102_02_02	1
205	102	301		30	0	vo_colorEgg_102_03_01	vo_colorEgg_102_03_01	1
206	102	302		30	0	vo_colorEgg_102_03_02	vo_colorEgg_102_03_02	1
207	102	303		30	1	vo_colorEgg_102_03_03	vo_colorEgg_102_03_03	1
208	102	401		100	1	vo_colorEgg_102_04_01	vo_colorEgg_102_04_01	1
209	102	402		100	0	vo_colorEgg_102_04_02	vo_colorEgg_102_04_02	1
210	102	403		100	0	vo_colorEgg_102_04_03	vo_colorEgg_102_04_03	1
301	103	101		10	0	vo_colorEgg_103_01_01	vo_colorEgg_103_01_01	1
302	103	102		10	0	vo_colorEgg_103_01_02	vo_colorEgg_103_01_02	1
303	103	201		25	0	vo_colorEgg_103_02_01	vo_colorEgg_103_02_01	1
304	103	202		25	0	vo_colorEgg_103_02_02	vo_colorEgg_103_02_02	1
305	103	301		30	0	vo_colorEgg_103_03_01	vo_colorEgg_103_03_01	1
306	103	302		30	0	vo_colorEgg_103_03_02	vo_colorEgg_103_03_02	1
307	103	401		100	1	vo_colorEgg_103_04_01	vo_colorEgg_103_04_01	1
308	103	402		100	0	vo_colorEgg_103_04_02	vo_colorEgg_103_04_02	1
309	103	403		100	0	vo_colorEgg_103_04_03	vo_colorEgg_103_04_03	1
401	104	101		10	1	vo_colorEgg_104_01_01	vo_colorEgg_104_01_01	1
402	104	102		10	0	vo_colorEgg_104_01_02	vo_colorEgg_104_01_02	1
403	104	201		25	1	vo_colorEgg_104_02_01	vo_colorEgg_104_02_01	1
404	104	202		25	0	vo_colorEgg_104_02_02	vo_colorEgg_104_02_02	1
405	104	203		25	0	vo_colorEgg_104_02_03	vo_colorEgg_104_02_03	1
406	104	301		30	0	vo_colorEgg_104_03_01	vo_colorEgg_104_03_01	1
407	104	302		30	0	vo_colorEgg_104_03_02	vo_colorEgg_104_03_02	1
408	104	401		100	0	vo_colorEgg_104_04_01	vo_colorEgg_104_04_01	1
409	104	402		100	0	vo_colorEgg_104_04_02	vo_colorEgg_104_04_02	1
410	104	403		100	0	vo_colorEgg_104_04_03	vo_colorEgg_104_04_03	1
501	105	101		10	0	vo_colorEgg_105_01_01	vo_colorEgg_105_01_01	1
502	105	102		10	0	vo_colorEgg_105_01_02	vo_colorEgg_105_01_02	1
503	105	103		10	0	vo_colorEgg_105_01_03	vo_colorEgg_105_01_03	1
504	105	201		25	1	vo_colorEgg_105_02_01	vo_colorEgg_105_02_01	1
505	105	202		25	0	vo_colorEgg_105_02_02	vo_colorEgg_105_02_02	1
506	105	203		25	0	vo_colorEgg_105_02_03	vo_colorEgg_105_02_03	1
507	105	303		30	0	vo_colorEgg_105_03_01	vo_colorEgg_105_03_01	1
508	105	303		30	0	vo_colorEgg_105_03_02	vo_colorEgg_105_03_02	1
509	105	303		30	0	vo_colorEgg_105_03_03	vo_colorEgg_105_03_03	1
510	105	401		100	1	vo_colorEgg_105_04_01	vo_colorEgg_105_04_01	1
511	105	402		100	0	vo_colorEgg_105_04_02	vo_colorEgg_105_04_02	1
512	105	403		100	0	vo_colorEgg_105_04_03	vo_colorEgg_105_04_03	1
601	106	101		10	1			1
602	106	102		10	0	vo_colorEgg_106_01_01	vo_colorEgg_106_01_02	1
603	106	201		25	1			1
604	106	202		25	0	vo_colorEgg_106_02_01	vo_colorEgg_106_02_01	1
605	106	301		30	0			1
