phoneId	id	status
string	string	int
1_1	1	1
1_2	2	1
1_3	3	1
1_4	4	1
1_5	5	1
1_6	6	1
1_7	7	1
1_8	8	1
1_9	9	1
1_10	10	1
1_11	11	1
1_12	12	1
1_13	13	1
1_14	14	1
1_15	15	1
1_16	16	1
1_17	17	1
1_18	18	1
1_19	19	1
1_20	20	1
1_21	21	1
1_22	22	1
1_23	23	1
1_24	24	1
1_25	25	1
1_26	26	1
2_1	27	1
2_2	28	1
2_3	29	1
2_4	30	1
2_5	31	1
2_6	32	1
2_7	33	1
2_8	34	1
2_9	35	1
2_10	36	1
2_11	37	1
2_12	38	1
2_13	39	1
2_14	40	1
2_15	41	1
2_16	42	1
2_17	43	1
2_18	44	1
2_19	45	1
2_20	46	1
2_21	47	1
2_22	48	1
2_23	49	1
2_24	50	1
2_25	51	1
2_26	52	1
2_27	53	1
2_28	54	1
2_29	55	1
2_30	56	1
2_31	57	1
2_32	58	1
2_33	59	1
2_34	60	1
2_35	61	1
2_36	62	1
3_1	63	1
3_2	64	1
3_3	65	1
3_4	66	1
3_5	67	1
3_6	68	1
3_7	69	1
3_8	70	1
3_9	71	1
3_10	72	1
3_11	73	1
3_12	74	1
3_13	75	1
3_14	76	1
3_15	77	1
3_16	78	1
3_17	79	1
3_18	80	1
3_19	81	1
3_20	82	1
3_21	83	1
3_22	84	1
3_23	85	1
3_24	86	1
3_25	87	1
3_26	88	1
3_27	89	1
3_28	90	1
3_29	91	1
3_30	92	1
3_31	93	1
3_32	94	1
3_33	95	1
3_34	96	1
3_35	97	1
3_36	98	1
3_37	99	1
3_38	100	1
3_39	101	1
3_40	102	1
3_41	103	1
3_42	104	1
3_43	105	1
3_44	106	1
3_45	107	1
3_46	108	1
3_47	109	1
4_1	110	1
4_2	111	1
4_3	112	1
4_4	113	1
4_5	114	1
4_6	115	1
4_7	116	1
4_8	117	1
4_9	118	1
4_10	119	1
4_11	120	1
4_12	121	1
4_13	122	1
4_14	123	1
4_15	124	1
