phoneId	id	status
string	string	int
101_421012_421000	2	1
101_421012_421001	1	1
101_421012_421002	1	1
101_421013_421002	1	1
101_421013_421000	1	1
101_421013_421001	3	1
101_421014_421000	1	1
101_421014_421001	1	1
101_421014_421002	4	1
102_421018_421006	6	1
102_421018_421007	5	1
102_421018_421008	5	1
102_421019_421006	5	1
102_421019_421007	7	1
102_421019_421008	5	1
102_421020_421006	5	1
102_421020_421007	5	1
102_421020_421008	8	1
103_421015_421003	10	1
103_421015_421004	9	1
103_421015_421005	9	1
103_421016_421003	9	1
103_421016_421004	11	1
103_421016_421005	9	1
103_421017_421003	9	1
103_421017_421004	9	1
103_421017_421005	12	1
104_421021_421009	14	1
104_421021_421010	13	1
104_421021_421011	13	1
104_421022_421009	13	1
104_421022_421010	15	1
104_421022_421011	13	1
104_421023_421009	13	1
104_421023_421010	13	1
104_421023_421011	16	1
105_421036_421024	17	1
105_421036_421025	19	1
105_421036_421026	17	1
105_421037_421024	18	1
105_421037_421025	17	1
105_421037_421026	17	1
105_421038_421024	17	1
105_421038_421025	17	1
105_421038_421026	20	1
106_421039_421027	23	1
106_421039_421028	21	1
106_421039_421029	21	1
106_421040_421027	21	1
106_421040_421028	24	1
106_421040_421029	21	1
106_421041_421027	21	1
106_421041_421028	21	1
106_421041_421029	22	1
107_421042_421030	25	1
107_421042_421031	25	1
107_421042_421032	26	1
107_421043_421030	27	1
107_421043_421031	25	1
107_421043_421032	25	1
107_421044_421030	25	1
107_421044_421031	28	1
107_421044_421032	25	1
108_421045_421033	29	1
108_421045_421034	30	1
108_421045_421035	29	1
108_421046_421033	29	1
108_421046_421034	29	1
108_421046_421035	31	1
108_421047_421033	32	1
108_421047_421034	29	1
108_421047_421035	29	1
109_421047_421026	34	1
109_421047_421001	33	1
109_421047_421025	33	1
109_421044_421026	33	1
109_421044_421001	35	1
109_421044_421025	33	1
109_421023_421026	33	1
109_421023_421001	33	1
109_421023_421025	36	1
