id	people	condition	voicecode	voicecodeLady	prefab	status
int	int	int	int	int	int	int
10101	101	1	vo_drinkStart_101	vo_drinkStart_101	89:101008_home_f_2_timeline.prefab	1
10102	101	2	vo_drinkEnd_101	vo_drinkEnd_101	89:101008_home_f_2_timeline.prefab	1
10201	102	1	vo_drinkStart_102	vo_drinkStart_102	89:102008_home_f_2_timeline.prefab	1
10202	102	2	vo_drinkEnd_102	vo_drinkEnd_102	89:102008_home_f_2_timeline.prefab	1
10301	103	1	vo_drinkStart_103	vo_drinkStart_103	89:103008_home_f_2_timeline.prefab	1
10302	103	2	vo_drinkEnd_103	vo_drinkEnd_103	89:103008_home_f_2_timeline.prefab	1
10401	104	1	vo_drinkStart_104	vo_drinkStart_104	89:104003_home_f_2_timeline.prefab	1
10402	104	2	vo_drinkEnd_104	vo_drinkEnd_104	89:104003_home_f_2_timeline.prefab	1
10501	105	1	vo_drinkStart_105	vo_drinkStart_105	89:105008_home_f_2_timeline.prefab	1
10502	105	2	vo_drinkEnd_105	vo_drinkEnd_105	89:105008_home_f_2_timeline.prefab	1
10601	106	1	vo_drinkStart_106	vo_drinkStart_106	89:106008_home_f_2_timeline.prefab	1
10602	106	2	vo_drinkEnd_106	vo_order_106_19	89:106008_home_f_2_timeline.prefab	1
10701	107	1	vo_drinkStart_107	vo_drinkStart_107	89:107008_home_f_2_timeline.prefab	1
10702	107	2	vo_drinkEnd_107	vo_drinkEnd_107	89:107008_home_f_2_timeline.prefab	1
10801	108	1	vo_drinkStart_108	vo_drinkStart_108	89:108008_home_f_2_timeline.prefab	1
10802	108	2	vo_drinkEnd_108	vo_drinkEnd_108	89:108008_home_f_2_timeline.prefab	1
10901	109	1	vo_drinkStart_109	vo_drinkStart_109	89:109008_home_f_2_timeline.prefab	1
10902	109	2	vo_drinkEnd_109	vo_drinkEnd_109	89:109008_home_f_2_timeline.prefab	1
