id	group	taskNum	reward	rewardNum	status
int	int	int	int	int	int
1001	1	3	4190001	100	1
1002	1	6	4190001	100	1
1003	1	9	4190001	100	1
1004	1	12	4190001	100	1
1005	1	15	4190001	100	1
1006	1	18	4190001	100	1
1007	1	21	4190001	100	1
1008	1	24	4190001	100	1
1009	1	27	4190001	100	1
1010	1	30	4190001	100	1
1101	2	3	4190001	100	1
1102	2	6	4190001	100	1
1103	2	9	4190001	100	1
1104	2	12	4190001	100	1
1105	2	15	4190001	100	1
1106	2	18	4190001	100	1
1107	2	21	4190001	100	1
1108	2	24	4190001	100	1
1109	2	27	4190001	100	1
1110	2	30	4190001	100	1
1201	3	3	4190001	100	1
1202	3	6	4190001	100	1
1203	3	9	4190001	100	1
1204	3	12	4190001	100	1
1205	3	15	4190001	100	1
1206	3	18	4190001	100	1
1207	3	21	4190001	100	1
1208	3	24	4190001	100	1
1209	3	27	4190001	100	1
1210	3	30	4190001	100	1
1301	4	3	4190001	100	1
1302	4	6	4190001	100	1
1303	4	9	4190001	100	1
1304	4	12	4190001	100	1
1305	4	15	4190001	100	1
1306	4	18	4190001	100	1
1307	4	21	4190001	100	1
1308	4	24	4190001	100	1
1309	4	27	4190001	100	1
1310	4	30	4190001	100	1
1401	5	3	4190001	100	1
1402	5	6	4190001	100	1
1403	5	9	4190001	100	1
1404	5	12	4190001	100	1
1405	5	15	4190001	100	1
1406	5	18	4190001	100	1
1407	5	21	4190001	100	1
1408	5	24	4190001	100	1
1409	5	27	4190001	100	1
1410	5	30	4190001	100	1
1501	6	1	4190001	200	1
1502	6	2	4190001	200	1
1503	6	3	4190001	200	1
1504	6	4	4190001	200	1
1505	6	5	4190001	200	1
1506	6	6	4190001	200	1
1507	6	7	4190001	200	1
1508	6	9	4190001	200	1
1509	6	12	4190001	200	1
1510	6	15	4190001	200	1
1601	7	1	4190001	100	1
1602	7	2	4190001	100	1
1603	7	3	4190001	100	1
1604	7	5	4190001	100	1
1605	7	7	4190001	100	1
1606	7	10	4190001	100	1
1607	7	13	4190001	100	1
1608	7	17	4190001	100	1
1609	7	21	4190001	100	1
1610	7	25	4190001	100	1
1611	7	30	4190001	100	1
1701	8	3	4190001	100	1
1702	8	6	4190001	100	1
1703	8	9	4190001	100	1
1704	8	12	4190001	100	1
1705	8	15	4190001	100	1
1706	8	18	4190001	100	1
1707	8	21	4190001	100	1
1708	8	24	4190001	100	1
1709	8	27	4190001	100	1
1710	8	30	4190001	100	1
1801	9	3	4190001	100	1
1802	9	6	4190001	100	1
1803	9	9	4190001	100	1
1804	9	12	4190001	100	1
1805	9	15	4190001	100	1
1806	9	18	4190001	100	1
1807	9	21	4190001	100	1
1808	9	24	4190001	100	1
1809	9	27	4190001	100	1
1810	9	30	4190001	100	1
1901	10	3	4190001	100	1
1902	10	6	4190001	100	1
1903	10	9	4190001	100	1
1904	10	12	4190001	100	1
1905	10	15	4190001	100	1
1906	10	18	4190001	100	1
1907	10	21	4190001	100	1
1908	10	24	4190001	100	1
1909	10	27	4190001	100	1
1910	10	30	4190001	100	1
2001	11	3	4190001	100	1
2002	11	6	4190001	100	1
2003	11	9	4190001	100	1
2004	11	12	4190001	100	1
2005	11	15	4190001	100	1
2006	11	18	4190001	100	1
2007	11	21	4190001	100	1
2008	11	24	4190001	100	1
2009	11	27	4190001	100	1
2010	11	30	4190004	100	1
2101	12	1	3000002	100	1
2102	12	2	3000002	100	1
2103	12	3	3000002	100	1
2104	12	5	3000002	100	1
2105	12	7	3000002	200	1
2106	12	10	3000002	200	1
2107	12	13	3000002	200	1
2108	12	17	3000002	200	1
2109	12	21	3000002	500	1
2110	12	24	3000002	500	1
2111	12	28	3000002	500	1
