id	changeId	sceneId	rewardImg	commodityId	goodsConsum	goodsConsumNum	itemId	ruleID	status
int	int	int	int	int	int	int	int	int	int
1	101601	102:a_bg_1016_1.png	102:a_img_1016_1.png	11301	3000001	6480			1
2	101601	102:a_bg_1016_1.png	102:a_img_1016_1.png	11302	3000001	6480			1
3	101601	102:a_bg_1016_1.png	102:a_img_1016_1.png	11303	3000001	6480			1
4	101601	102:a_bg_1016_1.png	102:a_img_1016_1.png	11304	3000001	6480			1
5	101601	102:a_bg_1016_1.png	102:a_img_1016_1.png	11305	3000001	3240			1
6	101601	102:a_bg_1016_1.png	102:a_img_1016_1.png	11305	3000001	3240			1
7	101601	102:a_bg_1016_1.png	102:a_img_1016_1.png	11305	3000001	2580			1
8	101601	102:a_bg_1016_1.png	102:a_img_1016_1.png	11306	3000001	2280			1
9	101601	102:a_bg_1016_1.png	102:a_img_1016_1.png	11307	3000001	6480			1
10	101601	102:a_bg_1016_1.png	102:a_img_1016_1.png	11307	3000001	6480			1
11	101601	102:a_bg_1016_1.png	102:a_img_1016_1.png	11308	3000001	6480			1
12	101601	102:a_bg_1016_1.png	102:a_img_1016_1.png	11309	3000001	3280			1
