id	group	taskNum	reward	rewardNum	status
int	int	int	int	int	int
2001	1	3	3000001;3000002	50;300	1
2002	1	6	3000001;3000002	50;300	1
2003	1	9	3000001;3000002	50;300	1
2004	1	12	3000001;3000002	50;300	1
2005	1	15	3000001;3000002	50;300	1
2006	1	18	3000001;3000002	50;300	1
2007	1	21	3000001;3000002	50;300	1
2008	1	24	3000001;3000002	50;300	1
2009	1	27	3000001;3000002	50;300	1
2010	1	30	3000001;3000002	6480;300	1
2101	2	3	3000001;3000002	50;300	1
2102	2	6	3000001;3000002	50;300	1
2103	2	9	3000001;3000002	50;300	1
2104	2	12	3000001;3000002	50;300	1
2105	2	15	3000001;3000002	50;300	1
2106	2	18	3000001;3000002	50;300	1
2107	2	21	3000001;3000002	50;300	1
2108	2	24	3000001;3000002	50;300	1
2109	2	27	3000001;3000002	50;300	1
2110	2	30	3000001;3000002	6480;300	1
2201	3	3	3000001;3000002	50;300	1
2202	3	6	3000001;3000002	50;300	1
2203	3	9	3000001;3000002	50;300	1
2204	3	12	3000001;3000002	50;300	1
2205	3	15	3000001;3000002	50;300	1
2206	3	18	3000001;3000002	50;300	1
2207	3	21	3000001;3000002	50;300	1
2208	3	24	3000001;3000002	50;300	1
2209	3	27	3000001;3000002	50;300	1
2210	3	30	3000001;3000002	6480;300	1
2301	4	3	3000001;4190004	500;500	1
2302	4	6	3000001;4190004	500;500	1
2303	4	9	3000001;4190004	500;600	1
2304	4	12	3000001;4190004	500;600	1
2305	4	15	3000001;4190004	500;800	1
2306	4	18	3000001;4190004	500;800	1
2307	4	21	3000001;4190004	500;1000	1
2308	4	24	3000001;4190004	500;1000	1
2309	4	27	3000001;4190004	500;1200	1
2310	4	30	3000001;4190004	2000;1200	1
2401	5	3	3000001;3000002	50;300	1
2402	5	6	3000001;3000002	50;300	1
2403	5	9	3000001;3000002	50;300	1
2404	5	12	3000001;3000002	50;300	1
2405	5	15	3000001;3000002	50;300	1
2406	5	18	3000001;3000002	50;300	1
2407	5	21	3000001;3000002	50;300	1
2408	5	24	3000001;3000002	50;300	1
2409	5	27	3000001;3000002	50;300	1
2410	5	30	3000001;3000002	3240;300	1
2501	6	1	4190004;5100001	1000;10	1
2502	6	2	4190004;5100001	1000;10	1
2503	6	3	4190004;5100001	1000;10	1
2504	6	4	4190004;5100001	1000;10	1
2505	6	5	4190004;5100001	1000;10	1
2506	6	6	4190004;5100001	1000;10	1
2507	6	7	4190004;5100001	1000;10	1
2508	6	9	4190004;5100001	1000;10	1
2509	6	12	4190004;5100001	1000;10	1
2510	6	15	4190004;5100001	1000;10	1
2601	7	1	5200009	100	1
2602	7	2	5200009;4105023	100;100	1
2603	7	3	4190004;5112002	2000;1	1
2604	7	5	5200009;4105023	200;100	1
2605	7	7	5200009;5200034	200;1	1
2606	7	10	5200009;4105023	300;100	1
2607	7	13	4190004;4105023	3000;100	1
2608	7	17	4100031;4100032	20;50	1
2609	7	21	4100031;4100032	30;50	1
2610	7	25	4100031;4100032	50;100	1
2611	7	30	4190004;5200037	1000;1	1
2701	8	3	4105023;4110001	100;50	1
2702	8	6	5200009;4199001	100;50	1
2703	8	9	4190004;4110001	1000;50	1
2704	8	12	4100031;4199001	30;50	1
2705	8	15	5200034;4110001	1;50	1
2706	8	18	4100032;4199001	50;50	1
2707	8	21	4190004;4110001	2000;50	1
2708	8	24	9000033;4199001	20;50	1
2709	8	27	4190004;4110001	3000;50	1
2710	8	30	5200039;4199001	1;50	1
2801	9	3	4105023;4190004	100;200	1
2802	9	6	5200009;4190004	200;200	1
2803	9	9	4190004;4190004	1000;200	1
2804	9	12	4100031;4190004	50;200	1
2805	9	15	5200034;4190004	1;200	1
2806	9	18	4190004;4190004	2000;200	1
2807	9	21	4100032;4190004	100;200	1
2808	9	24	9000033;4190004	20;200	1
2809	9	27	4190004;4190004	3000;200	1
2810	9	30	5200045;4190004	1;200	1
2901	10	3	4105023;4190004	100;200	1
2902	10	6	5200009;4190004	200;200	1
2903	10	9	4190004;4190004	1000;200	1
2904	10	12	4100031;4190004	50;200	1
2905	10	15	5200034;4190004	1;200	1
2906	10	18	4190004;4190004	2000;200	1
2907	10	21	4100032;4190004	100;200	1
2908	10	24	4190004;4190004	3000;200	1
2909	10	27	4190004;4190004	5000;200	1
2910	10	30	5200024;4190004	1;200	1
3001	11	3	4105023;4190004	100;200	1
3002	11	6	5200009;4190004	300;200	1
3003	11	9	4190004;4190004	1000;200	1
3004	11	12	4100031;4190004	50;200	1
3005	11	15	5200034;4190004	1;200	1
3006	11	18	4190004;4190004	2000;200	1
3007	11	21	4100032;4190004	100;200	1
3008	11	24	9000033;4190004	20;200	1
3009	11	27	4190004;4190004	3000;200	1
3010	11	30	5200069;4190004	1;200	1
3101	12	1	4100034;4100032;5200009	1;100;100	1
3102	12	2	4100032;4100036;5200009	100;100;200	1
3103	12	3	4100031;4100032;5200009	100;100;300	1
3104	12	5	4100032;4100036;5200009	150;100;400	1
3105	12	7	4100034;4100031;4100032	1;100;150	1
3106	12	10	4100032;4100036;5200009	150;150;450	1
3107	12	13	4100031;4100032;5200009	150;200;500	1
3108	12	17	4100032;5200009;5200071	200;550;1	1
3109	12	21	4100034;4100032;5200009	1;200;600	1
3110	12	24	4100031;4100032;5200009	350;250;650	1
3111	12	28	4100032;4100036;5112040	300;350;1	1
