id	group	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int
101	1	1	您好调查官。	您好調查官。	Greetings, Inspector.	初めまして、調査官。	조사관님, 안녕하세요	สวัสดีค่ะ คุณผู้ตรวจการ
102	1	1	入职手续还在准备中，在等待的时间里我们想先了解一下您的喜好。	入職手續還在準備中，在等待的時間裡我們想先瞭解一下您的喜好。	The onboarding procedures are still being prepared. While you wait, we would like to understand your preferences first.	配属手続きはただいま準備中です。待っている間、調査官のお好みをお伺いしたいと思います。	임관 절차가 아직 준비 중입니다. 기다리시는 동안, 우리는 먼저 당신의 취향에 대해 알아보고자 합니다.	​ขั้น​ตอน​การ​ลง​ทะเบียน​ยัง​อยู่​ระหว่าง​เตรียม​การ​ค่ะ​ ​ขณะ​รอ​ พวก​เรา​อยาก​ที่​จะ​ทำ​ความ​เข้า​ใจ​เกี่ยว​กับ​ความ​ชอบ​ของ​คุณ​ค่ะ​
103	1	1	请放轻松，都是一些日常问题。这便于我们为您匹配适合的猫咪伙伴。	請放輕鬆，都是一些日常問題。這便於我們為您匹配適合的貓咪夥伴。	Please relax, these are just some routine questions. This will help us find a suitable cat companion for you.	どれも簡単な質問ですので、緊張する必要はありません。ご回答に基づいて、調査官にぴったりのネコの仲間をご紹介します。	편안하게 생각하고, 일상적인 몇 가지 질문에 답해 주세요. 이는 우리가 당신에게 적합한 고양이 파트너를 매칭하는 데 도움이 될 것입니다.	กรุณา​ผ่อน​คลาย​ นี่​เป็น​เพียง​คำ​ถาม​ใน​ชีวิต​ประจำวัน​ค่ะ​ เพื่อ​ที่​เรา​จะ​สามารถ​จับ​คู่​ คู่​หู​แมว​เหมียว​ที่​เหมาะ​สม​สำหรับ​คุณ​ได้​ยัง​ไง​ล่ะ​คะ​
104	1	1	在选择时请注意，越靠近边缘的圆圈，代表您意愿的倾向性更强。	在選擇時請注意，越靠近邊緣的圓圈，代表您意願的傾向性更強。	Be aware that circles near the periphery indicate a stronger inclination of your will.	選択肢は、両端にいくほどその傾向が強いということです。	양쪽 끝단에 가까워질수록, 조사관님의 성향이 더 두드러지니, 이 점을 유의해서 체크해주세요.	ขณะ​เลือก​ โปรด​ทราบ​ว่า​ยิ่ง​วง​กลม​อยู่​ใกล้​ริม​นอก​มาก​เท่า​ไหร่​ ก็​จะ​แสดง​ถึง​ความ​ตั้ง​ใจ​หรือ​ความ​ชอบ​ของ​คุณ​ที่​ชัด​เจน​ยิ่ง​ขึ้น​ค่ะ​
201	2	1	一共16道题目，希望调查官能尽量不选择中立回答。	一共16道題目，希望調查官能儘量不選擇中立回答。	There are 16 questions in total. Try not to be so neutral about everything.	質問は全部で16個あります。自分の直感に従って、なるべく中立の回答は避けて回答してください。	총 16개의 질문이 있으며, 중립적인 대답은 가능한 한 피해 주시기 바랍니다.	มี​ทั้งหมด​ 16 ​คำ​ถาม​ หวัง​ว่า​คุณ​ผู้​ตรวจ​การ​จะ​หลีก​เลี่ยง​การ​เลือก​คำ​ตอบ​ที่​เป็น​กลาง​นะ​คะ​
202	2	1	那么请听题——	那麼請聽題——	Then listen to the questions––	では、質問をお聞きください。	그럼 질문하겠습니다——	ถ้าอย่างนั้น​ กรุณา​ฟัง​คำถาม​—​
301	3	1	所有题目已回答完毕	所有題目已回答完畢	You have completed all the questions.	質問は以上です。お疲れ様です。	모든 문제의 선택을 완료하셨습니다.	ตอบคำถาม​ทั้งหมด​เรียบร้อย​ค่ะ​
302	3	1	正在为您解析数据	正在為您解析資料	Analyzing your data now.	ではご回答をこれから解析しますので、少々お待ちくださいね。	데이터 결과를 분석 중입니다	กำลัง​วิเคราะห์​ข้อมูล​เพื่อ​คุณ​
303	3	1	结果已生成——	結果已生成——	The results have been generated—	ふむふむ、なるほど……	결과를 생성합니다——	สร้าง​ผลลัพธ์​เรียบร้อย​—​
401	4	1	哔————————	嗶————————	Beep––	ピピーーーーー	삐————————	ปี๊บ————
402	4	1	检测到异常的情绪波动，分数录入出现未知问题。	檢測到異常的情緒波動，分數錄入出現未知問題。	Abnormal Pathos fluctuations detected. Unknown issue in score entry.	あら？さっき解析中に異常な情動が検出されて、結果の出力が失敗したようです。	이모션에 이상 파동이 감지되었으며, 점수 입력에 알 수 없는 문제가 발생했습니다.	ตรวจ​พบ​ความผันผวน​ของ​พา​โธส​ที่​ผิดปกติ​ ผลลัพธ์​ที่​บันทึก​เกิด​ปัญหา​ที่​ไม่​ทราบ​สาเหตุ​
403	4	1	中控后台介入，正为您重新分析结果。	中控後台介入，正為您重新分析結果。	Central Command Center is reanalyzing the results for you.	でも大丈夫。バックエンドチームに介入してもらったので、すぐに結果がわかります。	컨트롤 타워에서 개입하여 결과를 재분석하고 있습니다.	เกิด​การ​เข้าแทรกแซง​โดย​ระบบ​ควบคุม​กลาง​ กำลัง​วิเคราะห์​ผลลัพธ์​ใหม่​ให้​คุณ​
501	5	1	调查官，欢迎来到猫之城。	調查官，歡迎來到貓之城。	Inspector, welcome to Cat Fantasy.	調査官、「キャットファンタジー」へようこそ。	조사관님, 캣 판타지에 오신 것을 환영합니다.	คุณ​ผู้ตรวจการ​ ยินดีต้อนรับ​สู่​ Cat​ Fantasy​ ค่ะ​
502	5	1	还需下载一些必备数据才可进入新海市，请您耐心等待。	還需下載一些必備資料才可進入新海市，請您耐心等待。	Some essential data still needs to be downloaded before entering Catto City. Please wait patiently.	新海市に入るには、いくつかの必要なデータをダウンロードする必要がありますので、お待ちください。	뉴오션 시티에 입장하시려면 아직 조금 더 데이터를 다운로드하셔야 해요. 조금만 기다려주세요	ยัง​จำเป็นต้อง​ดาวน์โหลด​ข้อมูล​สำคัญ​\nบางส่วน​ก่อน​ จึง​จะ​สามารถ​เข้าสู่​\nแค​ทโตะ​ ซิตี้​ได้​ กรุณา​อดทน​รอ​สักครู่​\nนะคะ​
503	5	1	嗯？怎么了，是我的脸上有什么脏东西吗？	嗯？怎麼了，是我的臉上有什麼髒東西嗎？	Hmm? What's wrong? Is there something on my face?	どうかしましたか？私の顔に何かついていますか？	음? 왜 그러시죠? 제 얼굴에 뭔가 묻었나요?	หืม​?​ ทำไม​เหรอ​ หน้า​ของ​ฉัน​มี​อะไร​สกปรก​ติด​อยู่​เหรอ​คะ​?​
601	6	1	原来是头发乱了，谢谢调查官。	原來是頭髮亂了，謝謝調查官。	Oh, it's just my hair out of place. Thank you, Inspector.	髪の毛が乱れていたんですね、ありがとうございます。	머리가 흐트러졌나 보네요. 감사합니다. 조사관님	ที่แท้​ก็​ผม​ยุ่ง​นี่เอง​ ขอบคุณ​นะคะ​ คุณ​ผู้ตรวจการ​
602	6	1	您真是一个体贴的人呢。	您真是一個體貼的人呢。	That was very thoughtful of you.	調査官はとても優しいですね。	정말 상냥하시네요	คุณ​ช่าง​เป็น​คน​ที่​ใส่ใจ​ผู้อื่น​จริงๆ​ เลย​นะคะ​
603	6	1	数据正在下载中，在等待的间隙里，调查官可以去尝试一下情绪测试	資料正在下載中，在等待的間隙裡，調查官可以去嘗試一下情緒測試	The data is downloading. While you wait, Inspector, you might want to try the Pathos Test.	ダウンロードが完了する前に、調査官はエモーションテストを受けてみませんか？	데이터를 다운로드 중입니다. 기다리는 동안에 조사관님은 저랑 캣 MBTI 테스트를 해보시겠어요?	กำลัง​ดาวน์โหลด​ข้อมูล​อยู่​ค่ะ​\nระหว่าง​รอ​ คุณ​ผู้ตรวจการ​สามารถ​ลอง​\nทำ​แบบทดสอบ​พา​โธส​ได้​นะคะ​
604	6	1	或是与我互动，让我们更亲近一些。	或是與我互動，讓我們更親近一些。	Or you can interact with me to get to know each other better.	それとも、お互いを知るために私と対話することをお望みですか？	아니면 저랑 인터랙션하시면서 조금 더 가까워지실래요?	หรือ​จะ​ลอง​โต้ตอบ​กับ​ฉัน​ดู​ เพื่อให้​เรา​ใกล้ชิด​กัน​มากขึ้น​ก็ได้​นะคะ​
605	6	1	期待我们能在新海市内见面。	期待我們能在新海市內見面。	I eagerly await our meeting within Catto City.	新海市でお会いできることを楽しみにしています。	뉴오션 시티에서 만날 날을 기대할게요	​หวัง​ว่า​พวก​เรา​จะ​ได้​พบ​กัน​อีก​ใน​แคทโตะ ซิตี้​นะ​คะ​
