id	choiceYes	choiceNo	status	question	question_zh_TW	question_en_UK	question_ja_JP	question_ko_KR	question_th_TH
int	int	int	int	int	int	int	int	int	int
1	101	102	1	您会经常主动的去结交一些新的朋友吗？	您會經常主動的去結交一些新的朋友嗎？	Are you frequently proactive in seeking out new friendships?	定期的に、または積極的に新しい友達を作りますか？	새로운 친구들을 자주 적극적으로 사귀시나요? 	​คุณ​มัก​จะ​เข้า​หา​ผู้​คน​แปลก​หน้า​เพื่อ​สร้าง​มิตรภาพ​ใหม่​ๆ​
2	102	101	1	忙碌的生活里，您经常需要一些个人独处的时间来放松自己吗？	忙碌的生活裡，您經常需要一些個人獨處的時間來放鬆自己嗎？	Do you often find solace in solitude to unwind from your hectic schedule?	忙しいスケジュールの合間を縫って、リラックスする時間を取っていますか？	바쁜 일상 속에서도 개인적인 시간을 가지며 스스로를 달래는 시간이 자주 필요하신가요?	​ใน​ชีวิต​ที่​วุ่นวาย​ คุณ​มัก​จะ​ต้อง​การ​เวลา​ส่วน​ตัว​เพื่อ​เติม​พลัง​ให้​กับ​ตัวเอง​
3	101	102	1	和朋友联络的时候，您会更喜欢电话联系吗？	和朋友聯絡的時候，您會更喜歡電話聯繫嗎？	Do you prefer phone conversations when reaching out to friends?	友人と連絡を取り合うとき、電話の方が効率的だと思っていますか？	친구들과 연락할 때 전화를 더 선호하시나요?	​เวลา​ติด​ต่อ​กับ​เพื่อน​ คุณ​ชอบ​การ​คุย​ผ่าน​โทรศัพท์​มาก​กว่า​การ​ไป​พบ​ปะ​เจอ​หน้า​
4	101	102	1	周末休息时，比起约好友一起外出游玩，更喜欢宅在家吗？	週末休息時，比起約好友一起外出遊玩，更喜歡宅在家嗎？	On weekends, do you prefer staying at home rather than going out with friends?	週末には友達と外出するよりも家で過ごす方が好きですか？	주말에 친구들과 약속을 잡고 외출하는 것보다 집에서 시간을 보내는 것을 더 선호하시나요?	​ใน​วัน​หยุด​พัก​ผ่อน​ คุณ​ชอบ​อยู่​บ้าน​มาก​กว่า​การ​ออก​ไป​เที่ยว​กับ​เพื่อน​
5	202	201	1	遇到困难时，您会相信自己的直觉并以此行动。	遇到困難時，您會相信自己的直覺並以此行動。	When faced with difficulties, do you trust your intuition and act upon it?	困難に直面したとき、自分の直感を信じるタイプですか？	어려움에 부딪혔을 때, 본인의 직감을 믿고 그에 따라 행동하시나요?	​เมื่อ​พบ​เจอ​อุปสรรค​ คุณ​จะ​เชื่อ​ใน​สัญชาตญาณ​ของ​ตัวเอง​และ​ลง​มือ​ทำ​ตาม​นั้น​
6	202	201	1	您会对许多事情感兴趣，但却很难选择去尝试哪一项吗？	您會對許多事情感興趣，但卻很難選擇去嘗試哪一項嗎？	Do you struggle with choosing which interests to pursue among many options?	いろいろなことに興味があるが、どれを選ぶか悩みますか？	많은 것들에 관심이 있지만, 무엇을 시도해볼지 선택하는 데 어려움을 겪으시나요?	​คุณ​มัก​มี​ความ​สนใจ​ใน​หลาย​สิ่ง​หลาย​อย่าง​ แต่​ยาก​ที่​จะ​เลือก​ลอง​ทำ​สิ่ง​ใด​สิ่ง​หนึ่ง​อย่าง​ตั้ง​ใจ​
7	202	201	1	做一件事时，比起背后的逻辑关系，当下的喜好更为重要。	做一件事時，比起背後的邏輯關係，當下的喜好更為重要。	When engaging in activities, do you prioritize your current preferences over logical reasoning?	行動を起こすとき、論理よりも好みの方が重要ですか？	어떤 일을 할 때, 뒤에 있는 논리적인 관계보다는 현재의 취향이 더 중요하신가요?	​เวลา​เลือก​อะ​ไร​สัก​อย่าง​ ความ​ชอบ​มัก​จะ​เป็น​ตัว​แปร​ที่​สำคัญ​กว่า​เหตุผล​
8	201	202	1	您购物时，会选择货比三家吗？	您購物時，會選擇貨比三家嗎？	When shopping, do you have a habit of checking multiple vendors?	買い物をするとき、複数の店で値段を比較しますか？	쇼핑할 때 여러 곳을 비교해보시나요?	​เวลา​ซื้อ​ของ​ ​คุณ​มัก​จะ​เทียบ​สิน​ค้า​หลาย​ๆ​ ร้าน​ก่อน​ตัด​สิน​ใจ​
9	302	301	1	看到别人哭很容易让您觉得自己也想哭	看到別人哭很容易讓您覺得自己也想哭	Are you easily moved to tears when witnessing others in distress?	他の人が泣いているのを見ると自分も泣きたくなりますか？	다른 사람이 울고 있는 모습을 보면 쉽게 눈물이 나오시나요?	​เมื่อ​เห็น​คน​อื่น​ร้อง​ไห้​ คุณ​มัก​จะ​รู้สึก​อยาก​ร้อง​ไห้​ตาม​
10	302	301	1	如果压力太大，晚上经常失眠	如果壓力太大，晚上經常失眠	Do you often experience insomnia due to high levels of stress?	ストレスを感じると眠れなくなりますか？	스트레스가 많을 때 밤에 자주 잠을 이루지 못하시나요?	​ถ้าเครียด​​เกิน​ไป​ คุณ​มัก​จะ​นอน​ไม่​หลับ​ใน​ตอน​กลาง​คืน​
11	302	301	1	帮助他人会让您觉得有成就感	幫助他人會讓您覺得有成就感	Do you feel a sense of accomplishment when assisting others?	人を助けると達成感を感じますか？	다른 사람을 도와주면 성취감을 느끼시나요?	​การ​ช่วย​เหลือ​ผู้​อื่น​ทำ​ให้​คุณ​รู้​สึก​ภูมิใจ​ใน​ตัว​เอง​
12	301	302	1	当您做出一个决策的时候，一定是基于思考，慎重考虑后的决定	當您做出一個決策的時候，一定是基於思考，慎重考慮後的決定	Do you always base your decisions on thoughtful and deliberate consideration?	何かを決めるとき、よく考えてから決めるタイプですか？	결정을 내릴 때, 항상 심사숙고하여 결정하시나요?	​เมื่อ​คุณ​ตัด​สิน​ใจ​ทำ​อะ​ไร​สัก​อย่าง​ มัน​เป็น​ผล​มา​จาก​การ​คิด​และ​ไตร่​ตรอง​อย่าง​รอบ​คอบ​เสมอ​
13	401	402	1	您经常迟到吗？	您經常遲到嗎？	Is tardiness a common occurrence for you?	仕事に遅刻することが多いですか？	자주 지각하시나요?	​คุณ​มัก​จะ​มา​สาย​บ่อย​ๆ​
14	402	401	1	工作一天后回家看着家里杂乱的环境，您会先做家务再放松自己	工作一天后回家看著家裡雜亂的環境，您會先做家務再放鬆自己	When returning home to a messy environment after work, do you prioritize cleaning up before unwinding?	仕事から帰ったら、まず家事をしますか？	하루 종일 일한 후, 집에 돌아와 어질러진 것을 보면 청소를 먼저 해야 쉴 수 있으신 가요?	​หลัง​จาก​ทำ​งาน​เหนื่อย​มา​ทั้ง​วัน​ คุณ​กลับ​บ้าน​มา​เจอ​สภาพ​บ้าน​ที่​รก​รุงรัง​ คุณ​มัก​จะ​จัด​การ​ทำ​ความ​สะ​อาด​ก่อน​ที่​จะ​พัก​ผ่อน​
15	401	402	1	做任务时，您经常是压线完成的吗？	做任務時，您經常是壓線完成的嗎？	Is it common for you to complete tasks at the last minute?	締め切りギリギリで仕事を終わらせますか？	일을 할때 자주 마감 시간까지 미룬 후에 완료하시나요?	​เวลา​ได้​รับ​งาน​มา​ คุณ​มัก​จะ​ทำ​เสร็จ​ทัน​เวลา​แบบ​เฉียดฉิว​
16	401	402	1	期待一场毫无规划，说走就走的旅行	期待一場毫無規劃，說走就走的旅行	Do you yearn for a journey that is completely spontaneous and unstructured?	予定外の旅行を楽しむことができますか？	규칙적이지 않은 원하는 대로 하는 여행을 선호하시나요?	​คุณ​ชอบ​ที่​จะ​ออก​เดิน​ทาง​อย่าง​อิสระ​ โดย​ไม่​มี​การ​วาง​แผน​ล่วง​หน้า​
