type	id	status
string	string	int
1_1	901001	1
1_2	901002	1
1_3	901003	1
1_4	901004	1
1_5	901005	1
1_6	901006	1
1_7	901007	1
1_8	901008	1
1_9	901009	1
1_10	901010	1
1_11	901011	1
1_12	901012	1
1_13	901013	1
1_14	901014	1
1_15	901015	1
1_16	901016	1
1_17	901017	1
1_18	901018	1
1_19	901019	1
1_20	901020	1
1_21	901021	1
1_22	901022	1
1_23	901023	1
1_24	901024	1
1_25	901025	1
1_26	901026	1
1_27	901027	1
1_28	901028	1
1_29	901029	1
1_30	901030	1
1_31	901031	1
1_32	901032	1
1_33	901033	1
1_34	901034	1
1_35	901035	1
1_36	901036	1
1_37	901037	1
1_38	901038	1
1_39	901039	1
1_40	901040	1
1_41	901041	1
1_42	901042	1
1_43	901043	1
1_44	901044	1
1_45	901045	1
1_46	901046	1
1_47	901047	1
1_48	901048	1
1_49	901049	1
1_50	901050	1
2_1	902001	1
2_2	902002	1
2_3	902003	1
2_4	902004	1
2_5	902005	1
2_6	902006	1
2_7	902007	1
2_8	902008	1
2_9	902009	1
2_10	902010	1
2_11	902011	1
2_12	902012	1
2_13	902013	1
2_14	902014	1
2_15	902015	1
2_16	902016	1
2_17	902017	1
2_18	902018	1
2_19	902019	1
2_20	902020	1
2_21	902021	1
2_22	902022	1
2_23	902023	1
2_24	902024	1
2_25	902025	1
2_26	902026	1
2_27	902027	1
2_28	902028	1
2_29	902029	1
2_30	902030	1
2_31	902031	1
2_32	902032	1
2_33	902033	1
2_34	902034	1
2_35	902035	1
2_36	902036	1
2_37	902037	1
2_38	902038	1
2_39	902039	1
2_40	902040	1
2_41	902041	1
2_42	902042	1
2_43	902043	1
2_44	902044	1
2_45	902045	1
2_46	902046	1
2_47	902047	1
2_48	902048	1
2_49	902049	1
2_50	902050	1
3_1	902051	1
3_2	902052	1
3_3	902053	1
3_4	902054	1
3_5	902055	1
3_6	902056	1
3_7	902057	1
3_8	902058	1
3_9	902059	1
3_10	902060	1
3_11	902061	1
3_12	902062	1
3_13	902063	1
3_14	902064	1
3_15	902065	1
3_16	902066	1
3_17	902067	1
3_18	902068	1
3_19	902069	1
3_20	902070	1
3_21	902071	1
3_22	902072	1
3_23	902073	1
3_24	902074	1
3_25	902075	1
3_26	902076	1
3_27	902077	1
3_28	902078	1
3_29	902079	1
3_30	902080	1
3_31	902081	1
3_32	902082	1
3_33	902083	1
3_34	902084	1
3_35	902085	1
3_36	902086	1
3_37	902087	1
3_38	902088	1
3_39	902089	1
3_40	902090	1
3_41	902091	1
3_42	902092	1
3_43	902093	1
3_44	902094	1
3_45	902095	1
3_46	902096	1
3_47	902097	1
3_48	902098	1
3_49	902099	1
3_50	902100	1
4_1	902101	1
4_2	902102	1
4_3	902103	1
4_4	902104	1
4_5	902105	1
4_6	902106	1
4_7	902107	1
4_8	902108	1
4_9	902109	1
4_10	902110	1
4_11	902111	1
4_12	902112	1
4_13	902113	1
4_14	902114	1
4_15	902115	1
4_16	902116	1
4_17	902117	1
4_18	902118	1
4_19	902119	1
4_20	902120	1
4_21	902121	1
4_22	902122	1
4_23	902123	1
4_24	902124	1
4_25	902125	1
4_26	902126	1
4_27	902127	1
4_28	902128	1
4_29	902129	1
4_30	902130	1
4_31	902131	1
4_32	902132	1
4_33	902133	1
4_34	902134	1
4_35	902135	1
4_36	902136	1
4_37	902137	1
4_38	902138	1
4_39	902139	1
4_40	902140	1
4_41	902141	1
4_42	902142	1
4_43	902143	1
4_44	902144	1
4_45	902145	1
4_46	902146	1
4_47	902147	1
4_48	902148	1
4_49	902149	1
4_50	902150	1
5_1	902151	1
5_2	902152	1
5_3	902153	1
5_4	902154	1
5_5	902155	1
5_6	902156	1
5_7	902157	1
5_8	902158	1
5_9	902159	1
5_10	902160	1
5_11	902161	1
5_12	902162	1
5_13	902163	1
5_14	902164	1
5_15	902165	1
5_16	902166	1
5_17	902167	1
5_18	902168	1
5_19	902169	1
5_20	902170	1
5_21	902171	1
5_22	902172	1
5_23	902173	1
5_24	902174	1
5_25	902175	1
5_26	902176	1
5_27	902177	1
5_28	902178	1
5_29	902179	1
5_30	902180	1
5_31	902181	1
5_32	902182	1
5_33	902183	1
5_34	902184	1
5_35	902185	1
5_36	902186	1
5_37	902187	1
5_38	902188	1
5_39	902189	1
5_40	902190	1
5_41	902191	1
5_42	902192	1
5_43	902193	1
5_44	902194	1
5_45	902195	1
5_46	902196	1
5_47	902197	1
5_48	902198	1
5_49	902199	1
5_50	902200	1
6_1	902201	1
6_2	902202	1
6_3	902203	1
6_4	902204	1
6_5	902205	1
6_6	902206	1
6_7	902207	1
6_8	902208	1
6_9	902209	1
6_10	902210	1
6_11	902211	1
6_12	902212	1
6_13	902213	1
6_14	902214	1
6_15	902215	1
6_16	902216	1
6_17	902217	1
6_18	902218	1
6_19	902219	1
6_20	902220	1
6_21	902221	1
6_22	902222	1
6_23	902223	1
6_24	902224	1
6_25	902225	1
6_26	902226	1
6_27	902227	1
6_28	902228	1
6_29	902229	1
6_30	902230	1
6_31	902231	1
6_32	902232	1
6_33	902233	1
6_34	902234	1
6_35	902235	1
6_36	902236	1
6_37	902237	1
6_38	902238	1
6_39	902239	1
6_40	902240	1
6_41	902241	1
6_42	902242	1
6_43	902243	1
6_44	902244	1
6_45	902245	1
6_46	902246	1
6_47	902247	1
6_48	902248	1
6_49	902249	1
6_50	902250	1
7_1	905101	1
7_2	905102	1
7_3	905103	1
7_4	905104	1
7_5	905105	1
7_6	905106	1
7_7	905107	1
7_8	905108	1
7_9	905109	1
7_10	905110	1
7_11	905111	1
7_12	905112	1
7_13	905113	1
7_14	905114	1
7_15	905115	1
7_16	905116	1
7_17	905117	1
7_18	905118	1
7_19	905119	1
7_20	905120	1
7_21	905121	1
7_22	905122	1
7_23	905123	1
7_24	905124	1
7_25	905125	1
7_26	905126	1
7_27	905127	1
7_28	905128	1
7_29	905129	1
7_30	905130	1
7_31	905131	1
7_32	905132	1
7_33	905133	1
7_34	905134	1
7_35	905135	1
7_36	905136	1
7_37	905137	1
7_38	905138	1
7_39	905139	1
7_40	905140	1
7_41	905141	1
7_42	905142	1
7_43	905143	1
7_44	905144	1
7_45	905145	1
7_46	905146	1
7_47	905147	1
7_48	905148	1
7_49	905149	1
7_50	905150	1
8_1	905151	1
8_2	905152	1
8_3	905153	1
8_4	905154	1
8_5	905155	1
8_6	905156	1
8_7	905157	1
8_8	905158	1
8_9	905159	1
8_10	905160	1
8_11	905161	1
8_12	905162	1
8_13	905163	1
8_14	905164	1
8_15	905165	1
8_16	905166	1
8_17	905167	1
8_18	905168	1
8_19	905169	1
8_20	905170	1
8_21	905171	1
8_22	905172	1
8_23	905173	1
8_24	905174	1
8_25	905175	1
8_26	905176	1
8_27	905177	1
8_28	905178	1
8_29	905179	1
