id	name	num	status	txt	txt_zh_TW	txt_en_UK	txt_ja_JP	txt_ko_KR	txt_th_TH
int	int	int	int	int	int	int	int	int	int
1	合约遗留邮件ID	18	1						
2	普通合约名称		1	初级合约	初級合約	Basic Contract	初級契約	초급 계약	สัญญาระดับต้น
3	标准合约名称		1	标准版	標準版	Standard	通常版	일반	ฉบับมาตรฐาน
4	豪华合约名称		1	豪华版	豪華版	Deluxe	豪華版	프리미엄	พรีเมียม
5	普通合约价格	1030001	1						
6	标准合约价格	1030002	1						
7	豪华合约差价	1030003	1						
9	规则说明ID	100	1						
10	合约每级经验	200	1						
11	购买等级消耗的道具ID	3000002	1						
12	购买等级消耗的道具数量	100	1						
13	页面中下部提示内容		1	购买标准版高级合约后，可补差价升级为豪华版高级合约	購買標準版高級合約後，可補差價升級為豪華版高級合約	After buying Advanced Contract (Standard Edition), you can further upgrade it to the Deluxe Edition.	Pending购买标准版高级合约后，可补差价升级为豪华版高级合约	표준 버전 고급 계약 구매 후 차액을 지불하면 프리미엄 고급 계약으로 업그레이드할 수 있습니다	เมื่อ​ซื้อ​สัญญา​ระดับสูง​ฉบับ​มาตรฐาน​ จะ​สามารถ​จ่าย​ส่วน​ต่าง​เพื่อ​อัปเกรด​เป็น​พรีเมียม​ได้​
14	巅峰奖励规则内容		1	合约满级后，\n每_target_num_点合约经验，可获得巅峰礼包x1 \n点击领取礼包	合約滿級後，\n每_target_num_點合約經驗，可獲得巔峰禮包x1 \n點擊領取禮包	Once the Contract is at max level,\nevery _target_num_ Contract EXP will grant you Pinnacle Bundle x1\nTap to claim this bundle.	契約が最大レベルに達した後、\n契約EXPを_target_num_入手するごとに、クライマックスパックを1個受け取ることができます。 \nタップして受け取ることができます。	계약 최대 레벨 후\n계약 EXP _target_num_마다 MAX 패키지x1를 획득할 수 있습니다\n탭하여 패키지 받기	เมื่อ​พา​สมี​เล​เวล​เต็ม​แล้ว​\nEXP​ ทุกๆ​ _target_num_​ หน่วย​ จะ​ได้รับ​แพ็ก​รางวัล​สูงสุด​\n​จำนวน​ 1​ กล่อง​
15	每日任务免费刷新次数	3	1						
16	精英任务免费刷新次数	3	1						
17	每日任务付费刷新所需道具ID	3000002	1						
18	每日任务付费刷新所需道具数量	10	1						
19	精英任务付费刷新所需道具ID	3000002	1						
20	精英任务付费刷新所需道具数量	10	1						
21	每日任务任务数	5	1						
22	精英任务任务数	3	1						
23	高级合约每日任务经验加成	0.25	1						
24	是否更改为货币购买：1是0否	1	1						
25	货币购买使用道具id	3000001	1						
26	普通合约价格（货币）	1280	1						
27	标准合约价格（货币）	1580	1						
28	豪华合约差价（货币）	300	1						
