id	id1	id2	id3	ScheduleId	PassLv	freeRewardId	freeRewardNum	PayRewardId	PayRewardNum	PayRewardId2	PayRewardNum2	StageRewardSign	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int
901001	101001	201001	301001	1	1	3000003	30000	103021	1	4190004	200	0	1
901002	101002	201002	301002	1	2	4102202	10	4190001	100	4190004	100	0	1
901003	101003	201003	301003	1	3	4104041	100	4104042	200	4190004	100	0	1
901004	101004	201004	301004	1	4	4101002	2	4101003	5	4190004	100	0	1
901005	101005	201005	301005	1	5	4190001	100	4190001	300	4190004	100	0	1
901006	101006	201006	301006	1	6	3000003	30000	3000003	150000	4190004	100	0	1
901007	101007	201007	301007	1	7	4102202	10	4190001	100	4190004	100	0	1
901008	101008	201008	301008	1	8	4104041	100	4104043	100	4190004	100	0	1
901009	101009	201009	301009	1	9	4101002	2	4101003	5	4190004	100	0	1
901010	101010	201010	301010	1	10	4190001	100	4190001	300	4190004	100	1	1
901011	101011	201011	301011	1	11	3000003	30000	3000003	150000	4190004	100	0	1
901012	101012	201012	301012	1	12	4102202	15	4190001	100	4190004	100	0	1
901013	101013	201013	301013	1	13	4104041	100	4104042	200	4190004	100	0	1
901014	101014	201014	301014	1	14	4101002	2	4101003	5	4190004	100	0	1
901015	101015	201015	301015	1	15	4190001	100	4190001	300	4190004	100	0	1
901016	101016	201016	301016	1	16	3000003	30000	3000003	150000	4190004	100	0	1
901017	101017	201017	301017	1	17	4102202	10	4190001	100	4190004	100	0	1
901018	101018	201018	301018	1	18	4104041	100	4104043	100	4190004	100	0	1
901019	101019	201019	301019	1	19	4101002	2	4101003	5	4190004	100	0	1
901020	101020	201020	301020	1	20	4190001	100	4190001	300	4190004	100	1	1
901021	101021	201021	301021	1	21	3000003	30000	3000003	150000	4190004	100	0	1
901022	101022	201022	301022	1	22	4102202	10	4190001	100	4190004	100	0	1
901023	101023	201023	301023	1	23	4104041	100	4104042	200	4190004	100	0	1
901024	101024	201024	301024	1	24	4101002	2	4101003	5	4190004	100	0	1
901025	101025	201025	301025	1	25	4190001	100	4190001	300	4190004	100	0	1
901026	101026	201026	301026	1	26	3000003	30000	3000003	150000	4190004	100	0	1
901027	101027	201027	301027	1	27	4102202	15	4190001	100	4190004	100	0	1
901028	101028	201028	301028	1	28	4104041	100	4104043	100	4190004	100	0	1
901029	101029	201029	301029	1	29	4101002	2	4101003	5	4190004	100	0	1
901030	101030	201030	301030	1	30	4190001	100	4190001	300	4190004	100	1	1
901031	101031	201031	301031	1	31	3000003	30000	3000003	150000	4190004	100	0	1
901032	101032	201032	301032	1	32	4102202	10	4190001	100	4190004	100	0	1
901033	101033	201033	301033	1	33	4104041	100	4104042	200	4190004	100	0	1
901034	101034	201034	301034	1	34	4101002	2	4101003	5	4190004	100	0	1
901035	101035	201035	301035	1	35	4190001	100	4190001	300	4190004	100	0	1
901036	101036	201036	301036	1	36	3000003	30000	3000003	150000	4190004	100	0	1
901037	101037	201037	301037	1	37	4102202	10	4190001	100	4190004	100	0	1
901038	101038	201038	301038	1	38	4104041	100	4104043	100	4190004	100	0	1
901039	101039	201039	301039	1	39	4101002	2	4101003	5	4190004	100	0	1
