taskContentId	giveType	addType	dataType	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int
1		1	1	1	获得_target_num_个不重复的角色	獲得_target_num_個不重複的戰鬥員	Get _target_num_ different Combatants.	戦闘員を_target_num_人獲得する	중복되지 않는 캐릭터_target_num_개 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​ _target_num_​ ตัว​
2		2	1	1						
3		3	1	1	获得_target_num_件等级_target_id_及以上的装备	獲得_target_num_件等級_target_id_及以上的裝備	Obtain _target_num_ piece(s) of equipment at level _target_id_ or higher.	レベル≥_target_id_の装備を_target_num_個獲得する	_target_num_개 레벨_target_id_ 이상 장비 획득	ได้รับ​อุปกรณ์​ที่​มี​เล​เวล​มากกว่า​ _target_id_​ จำนวน​ _target_num_​ ชิ้น​
4		2	1	1	获得_target_id_类型的道具_target_num_个	獲得_target_id_類型的道具_target_num_個	Collect _target_num_ _target_id_ item(s).	_target_id_種類のアイテムを_target_num_個獲得する	_target_id_유형의 아이템_target_num_개 획득	ได้รับ​ไอเทม​ประเภท​ _target_id_​ จำนวน​ _target_num_​ ชิ้น​
5		2	1	1	获得_target_num_件_target_id_品质的装备	獲得_target_num_件_target_id_品質的裝備	Obtain _target_num_ piece(s) of equipment of _target_id_ rarity.	_target_id_品質の装備を_target_num_個獲得する	_target_num_개_target_id_등급의 장비 획득	ได้รับ​อุปกรณ์​ระดับ​ _target_id_​ จำนวน​ _target_num_​ ชิ้น​
6		2	1	1	获得_target_id_共_target_num_个	獲得_target_id_共_target_num_個	Obtain _target_num_ _target_id_.	総合で_target_id_を_target_num_個獲得する	_target_id_총_target_num_개 획득	ได้รับ​ _target_id_​ ทั้งหมด​ _target_num_​ ชิ้น​
7		2	1	1	消耗_target_id_共_target_num_个	消耗_target_id_共_target_num_個	Consume _target_num_ _target_id_.	総合で_target_id_を_target_num_個消費する	_target_id_총_target_num_개 소모	ใช้​ _target_id_​ ทั้งหมด​ _target_num_​ ชิ้น​
8		4	1	1	获得_target_num_件_target_id_品质及以上的装备	獲得_target_num_件_target_id_品質及以上的裝備	Obtain _target_num_ piece(s) of equipment of _target_id_ or higher rarity.	_target_id_品質、またはそれ以上の品質の装備を_target_num_個獲得する	_target_num_개_target_id_등급 이상의 장비 획득	ได้รับ​อุปกรณ์​ที่​มีระดับ​ _target_id_​ หรือ​มากกว่า​ จำนวน​ _target_num_​ อัน​
9		2	1	1	拥有_target_num_个星级为_target_num2_星的R品质武装	擁有_target_num_個星級為_target_num2_星的R品質戰鬥員	Own _target_num_ _target_num2_★ Combatant of R Rarity.	★_target_num2_のR装備を_target_num_個獲得する	_target_num_개의_target_num2_★인 R등급 전투원 보유	มี​ตัวละคร​คุณภาพ​ R​ ระดับ​ _target_num2_​★​ จำนวน​ _target_num_​ คน​
10		2	1	1	拥有_target_num_个星级为_target_num2_星的SR品质武装	擁有_target_num_個星級為_target_num2_星的SR品質戰鬥員	Own _target_num_ _target_num2_★ Combatant of SR Rarity.	★_target_num2_のSR装備を_target_num_個獲得する	_target_num_개의_target_num2_★인 SR등급 전투원 보유	มี​ตัวละคร​คุณภาพ​ SR​ ระดับ​ _target_num2_​★​ จำนวน​ _target_num_​ คน​
