taskAchId	reputationType	taskIcon	Numtype	taskContentType	taskContentId	taskContenNum	taskGroup	successorTasks	point	rewardId	rewardNum	openType	status	taskTitle	taskTitle_zh_TW	taskTitle_en_UK	taskTitle_ja_JP	taskTitle_ko_KR	taskTitle_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1010101	1	104:task_overview_img_daily	10101	1	0	5	10101	1010102	10	3000002;3000003	10;5000	0	1	获得5个不重复的战斗员	獲得5個不重複的戰鬥員	Get 5 different Combatants.	戦闘員を5人獲得する（同一キャラは初回のみカウント）	중복되지 않는 전투원 5명 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​รวม​ 5​ คน​	获得5个不重复的战斗员	獲得5個不重複的戰鬥員	Get 5 different Combatants.	戦闘員を5人獲得する（同一キャラは初回のみカウント）	중복되지 않는 전투원 5명 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​รวม​ 5​ คน​
1010102	1	104:task_overview_img_daily	10101	1	0	10	10101	1010103	10	3000002;3000003	10;5000	0	1	获得10个不重复的战斗员	獲得10個不重複的戰鬥員	Get 10 different Combatants.	戦闘員を10人獲得する（同一キャラは初回のみカウント）	중복되지 않는 전투원 10명 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​รวม​ 10​ คน​	获得10个不重复的战斗员	獲得10個不重複的戰鬥員	Get 10 different Combatants.	戦闘員を10人獲得する（同一キャラは初回のみカウント）	중복되지 않는 전투원 10명 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​รวม​ 10​ คน​
1010103	1	104:task_overview_img_daily	10101	1	0	15	10101	1010104	10	3000002;3000003	10;5000	0	1	获得15个不重复的战斗员	獲得15個不重複的戰鬥員	Get 15 different Combatants.	戦闘員を15人獲得する（同一キャラは初回のみカウント）	중복되지 않는 전투원 15명 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​รวม​ 15​ คน​	获得15个不重复的战斗员	獲得15個不重複的戰鬥員	Get 15 different Combatants.	戦闘員を15人獲得する（同一キャラは初回のみカウント）	중복되지 않는 전투원 15명 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​รวม​ 15​ คน​
1010104	1	104:task_overview_img_daily	10101	1	0	20	10101	1010105	10	3000002;3000003	10;5000	0	1	获得20个不重复的战斗员	獲得20個不重複的戰鬥員	Get 20 different Combatants.	戦闘員を20人獲得する（同一キャラは初回のみカウント）	중복되지 않는 전투원 20명 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​รวม​ 20​ คน​	获得20个不重复的战斗员	獲得20個不重複的戰鬥員	Get 20 different Combatants.	戦闘員を20人獲得する（同一キャラは初回のみカウント）	중복되지 않는 전투원 20명 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​รวม​ 20​ คน​
1010105	1	104:task_overview_img_daily	10101	1	0	30	10101	1010106	10	3000002;3000003	10;5000	0	1	获得30个不重复的战斗员	獲得30個不重複的戰鬥員	Get 30 different Combatants.	戦闘員を30人獲得する（同一キャラは初回のみカウント）	중복되지 않는 전투원 30명 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​รวม​ 30​ คน​	获得30个不重复的战斗员	獲得30個不重複的戰鬥員	Get 30 different Combatants.	戦闘員を30人獲得する（同一キャラは初回のみカウント）	중복되지 않는 전투원 30명 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​รวม​ 30​ คน​
1010106	1	104:task_overview_img_daily	10101	1	0	40	10101	1010107	10	3000002;3000003	10;5000	0	1	获得40个不重复的战斗员	獲得40個不重複的戰鬥員	Get 40 different Combatants.	戦闘員を40人獲得する（同一キャラは初回のみカウント）	중복되지 않는 전투원 40명 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​รวม​ 40​ คน​	获得40个不重复的战斗员	獲得40個不重複的戰鬥員	Get 40 different Combatants.	戦闘員を40人獲得する（同一キャラは初回のみカウント）	중복되지 않는 전투원 40명 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​รวม​ 40​ คน​
1010107	1	104:task_overview_img_daily	10101	1	0	50	10101	0	10	3000002;3000003	10;5000	0	1	获得50个不重复的战斗员	獲得50個不重複的戰鬥員	Get 50 different Combatants.	戦闘員を50人獲得する（同一キャラは初回のみカウント）	중복되지 않는 전투원 50명 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​รวม​ 50​ คน​	获得50个不重复的战斗员	獲得50個不重複的戰鬥員	Get 50 different Combatants.	戦闘員を50人獲得する（同一キャラは初回のみカウント）	중복되지 않는 전투원 50명 획득	ได้รับ​ตัวละคร​ที่​ไม่​ซ้ำ​รวม​ 50​ คน​
1010201	1	104:task_overview_img_daily	10102	2	3	1	10102	1010202	10	3000002;3000003	20;5000	0	1	获得1个初始品质为SSR的战斗员	獲得1個初始品質為SSR的戰鬥員	Obtain 1 Combatant with original SSR rarity.	初期レアリティががSSRの戦闘員を1人獲得する	초기 등급이 SSR인 전투원 1명 획득	ได้รับ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ รวม​ 1​ คน​	获得1个初始品质为SSR的战斗员	獲得1個初始品質為SSR的戰鬥員	Obtain 1 Combatant with original SSR rarity.	初期レアリティががSSRの戦闘員を1人獲得する	초기 등급이 SSR인 전투원 1명 획득	ได้รับ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ รวม​ 1​ คน​
1010202	1	104:task_overview_img_daily	10102	2	3	3	10102	1010203	10	3000002;3000003	20;5000	0	1	获得3个初始品质为SSR的战斗员	獲得3個初始品質為SSR的戰鬥員	Obtain 3 Combatants with original SSR rarity.	初期レアリティがSSRの戦闘員を3人獲得する	초기 등급이 SSR인 전투원 3명 획득	ได้รับ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ รวม​ 3​ คน​	获得3个初始品质为SSR的战斗员	獲得3個初始品質為SSR的戰鬥員	Obtain 3 Combatants with original SSR rarity.	初期レアリティがSSRの戦闘員を3人獲得する	초기 등급이 SSR인 전투원 3명 획득	ได้รับ​ตัวละคร​ที่​มีระดับ​เริ่มต้น​ SSR​ รวม​ 3​ คน​
