taskAchId	id	taskGroup	after	taskId	rewardId	rewardNum	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int
30001	1	1	30002	31101;31201;31301;31401	101011;4110001;4199001	1;10;10	1	右侧全员升至20级	右側全員升至20級	Upgrade all Combatants on the right to Lv. 20.	右側の全員がLv.20に達する	우측 전체 20레벨로 상승	ตัวละคร​ทาง​ด้าน​ขวา​ถูก​อัป​เป็น​เล​เวล​ 20​
30002	1	1	30003	31102;31202;31302;31402	101011;4110001;4199001	1;10;10	1	右侧全员升至40级	右側全員升至40級	Upgrade all Combatants on the right to Lv. 40.	右側の全員がLv.40に達する	우측 전체 40레벨로 상승	ตัวละคร​ทาง​ด้าน​ขวา​ถูก​อัป​เป็น​เล​เวล​ 40​
30003	1	1	30004	31103;31203;31303;31403	101011;4110001;4199001	1;10;10	1	右侧全员被动升至3级	右側全員被動升至3級	Upgrade all Combatants' Passives on the right to Lv. 3.	右側の全員のパッシブスキルがLv.3に達する	우측 전체 패시브 3레벨로 상승	พาส​ซี​ฟ​ตัวละคร​ทาง​ด้าน​ขวา​ถูก​อัป​เป็น​เล​เวล​ 3​
30004	1	1	30005	31104;31204;31304;31404	101011;4110001;4199001	1;10;10	1	右侧全员SP技能升至10级	右側全員SP技能升至10級	Upgrade all Combatants' Ultimates on the right to Lv. 10.	右側の全員のSP技がLv.10に達する	우측 전체 SP스킬 10레벨로 상승	สกิล​ SP​ ตัวละคร​ทาง​ด้าน​ขวา​ถูก​อัป​เป็น​เล​เวล​ 10​
30005	1	1	30006	31105;31205;31305;31405	101011;4110001;4199001	1;10;10	1	右侧全员升至60级	右側全員升至60級	Upgrade all Combatants on the right to Lv. 60.	右側の全員がLv.60に達する	우측 전체 60레벨로 상승	ตัวละคร​ทาง​ด้าน​ขวา​ถูก​อัป​เป็น​เล​เวล​ 60​
30006	1	1	30007	31106;31206;31306;31406	101011;4110001;4199001	1;10;10	1	右侧全员被动升至7级	右側全員被動升至7級	Upgrade all Combatants' Passives on the right to Lv. 7.	右側の全員のパッシブスキルがLv.7に達する	우측 전체 패시브 7레벨로 상승	พาส​ซี​ฟ​ตัวละคร​ทาง​ด้าน​ขวา​ถูก​อัป​เป็น​เล​เวล​ 7​
30007	1	1	30008	31107;31207;31307;31407	101011;4110001;4199001	1;10;10	1	右侧全员SP技能升至25级	右側全員SP技能升至25級	Upgrade all Combatants' Ultimates on the right to Lv. 25.	右側の全員のSP技がLv.25に達する	우측 전체 SP스킬 25레벨로 상승	สกิล​ SP​ ตัวละคร​ทาง​ด้าน​ขวา​ถูก​อัป​เป็น​เล​เวล​ 25​
30008	1	1	30009	31108;31208;31308;31408	101011;4110001;4199001	1;10;10	1	右侧全员觉醒至1星	右側全員覺醒至1星	Awaken all Combatants on the right to 1★.	/	우측 전체 1★으로 각성	ปลุก​พลัง​ตัวละคร​ทาง​ด้าน​ขวา​ถึง​ 1★​
30009	1	1	30010	31109;31209;31309;31409	101011;4110001;4199001	1;10;10	1	右侧全员觉醒至2星	右側全員覺醒至2星	Awaken all Combatants on the right to 2★.	/	우측 전체 2★으로 각성	ปลุก​พลัง​ตัวละคร​ทาง​ด้าน​ขวา​ถึง​ 2★​
30010	1	1	30011	31110;31210;31310;31410	101011;4110001;4199001	1;10;10	1	右侧全员觉醒至3星	右側全員覺醒至3星	Awaken all Combatants on the right to 3★.	/	우측 전체 3★으로 각성	ปลุก​พลัง​ตัวละคร​ทาง​ด้าน​ขวา​ถึง​ 3★​
30011	1	1	30012	31111;31211;31311;31411	101011;4110001;4199001	1;10;10	1	右侧全员觉醒至4星	右側全員覺醒至4星	Awaken all Combatants on the right to 4★.	/	우측 전체 4★으로 각성	ปลุก​พลัง​ตัวละคร​ทาง​ด้าน​ขวา​ถึง​ 4★​
30012	1	1	30013	31112;31212;31312;31412	101011;4110001;4199001	1;10;10	1	右侧全员觉醒至5星	右側全員覺醒至5星	Awaken all Combatants on the right to 5★.	/	우측 전체 5★으로 각성	ปลุก​พลัง​ตัวละคร​ทาง​ด้าน​ขวา​ถึง​ 5★​
30013	1	1	0	31113;31213;31313;31413	101011;4110001;4199001	1;10;10	1	右侧全员觉醒至6星	右側全員覺醒至6星	Awaken all Combatants on the right to 6★.	/	우측 전체 6★으로 각성	ปลุก​พลัง​ตัวละคร​ทาง​ด้าน​ขวา​ถึง​ 6★​
30021	2	2	30022	31501;31601;31701;31801	103007;4110001;4199001	1;10;10	1	右侧全员升至20级	右側全員升至20級	Upgrade all Combatants on the right to Lv. 20.	右側の全員がLv.20に達する	우측 전체 20레벨로 상승	ตัวละคร​ทาง​ด้าน​ขวา​ถูก​อัป​เป็น​เล​เวล​ 20​
30022	2	2	30023	31502;31602;31702;31802	103007;4110001;4199001	1;10;10	1	右侧全员升至40级	右側全員升至40級	Upgrade all Combatants on the right to Lv. 40.	右側の全員がLv.40に達する	우측 전체 40레벨로 상승	ตัวละคร​ทาง​ด้าน​ขวา​ถูก​อัป​เป็น​เล​เวล​ 40​
30023	2	2	30024	31503;31603;31703;31803	103007;4110001;4199001	1;10;10	1	右侧全员被动升至3级	右側全員被動升至3級	Upgrade all Combatants' Passives on the right to Lv. 3.	右側の全員のパッシブスキルがLv.3に達する	우측 전체 패시브 3레벨로 상승	พาส​ซี​ฟ​ตัวละคร​ทาง​ด้าน​ขวา​ถูก​อัป​เป็น​เล​เวล​ 3​
30024	2	2	30025	31504;31604;31704;31804	103007;4110001;4199001	1;10;10	1	右侧全员SP技能升至10级	右側全員SP技能升至10級	Upgrade all Combatants' Ultimates on the right to Lv. 10.	右側の全員のSP技がLv.10に達する	우측 전체 SP스킬 10레벨로 상승	สกิล​ SP​ ตัวละคร​ทาง​ด้าน​ขวา​ถูก​อัป​เป็น​เล​เวล​ 10​
30025	2	2	30026	31505;31605;31705;31805	103007;4110001;4199001	1;10;10	1	右侧全员升至60级	右側全員升至60級	Upgrade all Combatants on the right to Lv. 60.	右側の全員がLv.60に達する	우측 전체 60레벨로 상승	ตัวละคร​ทาง​ด้าน​ขวา​ถูก​อัป​เป็น​เล​เวล​ 60​
30026	2	2	30027	31506;31606;31706;31806	103007;4110001;4199001	1;10;10	1	右侧全员被动升至7级	右側全員被動升至7級	Upgrade all Combatants' Passives on the right to Lv. 7.	右側の全員のパッシブスキルがLv.7に達する	우측 전체 패시브 7레벨로 상승	พาส​ซี​ฟ​ตัวละคร​ทาง​ด้าน​ขวา​ถูก​อัป​เป็น​เล​เวล​ 7​
30027	2	2	30028	31507;31607;31707;31807	103007;4110001;4199001	1;10;10	1	右侧全员SP技能升至25级	右側全員SP技能升至25級	Upgrade all Combatants' Ultimates on the right to Lv. 25.	右側の全員のSP技がLv.25に達する	우측 전체 SP스킬 25레벨로 상승	สกิล​ SP​ ตัวละคร​ทาง​ด้าน​ขวา​ถูก​อัป​เป็น​เล​เวล​ 25​
30028	2	2	30029	31508;31608;31708;31808	103007;4110001;4199001	1;10;10	1	右侧全员觉醒至1星	右側全員覺醒至1星	Awaken all Combatants on the right to 1★.	/	우측 전체 1★으로 각성	ปลุก​พลัง​ตัวละคร​ทาง​ด้าน​ขวา​ถึง​ 1★​
30029	2	2	30030	31509;31609;31709;31809	103007;4110001;4199001	1;10;10	1	右侧全员觉醒至2星	右側全員覺醒至2星	Awaken all Combatants on the right to 2★.	/	우측 전체 2★으로 각성	ปลุก​พลัง​ตัวละคร​ทาง​ด้าน​ขวา​ถึง​ 2★​
30030	2	2	30031	31510;31610;31710;31810	103007;4110001;4199001	1;10;10	1	右侧全员觉醒至3星	右側全員覺醒至3星	Awaken all Combatants on the right to 3★.	/	우측 전체 3★으로 각성	ปลุก​พลัง​ตัวละคร​ทาง​ด้าน​ขวา​ถึง​ 3★​
30031	2	2	30032	31511;31611;31711;31811	103007;4110001;4199001	1;10;10	1	右侧全员觉醒至4星	右側全員覺醒至4星	Awaken all Combatants on the right to 4★.	/	우측 전체 4★으로 각성	ปลุก​พลัง​ตัวละคร​ทาง​ด้าน​ขวา​ถึง​ 4★​
30032	2	2	30033	31512;31612;31712;31812	103007;4110001;4199001	1;10;10	1	右侧全员觉醒至5星	右側全員覺醒至5星	Awaken all Combatants on the right to 5★.	/	우측 전체 5★으로 각성	ปลุก​พลัง​ตัวละคร​ทาง​ด้าน​ขวา​ถึง​ 5★​
30033	2	2	0	31513;31613;31713;31813	103007;4110001;4199001	1;10;10	1	右侧全员觉醒至6星	右側全員覺醒至6星	Awaken all Combatants on the right to 6★.	/	우측 전체 6★으로 각성	ปลุก​พลัง​ตัวละคร​ทาง​ด้าน​ขวา​ถึง​ 6★​
