taskAchId	startType	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	taskTitle	taskTitle_zh_TW	taskTitle_en_UK	taskTitle_ja_JP	taskTitle_ko_KR	taskTitle_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	2	1419	0	1			521		1	在餐厅中设置套餐	在餐廳中設置套餐	Create a set menu for the Cafe.	レストランでセットメニューを設定する	카페테리아에서 세트 설정	ตั้งค่าเซ็ตเมนูในคาเฟ่
102	1	1201	108008	5			792	108008	1	将「小白·AI助理」提升至<color=#ff4dc0>5</color>级	將「小白·AI助理」提升至<color=#ff4dc0>5</color>級	Raise Shiro: AI Assistant to lv.<color=#ff4dc0>5</color>.	「シロ・AIアシスタント」を<color=#ff4dc0>Lv.5</color>にレベルアップする	화이트·AI 어시스턴트 <color=#ff4dc0>5</color>레벨 달성	อัป [ชิโระ·AI ผู้ช่วย] ถึงเลเวล <color=#ff4dc0>5</color>
103	1	1201	101008	10			792	101008	1	将「非天·自由轮滑」提升至<color=#ff4dc0>10</color>级	將「非天·自由輪滑」提升至<color=#ff4dc0>10</color>級	Raise Asura: Freestyle Skater to lv.<color=#ff4dc0>10</color>.	「アスラ・フリースケーティング」を<color=#ff4dc0>Lv.10</color>にレベルアップする	아수라·프리 스케이팅 <color=#ff4dc0>10</color>레벨 달성	อัป [อาสึระ·โรลเลอร์เบลด] ถึงเลเวล <color=#ff4dc0>10</color>
104	2	1403	0	1			517		1	配送<color=#ff4dc0>1</color>单外卖	配送<color=#ff4dc0>1</color>單外賣	Deliver <color=#ff4dc0>1</color> order.	出前を<color=#ff4dc0>1</color>回完了する	배달 <color=#ff4dc0>1</color>회 완료	ส่งเดลิเวอรี่ <color=#ff4dc0>1</color> ออเดอร์
105	1	601	1	10			601		1	累计召唤<color=#ff4dc0>10</color>次	累計召喚<color=#ff4dc0>10</color>次	Make <color=#ff4dc0>10</color> summons in total.	召喚を<color=#ff4dc0>10</color>回行う	소환 누적 <color=#ff4dc0>10</color>회	รับสมัครสะสม <color=#ff4dc0>10</color> ครั้ง
106	1	1410		2			520		1	将餐厅升至<color=#ff4dc0>2</color>级	將餐廳升至<color=#ff4dc0>2</color>級	Upgrade the Cafe to lv.<color=#ff4dc0>2</color>.	レストランを<color=#ff4dc0>Lv.2</color>にレベルアップする	카페테리아 <color=#ff4dc0>2</color>레벨 달성	อัปคาเฟ่ถึงเลเวล <color=#ff4dc0>2</color>
201	1	1213	15	1			701		1	将任意战斗员提升至<color=#ff4dc0>15</color>级	將任意戰鬥員提升至<color=#ff4dc0>15</color>級	Raise any Combatant to lv.<color=#ff4dc0>15</color>.	任意の戦闘員を<color=#ff4dc0>Lv.15</color>にレベルアップする	임의의 전투원 <color=#ff4dc0>15</color>레벨 달성	อัปตัวละครใดก็ได้ให้ถึงเลเวล <color=#ff4dc0>15</color>
202	1	1205	2	1			701		1	将任意战斗员突破<color=#ff4dc0>1</color>次	將任意戰鬥員突破<color=#ff4dc0>1</color>次	Ascend any Combatant <color=#ff4dc0>1 time</color>.	任意の戦闘員を<color=#ff4dc0>1</color>段階突破する	임의의 전투원 <color=#ff4dc0>1</color>회 돌파	ปลดลิมิตตัวละครใดก็ได้ <color=#ff4dc0>1</color> ครั้ง
203	1	1116	1	3			411		1	通关拟真战斗中心-训练中枢<color=#ff4dc0>3</color>层	通關擬真戰鬥中心-訓練中樞<color=#ff4dc0>3</color>層	Clear <color=#ff4dc0>3</color> Floors in SimuBattle Center - Training Hub.	模擬戦闘センター・訓練中枢<color=#ff4dc0>3</color>層をクリアする	시뮬레이션 전투 센터-훈련 허브 <color=#ff4dc0>3</color>층 클리어	ผ่านด่านศูนย์ฝึกจำลองการรบ-ศูนย์การฝึก ชั้นที่ <color=#ff4dc0>3</color>
