id	effectId	effectTimes	menu	goodsConsum	goodsConsumNum	picture	status
int	int	int	int	int	int	int	int
430000	4220001		420500	300003	1518	6:goods_icon_422000	1
430001	4220011		420501	300003	1368	6:goods_icon_422001	1
430002	4220021		420502	300003	1218	6:goods_icon_422002	1
430003	4220031		420503	300003	1218	6:goods_icon_422003	1
430004	4220041		420504	300003	2268	6:goods_icon_422004	1
430005	4220051		420505	300003	2048	6:goods_icon_422005	1
430006	4220061		420506	300003	1818	6:goods_icon_422006	1
430007	4220071		420507	300003	1818	6:goods_icon_422007	1
430008	4220081		420508	300003	1818	6:goods_icon_422008	1
430009	4220091		420509	300003	1818	6:goods_icon_422009	1
430010	4220101		420510	300003	1818	6:goods_icon_422010	1
430011	4220111		420511	300003	1368	6:goods_icon_422011	1
430012	4220121		420512	300003	1368	6:goods_icon_422012	1
430013	4220131		420513	300003	1218	6:goods_icon_422013	1
430014	4220141		420514	300003	1218	6:goods_icon_422014	1
430015	4220151		420515	300003	1668	6:goods_icon_422015	1
430016	4220161		420516	300003	1668	6:goods_icon_422016	1
430017	4220171		420517	300003	1668	6:goods_icon_422017	1
430018	4220181		420518	300003	1668	6:goods_icon_422018	1
430019	4220191		420519	300003	1668	6:goods_icon_422019	1
430020	4220201		420520	300003	1668	6:goods_icon_422020	1
430021	4220211		420521	300003	1368	6:goods_icon_422021	1
430022	4220221		420522	300003	1818	6:goods_icon_422022	1
430023	4220231		420523	300003	1818	6:goods_icon_422023	1
430024	4220241		420524	300003	1818	6:goods_icon_422024	1
