id	activityId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	type	isPermanent	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	2011		4	9000050	200	1		1	在自由探索的跑酷关卡中累计获得4颗星星	在自由探索的跑酷關卡中累計獲得4顆星星	Accumulate 4 stars in the parkour stages of the Free Exploration.	自由探索のパルクールステージで累計で4★を獲得する	자유 탐색 파쿠르 스테이지에서 4★ 누적 획득	ได้รับดาวถึง 4 ดวง ในด่านฟรีรันนิ่งของโหมด "สำรวจอิสระ"
102	1	2011		5	9000050	300	1		1	在自由探索的跑酷关卡中累计获得5颗星星	在自由探索的跑酷關卡中累計獲得5顆星星	Accumulate 5 stars in the parkour stages of the Free Exploration.	自由探索のパルクールステージで累計で5★を獲得する	자유 탐색 파쿠르 스테이지에서 5★ 누적 획득	ได้รับดาวถึง 5 ดวง ในด่านฟรีรันนิ่งของโหมด "สำรวจอิสระ"
103	1	2011		6	9000050	400	1		1	在自由探索的跑酷关卡中累计获得6颗星星	在自由探索的跑酷關卡中累計獲得6顆星星	Accumulate 6 stars in the parkour stages of the Free Exploration.	自由探索のパルクールステージで累計で6★を獲得する	자유 탐색 파쿠르 스테이지에서 6★ 누적 획득	ได้รับดาวถึง 6 ดวง ในด่านฟรีรันนิ่งของโหมด "สำรวจอิสระ"
104	1	2011		7	9000050	500	1		1	在自由探索的跑酷关卡中累计获得7颗星星	在自由探索的跑酷關卡中累計獲得7顆星星	Accumulate 7 stars in the parkour stages of the Free Exploration.	自由探索のパルクールステージで累計で7★を獲得する	자유 탐색 파쿠르 스테이지에서 7★ 누적 획득	ได้รับดาวถึง 7 ดวง ในด่านฟรีรันนิ่งของโหมด "สำรวจอิสระ"
105	1	2011		8	9000050	600	1		1	在自由探索的跑酷关卡中累计获得8颗星星	在自由探索的跑酷關卡中累計獲得8顆星星	Accumulate 8 stars in the parkour stages of the Free Exploration.	自由探索のパルクールステージで累計で8★を獲得する	자유 탐색 파쿠르 스테이지에서 8★ 누적 획득	ได้รับดาวถึง 8 ดวง ในด่านฟรีรันนิ่งของโหมด "สำรวจอิสระ"
106	1	2011		9	9000050	700	1		1	在自由探索的跑酷关卡中累计获得9颗星星	在自由探索的跑酷關卡中累計獲得9顆星星	Accumulate 9 stars in the parkour stages of the Free Exploration.	自由探索のパルクールステージで累計で9★を獲得する	자유 탐색 파쿠르 스테이지에서 9★ 누적 획득	ได้รับดาวถึง 9 ดวง ในด่านฟรีรันนิ่งของโหมด "สำรวจอิสระ"
107	1	2011		10	9000050	800	1		1	在自由探索的跑酷关卡中累计获得10颗星星	在自由探索的跑酷關卡中累計獲得10顆星星	Accumulate 10 stars in the parkour stages of the Free Exploration.	自由探索のパルクールステージで累計で10★を獲得する	자유 탐색 파쿠르 스테이지에서 10★ 누적 획득	ได้รับดาวถึง 10 ดวง ในด่านฟรีรันนิ่งของโหมด "สำรวจอิสระ"
108	1	2011		11	9000050	900	1		1	在自由探索的跑酷关卡中累计获得11颗星星	在自由探索的跑酷關卡中累計獲得11顆星星	Accumulate 11 stars in the parkour stages of the Free Exploration.	自由探索のパルクールステージで累計で11★を獲得する	자유 탐색 파쿠르 스테이지에서 11★ 누적 획득	ได้รับดาวถึง 11 ดวง ในด่านฟรีรันนิ่งของโหมด "สำรวจอิสระ"
109	1	2011		12	9000050	1000	1		1	在自由探索的跑酷关卡中累计获得12颗星星	在自由探索的跑酷關卡中累計獲得12顆星星	Accumulate 12 stars in the parkour stages of the Free Exploration.	自由探索のパルクールステージで累計で12★を獲得する	자유 탐색 파쿠르 스테이지에서 12★ 누적 획득	ได้รับดาวถึง 12 ดวง ในด่านฟรีรันนิ่งของโหมด "สำรวจอิสระ"
