id	activityId	levelId	taskContentType	taskContentId	taskContenNum	starNum	rewardId	rewardNum	status	taskTitle	taskTitle_zh_TW	taskTitle_en_UK	taskTitle_ja_JP	taskTitle_ko_KR	taskTitle_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	120018901	2016	120018901	1	1	9000050	50	1	猫咪以满血的状态通关当前地图	貓咪以滿血的狀態通關當前地圖	Clear the stage while keeping the cat's HP at maximum.	HP満タン状態でステージをクリアする	고양이 HP가 최대일 때 해당 맵 클리어	พาน้องแมวผ่านแผนที่ปัจจุบันด้วยพลังชีวิตเต็มเปี่ยม
102	1	120018901	2009	1200189019000051	30	1	9000050	50	1	在地图中一次性收集30个好梦百合	在地圖中一次性收集30個好夢百合	Collect 30 Night-night Lilies in a single run.	一回の挑戦で吉夢百合を30株集める	맵에서 한번에 30개 드림랜드 백합 수집	รวบรวม​ดอก​ลิลลี่​แห่ง​ฝัน​ใน​แผนที่​ 30​ ชิ้น​ ภายใน​ครั้ง​เดียว​
103	1	120018901	2010	120018901	1	1	9000050	50	1	在不被八哥发现的情况下通关	在不被八哥發現的情況下通關	Complete the map without being detected by the Mynah.	ハッカチョウにバレずにクリアする	구관조에게 발견되지 않고 클리어	ผ่านด่านโดยไม่ถูกนกเอี้ยงปีศาจเจอตัว
201	1	120018902	2016	120018902	1	1	9000050	50	1	猫咪以满血的状态通关当前地图	貓咪以滿血的狀態通關當前地圖	Clear the stage while keeping the cat's HP at maximum.	HP満タン状態でステージをクリアする	고양이 HP가 최대일 때 해당 맵 클리어	พาน้องแมวผ่านแผนที่ปัจจุบันด้วยพลังชีวิตเต็มเปี่ยม
202	1	120018902	2009	1200189029000051	30	1	9000050	50	1	在地图中一次性收集30个好梦百合	在地圖中一次性收集30個好夢百合	Collect 30 Night-night Lilies in a single run.	一回の挑戦で吉夢百合を30株集める	맵에서 한번에 30개 드림랜드 백합 수집	รวบรวม​ดอก​ลิลลี่​แห่ง​ฝัน​ใน​แผนที่​ 30​ ชิ้น​ ภายใน​ครั้ง​เดียว​
203	1	120018902	2010	120018902	1	1	9000050	50	1	在不被八哥发现的情况下通关	在不被八哥發現的情況下通關	Complete the map without being detected by the Mynah.	ハッカチョウにバレずにクリアする	구관조에게 발견되지 않고 클리어	ผ่านด่านโดยไม่ถูกนกเอี้ยงปีศาจเจอตัว
301	1	120018903	2016	120018903	1	1	9000050	50	1	猫咪以满血的状态通关当前地图	貓咪以滿血的狀態通關當前地圖	Clear the stage while keeping the cat's HP at maximum.	HP満タン状態でステージをクリアする	고양이 HP가 최대일 때 해당 맵 클리어	พาน้องแมวผ่านแผนที่ปัจจุบันด้วยพลังชีวิตเต็มเปี่ยม
302	1	120018903	2009	1200189039000051	30	1	9000050	50	1	在地图中一次性收集30个好梦百合	在地圖中一次性收集30個好夢百合	Collect 30 Night-night Lilies in a single run.	一回の挑戦で吉夢百合を30株集める	맵에서 한번에 30개 드림랜드 백합 수집	รวบรวม​ดอก​ลิลลี่​แห่ง​ฝัน​ใน​แผนที่​ 30​ ชิ้น​ ภายใน​ครั้ง​เดียว​
303	1	120018903	2010	120018903	1	1	9000050	50	1	在不被八哥发现的情况下通关	在不被八哥發現的情況下通關	Complete the map without being detected by the Mynah.	ハッカチョウにバレずにクリアする	구관조에게 발견되지 않고 클리어	ผ่านด่านโดยไม่ถูกนกเอี้ยงปีศาจเจอตัว
401	1	120018904	2016	120018904	1	1	9000050	50	1	猫咪以满血的状态通关当前地图	貓咪以滿血的狀態通關當前地圖	Clear the stage while keeping the cat's HP at maximum.	HP満タン状態でステージをクリアする	고양이 HP가 최대일 때 해당 맵 클리어	พาน้องแมวผ่านแผนที่ปัจจุบันด้วยพลังชีวิตเต็มเปี่ยม
402	1	120018904	2009	1200189049000051	50	1	9000050	50	1	在地图中一次性收集50个好梦百合	在地圖中一次性收集50個好夢百合	Collect 50 Night-night Lilies in a single run.	一回の挑戦で吉夢百合を50株集める	맵에서 한번에 50개 드림랜드 백합 수집	รวบรวม​ดอก​ลิลลี่​แห่ง​ฝัน​ใน​แผนที่​ 50​ ชิ้น​ ภายใน​ครั้ง​เดียว​
403	1	120018904	2010	120018904	1	1	9000050	50	1	在不被八哥发现的情况下通关	在不被八哥發現的情況下通關	Complete the map without being detected by the Mynah.	ハッカチョウにバレずにクリアする	구관조에게 발견되지 않고 클리어	ผ่านด่านโดยไม่ถูกนกเอี้ยงปีศาจเจอตัว
501	1	120018905	2016	120018905	1	1	9000050	50	1	猫咪以满血的状态通关当前地图	貓咪以滿血的狀態通關當前地圖	Clear the stage while keeping the cat's HP at maximum.	HP満タン状態でステージをクリアする	고양이 HP가 최대일 때 해당 맵 클리어	พาน้องแมวผ่านแผนที่ปัจจุบันด้วยพลังชีวิตเต็มเปี่ยม
502	1	120018905	2009	1200189059000051	50	1	9000050	50	1	在地图中一次性收集50个好梦百合	在地圖中一次性收集50個好夢百合	Collect 50 Night-night Lilies in a single run.	一回の挑戦で吉夢百合を50株集める	맵에서 한번에 50개 드림랜드 백합 수집	รวบรวม​ดอก​ลิลลี่​แห่ง​ฝัน​ใน​แผนที่​ 50​ ชิ้น​ ภายใน​ครั้ง​เดียว​
503	1	120018905	2010	120018905	1	1	9000050	50	1	在不被八哥发现的情况下通关	在不被八哥發現的情況下通關	Complete the map without being detected by the Mynah.	ハッカチョウにバレずにクリアする	구관조에게 발견되지 않고 클리어	ผ่านด่านโดยไม่ถูกนกเอี้ยงปีศาจเจอตัว
