id	regularReward	regularRewardNum	fristRewards	fristRewardsNum	showItem	showItemNum	showItemTag	status
int	int	int	int	int	int	int	int	int
120018101			9000050	100	9000050	100	3	1
120018105			9000050	100	9000050	100	3	1
120018107			9000050	100	9000050	100	3	1
120018108			9000050	100	9000050	100	3	1
120018109			9000050	100	9000050	100	3	1
120018110			9000050	100	9000050	100	3	1
120018111			9000050	100	9000050	100	3	1
120018112			9000050	100	9000050	100	3	1
120018113			9000050	100	9000050	100	3	1
120018114			9000050	100	9000050	100	3	1
