id	chapterId	monsteType	type	unlockNum	level	exp	cardExp	plotId	opportunity	proposalLevel	SceneId	rounds	petLineup	roleNun	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
4000101	101	1	2	0	0	0	0		0	50000	10901	99	101	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000102	101	1	2	0	0	0	0		0	60000	11001	99	101	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000103	101	1	2	0	0	0	0		0	70000	10901	99	101	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000104	101	1	1	0	0	0	0	3001010	0	2700	10901	99	101	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000105	101	1	1	0	0	0	0	3001020	0	2700	10901	99	101	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000201	102	1	2	0	0	0	0	0	0	80000	11001	99	102	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000202	102	1	2	0	0	0	0	0	0	90000	11001	99	102	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000203	102	1	2	0	0	0	0	0	0	100000	10901	99	102	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000204	102	1	2	0	0	0	0	0	0	110000	10901	99	102	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000205	102	1	1	0	0	0	0	3001040	0	2700	10901	99	102	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000206	102	1	1	0	0	0	0	3001050	0	2700	10901	99	102	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000301	103	1	2	0	0	0	0	0	0	110000	11001	99	103	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000302	103	1	2	0	0	0	0	0	0	115000	10901	99	103	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000303	103	1	2	0	0	0	0	0	0	120000	11001	99	103	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000304	103	1	2	0	0	0	0	0	0	125000	10901	99	103	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000305	103	1	2	0	0	0	0	0	0	130000	11001	99	103	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000306	103	1	1	0	0	0	0	3001080	0	2700	10901	99	103	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
4000307	103	1	1	0	0	0	0	3001090	0	2700	10901	99	103	4	1							竹野熊踪	竹野熊蹤	Bamboo Trek	パンダの足跡を辿って	판다의 세상 여행	มุ่งหน้าสู่ป่าไผ่
