id	posX	posY	canMove	status	mapId
int	int	int	int	int	int
101_1	1	4	0	1	101
101_2	2	4	0	1	101
101_3	3	4	0	1	101
101_4	4	4	0	1	101
101_5	5	4	0	1	101
101_6	6	4	1	1	101
101_7	7	4	0	1	101
101_8	8	4	0	1	101
101_9	9	4	0	1	101
101_10	10	4	0	1	101
101_11	1	3	1	1	101
101_12	2	3	1	1	101
101_13	3	3	0	1	101
101_14	4	3	0	1	101
101_15	5	3	1	1	101
101_16	6	3	1	1	101
101_17	7	3	1	1	101
101_18	8	3	0	1	101
101_19	9	3	1	1	101
101_20	10	3	1	1	101
101_21	1	2	1	1	101
101_22	2	2	1	1	101
101_23	3	2	1	1	101
101_24	4	2	1	1	101
101_25	5	2	1	1	101
101_26	6	2	1	1	101
101_27	7	2	1	1	101
101_28	8	2	1	1	101
101_29	9	2	1	1	101
101_30	10	2	1	1	101
101_31	1	1	1	1	101
101_32	2	1	1	1	101
101_33	3	1	0	1	101
101_34	4	1	0	1	101
101_35	5	1	1	1	101
101_36	6	1	1	1	101
101_37	7	1	0	1	101
101_38	8	1	0	1	101
101_39	9	1	0	1	101
101_40	10	1	0	1	101
102_1	1	4	1	1	102
102_2	2	4	0	1	102
102_3	3	4	0	1	102
102_4	4	4	1	1	102
102_5	5	4	0	1	102
102_6	6	4	1	1	102
102_7	7	4	1	1	102
102_8	8	4	1	1	102
102_9	9	4	1	1	102
102_10	10	4	1	1	102
102_11	1	3	1	1	102
102_12	2	3	0	1	102
102_13	3	3	1	1	102
102_14	4	3	1	1	102
102_15	5	3	1	1	102
102_16	6	3	1	1	102
102_17	7	3	0	1	102
102_18	8	3	0	1	102
102_19	9	3	1	1	102
102_20	10	3	0	1	102
102_21	1	2	1	1	102
102_22	2	2	0	1	102
102_23	3	2	1	1	102
102_24	4	2	0	1	102
102_25	5	2	0	1	102
102_26	6	2	0	1	102
102_27	7	2	0	1	102
102_28	8	2	0	1	102
102_29	9	2	1	1	102
102_30	10	2	0	1	102
102_31	1	1	1	1	102
102_32	2	1	1	1	102
102_33	3	1	1	1	102
102_34	4	1	0	1	102
102_35	5	1	0	1	102
102_36	6	1	1	1	102
102_37	7	1	1	1	102
102_38	8	1	1	1	102
102_39	9	1	1	1	102
102_40	10	1	1	1	102
103_1	1	4	1	1	103
103_2	2	4	0	1	103
103_3	3	4	0	1	103
103_4	4	4	0	1	103
103_5	5	4	1	1	103
103_6	6	4	0	1	103
103_7	7	4	1	1	103
103_8	8	4	0	1	103
103_9	9	4	1	1	103
103_10	10	4	1	1	103
103_11	1	3	1	1	103
103_12	2	3	1	1	103
103_13	3	3	0	1	103
103_14	4	3	0	1	103
103_15	5	3	1	1	103
103_16	6	3	1	1	103
103_17	7	3	1	1	103
103_18	8	3	0	1	103
103_19	9	3	1	1	103
103_20	10	3	1	1	103
103_21	1	2	1	1	103
103_22	2	2	0	1	103
103_23	3	2	1	1	103
103_24	4	2	1	1	103
103_25	5	2	1	1	103
103_26	6	2	1	1	103
103_27	7	2	0	1	103
103_28	8	2	0	1	103
103_29	9	2	1	1	103
103_30	10	2	0	1	103
103_31	1	1	1	1	103
103_32	2	1	0	1	103
103_33	3	1	1	1	103
103_34	4	1	0	1	103
103_35	5	1	0	1	103
103_36	6	1	1	1	103
103_37	7	1	1	1	103
103_38	8	1	0	1	103
103_39	9	1	0	1	103
103_40	10	1	1	1	103
104_1	1	4	1	1	104
104_2	2	4	1	1	104
104_3	3	4	1	1	104
104_4	4	4	0	1	104
104_5	5	4	1	1	104
104_6	6	4	1	1	104
104_7	7	4	1	1	104
104_8	8	4	1	1	104
104_9	9	4	1	1	104
104_10	10	4	1	1	104
104_11	1	3	1	1	104
104_12	2	3	1	1	104
104_13	3	3	0	1	104
104_14	4	3	0	1	104
104_15	5	3	0	1	104
104_16	6	3	1	1	104
104_17	7	3	1	1	104
104_18	8	3	0	1	104
104_19	9	3	1	1	104
104_20	10	3	1	1	104
104_21	1	2	1	1	104
104_22	2	2	0	1	104
104_23	3	2	0	1	104
104_24	4	2	0	1	104
104_25	5	2	1	1	104
104_26	6	2	1	1	104
104_27	7	2	0	1	104
104_28	8	2	0	1	104
104_29	9	2	0	1	104
104_30	10	2	0	1	104
104_31	1	1	1	1	104
104_32	2	1	1	1	104
104_33	3	1	1	1	104
104_34	4	1	1	1	104
104_35	5	1	0	1	104
104_36	6	1	1	1	104
104_37	7	1	1	1	104
104_38	8	1	0	1	104
104_39	9	1	1	1	104
104_40	10	1	1	1	104
105_1	1	4	1	1	105
105_2	2	4	0	1	105
105_3	3	4	0	1	105
105_4	4	4	0	1	105
105_5	5	4	0	1	105
105_6	6	4	0	1	105
105_7	7	4	1	1	105
105_8	8	4	0	1	105
