id	chapter	type	wave	ceilId	clearTag	unlockNode	regionId	addStatus	addWave	tigger	model	openConfirm	status	tips	tips_zh_TW	tips_en_UK	tips_ja_JP	tips_ko_KR	tips_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10101	101	1	0	101_11					0			0	1	这里只是空地	這裡只是空地	This is just an empty lot.	ただの空き地です。	여기는 단순한 공터입니다	ที่นี่เป็นพื้นที่ว่าง
10102	101	2	0	101_24			4000101		1	101001	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10103	101	2	0	101_6			4000102		1	101002	2	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10104	101	3	4	101_20			4000103		0	101003	1	1	1	有傀出现，要战斗吗？	有傀出現，要戰鬥嗎？	An Anomaly has appeared. Shall we engage in battle?	傀が現れました、戦闘しますか？	괴수가 나타났습니다. 싸우시겠습니까?	หุ่นเชิด​ปรากฏตัว​ ต้องการ​เข้า​สู้​หรือไม่​?​
10108	101	0	0	101_1					0		34	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10109	101	0	0	101_2					0		34	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10110	101	0	0	101_3					0		31	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10111	101	0	0	101_4					0		34	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10112	101	0	0	101_5					0		32	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10113	101	0	0	101_7					0		34	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
10114	101	0	0	101_8					0		33	0	1	该地点无法前往	該地點無法前往	You cannot proceed to this place.	現在は移動できません。	이 장소는 접근할 수 없습니다	ไม่​สามารถ​ไป​สถานที่​นี้​ได้​
