id	group	changeType	changeTarget	changeNum	status
int	int	int	int	int	int
1	101001	2	10102	0	1
2	101002	2	10103	0	1
3	101003	2	10104	0	1
4	101004	2	10130	0	1
5	101005	2	10131	0	1
6	102001	2	10202	0	1
7	102002	2	10203	0	1
8	102003	2	10204	0	1
9	102004	2	10205	0	1
10	102005	2	10208	0	1
11	102006	2	10230	0	1
12	102007	2	10231	0	1
13	103001	2	10302	0	1
14	103002	2	10303	0	1
15	103003	2	10304	0	1
16	103004	2	10305	0	1
17	103005	2	10306	0	1
18	103006	2	10307	0	1
19	103007	2	10308	0	1
20	103001	1	103_22	1	1
21	103002	1	103_18	1	1
22	103003	1	103_39	1	1
23	103001	2	10318	0	1
24	103002	2	10317	0	1
25	103003	2	10326	0	1
26	103008	2	10330	0	1
27	103009	2	10331	0	1
28	104001	2	10402	0	1
29	104002	2	10403	0	1
30	104003	2	10404	0	1
31	104004	2	10405	0	1
32	104005	2	10406	0	1
33	104006	2	10407	0	1
34	104007	2	10408	0	1
35	104008	2	10409	0	1
36	104001	1	104_4	1	1
37	104002	1	104_29	1	1
38	104001	2	10410	0	1
39	104002	2	10420	0	1
40	104009	2	10430	0	1
41	104010	2	10431	0	1
42	104011	2	10432	0	1
43	105001	2	10502	0	1
44	105002	2	10503	0	1
45	105003	2	10504	0	1
46	105004	2	10505	0	1
47	105005	2	10506	0	1
48	105006	2	10507	0	1
49	105003	2	10520	0	1
50	105003	1	105_24	1	1
51	105002	2	10525	0	1
52	105002	1	105_36	1	1
53	105004	2	10513	0	1
54	105004	1	105_8	1	1
55	105007	2	15030	0	1
56	105008	2	15031	0	1
57	105009	2	15032	0	1
58	105010	2	15033	0	1
59	105011	2	15034	0	1
60	106001	2	10602	0	1
61	106002	2	10603	0	1
62	106003	2	10604	0	1
63	106004	2	10605	0	1
64	106005	2	10606	0	1
65	106006	2	10608	0	1
66	106007	2	10609	0	1
67	106003	1	106_32	1	1
68	106003	2	10622	0	1
69	106004	1	106_18	1	1
70	106004	2	10616	0	1
71	106008	2	10630	0	1
72	106009	2	10631	0	1
73	106010	2	10632	0	1
74	107001	2	10702	0	1
75	107002	2	10703	0	1
76	107003	2	10704	0	1
77	107004	2	10705	0	1
78	107005	2	10706	0	1
79	107006	2	10707	0	1
80	107007	2	10708	0	1
81	107003	2	10715	0	1
82	107003	1	107_13	1	1
83	107008	2	10730	0	1
84	108001	2	10802	0	1
85	108002	2	10803	0	1
86	108003	2	10804	0	1
87	108004	2	10805	0	1
88	108005	2	10806	0	1
89	108006	2	10807	0	1
90	108007	2	10808	0	1
91	108001	1	108_22	1	1
92	108001	2	10815	0	1
93	108004	1	108_29	1	1
94	108004	2	10817	0	1
95	108005	1	108_8	1	1
96	108005	2	10810	0	1
97	108008	2	10830	0	1
98	108009	2	10831	0	1
99	108010	2	10832	0	1
