id	regularReward	regularRewardNum	rareReward	rareRewardRandom	rareRewardMinNum	rareRewardMaxNum	rareRewardShow	rareRewardShowNum	fristRewards	fristRewardsNum	starRewardId	starRewardNum	energy	showItem	showItemTag	showItemNum	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
4005101	9000040	500							9000040	500				9000040	3	80	1
4005102	9000040	550							9000040	550				9000040	3	80	1
4005103	9000040	600							9000040	600				9000040	3	80	1
4005104	9000040	650							9000040	650				9000040	3	80	1
4005105	9000040	700							9000040	700				9000040	3	80	1
4005201	9000040	750							9000040	750				9000040	3	80	1
4005202	9000040	800							9000040	800				9000040	3	80	1
4005203	9000040	850							9000040	850				9000040	3	80	1
4005204	9000040	900							9000040	900				9000040	3	80	1
4005205	9000040	950							9000040	950				9000040	3	80	1
4005301	9000040	1000							9000040	1000				9000040	3	80	1
4005302	9000040	1050							9000040	1050				9000040	3	80	1
4005303	9000040	1100							9000040	1100				9000040	3	80	1
4005304	9000040	1150							9000040	1150				9000040	3	80	1
4005305	9000040	1200							9000040	1200				9000040	3	80	1
