id	itemId	level	addType	buffId	costItem	costItemNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
120025011	12002501	1	0	120025011	9000067	0	1	入场证	入場證	Entry Pass	入場証	입장증	บัตรผ่านเข้างาน	基础攻击力+20%	基礎攻擊力+20%	Base ATK +20%	基本攻撃力+20%	기본 공격력+20%	ATK พื้นฐาน +20%
120025012	12002501	2	0	120025012	9000067	1000	1	入场证	入場證	Entry Pass	入場証	입장증	บัตรผ่านเข้างาน	基础攻击力+32%	基礎攻擊力+32%	Base ATK +32%	基本攻撃力+32%	기본 공격력+32%	ATK พื้นฐาน +32%
120025013	12002501	3	0	120025013	9000067	1500	1	入场证	入場證	Entry Pass	入場証	입장증	บัตรผ่านเข้างาน	基础攻击力+43%	基礎攻擊力+43%	Base ATK +43%	基本攻撃力+43%	기본 공격력+43%	ATK พื้นฐาน +43%
120025014	12002501	4	0	120025014	9000067	2000	1	入场证	入場證	Entry Pass	入場証	입장증	บัตรผ่านเข้างาน	基础攻击力+55%	基礎攻擊力+55%	Base ATK +55%	基本攻撃力+55%	기본 공격력+55%	ATK พื้นฐาน +55%
120025015	12002501	5	0	120025015	9000067	2500	1	入场证	入場證	Entry Pass	入場証	입장증	บัตรผ่านเข้างาน	基础攻击力+67%	基礎攻擊力+67%	Base ATK +67%	基本攻撃力+67%	기본 공격력+67%	ATK พื้นฐาน +67%
120025016	12002501	6	0	120025016	9000067	3500	1	入场证	入場證	Entry Pass	入場証	입장증	บัตรผ่านเข้างาน	基础攻击力+90%	基礎攻擊力+90%	Base ATK +90%	基本攻撃力+90%	기본 공격력+90%	ATK พื้นฐาน +90%
120025021	12002502	1	0	120025021	9000067	0	1	咖啡杯	咖啡杯	Coffee Cup	コーヒーカップ	커피 컵	แก้วกาแฟ	基础防御力+20%	基礎防禦力+20%	Base DEF +20%	基本防御力＋20%	기본 방어력 +20%	DEF พื้นฐาน +20%
120025022	12002502	2	0	120025022	9000067	1000	1	咖啡杯	咖啡杯	Coffee Cup	コーヒーカップ	커피 컵	แก้วกาแฟ	基础防御力+32%	基礎防禦力+32%	Base DEF +32%	基本防御力+32%	기본 방어력+32%	DEF พื้นฐาน +32%
120025023	12002502	3	0	120025023	9000067	1500	1	咖啡杯	咖啡杯	Coffee Cup	コーヒーカップ	커피 컵	แก้วกาแฟ	基础防御力+43%	基礎防禦力+43%	Base DEF +43%	基本防御力+43%	기본 방어력+43%	DEF พื้นฐาน +43%
120025024	12002502	4	0	120025024	9000067	2000	1	咖啡杯	咖啡杯	Coffee Cup	コーヒーカップ	커피 컵	แก้วกาแฟ	基础防御力+55%	基礎防禦力+55%	Base DEF +55%	基本防御力+55%	기본 방어력+55%	DEF พื้นฐาน +55%
120025025	12002502	5	0	120025025	9000067	2500	1	咖啡杯	咖啡杯	Coffee Cup	コーヒーカップ	커피 컵	แก้วกาแฟ	基础防御力+67%	基礎防禦力+67%	Base DEF +67%	基本防御力+67%	기본 방어력+67%	DEF พื้นฐาน +67%
120025026	12002502	6	0	120025026	9000067	3500	1	咖啡杯	咖啡杯	Coffee Cup	コーヒーカップ	커피 컵	แก้วกาแฟ	基础防御力+90%	基礎防禦力+90%	Base DEF +90%	基本防御力+90%	기본 방어력+90%	DEF พื้นฐาน +90%
120025031	12002503	1	0	120025031	9000067	0	1	密卷	密卷	Secret Scroll	秘巻	비밀 문서	คัมภีร์ลับ	基础生命值+20%	基礎生命值+20%	Base HP +20%	基本最大HP＋20%	기본 HP +20%	HP พื้นฐาน +20%
120025032	12002503	2	0	120025032	9000067	1000	1	密卷	密卷	Secret Scroll	秘巻	비밀 문서	คัมภีร์ลับ	基础生命值+32%	基礎生命值+32%	Base HP +32%	基本最大HP+32%	기본 HP+32%	HP พื้นฐาน +32%
120025033	12002503	3	0	120025033	9000067	1500	1	密卷	密卷	Secret Scroll	秘巻	비밀 문서	คัมภีร์ลับ	基础生命值+43%	基礎生命值+43%	Base HP +43%	基本最大HP+43%	기본 HP+43%	HP พื้นฐาน +43%
120025034	12002503	4	0	120025034	9000067	2000	1	密卷	密卷	Secret Scroll	秘巻	비밀 문서	คัมภีร์ลับ	基础生命值+55%	基礎生命值+55%	Base HP +55%	基本最大HP+55%	기본 HP+55%	HP พื้นฐาน +55%
120025035	12002503	5	0	120025035	9000067	2500	1	密卷	密卷	Secret Scroll	秘巻	비밀 문서	คัมภีร์ลับ	基础生命值+67%	基礎生命值+67%	Base HP +67%	基本最大HP+67%	기본 HP+67%	HP พื้นฐาน +67%
