id	activeId	storey	monsteType	nextLevel	unlockNum	exp	cardExp	costItem	costNum	costNumLose	proposalLevel	SceneId	rounds	roleNun	battleRules	powerMin	powerTeamMin	showMonster	powerRatioTeamID	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12002501	1	1	1	12002502	0	0	0	3000004	0	0	45000	17801	8	4		1790	56000	31002005	20	1												
12002502	1	2	1	12002503	12002501	0	0	3000004	0	0	68100	17801	8	4		1850	58000	31003005	20	1												
12002503	1	3	1	12002504	12002502	0	0	3000004	0	0	91200	17801	8	4		1850	64000	31004005	20	1												
12002504	1	4	1	12002505	12002503	0	0	3000004	0	0	114300	17801	8	4		1910	68000	31014005	20	1												
12002505	1	5	3	12002506	12002504	0	0	3000004	0	0	137400	17801	8	4		2030	74000	34051002	20	1												
12002506	1	6	1	12002507	12002505	0	0	3000004	0	0	160500	17801	8	4		2090	82000	31007005	20	1												
12002507	1	7	1	12002508	12002506	0	0	3000004	0	0	183600	17801	8	4		2150	83000	31009005	20	1												
12002508	1	8	1	12002509	12002507	0	0	3000004	0	0	206700	17801	8	4		2210	89000	31024005	20	1												
12002509	1	9	1	12002510	12002508	0	0	3000004	0	0	229800	17801	8	4		2330	92000	31026005	20	1												
12002510	1	10	2	12002511	12002509	0	0	3000004	0	0	252900	17801	10	4		2450	103110	34051002	20	1												
12002511	1	11	1	12002512	12002510	0	0	3000004	0	0	276000	17801	8	4		2510	105000	31020005	20	1												
12002512	1	12	1	12002513	12002511	0	0	3000004	0	0	299100	17801	8	4		2630	109400	31005005	20	1												
12002513	1	13	1	12002514	12002512	0	0	3000004	0	0	322200	17801	8	4		2690	114000	31006005	20	1												
12002514	1	14	1	12002515	12002513	0	0	3000004	0	0	345300	17801	8	4		2810	124200	31012005	20	1												
12002515	1	15	3	12002516	12002514	0	0	3000004	0	0	368400	17801	8	4		2930	130500	34051002	20	1												
12002516	1	16	1	12002517	12002515	0	0	3000004	0	0	391500	17801	8	4		3050	143000	31021005	20	1												
12002517	1	17	1	12002518	12002516	0	0	3000004	0	0	414600	17801	8	4		3170	148000	31022005	20	1												
12002518	1	18	1	12002519	12002517	0	0	3000004	0	0	437700	17801	8	4		3290	157000	31023005	20	1												
