id	type	exp	fristRewards	fristRewardsNum	regularReward	regularRewardNum	showItem	showItemTag	showItemNum	status
int	int	int	int	int	int	int	int	int	int	int
12002501	1	0	9000068;9012012;3000003	100;200;50000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;50000;100	1
12002502	1	0	9000068;4110001;3000003	100;5;52500	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;52500;100	1
12002503	1	0	9000068;9012012;3000003	100;200;55000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;55000;100	1
12002504	1	0	9000068;4110001;3000003	100;5;57500	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;57500;100	1
12002505	1	0	4190004;9000068;3000003	100;100;60000	9000067	100	4190004;9000068;3000003;9000067	3;3;3;1	100;100;60000;100	1
12002506	1	0	9000068;9012012;3000003	100;200;62000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;62000;100	1
12002507	1	0	9000068;4110001;3000003	100;5;64000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;64000;100	1
12002508	1	0	9000068;9012012;3000003	100;200;66000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;66000;100	1
12002509	1	0	9000068;4110001;3000003	100;5;68000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;68000;100	1
12002510	1	0	4190004;4100032;3000003	100;5;70000	9000067	100	4190004;4100032;3000003;9000067	3;3;3;1	100;5;70000;100	1
12002511	1	0	9000068;9012012;3000003	100;200;72000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;72000;100	1
12002512	1	0	9000068;4110001;3000003	100;5;74000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;74000;100	1
12002513	1	0	9000068;9012012;3000003	100;200;76000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;76000;100	1
12002514	1	0	9000068;4110001;3000003	100;5;78000	9000067	100	9000068;4110001;3000003;9000067	3;3;3;1	100;5;78000;100	1
12002515	1	0	4190004;9000068;3000003	100;100;80000	9000067	100	4190004;9000068;3000003;9000067	3;3;3;1	100;100;80000;100	1
12002516	1	0	9000068;9012012;3000003	100;200;82000	9000067	100	9000068;9012012;3000003;9000067	3;3;3;1	100;200;82000;100	1
