id	type	showType	quality	stack	openType	openParameter	photoId	prefab	animationTime	effectType	effectId	effectNum	status	steamStatus
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
310001	31	311	3	1	0	0	77:chat_expression_310001			0	0	0	1	1
310002	31	311	3	1	0	0	77:chat_expression_310002			0	0	0	1	1
310003	31	311	3	1	0	0	77:chat_expression_310003			0	0	0	1	1
310004	31	311	3	1	0	0	77:chat_expression_310004			0	0	0	1	1
310005	31	311	3	1	0	0	77:chat_expression_310005			0	0	0	1	1
310006	31	311	3	1	0	0	77:chat_expression_310006			0	0	0	1	1
310007	31	311	3	1	0	0	77:chat_expression_310007			0	0	0	1	1
310008	31	311	3	1	0	0	77:chat_expression_310008			0	0	0	1	1
310009	31	311	3	1	0	0	77:chat_expression_310009			0	0	0	1	1
310010	31	311	3	1	0	0	77:chat_expression_310010			0	0	0	1	1
310011	31	311	3	1	0	0	77:chat_expression_310011			0	0	0	1	1
310012	31	311	3	1	0	0	77:chat_expression_310012			0	0	0	1	1
310013	31	311	3	1	0	0	77:chat_expression_310013			0	0	0	1	1
310014	31	311	3	1	0	0	77:chat_expression_310014			0	0	0	1	1
310015	31	311	3	1	0	0	77:chat_expression_310015			0	0	0	1	1
310016	31	311	3	1	0	0	77:chat_expression_310016			0	0	0	1	1
310017	31	311	3	1	0	0	77:chat_expression_310017			0	0	0	1	1
310018	31	311	3	1	0	0	77:chat_expression_310018			0	0	0	1	1
310019	31	311	3	1	0	0	77:chat_expression_310019			0	0	0	1	1
310020	31	311	3	1	0	0	77:chat_expression_310020			0	0	0	1	1
310021	31	311	3	1	0	0	77:chat_expression_310021			0	0	0	1	1
310022	31	311	3	1	0	0	77:chat_expression_310022			0	0	0	1	1
310023	31	311	3	1	0	0	77:chat_expression_310023			0	0	0	1	1
310024	31	311	3	1	0	0	77:chat_expression_310024			0	0	0	1	1
310025	31	311	3	1	0	0	77:chat_expression_310025			0	0	0	1	1
310026	31	311	3	1	0	0	77:chat_expression_310026			0	0	0	1	1
310027	31	311	3	1	0	0	77:chat_expression_310027			0	0	0	1	1
310028	31	311	3	1	0	0	77:chat_expression_310028			0	0	0	1	1
310029	31	311	3	1	0	0	77:chat_expression_310029			0	0	0	1	1
310030	31	311	3	1	0	0	77:chat_expression_310030			0	0	0	1	1
310031	31	311	3	1	0	0	77:chat_expression_310031			0	0	0	1	1
310032	31	311	3	1	0	0	77:chat_expression_310032			0	0	0	1	1
