id	type	showType	quality	stack	sellitem	sellMoney	openType	openParameter	photoId	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
4010111	40	401	1	1	0	0			7:goods_icon_4010111	0	0	0	1	进攻套-头饰	進攻套-頭飾	Offense Set - Headpiece	攻撃装飾・頭部	공격 세트 - 머리 장식	เซ็ตโจมตี - ประดับหัว	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP	4件套：攻击力 +20%	4件套：攻擊力 +20%	4-Piece Set: ATK +20%	4セット:攻撃力＋20%	4세트: 공격력 +20%	เซ็ต 4 ชิ้น: ATK +20%
4010112	40	401	1	1	0	0			7:goods_icon_4010112	0	0	0	1	进攻套-耳饰	進攻套-耳飾	Offense Set - Earrings	攻撃装飾・耳	공격 세트 - 귀 장식	เซ็ตโจมตี - ต่างหู	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP	4件套：攻击力 +20%	4件套：攻擊力 +20%	4-Piece Set: ATK +20%	4セット:攻撃力＋20%	4세트: 공격력 +20%	เซ็ต 4 ชิ้น: ATK +20%
4010113	40	401	1	1	0	0			7:goods_icon_4010113	0	0	0	1	进攻套-颈环	進攻套-頸環	Offense Set - Necklace	攻撃装飾・首	공격 세트 - 목걸이	เซ็ตโจมตี - ปลอกคอ	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน	4件套：攻击力 +20%	4件套：攻擊力 +20%	4-Piece Set: ATK +20%	4セット:攻撃力＋20%	4세트: 공격력 +20%	เซ็ต 4 ชิ้น: ATK +20%
4010114	40	401	1	1	0	0			7:goods_icon_4010114	0	0	0	1	进攻套-尾饰	進攻套-尾飾	Offense Set - Tailpiece	攻撃装飾・尻尾	공격 세트 - 꼬리 장식	เซ็ตโจมตี - ประดับหาง	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน	4件套：攻击力 +20%	4件套：攻擊力 +20%	4-Piece Set: ATK +20%	4セット:攻撃力＋20%	4세트: 공격력 +20%	เซ็ต 4 ชิ้น: ATK +20%
4010115	40	401	1	1	0	0			7:goods_icon_4010115	0	0	0	1	进攻套-嘴套	進攻套-嘴套	Offense Set - Mouthpiece	攻撃装飾・顔	공격 세트 - 마스크	เซ็ตโจมตี - ส่วนปาก	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี	4件套：攻击力 +20%	4件套：攻擊力 +20%	4-Piece Set: ATK +20%	4セット:攻撃力＋20%	4세트: 공격력 +20%	เซ็ต 4 ชิ้น: ATK +20%
4010116	40	401	1	1	0	0			7:goods_icon_4010116	0	0	0	1	进攻套-爪饰	進攻套-爪飾	Offense Set - Claws	攻撃装飾・爪	공격 세트 - 장갑	เซ็ตโจมตี - กรงเล็บ	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี	4件套：攻击力 +20%	4件套：攻擊力 +20%	4-Piece Set: ATK +20%	4セット:攻撃力＋20%	4세트: 공격력 +20%	เซ็ต 4 ชิ้น: ATK +20%
4010121	40	401	2	1	0	0			7:goods_icon_4010121	0	0	0	1	进攻套-头饰	進攻套-頭飾	Offense Set - Headpiece	攻撃装飾・頭部	공격 세트 - 머리 장식	เซ็ตโจมตี - ประดับหัว	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP	4件套：攻击力 +20%	4件套：攻擊力 +20%	4-Piece Set: ATK +20%	4セット:攻撃力＋20%	4세트: 공격력 +20%	เซ็ต 4 ชิ้น: ATK +20%
4010122	40	401	2	1	0	0			7:goods_icon_4010122	0	0	0	1	进攻套-耳饰	進攻套-耳飾	Offense Set - Earrings	攻撃装飾・耳	공격 세트 - 귀 장식	เซ็ตโจมตี - ต่างหู	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP	4件套：攻击力 +20%	4件套：攻擊力 +20%	4-Piece Set: ATK +20%	4セット:攻撃力＋20%	4세트: 공격력 +20%	เซ็ต 4 ชิ้น: ATK +20%
4010123	40	401	2	1	0	0			7:goods_icon_4010123	0	0	0	1	进攻套-颈环	進攻套-頸環	Offense Set - Necklace	攻撃装飾・首	공격 세트 - 목걸이	เซ็ตโจมตี - ปลอกคอ	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน	4件套：攻击力 +20%	4件套：攻擊力 +20%	4-Piece Set: ATK +20%	4セット:攻撃力＋20%	4세트: 공격력 +20%	เซ็ต 4 ชิ้น: ATK +20%
4010124	40	401	2	1	0	0			7:goods_icon_4010124	0	0	0	1	进攻套-尾饰	進攻套-尾飾	Offense Set - Tailpiece	攻撃装飾・尻尾	공격 세트 - 꼬리 장식	เซ็ตโจมตี - ประดับหาง	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน	4件套：攻击力 +20%	4件套：攻擊力 +20%	4-Piece Set: ATK +20%	4セット:攻撃力＋20%	4세트: 공격력 +20%	เซ็ต 4 ชิ้น: ATK +20%
4010125	40	401	2	1	0	0			7:goods_icon_4010125	0	0	0	1	进攻套-嘴套	進攻套-嘴套	Offense Set - Mouthpiece	攻撃装飾・顔	공격 세트 - 마스크	เซ็ตโจมตี - ส่วนปาก	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี	4件套：攻击力 +20%	4件套：攻擊力 +20%	4-Piece Set: ATK +20%	4セット:攻撃力＋20%	4세트: 공격력 +20%	เซ็ต 4 ชิ้น: ATK +20%
