id	type	showType	quality	stack	openType	openParameter	photoId	bagUsed	redPoint	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
5200001	52	521	5	-1	0	0	6:goods_icon_520001	1	0	206	4102101;4102201;4102301;4102401;4102501	10;10;10;10;10	1	测试数据1	測試資料1	Test Data 1	/	테스트 데이터 1	ข้อมูลทดสอบ 1							指定的机会是珍贵的，请调查官好好把握。	指定的機會是珍貴的，請調查官好好把握。	A rare opportunity awaits, Inspector. Seize it while you can.	指定の機会は貴重です、最大限に活用してください。	소중한 기회가 왔습니다. 조사관께선 잘 붙잡으시기 바랍니다.	โอกาส​ไว้​นั้น​มีค่า​ คุณ​ผู้ตรวจการ​ใช้​ให้​เกิด​ประโยชน์​สูงสุด​นะ​
5200002	52	521	5	-1	0	0	6:goods_icon_520002	1	0	206	101018;102013;103006;104007	1;1;1;1	1	测试数据2	測試資料2	Test Data 2	/	테스트 데이터 2	ข้อมูลทดสอบ 2	打开可在【非天·茂林余音】【艾可·暴走炮手】【特莉丝·疯人院】【南弥生·浪花约会】中选择一个获得。	打開可在【非天·茂林餘音】【艾可·暴走炮手】【特莉絲·瘋人院】【南彌生·浪花約會】中選擇一個獲得。	Select from the following options: [Asura: Emerald Tune], [Echo: Berserk Gunner], [Triss: Bedlam], or [Minami: Waves & Rides].	Pending打开可在【非天·茂林余音】【艾可·暴走炮手】【特莉丝·疯人院】【南弥生·浪花约会】中选择一个获得。	오픈 시 [아수라 - 무림의 여운] [에코 - 폭주 거너] [트리스 - 정신병동] [미나미 - 물보라 데이트] 중 하나를 선택하여 획득할 수 있다.	เมื่อ​เปิด​จะ​สามารถ​เลือก​รับ​ระหว่าง​ [​อา​สึ​ระ​·​บทเพลง​พฤกษา​]​ ; [​เอ​ค​โค​·​พลปืนกระสุนคลั่ง​] ;​ [​ท​ริ​ส​·​บุปผา​แห่ง​ความวุ่นวาย​] ;​ [​มิ​นา​มิ​·​เกลียวคลื่นแห่งรัก​]​ ได้​ 1​ คน​	总部紧急调度了一批武装进行统一发放，请调查官查收。	總部緊急調度了一批戰鬥員進行統一發放，請調查官查收。	Headquarters has dispatched a critical shipment of armaments. Review the attached items, Inspector.	Pending总部紧急调度了一批武装进行统一发放，请調査官查收。	본부에서 대량의 전투원을 일괄적으로 긴급 파견했으니, 조사관께서는 확인해 보시기 바랍니다.	สำนักงานใหญ่​ได้​มี​การ​จัดสรร​เอ​เจนต์​หนึ่ง​กลุ่ม​อย่าง​เร่งด่วน​เพื่อ​ทำ​การแจกจ่าย​อย่าง​เป็นระเบียบ​ ผู้ตรวจการ​กรุณา​ตรวจรับ​ด้วย​
5200003	52	521	5	-1	0	0	6:goods_icon_503020	1	0	206	4190002;4198001;4199001;4103001;4103002;4103003	200;50;30;15;15;15	1	测试数据3	測試資料3	Test Data 3	/	테스트 데이터 3	ข้อมูลทดสอบ 3												
5200004	52	521	6	-1	0	0	6:goods_icon_520001	1	0	206	4102102;4102202;4102302;4102402;4102502	10;10;10;10;10	1	测试数据4	測試資料4	Test Data 4	/	테스트 데이터 4	ข้อมูลทดสอบ 4							指定的机会是珍贵的，请调查官好好把握。	指定的機會是珍貴的，請調查官好好把握。	A rare opportunity awaits, Inspector. Seize it while you can.	指定の機会は貴重です、最大限に活用してください。	소중한 기회가 왔습니다. 조사관께선 잘 붙잡으시기 바랍니다.	โอกาส​ไว้​นั้น​มีค่า​ คุณ​ผู้ตรวจการ​ใช้​ให้​เกิด​ประโยชน์​สูงสุด​นะ​
5200005	52	521	5	-1	0	0	6:goods_icon_5200005	1	1	206	7102007;7103021;7111002;7117008;7108001;7104001;7106002;7113001;7114001;7130008;7101013;7127008;7131008;7109008;7115008;7121008;7904014;7137008	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1	SSR核心自选箱	SSR核心自選箱	SSR Core Selector Chest	SSR核心宝箱･指定	SSR 코어 선택 상자	หีบเลือกแกนหลัก SSR	使用后获得SSR核心	使用後獲得SSR核心	Contains SSR Cores.	使用すると、SSR核心を獲得できる。	사용 시 SSR 코어를 획득한다	เมื่อ​ใช้​จะ​ได้รับ​แกน​หลัก​ SSR​	包含大部分SSR战斗员核心，获得后在仓库里使用，自行选择想要的核心。	包含大部分SSR戰鬥員核心，獲得後在倉庫裡使用，自行選擇想要的核心。	Holds a selection of SSR Combatant Cores. Open in Inventory to choose your desired Cores.	ほとんどのSSR戦闘員の核心を包含している宝箱。倉庫で使用すると、核心を1つ選んで獲得できる。	대부분의 SSR 전투원 코어가 포함된 상자. 획득 후 인벤토리에서 확인할 수 있으며, 원하는 코어를 선택할 수 있다	ประกอบ​ไป​ด้วย​แกน​หลัก​ของ​ตัวละคร​ SSR​ ส่วนใหญ่​ หลัง​ได้รับ​จะ​สามารถ​ใช้งาน​ได้ที่​โกดัง​ เพื่อ​เลือก​แกน​หลัก​ที่​ต้องการ​
5200006	52	521	5	-1	0	0	6:goods_icon_5200006	1	1	206	113001;106002;117008;121008;108001	1;1;1;1;1	1	SSR战斗员自选箱	SSR戰鬥員自選箱	SSR Combatant Selector Chest	SSR戦闘員宝箱･指定	SSR 전투원 선택 상자	หีบเลือกตัวละคร SSR	使用后获得SSR战斗员	使用後獲得SSR戰鬥員	Use it to get SSR Combatants.	使用すると、SSR戦闘員を獲得できる。	사용 시 SSR 전투원을 획득한다	หลังจาก​ใช้​จะ​ได้รับ​ตัวละคร​ SSR​	获得后在仓库里使用，在火树流光、幽灵社团、秘域访客、清道夫之夜、战略潜艇自行选择想要的战斗员。	獲得後在倉庫使用，在火樹流光、幽靈社團、秘域訪客、清道夫之夜、戰略潛艇自行選擇想要的戰鬥員。	Open in Inventory to choose your desired Core from: Flying Embers, Ghost Club, Mystic Visitor, Purifier's Waltz, and Tactical Submarine.	倉庫で使用すると、「火樹流光」「幽霊クラブ」「シークレットビジター」「スカベンジャーズナイト」「戦術型サブマリン」から戦闘員を1つ選べる。	획득 후 인벤토리에서 사용할 수 있으며, 소녀와 등불, 심령 동아리, 시크릿 게스트, 스케빈저 나이트, 서브마린 중에서 원하는 전투원을 선택할 수 있다	หลัง​ได้รับ​จะ​สามารถ​ใช้งาน​ได้ที่​โกดัง​ และ​เลือก​รับ​ตัวละคร​ที่​ต้องการ​ได้​ ประกอบด้วย​ ดวงไฟ​ล่องลอย​ ชมรม​ลี้ลับ​ ผู้มาเยือน​ปริศนา​ ค่ำคืน​กวาดล้าง​ แบ​ทเทิล​มา​รี​น​
5200007	52	521	5	-1	0	0	6:goods_icon_5200007	1	1	206	140008;129001;114002;113002;135008;802008;803008;127001;103009;104016;144001;125008;112002;108006;106009;3000002	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5000	1	限定SSR自选箱	限定SSR自選箱	Limited SSR Selector Chest	SSR宝箱･指定	한정 SSR 선택 상자	หีบเลือก SSR ลิมิเต็ด	使用后选择其中一项获得	使用後選擇其中一項獲得	Open to choose one of the available rewards.	使用後、獲得したいアイテムを一つ選んでください	사용 시 선택하여 1종을 획득할 수 있다	เมื่อ​ใช้​สามารถ​เลือก​รับได้​ 1​ ชิ้น​	包含战斗员囚鸟绮愿、致圣雪夜、并蒂莲、菡萏曲、心动季节、醉红尘、清平乐、离梦蝶、幽篁月韵、灵棰惊竹、千术之王、架刑罪赎、冬季奇遇、涤荡者、耀夜之星和5000个猫眼石；可以选择其中一项获得	包含戰鬥員囚鳥綺愿、致聖雪夜、並蒂蓮、菡萏曲、心動季節、醉紅塵、清平樂、離夢蝶、幽篁月韻、靈棰驚竹、千術之王、架刑罪贖、冬季奇遇、滌蕩者、耀夜之星和5000個貓眼石；可以選擇其中一項獲得	Select one of the following: Cageling Wish, Crimson Night, Twin Lotus, Ode to Lotus, Sweet Season, Tipsy Afterglow, Serene Joy, Butterfly Dream, Alluring Crescent, Pulse of Elegance, Tricky Wicky, Pure Redemption, Winter Encounter, Combat Mode, Luminous Star, or 5000 Opals.		전투원 새장 속 소원, 스노우 나이트, 두개의 연꽃, 청아한 연꽃, 심쿵의 계절, 속세와 술, 평온한 즐거움, 나비와 꿈, 죽림 속 달빛, 죽림 여왕, 트릭의 제왕, 십자가 위의 용서, 스노우 페어리, 메이드, 나이트 스타, 캣츠아이*5000 중 1개 선택 획득.	ประกอบ​ไป​ด้วย​ตัวละคร​ปรารถนา​พัน​ธนา​,​ ราตรี​สี​เลือด​,​ นลินร่วมเคียง​,​ นลินขับขาน,​ ฤดู​แห่ง​รัก​,​ เมามายคล้ายฝัน​,​ ความสุข​แสน​สงบ​,​ ผีเสื้อ​ใน​ฝัน​,​ เสน่ห์​จันทร์​เสี้ยว​,​ จังหวะลวงใจ​,​ รา​นี​แห่ง​กลอุบาย​,​ บาปบริสุทธิ์​,​ หิมะ​แรกพบ​,​ คอม​แบ​ท​โหมด​,​ ดวงดาว​รัตติกาล​,​ และ​โอ​ปอ​ล​ 5,000​ ชิ้น​ (​เลือก​ 1​ ชิ้น​จาก​ใน​นี้​)​
5200008	52	521	5	-1	0	0	6:goods_icon_5200007	1	1	206	6401001;6401002;6401003;6401004;6401005;6401006;6401010;6402001;6402002;6402003;6402004;6402005;6402006;6402010;6403001;6403002;6403003;6403004;6403005;6403007;6403008;6403009;6403010;6404001;6401007;6403006;6404002;6404005;6404008;6404009	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1	猫球自选礼盒	貓球自選禮盒	Cato Selector Box	ガト選択箱	냥냥볼 선택 패키지	กล่องเลือกแคทบอล	使用后选择其中一项获得	使用後選擇其中一項獲得	Open to choose one of the available rewards.	使用後、獲得したいアイテムを一つ選んでください	사용 시 선택하여 1종을 획득할 수 있다	เมื่อ​ใช้​สามารถ​เลือก​รับได้​ 1​ ชิ้น​	包含SSR猫球；可以选择其中一项获得	包含SSR貓球；可以選擇其中一個獲得	Open it and choose one of the following SSR Catos:	SSRガトが入っている；1つ選択して獲得する	SSR 냥냥볼이 포함되어 있으며 1종을 선택하여 획득할 수 있다.	ประกอบด้วย​แค​ทบ​อล​ SSR​ สามารถ​เลือก​รับได้​ 1​ ตัว​
5200009	52	521	5	-1	0	0	6:goods_icon_5200009	1	1	206	4105011;4105012;4105013	1;1;1	1	专武材料自选箱	專武材料自選箱	PW Material Selector Chest	専用武器素材選択箱	전용 무기 재료 선택 패키지	หีบ​เลือก​วัตถุดิบ​อาวุธ​เฉพาะ​	使用后选择其中一项获得	使用後選擇其中一項獲得	Open to choose one of the available rewards.	使用後、獲得したいアイテムを一つ選んでください	사용 시 선택하여 1종을 획득할 수 있다	เมื่อ​ใช้​สามารถ​เลือก​รับได้​ 1​ ชิ้น​	选择一个专武材料获得	選擇一個專武材料獲得	Select one type of Pathos Weapon material.	専用武器の素材を1つ選択して獲得する	전용 무기 재료 1개를 선택하여 획득할 수 있다	เลือก​รับ​วัตถุดิบ​อาวุธ​เฉพาะ​ 1​ ชิ้น​
