id	type	showType	quality	stack	openType	openParameter	photoId	effectType	effectId	effectNum	Maxnum	cardId	needNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
7101008	70	701	4	-1	601	0	6:goods_icon_7101008	301	4103002	1	100000	101008	100	1	自由轮滑核心	自由輪滑核心	Freestyle Skater Core	核心･フリースケーティング	프리 스케이팅 코어	โรลเลอร์เบลด	是同种战斗员的升星材料。	是同種戰鬥員的升星材料。	Star-up materials for Combatants of the same type.	対応する戦闘員の昇格素材。	동일 종류 전투원의 승급 재료이다.	แกนหลักตัวละคร เป็นวัตถุดิบสำหรับเพิ่มดาวของตัวละครที่สอดคล้องกัน	对战斗员进行小范围的升级改造可以提升战斗员的性能。	對戰鬥員進行小範圍的升級改造可以提升戰鬥員的性能。	Enhance a Combatant's performance by upgrading their components.	戦闘員を昇格させ、戦闘能力をアップさせる。	전투원에게 작은 범위 내에서 레벨업을 진행하면 전투원의 성능을 높일 수 있다.	การ​อัปเกรด​และ​ปรับปรุง​ตัว​ละคร​แม้เพียง​เล็กน้อย​ ก็สามารถ​เพิ่มประสิทธิภาพ​ของ​ตัวละคร​ได้​
7101011	70	701	4	-1	304	0	6:goods_icon_7101011	301	4103002	1	100000	101011	100	1	棒球龙魂核心	棒球龍魂核心	Blaze Battler Core	核心･ドラゴンストライク	드래곤 베이스볼·코어	ดราก้อนสไตรค์	是同种战斗员的升星材料。	是同種戰鬥員的升星材料。	Star-up materials for Combatants of the same type.	対応する戦闘員の昇格素材。	동일 종류 전투원의 승급 재료이다.	แกนหลักตัวละคร เป็นวัตถุดิบสำหรับเพิ่มดาวของตัวละครที่สอดคล้องกัน	对战斗员进行小范围的升级改造可以提升战斗员的性能。	對戰鬥員進行小範圍的升級改造可以提升戰鬥員的性能。	Enhance a Combatant's performance by upgrading their components.	戦闘員を昇格させ、戦闘能力をアップさせる。	전투원에게 작은 범위 내에서 레벨업을 진행하면 전투원의 성능을 높일 수 있다.	การ​อัปเกรด​และ​ปรับปรุง​ตัว​ละคร​แม้เพียง​เล็กน้อย​ ก็สามารถ​เพิ่มประสิทธิภาพ​ของ​ตัวละคร​ได้​
7101005	70	701	3	-1	601	0	6:goods_icon_7101005	301	4103001	1	100000	101005	100	1	涂鸦战争核心	塗鴉戰爭核心	Scribble Scramble Core	核心･グラフィティ戦争	그래피티·코어	สงครามกราฟฟิตี	是同种战斗员的升星材料。	是同種戰鬥員的升星材料。	Star-up materials for Combatants of the same type.	対応する戦闘員の昇格素材。	동일 종류 전투원의 승급 재료이다.	แกนหลักตัวละคร เป็นวัตถุดิบสำหรับเพิ่มดาวของตัวละครที่สอดคล้องกัน	对战斗员进行小范围的升级改造可以提升战斗员的性能。	對戰鬥員進行小範圍的升級改造可以提升戰鬥員的性能。	Enhance a Combatant's performance by upgrading their components.	戦闘員を昇格させ、戦闘能力をアップさせる。	전투원에게 작은 범위 내에서 레벨업을 진행하면 전투원의 성능을 높일 수 있다.	การ​อัปเกรด​และ​ปรับปรุง​ตัว​ละคร​แม้เพียง​เล็กน้อย​ ก็สามารถ​เพิ่มประสิทธิภาพ​ของ​ตัวละคร​ได้​
7101013	70	701	5	-1	601	0	6:goods_icon_7101013	301	4103003	1	100000	101013	100	1	森林守护者核心	森林守護者核心	Forest Ranger Core	核心･森の守護者	포레스트 가디언 코어	ผู้พิทักษ์แห่งป่า	是同种战斗员的升星材料。	是同種戰鬥員的升星材料。	Star-up materials for Combatants of the same type.	対応する戦闘員の昇格素材。	동일 종류 전투원의 승급 재료이다.	แกนหลักตัวละคร เป็นวัตถุดิบสำหรับเพิ่มดาวของตัวละครที่สอดคล้องกัน	对战斗员进行小范围的升级改造可以提升战斗员的性能。	對戰鬥員進行小範圍的升級改造可以提升戰鬥員的性能。	Enhance a Combatant's performance by upgrading their components.	戦闘員を昇格させ、戦闘能力をアップさせる。	전투원에게 작은 범위 내에서 레벨업을 진행하면 전투원의 성능을 높일 수 있다.	การ​อัปเกรด​และ​ปรับปรุง​ตัว​ละคร​แม้เพียง​เล็กน้อย​ ก็สามารถ​เพิ่มประสิทธิภาพ​ของ​ตัวละคร​ได้​
7102008	70	701	4	-1	601	0	6:goods_icon_7102008	301	4103002	1	100000	102008	100	1	机械助理核心	機械助理核心	Mechanicat Core	核心･アシスタントロボット	머신 어시스턴트 코어	เหมียวเครื่องกล	是同种战斗员的升星材料。	是同種戰鬥員的升星材料。	Star-up materials for Combatants of the same type.	対応する戦闘員の昇格素材。	동일 종류 전투원의 승급 재료이다.	แกนหลักตัวละคร เป็นวัตถุดิบสำหรับเพิ่มดาวของตัวละครที่สอดคล้องกัน	对战斗员进行小范围的升级改造可以提升战斗员的性能。	對戰鬥員進行小範圍的升級改造可以提升戰鬥員的性能。	Enhance a Combatant's performance by upgrading their components.	戦闘員を昇格させ、戦闘能力をアップさせる。	전투원에게 작은 범위 내에서 레벨업을 진행하면 전투원의 성능을 높일 수 있다.	การ​อัปเกรด​และ​ปรับปรุง​ตัว​ละคร​แม้เพียง​เล็กน้อย​ ก็สามารถ​เพิ่มประสิทธิภาพ​ของ​ตัวละคร​ได้​
7102007	70	701	5	-1	601	0	6:goods_icon_7102007	301	4103003	1	100000	102007	100	1	电音骑士核心	電音騎士核心	Sparkle Rider Core	核心･ポップナイト	EDM 여신·코어	เหมียวนักบิด	是同种战斗员的升星材料。	是同種戰鬥員的升星材料。	Star-up materials for Combatants of the same type.	対応する戦闘員の昇格素材。	동일 종류 전투원의 승급 재료이다.	แกนหลักตัวละคร เป็นวัตถุดิบสำหรับเพิ่มดาวของตัวละครที่สอดคล้องกัน	对战斗员进行小范围的升级改造可以提升战斗员的性能。	對戰鬥員進行小範圍的升級改造可以提升戰鬥員的性能。	Enhance a Combatant's performance by upgrading their components.	戦闘員を昇格させ、戦闘能力をアップさせる。	전투원에게 작은 범위 내에서 레벨업을 진행하면 전투원의 성능을 높일 수 있다.	การ​อัปเกรด​และ​ปรับปรุง​ตัว​ละคร​แม้เพียง​เล็กน้อย​ ก็สามารถ​เพิ่มประสิทธิภาพ​ของ​ตัวละคร​ได้​
7102011	70	701	5	-1	625	0	6:goods_icon_7102011	301	4103003	1	100000	102011	100	1	鳐摇心情核心	鰩搖心情核心	Marine Maverick Core	核心･バイオニックエイ	마인드 셰이커·코어	ผู้กล้าคาบสมุทร	是同种战斗员的升星材料。	是同種戰鬥員的升星材料。	Star-up materials for Combatants of the same type.	対応する戦闘員の昇格素材。	동일 종류 전투원의 승급 재료이다.	แกนหลักตัวละคร เป็นวัตถุดิบสำหรับเพิ่มดาวของตัวละครที่สอดคล้องกัน	对战斗员进行小范围的升级改造可以提升战斗员的性能。	對戰鬥員進行小範圍的升級改造可以提升戰鬥員的性能。	Enhance a Combatant's performance by upgrading their components.	戦闘員を昇格させ、戦闘能力をアップさせる。	전투원에게 작은 범위 내에서 레벨업을 진행하면 전투원의 성능을 높일 수 있다.	การ​อัปเกรด​และ​ปรับปรุง​ตัว​ละคร​แม้เพียง​เล็กน้อย​ ก็สามารถ​เพิ่มประสิทธิภาพ​ของ​ตัวละคร​ได้​
7102001	70	701	3	-1	601	0	6:goods_icon_7102001	301	4103001	1	100000	102001	100	1	星之愿核心	星之愿核心	Stargazer Core	核心･星に願いを	별의 기원 코어	สตาร์เกซเซอร์	是同种战斗员的升星材料。	是同種戰鬥員的升星材料。	Star-up materials for Combatants of the same type.	対応する戦闘員の昇格素材。	동일 종류 전투원의 승급 재료이다.	แกนหลักตัวละคร เป็นวัตถุดิบสำหรับเพิ่มดาวของตัวละครที่สอดคล้องกัน	对战斗员进行小范围的升级改造可以提升战斗员的性能。	對戰鬥員進行小範圍的升級改造可以提升戰鬥員的性能。	Enhance a Combatant's performance by upgrading their components.	戦闘員を昇格させ、戦闘能力をアップさせる。	전투원에게 작은 범위 내에서 레벨업을 진행하면 전투원의 성능을 높일 수 있다.	การ​อัปเกรด​และ​ปรับปรุง​ตัว​ละคร​แม้เพียง​เล็กน้อย​ ก็สามารถ​เพิ่มประสิทธิภาพ​ของ​ตัวละคร​ได้​
7102021	70	701	5	-1	601	0	6:goods_icon_7102021	301	4103003	1	100000	102021	100	1	完美效劳核心	完美效勞核心	Perfect Pitch Core	核心･パーフェクトサービス	효율냥땅 코어	ฟูลเซอร์วิส	是同种战斗员的升星材料。	是同種戰鬥員的升星材料。	Star-up materials for Combatants of the same type.	対応する戦闘員の昇格素材。	동일 종류 전투원의 승급 재료이다.	แกนหลักตัวละคร เป็นวัตถุดิบสำหรับเพิ่มดาวของตัวละครที่สอดคล้องกัน	对战斗员进行小范围的升级改造可以提升战斗员的性能。	對戰鬥員進行小範圍的升級改造可以提升戰鬥員的性能。	Enhance a Combatant's performance by upgrading their components.	戦闘員を昇格させ、戦闘能力をアップさせる。	전투원에게 작은 범위 내에서 레벨업을 진행하면 전투원의 성능을 높일 수 있다.	การ​อัปเกรด​และ​ปรับปรุง​ตัว​ละคร​แม้เพียง​เล็กน้อย​ ก็สามารถ​เพิ่มประสิทธิภาพ​ของ​ตัวละคร​ได้​
