id	type	showType	quality	stack	sellitem	sellMoney	gift	openType	openParameter	photoId	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
5710001	57	571	2	999	3000003	120	0	511	5510001	6:goods_icon_5710001				1	快乐水	快樂水	Happy Soda	コーラ	해피워터	แฮปปี้โซดา	通过食谱制作而成的情绪料理，可用于情绪外卖，派对订单或赠予战斗员。	通過食譜製作而成的情緒料理，可用於情緒外賣，派對訂單或贈予戰鬥員。	Pathos cuisine crafted from special recipes, suitable for Pathos delivery, party orders, or as gifts for Combatants.	レシピから作られたパトス料理。出前や注文に使ったり、戦闘員に贈ったりすることができる。	레시피를 통해 만든 이모션 요리이다. 이모션 배달, 파티, 전투원 선물용으로 쓸 수 있다.	อาหาร​พา​โธส​ที่​ทำ​ขึ้น​จาก​เมนู​อาหาร​ สามารถ​ซื้อ​กลับบ้าน​ได้​ ใช้​สำหรับ​งาน​ปาร์ตี้​หรือ​มอบให้​กับ​ตัวละคร​ก็ได้​	纯纯的享受，纯纯的快乐。	純純的享受，純純的快樂。	Pure enjoyment, pure happiness.	純粋な楽しみ、純粋な喜び。	순수한 즐거움, 순수한 행복.	เพลิดเพลิน​ที่​แท้จริง​ ความสุข​ที่​แท้จริง​
5710002	57	571	3	999	3000003	160	0	511	5510002	6:goods_icon_5710002				1	柠檬快乐水	檸檬快樂水	Happy Lemonade	レモンコーラ	레몬 해피워터	น้ำเลมอนแฮปปี้	通过食谱制作而成的情绪料理，可用于情绪外卖，派对订单或赠予战斗员。	通過食譜製作而成的情緒料理，可用於情緒外賣，派對訂單或贈予戰鬥員。	Pathos cuisine crafted from special recipes, suitable for Pathos delivery, party orders, or as gifts for Combatants.	レシピから作られたパトス料理。出前や注文に使ったり、戦闘員に贈ったりすることができる。	레시피를 통해 만든 이모션 요리이다. 이모션 배달, 파티, 전투원 선물용으로 쓸 수 있다.	อาหาร​พา​โธส​ที่​ทำ​ขึ้น​จาก​เมนู​อาหาร​ สามารถ​ซื้อ​กลับบ้าน​ได้​ ใช้​สำหรับ​งาน​ปาร์ตี้​หรือ​มอบให้​กับ​ตัวละคร​ก็ได้​	当微酸的柠檬遇上清甜的气泡水，迸发出恣意的愉悦。	當微酸的檸檬遇上清甜的氣泡水，迸發出恣意的愉悅。	When tangy lemon meets sweet soda water, it bursts with uninhibited delight.	ほのかな酸味のレモンと甘いソーダドリンクが出会えば、抑えきれない喜びがはじける。	살짝 신 레몬이 탄산수를 만나 팡팡 터지는 기쁨을 선사한다.	เมื่อ​เลมอน​ที่​เปรี้ยว​น้อย​เจอ​กับ​น้ำอัดลม​ที่​มี​ความหวาน​และ​ซ่า​ ทำให้เกิด​ความสุข​ขึ้น​มา​
5710003	57	571	4	999	3000003	200	0	511	5510003	6:goods_icon_5710003				1	猫咪快乐水	貓咪快樂水	Neko Soda	ネココーラ	냥냥 해피워터	น้ำแมวเหมียวแฮปปี้	通过食谱制作而成的情绪料理，可用于情绪外卖，派对订单或赠予战斗员。	通過食譜製作而成的情緒料理，可用於情緒外賣，派對訂單或贈予戰鬥員。	Pathos cuisine crafted from special recipes, suitable for Pathos delivery, party orders, or as gifts for Combatants.	レシピから作られたパトス料理。出前や注文に使ったり、戦闘員に贈ったりすることができる。	레시피를 통해 만든 이모션 요리이다. 이모션 배달, 파티, 전투원 선물용으로 쓸 수 있다.	อาหาร​พา​โธส​ที่​ทำ​ขึ้น​จาก​เมนู​อาหาร​ สามารถ​ซื้อ​กลับบ้าน​ได้​ ใช้​สำหรับ​งาน​ปาร์ตี้​หรือ​มอบให้​กับ​ตัวละคร​ก็ได้​	只是加了薄荷调味，就能吸引猫咪的奇特饮料。	只是加了薄荷調味，就能吸引貓咪的奇特飲料。	Just a touch of catnip flavor, enough to pique the curiosity of cats.	ミント風味の人気ドリンク。	민트 향이 첨가됐을 뿐인 음료지만, 뭇 냥냥이들의 최애 음료가 됐다.	แค่​เติม​กลิ่น​ของ​สะระแหน่​เข้าไป​ ก็​กลายเป็น​เครื่องดื่ม​สุด​แปลกที่​ดึงดูด​แมว​ได้​แล้ว​
5710004	57	571	2	999	3000003	120	0	511	5510004	6:goods_icon_5710004				1	苦涩咖啡	苦澀咖啡	Bitter Coffee	にがにがコーヒー	쓰디쓴 커피	กาแฟขม	通过食谱制作而成的情绪料理，可用于情绪外卖，派对订单或赠予战斗员。	通過食譜製作而成的情緒料理，可用於情緒外賣，派對訂單或贈予戰鬥員。	Pathos cuisine crafted from special recipes, suitable for Pathos delivery, party orders, or as gifts for Combatants.	レシピから作られたパトス料理。出前や注文に使ったり、戦闘員に贈ったりすることができる。	레시피를 통해 만든 이모션 요리이다. 이모션 배달, 파티, 전투원 선물용으로 쓸 수 있다.	อาหาร​พา​โธส​ที่​ทำ​ขึ้น​จาก​เมนู​อาหาร​ สามารถ​ซื้อ​กลับบ้าน​ได้​ ใช้​สำหรับ​งาน​ปาร์ตี้​หรือ​มอบให้​กับ​ตัวละคร​ก็ได้​	品一口苦涩咖啡，回想百味人生。	品一口苦澀咖啡，回想百味人生。	Savor the bitterness of coffee, reminiscent of the flavors of life.	苦いコーヒーを一口飲むと、人生の感慨が湧いてくる。	쓰디쓴 커피를 한 모금 마시고, 삶을 한번 돌이켜 본다.	จิบ​กาแฟ​ที่​มี​รสชาติ​ขม​ฝาด​ ทำให้​นึกถึง​รส​ช​สติ​ชีวิต​ที่​หลากหลาย​
5710005	57	571	3	999	3000003	160	0	511	5510005	6:goods_icon_5710005				1	催眠拿铁	催眠拿鐵	Hypnosis Latte	うとうとラテ	최면 라테	ลาเต้สะกดจิต	通过食谱制作而成的情绪料理，可用于情绪外卖，派对订单或赠予战斗员。	通過食譜製作而成的情緒料理，可用於情緒外賣，派對訂單或贈予戰鬥員。	Pathos cuisine crafted from special recipes, suitable for Pathos delivery, party orders, or as gifts for Combatants.	レシピから作られたパトス料理。出前や注文に使ったり、戦闘員に贈ったりすることができる。	레시피를 통해 만든 이모션 요리이다. 이모션 배달, 파티, 전투원 선물용으로 쓸 수 있다.	อาหาร​พา​โธส​ที่​ทำ​ขึ้น​จาก​เมนู​อาหาร​ สามารถ​ซื้อ​กลับบ้าน​ได้​ ใช้​สำหรับ​งาน​ปาร์ตี้​หรือ​มอบให้​กับ​ตัวละคร​ก็ได้​	与咖啡提神功效相反的奇特饮品，或许这也是它热销的原因。	與咖啡提神功效相反的奇特飲品，或許這也是它熱銷的原因。	A peculiar drink that seems to have the opposite effect of coffee. That may be why it's a hot seller.	コーヒーの眠気覚まし効果とは正反対の効果を持つ風変わりな飲み物だが、だからこそ売れ筋なのかもしれない。	커피와는 정반대인 상쾌함을 부여하는 특이한 음료지만 오히려 그 때문에 더 잘 팔리는 것일지도 모른다.	เครื่องดื่ม​แปลกใหม่​ที่​มี​คุณสมบัติ​ตรงกันข้าม​กับ​กาแฟ​ที่​มี​ความตื่นตัว​ บางที​นี่​อาจจะ​เป็นสาเหตุ​ที่​มัน​ขายดี​
5710006	57	571	4	999	3000003	200	0	511	5510006	6:goods_icon_5710006				1	孤独焦糖拿铁	孤獨焦糖拿鐵	Lonely Caramel Latte	キャラメルラテ	고독의 카라멜 라테	โลนลี่คาราเมลลาเต้	通过食谱制作而成的情绪料理，可用于情绪外卖，派对订单或赠予战斗员。	通過食譜製作而成的情緒料理，可用於情緒外賣，派對訂單或贈予戰鬥員。	Pathos cuisine crafted from special recipes, suitable for Pathos delivery, party orders, or as gifts for Combatants.	レシピから作られたパトス料理。出前や注文に使ったり、戦闘員に贈ったりすることができる。	레시피를 통해 만든 이모션 요리이다. 이모션 배달, 파티, 전투원 선물용으로 쓸 수 있다.	อาหาร​พา​โธส​ที่​ทำ​ขึ้น​จาก​เมนู​อาหาร​ สามารถ​ซื้อ​กลับบ้าน​ได้​ ใช้​สำหรับ​งาน​ปาร์ตี้​หรือ​มอบให้​กับ​ตัวละคร​ก็ได้​	甜滑的焦糖搭配浓郁的咖啡，此刻享受属于自己的孤独。	甜滑的焦糖搭配濃郁的咖啡，此刻享受屬於自己的孤獨。	Smooth caramel paired with strong coffee, indulging in a moment of solitude.	濃厚でなめらかなキャラメルとコクのあるコーヒー、この瞬間の孤独を楽しもう。	달콤한 카라멜이 진하게 녹아든 커피. 한 모금 마신 순간 자신만의 고독에 빠져든다.	คาราเมล​ที่​หวาน​เยิ้ม​กับ​กาแฟ​ที่​เข้มข้น​ นา​ทีนี้​ดื่มด่ำ​กับ​ความโดดเดี่ยว​ที่​เป็น​ของ​ตนเอง​
5710007	57	571	2	999	3000003	120	0	511	5510007	6:goods_icon_5710007				1	悠然绿茶	悠然綠茶	Carefree Green Tea	ゆるゆる緑茶	여유의 녹차	ชาเขียวผ่อนคลาย	通过食谱制作而成的情绪料理，可用于情绪外卖，派对订单或赠予战斗员。	通過食譜製作而成的情緒料理，可用於情緒外賣，派對訂單或贈予戰鬥員。	Pathos cuisine crafted from special recipes, suitable for Pathos delivery, party orders, or as gifts for Combatants.	レシピから作られたパトス料理。出前や注文に使ったり、戦闘員に贈ったりすることができる。	레시피를 통해 만든 이모션 요리이다. 이모션 배달, 파티, 전투원 선물용으로 쓸 수 있다.	อาหาร​พา​โธส​ที่​ทำ​ขึ้น​จาก​เมนู​อาหาร​ สามารถ​ซื้อ​กลับบ้าน​ได้​ ใช้​สำหรับ​งาน​ปาร์ตี้​หรือ​มอบให้​กับ​ตัวละคร​ก็ได้​	茶园采摘的第一轮春茶，茶汤青翠，茶香宜人。	茶園採摘的第一輪春茶，茶湯青翠，茶香宜人。	The first harvest of spring tea from the tea garden, boasting a verdant tea soup and a delightful tea aroma.	茶園で摘まれた春の一番茶。香りが心地よい。	이번 봄 들어 처음 차밭에서 따온 차. 맑고 투명한 차 향에 마음이 끌리게 만든다.	ใบชา​ฤดูใบไม้ผลิ​รอบ​แรก​ ซุป​ชา​สี​เขียว​ ที่​มี​กลิ่นหอม​
5710008	57	571	3	999	3000003	160	0	511	5510008	6:goods_icon_5710008				1	悠然奶茶	悠然奶茶	Carefree Milk Tea	ゆるゆるミルクティー	여유의 밀크티	ชานมสบายใจ	通过食谱制作而成的情绪料理，可用于情绪外卖，派对订单或赠予战斗员。	通過食譜製作而成的情緒料理，可用於情緒外賣，派對訂單或贈予戰鬥員。	Pathos cuisine crafted from special recipes, suitable for Pathos delivery, party orders, or as gifts for Combatants.	レシピから作られたパトス料理。出前や注文に使ったり、戦闘員に贈ったりすることができる。	레시피를 통해 만든 이모션 요리이다. 이모션 배달, 파티, 전투원 선물용으로 쓸 수 있다.	อาหาร​พา​โธส​ที่​ทำ​ขึ้น​จาก​เมนู​อาหาร​ สามารถ​ซื้อ​กลับบ้าน​ได้​ ใช้​สำหรับ​งาน​ปาร์ตี้​หรือ​มอบให้​กับ​ตัวละคร​ก็ได้​	牛奶与茶水的甜蜜组合，深受年轻人的喜爱。	牛奶與茶水的甜蜜組合，深受年輕人的喜愛。	Milk and tea form a sweet harmony, a favorite of the young.	ミルクと紅茶のコンビ。若者の間で大人気。	우유와 차의 달콤한 조합. 젊은 세대들의 사랑을 받고 있다.	การ​คู่​กัน​ของ​นม​กับ​น้ำชา​ที่​หวาน​ ได้รับ​ความชื่นชอบ​ของ​วัยรุ่น​อย่าง​มาก​
5710009	57	571	4	999	3000003	200	0	511	5510009	6:goods_icon_5710009				1	悠然珍珠奶茶	悠然珍珠奶茶	Carefree Bubble Tea	ゆるゆるタピオカミルクティー	여유의 버블티	เพิร์ลมิลก์ทีสบายใจ	通过食谱制作而成的情绪料理，可用于情绪外卖，派对订单或赠予战斗员。	通過食譜製作而成的情緒料理，可用於情緒外賣，派對訂單或贈予戰鬥員。	Pathos cuisine crafted from special recipes, suitable for Pathos delivery, party orders, or as gifts for Combatants.	レシピから作られたパトス料理。出前や注文に使ったり、戦闘員に贈ったりすることができる。	레시피를 통해 만든 이모션 요리이다. 이모션 배달, 파티, 전투원 선물용으로 쓸 수 있다.	อาหาร​พา​โธส​ที่​ทำ​ขึ้น​จาก​เมนู​อาหาร​ สามารถ​ซื้อ​กลับบ้าน​ได้​ ใช้​สำหรับ​งาน​ปาร์ตี้​หรือ​มอบให้​กับ​ตัวละคร​ก็ได้​	珍珠满满，心意满满，美味满满。	珍珠滿滿，心意滿滿，美味滿滿。	Full of pearls, care, and flavor!	タピオカがいっぱい、美味しさがいっぱい。	펄 듬뿍, 마음도 듬뿍, 맛도 듬뿍.	เต็มไปด้วย​ไข่มุก​ เต็มไปด้วย​ความตั้งใจ​ เต็มไปด้วย​รสชาติ​ที่​ดี​
5710010	57	571	2	999	3000003	120	0	511	5510010	6:goods_icon_5710010				1	安宁红茶	安寧紅茶	Soothing Black Tea	ほのぼの紅茶	평안의 홍차	แบล็กทีสุขใจ	通过食谱制作而成的情绪料理，可用于情绪外卖，派对订单或赠予战斗员。	通過食譜製作而成的情緒料理，可用於情緒外賣，派對訂單或贈予戰鬥員。	Pathos cuisine crafted from special recipes, suitable for Pathos delivery, party orders, or as gifts for Combatants.	レシピから作られたパトス料理。出前や注文に使ったり、戦闘員に贈ったりすることができる。	레시피를 통해 만든 이모션 요리이다. 이모션 배달, 파티, 전투원 선물용으로 쓸 수 있다.	อาหาร​พา​โธส​ที่​ทำ​ขึ้น​จาก​เมนู​อาหาร​ สามารถ​ซื้อ​กลับบ้าน​ได้​ ใช้​สำหรับ​งาน​ปาร์ตี้​หรือ​มอบให้​กับ​ตัวละคร​ก็ได้​	红茶特殊的柑橘香让人流连忘返，带有自然与矜贵的混合气息。	紅茶特殊的橘子香讓人流連忘返，帶有自然與矜貴的混合氣息。	The unique citrus scent of black tea lingers, blending natural and noble aromas.	柑橘風味の紅茶。自然を感じさせる余韻を残す。	홍차 특유의 감귤향이 망각을 가져다 준다. 자연스러움과 진귀함이 잘 섞여 있다.	กลิ่นหอม​สุด​พิเศษ​ของ​แบล็ก​ที​ทำให้​ผู้คน​ไม่​อยาก​จากไป​ ซ่อน​กลิ่นอาย​ที่​มี​ความ​ธรรมชาติ​และ​สูงส่ง​เอาไว้​
5710011	57	571	3	999	3000003	160	0	511	5510011	6:goods_icon_5710011				1	玫瑰红茶	玫瑰紅茶	Rose Black Tea	ローズ紅茶	장미홍차	แบล็กทีกุหลาบ	通过食谱制作而成的情绪料理，可用于情绪外卖，派对订单或赠予战斗员。	通過食譜製作而成的情緒料理，可用於情緒外賣，派對訂單或贈予戰鬥員。	Pathos cuisine crafted from special recipes, suitable for Pathos delivery, party orders, or as gifts for Combatants.	レシピから作られたパトス料理。出前や注文に使ったり、戦闘員に贈ったりすることができる。	레시피를 통해 만든 이모션 요리이다. 이모션 배달, 파티, 전투원 선물용으로 쓸 수 있다.	อาหาร​พา​โธส​ที่​ทำ​ขึ้น​จาก​เมนู​อาหาร​ สามารถ​ซื้อ​กลับบ้าน​ได้​ ใช้​สำหรับ​งาน​ปาร์ตี้​หรือ​มอบให้​กับ​ตัวละคร​ก็ได้​	玫瑰的芳香残留在唇齿之间，令人回味无穷。	玫瑰的芳香殘留在唇齒之間，令人回味無窮。	The scent of the roses continues to linger, leaving one to think of the past.	バラの香りが漂う。	장미향이 입 속에 남아 여운을 준다.	กลิ่นหอม​ของ​ดอกกุหลาบ​ติด​อยู่​ตาม​ร่อง​ฟัน​ทำให้​ผู้คน​ต่าง​ก็​คิดถึง​มาก​ ๆ​
5710012	57	571	4	999	3000003	200	0	511	5510012	6:goods_icon_5710012				1	蜜蜂红茶	蜜蜂紅茶	Honey Black Tea	はちみつ紅茶	꿀벌홍차	แบล็กทีน้ำผึ้ง	通过食谱制作而成的情绪料理，可用于情绪外卖，派对订单或赠予战斗员。	通過食譜製作而成的情緒料理，可用於情緒外賣，派對訂單或贈予戰鬥員。	Pathos cuisine crafted from special recipes, suitable for Pathos delivery, party orders, or as gifts for Combatants.	レシピから作られたパトス料理。出前や注文に使ったり、戦闘員に贈ったりすることができる。	레시피를 통해 만든 이모션 요리이다. 이모션 배달, 파티, 전투원 선물용으로 쓸 수 있다.	อาหาร​พา​โธส​ที่​ทำ​ขึ้น​จาก​เมนู​อาหาร​ สามารถ​ซื้อ​กลับบ้าน​ได้​ ใช้​สำหรับ​งาน​ปาร์ตี้​หรือ​มอบให้​กับ​ตัวละคร​ก็ได้​	舒缓润喉，是来自大自然的优雅甜蜜。	舒緩潤喉，是來自大自然的優雅甜蜜。	Both soothing and rejuvenating, its sweetness is all-natural.	のどを潤し、自然の甘みがある。	부드럽고 촉촉하게 목구멍을 넘어간다. 자연에서 온 우아한 달콤함이다.	การผ่อนคลาย​ลำคอ​ เป็น​ความหวาน​อัน​สง่า​ที่​มาจาก​ธรรมชาติ​
5710013	57	571	2	999	3000003	120	0	511	5510013	6:goods_icon_5710013				1	能量饮料	能量飲料	Energy Drink	エネルギードリンク	에너지 드링크	เครื่องดื่มชูกำลัง	通过食谱制作而成的情绪料理，可用于情绪外卖，派对订单或赠予战斗员。	通過食譜製作而成的情緒料理，可用於情緒外賣，派對訂單或贈予戰鬥員。	Pathos cuisine crafted from special recipes, suitable for Pathos delivery, party orders, or as gifts for Combatants.	レシピから作られたパトス料理。出前や注文に使ったり、戦闘員に贈ったりすることができる。	레시피를 통해 만든 이모션 요리이다. 이모션 배달, 파티, 전투원 선물용으로 쓸 수 있다.	อาหาร​พา​โธส​ที่​ทำ​ขึ้น​จาก​เมนู​อาหาร​ สามารถ​ซื้อ​กลับบ้าน​ได้​ ใช้​สำหรับ​งาน​ปาร์ตี้​หรือ​มอบให้​กับ​ตัวละคร​ก็ได้​	疲劳时刻来一口，活力满满不发愁。	疲勞時刻來一口，活力滿滿不發愁。	Even at the end of the line, one sip is all it takes to bring you back to full energy.	疲れているときに一口飲めば、エネルギーが満ち溢れる。	피곤할 때 한 입 먹으면 젊었을 적으로 회춘하는 느낌을 느낄 수 있다.	เมื่อ​เหนื่อยล้า​ก็​กิน​หนึ่ง​คำ​ เต็มไปด้วย​พลัง​ที่​ไร้​ความกังวล​
