id	type	showType	kind	quality	duration	stack	openType	openParameter	photoId	photoId2	photoId3	prefab	effectType	effectId	effectNum	dynamicAvatar	sort	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
6200001	62	621	1	5	0				61:player_img_620001				1	3000003	10		1	1	调查喵	調查喵	Inspector Cat	調査官	조사냥	เหมียวตรวจการ	初始获得	初始獲得	Beginner Obtained	初期アイテム	최초 획득	ได้รับช่วงเริ่มต้น	似乎是很久以前的一位友人以小时候的调查官为原型画的拟猫画像。	似乎是很久以前的一位友人以小時候的調查官為原型畫的擬貓畫像。	A portrait, drawn long ago by a friend, depicting the young Inspector as a cat.	幼い頃の調査官をモデルに、昔の友人が描いた猫の肖像画。	오래전 한 지인이 어린 시절 조사관을 모티브로 그린 의묘화인 것 같다.	ดูเหมือน​จะ​เป็น​ภาพวาด​แมว​จำลอง​ที่​เพื่อน​คน​หนึ่ง​วาด​ขึ้น​เมื่อ​หลาย​ปีก่อน​ โดย​ใช้​ผู้ตรวจการ​ใน​วัยเด็ก​เป็น​แบบ​
6200002	62	622	2	5	0				61:player_frame_620002				1	3000003	10		1	1	初始头像框	初始頭像框	Beginner Avatar Frame	初期アイコン枠	기본 프로필 프레임	กรอบโปรไฟล์เริ่มต้น	初始获得	初始獲得	Beginner Obtained	初期アイテム	최초 획득	ได้รับช่วงเริ่มต้น	即便是不会被人关注的事物，也是有其必要的存在价值的。	即便是不會被人關注的事物，也是有其必要的存在價值的。	Even unnoticed things have their own inherent value of existence.	気づかれないものにも存在意義がある。	눈에 띄지 않는 물건에도 존재 가치는 있다.	แม้แต่​สิ่ง​ที่​ไม่​ถูก​ให้ความสนใจ​จาก​ผู้คน​ ก็​ยัง​มีคุณค่า​ความสำคัญ​ใน​การดำรงอยู่​ของ​มัน​เอง​
6200004	62	621	1	5	0				61:player_img_620004				1	3000003	10		2	1	非天喵	非天喵	Asura	アスラ	아수라냥	อาสึระเมี้ยว	头像·累积充值的纪念	頭像·累積儲值的紀念	Avatar: Memento for Cumulative Top-up	アイコン･累計チャージ記念	프로필 - 누적 충전 기념	รูป​โปรไฟล์​·​รำลึก​การ​เติม​เงินสะสม​	“什么时候出发去巡逻？”	“什麼時候出發去巡邏？”	"When do we depart for patrol? "	「次のパトロールはいつですか？」	"언제 순찰하러 가냥?"	"​จะ​ออก​ไป​ลาดตระเวน​เมื่อไหร่​?"​
6200018	62	623	3	5	0				62:stickers_img_620018				1	3000003	10		1	1	暴风徽章	暴風徽章	StormEye Badge	ストームアイ	스톰아이 엠블럼	ตราสตอร์ม	初始获得	初始獲得	Beginner Obtained	初期アイテム	최초 획득	ได้รับช่วงเริ่มต้น	暴风眼的官方标志，代表了调查官初入职场的证明。	暴風眼的官方標誌，代表了調查官初入職場的證明。	A StormEye official proof for a rookie inspector.	ストームアイの公式ロゴ。調査官であることを証明している。	스톰아이 공식 표식. 조사관의 첫 출근을 증명한다.	สัญลักษณ์​ทางการ​ของ​สตอร์ม​อาย​ เป็น​หลักฐาน​ที่​แสดงให้เห็น​ว่า​ผู้ตรวจการ​เพิ่ง​เข้า​สถานที่ทำงาน​เป็นครั้งแรก​
6200066	62	621	1	5	0				61:player_img_620066				1	3000003	10		3	1	调查官·男	調查官·男	Inspector (Male)	調査官･男	조사관 - 남	ผู้ตรวจการ·ชาย	默认男头像	默認男頭像	Default Male Avatar	初期アイコン･男	기본 남자 프로필	รูปโปรไฟล์ชายเริ่มต้น	刚入职时在调查署里拍的照片，如今存在于你的证件上。	剛入職時在調查署裡拍的照片，如今存在於你的證件上。	A photo taken when you first joined the StormEye Bureau. It's now on your ID.	配属当初に撮影された写真がIDカードに貼られている。	막 임관했을 때 조사국에서 찍은 사진이다. 아직 당신의 신분증에 새겨져 있다.	เป็น​ภาพถ่าย​ที่​ถ่าย​เมื่อ​เริ่ม​ทำงาน​ใหม่​ที่​สำนักงาน​การสืบสวน​ ตอนนี้​มัน​อยู่​ใน​เอกสาร​ประจำตัว​ของ​คุณ​
6200067	62	621	1	5	0				61:player_img_620067				1	3000003	10		4	1	调查官·女	調查官·女	Inspector (Female)	調査官･女	조사관 - 여	ผู้ตรวจการ·หญิง	默认女头像	默認女頭像	Default Female Avatar	初期アイコン･女	기본 여자 프로필	รูปโปรไฟล์หญิงเริ่มต้น	刚入职时在调查署里拍的照片，如今存在于你的证件上。	剛入職時在調查署裡拍的照片，如今存在於你的證件上。	A photo taken when you first joined the StormEye Bureau. It's now on your ID.	配属当初に撮影された写真がIDカードに貼られている。	막 임관했을 때 조사국에서 찍은 사진이다. 아직 당신의 신분증에 새겨져 있다.	เป็น​ภาพถ่าย​ที่​ถ่าย​เมื่อ​เริ่ม​ทำงาน​ใหม่​ที่​สำนักงาน​การสืบสวน​ ตอนนี้​มัน​อยู่​ใน​เอกสาร​ประจำตัว​ของ​คุณ​
6200093	62	622	2	5	0				61:player_frame_620093				1	3000003	10		16	1	想象世界	想像世界	Imaginary World	奇想天外	이매진 월드	โลกในจินตนาการ	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	将想象描绘下来，变成你我可见的世界。	將想像描繪下來，變成你我可見的世界。	Capture the imagination and bring it to life for all to see.	イマジネーションを、目に見える世界に描き出す。	상상을 그려내 주세요, 당신과 우리 모두가 볼 수 있는 세상으로.	ถ่ายทอด​จินตนาการ​ออกมา​ และ​ทำให้​มัน​กลายเป็น​โลก​ที่​เธอ​และ​ฉัน​มองเห็น​ร่วมกัน​
6200094	62	623	3	5	0				62:stickers_img_620094				1	3000003	10		18	1	暗夜猫小队	暗夜貓小隊	Night Cat Squad	ダークキャット	다크나이트 캣	ทีมไนต์แคท	运营活动获得	活動獲得	Obtained from events.	イベント報酬	이벤트  보상	ได้รับจากกิจกรรมการบริหาร	在暗夜中穿行的他们，比流星更耀眼。	在暗夜中穿行的他們，比流星更耀眼。	They traverse the night, shining brighter than shooting stars.	夜の闇を駆け抜ける者たちは、流れ星よりも輝いている。	어둠 속을 누비는 그들은 별보다 더 빛난다.	พวกเขา​ที่​โลดแล่น​อยู่​ท่ามกลาง​รัตติกาล​ เป็นประกาย​เจิดจ้า​ยิ่งกว่า​ดวงดาว​เสีย​อีก​
6200095	62	622	2	5	0				61:player_frame_620095				1	3000003	10		87	1	鲸落水起	鯨落水起	Whale Breaching	クジラの水しぶき	고래의 낙하	วาฬดับคลื่นกำเนิด	头像框·运营活动获得	頭像框·運營活動獲得	Avatar Frame: Obtained from events.	アイコン枠・イベント報酬	프로필 프레임·운영 이벤트 통해 획득	กรอบ​โปรไฟล์​·​ได้รับ​จาก​กิจกรรม​การบริหาร​	它一跃而起，溅起的一层层水花灿若水晶。	它一躍而起，濺起的一層層水花燦若水晶。	It leaps from the water, sending up spray that sparkles like crystal.	跳ね上がった瞬間、弾ける水しぶきが宝石のようにきらめいた。	그것이 힘차게 뛰어오르자, 튀어 오른 물보라는 겹겹이 번지며 수정처럼 찬란하게 빛났다.	มัน​กระโจน​ขึ้น​อย่าง​ฉับพลัน​ สาด​ละออง​น้ำ​เป็นชั้นๆ​ เปล่งประกาย​ดุจ​คริสตัล​
