id	type	showType	quality	stack	openType	openParameter	showGotoIcon	photoId	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
3000001	30	301	6	-1	811	0	1	6:goods_icon_3000001	0	0	0	1	虹晶矿石	虹晶礦石	Irithyst	アイリスクォーツ	프리즘	อิริธิสต์	最为珍贵的战略型物质，只能通过充值手段获得。	最為珍貴的戰略型物質，只能通過充值手段獲得。	The most valuable strategic resource, obtainable only through recharging methods.	最も価値のある戦略物質。チャージによるしか手に入れない。	가장 귀한 전략 물자, 충전을 통해서만 획득할 수 있다	ทรัพยากร​ที่​มีค่า​ที่สุด​ สามารถ​ได้รับ​ผ่าน​การ​เติม​เงิน​เท่านั้น​	在自然界中极其稀少的虹晶矿石，据说是在久远的过去发生过傀化灾变的地区才会产生，拥有极高的价值。	在自然界中極其稀少的虹晶礦石，據說是在久遠的過去發生過傀化災變的地區才會產生，擁有極高的價值。	The extremely rare Irithyst found in nature, believed to originate only from areas that suffered from the Affliction in ancient times, holds immense value.	大昔に傀化の大災害が起きた地域でしか産出されないといわれたアイリスクォーツという結晶。非常に希少価値が高い。	자연계에서 극소량만 얻을 수 있는 광석으로, 머나먼 과거에 발생한 퍼펫화 재앙의 지역에서만 생산된다고 하고, 매우 높은 가치가 있다.	อิ​ริ​ธิสต์​ที่​หา​ยาก​อย่างยิ่ง​ ว่า​กัน​ว่า​เกิดขึ้น​เฉพาะ​ใน​พื้นที่​ที่​เคย​ประสบ​ภัยพิบัติ​จาก​สภาวะ​หุ่นเชิด​ใน​อดีต​ มี​มูลค่า​ที่สูง​มาก​
3000002	30	301	6	-1	301	0	1	6:goods_icon_3000002	0	0	0	1	猫眼石	貓眼石	Opal	キャッツアイ	캣츠아이	โอปอล	具有公认价值的珍贵晶体，用处广泛。	具有公認價值的珍貴晶體，用處廣泛。	A highly valuable crystal widely recognized for its versatility.	幅広い用途で使用され、価値が認められている貴重な緒晶。	모두가 가치를 인정하는 진귀한 크리스털로, 다양한 용도로 사용된다.	ผลึก​ล้ำ​ค่าที่​มี​มูลค่า​เป็นที่ยอมรับ​ มีประโยชน์​อย่าง​มาก​	虹晶矿石经过加工和提炼后获得的晶体产物，由于晶体中有类似猫眼竖瞳的结构，因此被命名为猫眼石。	虹晶礦石經過加工和提煉後獲得的晶體產物，由於晶體中有類似貓眼豎瞳的結構，因此被命名為貓眼石。	The processed and refined Irithyst ore produces crystals called Opal, named for their cat-eye structure.	アイリスクォーツを加工･精製して得られる結晶。構造が猫の目に似ていることからキャッツアイと名付けられた。	프리즘을 가공 및 제련해 만든 크리스털로, 내부에 있는 고양이 눈동자와 유사한 구조 때문에 캣츠아이라 불린다.	ผลึก​ที่​ได้​จาก​การ​แปรรูป​อิ​ริ​ธิสต์​ เนื่องจาก​ภายใน​ผลึก​มี​โครงสร้าง​ที่​คล้าย​กับ​ตาแมว​จึง​ถูก​ตั้ง​ชื่อว่า​ "​โอ​ปอ​ล​"​
3000003	30	301	3	-1	516;415;100		0	6:goods_icon_3000003	0	0	0	1	新海币	新海幣	Catto Coin	新海コイン	뉴오션 코인	เหรียญแคทโตะ	用以多种功能。	用以多種功能。	Used for a wide range of functions.	様々な用途に使われる通貨。	다양한 용도로 쓰인다.	ใช้ได้ในหลายฟังก์ชัน	新海市通过主导绪晶的制作与贩售，而主导发行流通的货币，现在已经成为全世界共同认可的法币之一。	新海市通過主導緒晶的製作與販售，而主導發行流通的貨幣，現在已經成為全世界共同認可的法幣之一。	This currency, issued by Catto City, has gained worldwide recognition due to the city's leadership in Pathite production and sales.	新海市が緒晶の製造・販売を通じて発行・流通させる通貨である、今や世界で最も認知された不換紙幣のひとつである。	뉴오션 시티에서 이모션 크리스털의 판매와 제작을 통하여 발행 및 유통을 주도하는 화폐로, 지금은 전 세계가 인정하는 법정화폐 중 하나가 되었다.	แค​ทโตะ​ ซิตี้​ได้​ครอบครอง​ความเป็นผู้นำ​ใน​การผลิต​และ​จำหน่าย​พา​ไธต์​ พร้อมทั้ง​ควบคุม​ตลาด​ของ​เงินตรา​ ซึ่ง​ปัจจุบัน​ได้รับ​การ​ยอมรับ​ให้​เป็นหนึ่ง​ใน​สกุล​เงิน​ของ​โลก​ใบ​นี้​
3000004	30	511	5	-1	0	0	1	6:goods_icon_3000004	0	0	0	1	情绪	情緒	Pathos	エモーション	이모션	พาโธส	执行调查行动会消耗情绪值，情绪会随时间逐渐恢复。	執行調查行動會消耗情緒值，情緒會隨時間逐漸恢復。	Investigation actions consume Pathos, which gradually replenishes over time.	調査行動を行う時に消費されるエモーション、時間経過により徐々に回復していく。	조사 진행 시 이모션을 소모합니다. 이모션은 시간에 따라 자연 회복됩니다.	ค่า​พา​โธส​ที่​ใช้​ใน​การ​ดำเนิน​การสืบสวน​ และ​ค่า​พา​โธส​จะ​ฟื้นฟู​ตามเวลา​	调查官应当时刻处于情绪饱满的状态……但也不宜过度饱满。	調查官應當時刻處於情緒飽滿的狀態……但也不宜過度飽滿。	You need to maintain your energy levels, ensuring they are neither too high nor too low.	常にエモーションの回復状況を把握し、行動を組み立てましょう。	조사관은 이 때 이모션이 충분한 상태여야 합니다. 하지만 과해서도 안됩니다.	ผู้ตรวจการ​ควร​อยู่​ใน​สภาวะ​ที่​มี​พา​โธ​สเต็ม​อยู่​เสมอ​...​แต่​ก็​ไม่​ควร​มาก​จน​เกินไป​
3000010	30	302	5	-1	0	0	1	6:goods_icon_3000010	0	0	0	1	挑战许可证	挑戰許可證	Arena Ticket	挑戦パス	도전 허가증	ตั๋วอารีน่า	天梯竞技场的挑战许可证	天梯競技場的挑戰許可證	A ticket required to participate in Arena challenges.	アリーナランク戦の挑戦パス	래더 아레나 도전 허가증	ตั๋ว​อารี​น่า​ใน​สกาย​อารี​น่า​	拥有挑战许可证才能参与天梯竞技场，每日补充至上限。	擁有挑戰許可證才能參與天梯競技場，每日補充至上限。	Arena Tickets are limited and replenished daily, allowing entry into the Arena.	アリーナランク戦参加時に必要な挑戦パス。毎日午前5時に上限まで補充される。	도전 허가증이 있어야 래더 아레나에 도전할 수 있다. 매일 최대치로 회복된다.	ต้อง​มี​ตั๋ว​อารี​น่า​ จึง​จะ​เข้า​สกาย​อารี​น่า​ได้​ ระบบ​จะ​เติม​ให้​จน​เต็ม​ใน​ทุกๆ​ วัน​
3000011	30	301	5	-1	721	0	0	6:goods_icon_3000011	0	0	0	1	天梯币	天梯幣	Arena Coin	アリーナコイン	래더 코인	เหรียญสกาย	天梯竞技场玩法获得	天梯競技場玩法獲得	Earned through gameplay in the Arena.	アリーナランク戦で入手	래더 아레나에서 획득 가능	ได้รับ​จาก​โหมด​สกาย​อารี​น่า​	可以在杂货铺-天梯竞技场商城兑换物品。	可以在雜貨鋪-天梯競技場商城兌換物品。	Exchangeable for various items in the Grocery - Arena Shop.	雑貨屋-アリーナショップでアイテムを交換できる。	상점 - 래더 상점에서 보상을 교환할 수 있다.	สามารถ​ใช้​แลก​ไอเทม​ได้​ใน​ร้านค้า​-​มอลล์​สกาย​อารี​น่า​
3000012	30	302	5	-1	0	0	1	6:goods_icon_3000012	0	0	0	1	幻影斗技证	幻影鬥技證	Phantom Clash Ticket	ファントム闘技券	팬텀 투기장 입장권	พาสแฟนธอมอารีน่า	参与幻影斗技场的必要凭证	參與幻影鬥技場的必要憑證	The required pass to participate in the Phantom Clash.	ファントム闘技場参加時に必要な入場券。	팬텀 투기장 참여 시 필요한 증명서	เอกสาร​ที่​จำเป็น​สำหรับ​เข้าร่วม​แฟน​ธอม​อารี​น่า​	在幻影斗技场进行三组小队对抗强者幻影所需的证件。	在幻影鬥技場進行三組小隊對抗強者幻影所需的證件。	The pass required for three teams to fight powerful Phantoms in the Phantom Clash.	ファントム闘技場の3チーム対戦で強者の幻影を挑戦する	팬텀 투기장에서 세 조가 한 팀이 되어 강력한 팬텀에 대항하기 위해 필요한 증명서이다.	เอกสาร​ที่​จำเป็น​สำหรับ​เข้าร่วม​การต่อสู้​แบบ​สาม​ทีม​ใน​แฟน​ธอม​อารี​น่า​
3000013	30	301	5	-1	722	0	0	6:goods_icon_3000013	0	0	0	1	幻影币	幻影幣	Phantom Coin	ファントムコイン	팬텀 코인	เหรียญแฟนธอม	幻影特训场、幻影斗技场玩法获得	幻影特訓場、幻影鬥技場玩法獲得	Obtained from the Master Duel and Phantom Clash gameplay.	ファントム特訓場、ファントム闘技場で入手できる。	팬텀 특훈장, 팬텀 투기장 콘텐츠에서 획득할 수 있다.	ได้รับ​จาก​โหมด​สนาม​ซ้อม​แฟน​ธอม​ แฟน​ธอม​อารี​น่า​	战胜强者幻影后获得的代币，可用来换取奖励。	戰勝強者幻影後獲得的代幣，可用來換取獎勵。	Tokens are earned after defeating strong Phantoms and can be exchanged for rewards.	強者の幻影との勝負で勝利して獲得する。報酬交換に使用できる。	강력한 팬텀을 쓰러뜨린 후 획득할 수 있는 코인이다. 보상으로 교환하는 데 사용된다.	เหรียญ​ที่​ได้รับ​เมื่อ​เอาชนะ​แฟน​ธอม​ของ​ผู้​ที่​แข็งแกร่ง​ ใช้​เพื่อ​แลก​รับรางวัล​
3000021	30	302	5	-1	628	0	1	6:goods_icon_3000021	0	0	0	1	特殊材料副本门票	特殊材料副本門票	A ticket required for Special Material Stages.	特殊ステージ入場券	특수 재료 던전 티켓	ตั๋วดันเจี้ยนวัตถุดิบพิเศษ	特殊材料副本门票	特殊材料副本門票	A ticket required for Special Material Stages.	特殊ステージ入場券	특수 재료 던전 티켓	ตั๋วดันเจี้ยนวัตถุดิบพิเศษ	可用于挑战特殊材料副本使用。	可用於挑戰特殊材料副本使用。	Can be used to challenge Special Material Stages.	特殊素材ステージ挑戦時に必要な入場券。	특수 재료 던전에 도전하는 데 사용된다.	ใช้​สำหรับ​เข้า​ดัน​เจี้ยน​วัตถุดิบ​พิเศษ​
3000009	30	303	5	-1	0	0	1	6:goods_icon_3000009	0	0	0	1	成就点	成就點	Honor Points	アチーブメントポイント	업적 포인트	แต้มผลงาน	完成成就任务时获得。	完成成就任務時獲得。	Earned by completing Honor missions.	アチーブメント任務をクリアすると獲得できるポイント。	업적 미션 완료 시 획득할 수 있다.	ได้รับ​เมื่อ​ทำ​ภารกิจ​ผลงาน​สำเร็จ​	这将是证明你能力的有力依据。	這將是證明你能力的有力依據。	Solid proof of your skills and accomplishments.	これは、あなたの実力を強く示すものとなるだろう。	이 점수는 자신의 능력을 증명하기 위한 증거다.	นี่​จะ​เป็น​หลักฐาน​ที่​พิสูจน์​ความสามารถ​ของ​คุณ​
3000014	30	301	5	-1	249	0	1	6:goods_icon_3000014	0	0	0	1	理智碎片	理智碎片	Sanity Shard	理性の欠片	이성 조각	ชิ้นส่วนสติปัญญา	主要通过击败超世界BOSS掉落，用于在商人处兑换奖励。	主要通過擊敗超世界BOSS掉落，用於在商人處兌換獎勵。	Primarily obtained from defeating World Bosses, which can be exchanged for rewards from merchants.	ワールドBOSS討伐成功時にドロップ、商店で報酬交換に使用できる。	월드 보스를 쓰러뜨려 획득할 수 있으며, 상인에게 보상으로 교환할 수 있습니다.	ดร​อป​จาก​การ​เอาชนะ​เวิลด์​บอส​ ใช้​สำหรับ​แลก​รางวัล​ได้ที่​พ่อค้า​	部分傀随着力量的提升逐渐失去了理智，浓烈的情绪受到情绪粒子的影响凝结成碎片，用于科研说不定会有重大突破。	部分傀隨著力量的提升逐漸失去了理智，濃烈的情緒受到情緒粒子的影響凝結成碎片，用於科研說不定會有重大突破。	Some Anomalies experience a loss of sanity as their power grows. Their intense emotions, influenced by Pathos Particles, condense into shards, which may lead to significant research breakthroughs.	一部の傀はパワーが増すにつれて徐々に正気を失う。それらの強烈な情緒がエモーション粒子に影響され、欠片に凝縮された。科学研究に使えれば、重大な突破を実現できるかもしれない。	일부 퍼펫은 힘이 커질수록 이성을 잃는다. 농밀한 이모션이 이모션 파티클의 영향을 받아 응결된 조각은 과학 기술의 비약적인 발전에 쓰일지도 모른다.	หุ่นเชิด​บางส่วน​สูญเสีย​เหตุผล​ไป​ทีละน้อย​พร้อมกับ​พลัง​ที่​เพิ่มขึ้น​ พา​โธส​อัน​เข้มข้น​ ถูก​ผลึก​เป็น​เศษ​ชิ้นส่วน​ด้วย​อิทธิพล​ของ​อนุภาค​พา​โธส​ ซึ่ง​อาจ​นำไปสู่​ความก้าวหน้า​ครั้ง​สำคัญ​ใน​งานวิจัย​ได้​
3000099	30	303	6	-1	0	0	1	6:goods_icon_3000099	0	0	0	1	充值积分	儲值積分	Top-up Point	ボーナスコイン	충전 포인트	คะแนนเติมเงิน	达到一定数量后可在【福利】-【充值福利】中领取奖励。	達到一定數量後可在【福利】-【儲值福利】中領取獎勵。	Collect enough Top-up Points to claim rewards in the Benefits - Top-up Bonus section.	一定の数に到達すると、【ボーナス】-【チャージ特典】で報酬を受け取ることができます。	일정 수량에 도달한 후 [보너스] - [충전 보너스]에서 보상을 획득할 수 있습니다.	เมื่อ​สะสม​ถึง​จำนวน​ที่​กำหนด​ สา​มาร​ไป​ที่​ [​สวัสดิการ​]​ -​ [​โบนัส​เติม​เงิน​]​ เพื่อ​รับรางวัล​	这绝对是一种能证明你能力的依据，甚至凌驾于其他之上。	這絕對是一種能證明你能力的依據，甚至淩駕於其他之上。	This serves as undeniable proof of your exceptional abilities.	これは間違いなく、あなたの実力を証明する根拠となる。	당신의 능력을 증명하는 절대적인 증거이다. 다른 어떤 것보다 더욱 우위에 있다.	นี่​คือ​หลักฐาน​ที่​สามารถ​พิสูจน์​ความสามารถ​ของ​คุณ​ และ​อาจ​เหนือกว่า​ผู้อื่น​ทั้งหมด​
