id	type	showType	quality	stack	openType	openParameter	photoId	effectType	catId	propertyId	propertyMin	propertyMax	kind	num	appoint	skinKind	skinColor	effectNum	effectId	boxPrefab	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
6401001	64	641	5	0	0	0	36:catball_card_101001	601											6401001		1	布脑斧	布腦斧	Tiger Plushie	布老虎	도끼눈냥	แมวลายเสือ	用于解锁猫球：布脑斧	用於解鎖貓球：布腦斧	Unlocks Cato: Tiger Plushie.	使用すると、ガト「布老虎」が解放される。	냥냥볼 해제에 사용: 도끼눈냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ แมว​ลาย​เสือ​	若已获得布脑斧，则会获得对应的基因。	若已獲得布腦斧，則會獲得對應的基因。	If you already have Tiger Plushie, you will receive the corresponding gene instead.	既に「布老虎」を所有している場合、対応する遺伝子に変換される。	이미 도끼눈냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​แมว​ลาย​เสือ​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6401002	64	641	5	0	0	0	36:catball_card_101002	601											6401002		1	鬼马精灵	鬼馬精靈	Imp	小悪魔	고스트냥	แฟนธอมแคท	用于解锁猫球：鬼马精灵	用於解鎖貓球：鬼馬精靈	Unlocks Cato: Imp.	使用すると、ガト「小悪魔」が解放される。	냥냥볼 해제에 사용: 고스트냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ แฟน​ธอม​แค​ท​	若已获得鬼马精灵，则会获得对应的基因。	若已獲得鬼馬精靈，則會獲得對應的基因。	If you already have Imp, you will receive the corresponding gene instead.	既に「小悪魔」を所有している場合、対応する遺伝子に変換される。	이미 고스트냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​แฟน​ธอม​แค​ท​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6401003	64	641	5	0	0	0	36:catball_card_101003	601											6401003		1	猫老大	貓老大	Top Cat	おかしらニャンコ	냥보스	ลูกพี่เหมียว	用于解锁猫球：猫老大	用於解鎖貓球：貓老大	Unlocks Cato: Top Cat.	使用すると、ガト「おかしらニャンコ」が解放される。	냥냥볼 해제에 사용: 냥보스	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ ลูกพี่​เหมียว​	若已获得猫老大，则会获得对应的基因。	若已獲得貓老大，則會獲得對應的基因。	If you already have Top Cat, you will receive the corresponding gene instead.	既に「おかしらニャンコ」を所有している場合、対応する遺伝子に変換される。	이미 냥보스를 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​ลูกพี่​เหมียว​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6401004	64	641	5	0	0	0	36:catball_card_101004	601											6401004		1	姜饼驯鹿	姜餅馴鹿	Rudie	赤い鼻の猫	진저루돌프	เรนเดียร์จินเจอร์	用于解锁猫球：姜饼驯鹿	用於解鎖貓球：姜餅馴鹿	Unlocks Cato: Rudie.	使用すると、ガト「赤い鼻の猫」が解放される。	냥냥볼 해제에 사용: 진저루돌프	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ เรนเดียร์​จิน​เจอร์​	若已获得姜饼驯鹿，则会获得对应的基因。	若已獲得姜餅馴鹿，則會獲得對應的基因。	If you already have Rudie, you will receive the corresponding gene instead.	既に「赤い鼻の猫」を所有している場合、対応する遺伝子に変換される。	이미 진저루돌프 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​เรนเดียร์​จิน​เจอร์​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6401005	64	641	5	0	0	0	36:catball_card_101005	601											6401005		1	猫咪教父	貓咪教父	Whisker Don	ゴッドファーザー	냥신부님	แคทฟาเธอร์	用于解锁猫球：猫咪教父	用於解鎖貓球：貓咪教父	Unlocks Cato: Whisker Don.	使用すると、ガト「ゴッドファーザー」が解放される。	냥냥볼 해제에 사용: 냥신부님	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ แค​ท​ฟา​เธอร์​	若已获得猫咪教父，则会获得对应的基因。	若已獲得貓咪教父，則會獲得對應的基因。	If you already have Whisker Don, you will receive the corresponding gene instead.	既に「ゴッドファーザー」を所有している場合、対応する遺伝子に変換される。	이미 냥신부님을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​แค​ท​ฟา​เธอร์​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6401006	64	641	5	0	0	0	36:catball_card_101006	601											6401006		1	混血王子	混血王子	Bookworm	猫の王子様	왕자님냥	เจ้าชายเลือดผสม	用于解锁猫球：混血王子	用於解鎖貓球：混血王子	Unlocks Cato: Bookworm.	使用すると、ガト「猫の王子様」が解放される。	냥냥볼 해제에 사용: 왕자님냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ เจ้าชาย​เลือดผสม​	若已获得混血王子，则会获得对应的基因。	若已獲得混血王子，則會獲得對應的基因。	If you already have Bookworm, you will receive the corresponding gene instead.	既に「猫の王子様」を所有している場合、対応する遺伝子に変換される。	이미 왕자님냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​เจ้าชาย​เลือดผสม​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6401007	64	641	5	0	0	0	36:catball_card_101007	601											6401007		1	武林霸喵	武林霸喵	Little Warrior	争覇武林	무림고수냥	แคทมาสเตอร์	用于解锁猫球：武林霸喵	用於解鎖貓球：武林霸喵	Unlocks Cato: Little Warrior.	使用すると、ガト「争覇武林」が解放される。	냥냥볼 해제에 사용: 무림고수냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ แค​ท​มาสเตอร์​	若已获得武林霸喵，则会获得对应的基因。	若已獲得武林霸喵，則會獲得對應的基因。	If you already have Little Warrior, you will receive the corresponding gene instead.	既に「争覇武林」を所有している場合、対応する遺伝子に変換される。	이미 무림고수냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​แค​ท​มาสเตอร์​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6401008	64	641	5	0	0	0	36:catball_card_101008	601											6401008		1	恐龙幼崽	恐龍幼崽	Baby Dino	ダイニャソー	아기공룡냥	ไดโนคิตตี้	用于解锁猫球：恐龙幼崽	用於解鎖貓球：恐龍幼崽	Unlocks Cato: Baby Dino.	使用すると、ガト「ダイニャソー」が解放される。	냥냥볼 해제에 사용: 아기공룡냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ ได​โน​คิตตี้​	若已获得恐龙幼崽，则会获得对应的基因。	若已獲得恐龍幼崽，則會獲得對應的基因。	If you already have Baby Dino, you will receive the corresponding gene instead.	既に「ダイニャソー」を所有している場合、対応する遺伝子に変換される。	이미 아기공룡냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​ได​โน​คิตตี้​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6401009	64	641	4	0	0	0	36:catball_card_101009	601											6401009		1	努力猫猫	努力貓貓	Go-Getter	サラリーニャン	수험생냥	เหมียวจอมมุ่งมั่น	用于解锁猫球：努力猫猫	用於解鎖貓球：努力貓貓	Unlocks Cato: Go-Getter.	使用すると、ガト「サラリーニャン」が解放される。	냥냥볼 해제에 사용: 수험생냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ เหมียว​จอม​มุ่งมั่น​	若已获得努力猫猫，则会获得对应的基因。	若已獲得努力貓貓，則會獲得對應的基因。	If you already have Go-Getter, you will receive the corresponding gene instead.	既に「サラリーニャン」を所有している場合、対応する遺伝子に変換される。	이미 수험생냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​เหมียว​จอม​มุ่งมั่น​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6401010	64	641	5	0	0	0	36:catball_card_101010	601											6401010		1	角黍之祀	角黍之祀	Rice Dumpling	角黍の祀り	댓잎냥냥	บ๊ะจ่าง	用于解锁猫球：角黍之祀	用於解鎖貓球：角黍之祀	Unlocks Cato: Rice Dumpling.	使用すると、ガト「角黍の祀り」が解放される。	냥냥볼 해제에 사용: 댓잎냥냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ บ๊ะจ่าง​	若已获得角黍之祀，则会获得对应的基因。	若已獲得角黍之祀，則會獲得對應的基因。	If you already have Rice Dumpling, you will receive the corresponding gene instead.	既に「角黍の祀り」を所有している場合、対応する遺伝子に変換される。	이미 댓잎냥냥를 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​บ๊ะจ่าง​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6402001	64	641	5	0	0	0	36:catball_card_102001	601											6402001		1	不灭之躯	不滅之軀	The Immortal	不滅な肉体	강시냥냥	อินฟินิตี้	用于解锁猫球：不灭之躯	用於解鎖貓球：不滅之軀	Unlocks Cato: The Immortal.	使用すると、ガト「不滅な肉体」が解放される。	냥냥볼 해제에 사용: 강시냥냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ อินฟินิตี้​	若已获得不灭之躯，则会获得对应的基因。	若已獲得不滅之軀，則會獲得對應的基因。	If you already have The Immortal, you will receive the corresponding gene instead.	既に「不滅な肉体」を所有している場合、対応する遺伝子に変換される。	이미 강시냥냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​อินฟินิตี้​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6402002	64	641	5	0	0	0	36:catball_card_102002	601											6402002		1	猫熊熊猫	貓熊熊貓	Pandy	擬似パンダ	판다바오냥	เหมียวแพนด้า	用于解锁猫球：猫熊熊猫	用於解鎖貓球：貓熊熊貓	Unlocks Cato: Pandy.	使用すると、ガト「擬似パンダ」が解放される。	냥냥볼 해제에 사용: 판다바오냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ เหมียว​แพนด้า​	若已获得猫熊熊猫，则会获得对应的基因。	若已獲得貓熊熊貓，則會獲得對應的基因。	If you already have Pandy, you will receive the corresponding gene instead.	既に「擬似パンダ」を所有している場合、対応する遺伝子に変換される。	이미 판다바오냥를 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​เหมียว​แพนด้า​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6402003	64	641	5	0	0	0	36:catball_card_102003	601											6402003		1	猫形电脑	貓形電腦	Meowbot Mk II	猫型ロボット	컴퓨터냥	เนโกะบอท	用于解锁猫球：猫形电脑	用於解鎖貓球：貓形電腦	Unlocks Cato: Meowbot Mk II.	使用すると、ガト「猫型ロボット」が解放される。	냥냥볼 해제에 사용: 컴퓨터냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ เน​โกะ​บอ​ท​	若已获得猫形电脑，则会获得对应的基因。	若已獲得貓形電腦，則會獲得對應的基因。	If you already have Meowbot Mk II, you will receive the corresponding gene instead.	既に「猫型ロボット」を所有している場合、対応する遺伝子に変換される。	이미 컴퓨터냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​เน​โกะ​บอ​ท​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6402004	64	641	5	0	0	0	36:catball_card_102004	601											6402004		1	柴郡猫	柴郡貓	Cheshire	チェシャ猫	체셔 캣	แมวเชสเชียร์	用于解锁猫球：柴郡猫	用於解鎖貓球：柴郡貓	Unlocks Cato: Cheshire.	使用すると、ガト「チェシャ猫」が解放される。	냥냥볼 해제에 사용: 체셔 캣	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ แมว​เชส​เซียร์​	若已获得柴郡猫，则会获得对应的基因。	若已獲得柴郡貓，則會獲得對應的基因。	If you already have Cheshire, you will receive the corresponding gene instead.	既に「チェシャ猫」を所有している場合、対応する遺伝子に変換される。	이미 체셔 캣을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​แมว​เชส​เซียร์​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
6402005	64	641	5	0	0	0	36:catball_card_102005	601											6402005		1	西部牛仔	西部牛仔	Billy the Cat	カウボーイ	카우보이냥	คาวบอย	用于解锁猫球：西部牛仔	用於解鎖貓球：西部牛仔	Unlocks Cato: Billy the Cat.	使用すると、ガト「カウボーイ」が解放される。	냥냥볼 해제에 사용: 카우보이냥	ใช้​ใน​การ​ปลดล็อก​แค​ทบ​อล​:​ คาวบอย​	若已获得西部牛仔，则会获得对应的基因。	若已獲得西部牛仔，則會獲得對應的基因。	If you already have Billy the Cat, you will receive the corresponding gene instead.	既に「カウボーイ」を所有している場合、対応する遺伝子に変換される。	이미 카우보이냥을 획득했다면 그에 해당하는 유전자를 획득한다.	หาก​ได้รับ​คาวบอย​แล้ว​ จะ​ได้รับ​ยีน​ที่​สอดคล้องกัน​
