id	type	showType	quality	sellitem	sellMoney	openType	openParameter	photoId	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
5510001	55	551	2			228	2010501	6:recipe_icon_5510001				1	快乐水	快樂水	Happy Soda	コーラ	해피워터	แฮปปี้โซดา	这是一张料理食谱，获得后可在咖啡馆中制作对应的料理。	這是一張料理食譜，獲得後可在咖啡館中製作對應的料理。	This is a cooking recipe. Once acquired, you can prepare the corresponding food in the cafe.	レシピ。獲得後、対応する料理を製作できるようになる。	요리 레시피. 획득 후 카페에서 기록된 요리를 제작할 수 있다.	นี่​คือ​สูตร​อาหาร​ใบ​หนึ่ง​ หลัง​ได้รับ​แล้ว​สามารถ​นำ​ไป​ปรุงอาหาร​ที่​คาเฟ่​ได้​	快乐水的食谱，记录着独特的配方与料理手法。	快樂水的食譜，記錄著獨特的配方與料理手法。	The secret recipe for Happy Soda, detailing its exclusive formula and expert techniques.	コーラのレシピ。独特の調理方法と必要な食材が記載されている。	해피워터의 레시피. 독특한 배합방법과 요리법이 기록되어 있다.	สูตร​แฮปปี้​โซดา​ ได้​บันทึก​สูตร​และ​เทคนิค​ใน​การ​ทำ​เฉพาะ​ไว้​
5510002	55	551	3			228	2010502	6:recipe_icon_5510002				1	柠檬快乐水	檸檬快樂水	Happy Lemonade	レモンコーラ	레몬 해피워터	น้ำเลมอนแฮปปี้	这是一张料理食谱，获得后可在咖啡馆中制作对应的料理。	這是一張料理食譜，獲得後可在咖啡館中製作對應的料理。	This is a cooking recipe. Once acquired, you can prepare the corresponding food in the cafe.	レシピ。獲得後、対応する料理を製作できるようになる。	요리 레시피. 획득 후 카페에서 기록된 요리를 제작할 수 있다.	นี่​คือ​สูตร​อาหาร​ใบ​หนึ่ง​ หลัง​ได้รับ​แล้ว​สามารถ​นำ​ไป​ปรุงอาหาร​ที่​คาเฟ่​ได้​	柠檬快乐水的食谱，记录着独特的配方与料理手法。	檸檬快樂水的食譜，記錄著獨特的配方與料理手法。	The secret recipe for Happy Lemonade, detailing its exclusive formula and expert techniques.	レモンコーラのレシピ。独特の調理方法と必要な食材が記載されている。	레몬 해피워터의 레시피. 독특한 배합방법과 요리법이 기록되어 있다.	สูตร​น้ำ​เลมอน​แฮปปี้​ ได้​บันทึก​สูตร​และ​เทคนิค​ใน​การ​ทำ​เฉพาะ​ไว้​
5510003	55	551	4			228	2010503	6:recipe_icon_5510003				1	猫咪快乐水	貓咪快樂水	Neko Soda	ネココーラ	냥냥 해피워터	น้ำแมวเหมียวแฮปปี้	这是一张料理食谱，获得后可在咖啡馆中制作对应的料理。	這是一張料理食譜，獲得後可在咖啡館中製作對應的料理。	This is a cooking recipe. Once acquired, you can prepare the corresponding food in the cafe.	レシピ。獲得後、対応する料理を製作できるようになる。	요리 레시피. 획득 후 카페에서 기록된 요리를 제작할 수 있다.	นี่​คือ​สูตร​อาหาร​ใบ​หนึ่ง​ หลัง​ได้รับ​แล้ว​สามารถ​นำ​ไป​ปรุงอาหาร​ที่​คาเฟ่​ได้​	猫咪快乐水的食谱，记录着独特的配方与料理手法。	貓咪快樂水的食譜，記錄著獨特的配方與料理手法。	The secret recipe for Neko Soda, detailing its exclusive formula and expert techniques.	ネココーラのレシピ。独特の調理方法と必要な食材が記載されている。	냥냥 해피워터의 레시피. 독특한 배합방법과 요리법이 기록되어 있다.	น้ำ​แมว​เหมียว​แฮปปี้​ ได้​บันทึก​สูตร​และ​เทคนิค​ใน​การ​ทำ​เฉพาะ​ไว้​
5510004	55	551	2			234	2020101	6:recipe_icon_5510004				1	苦涩咖啡	苦澀咖啡	Bitter Coffee	にがにがコーヒー	쓰디쓴 커피	กาแฟขม	这是一张料理食谱，获得后可在咖啡馆中制作对应的料理。	這是一張料理食譜，獲得後可在咖啡館中製作對應的料理。	This is a cooking recipe. Once acquired, you can prepare the corresponding food in the cafe.	レシピ。獲得後、対応する料理を製作できるようになる。	요리 레시피. 획득 후 카페에서 기록된 요리를 제작할 수 있다.	นี่​คือ​สูตร​อาหาร​ใบ​หนึ่ง​ หลัง​ได้รับ​แล้ว​สามารถ​นำ​ไป​ปรุงอาหาร​ที่​คาเฟ่​ได้​	苦涩咖啡的食谱，记录着独特的配方与料理手法。	苦澀咖啡的食譜，記錄著獨特的配方與料理手法。	The secret recipe for Bitter Coffee, detailing its exclusive formula and expert techniques.	にがにがコーヒーのレシピ。独特の調理方法と必要な食材が記載されている。	쓰디쓴 커피의 레시피. 독특한 배합방법과 요리법이 기록되어 있다.	สูตร​กาแฟ​รส​ขม​ ได้​บันทึก​สูตร​และ​เทคนิค​ใน​การ​ทำ​เฉพาะ​ไว้​
5510005	55	551	3			234	2020102	6:recipe_icon_5510005				1	催眠拿铁	催眠拿鐵	Hypnosis Latte	うとうとラテ	최면 라테	ลาเต้สะกดจิต	这是一张料理食谱，获得后可在咖啡馆中制作对应的料理。	這是一張料理食譜，獲得後可在咖啡館中製作對應的料理。	This is a cooking recipe. Once acquired, you can prepare the corresponding food in the cafe.	レシピ。獲得後、対応する料理を製作できるようになる。	요리 레시피. 획득 후 카페에서 기록된 요리를 제작할 수 있다.	นี่​คือ​สูตร​อาหาร​ใบ​หนึ่ง​ หลัง​ได้รับ​แล้ว​สามารถ​นำ​ไป​ปรุงอาหาร​ที่​คาเฟ่​ได้​	催眠拿铁的食谱，记录着独特的配方与料理手法。	催眠拿鐵的食譜，記錄著獨特的配方與料理手法。	The secret recipe for Hypnosis Latte, detailing its exclusive formula and expert techniques.	うとうとラテのレシピ。独特の調理方法と必要な食材が記載されている。	최면 라테의 레시피. 독특한 배합방법과 요리법이 기록되어 있다.	สูตร​ลาเต้​สะกดจิต​ ได้​บันทึก​สูตร​และ​เทคนิค​ใน​การ​ทำ​เฉพาะ​ไว้​
5510006	55	551	4			234	2020103	6:recipe_icon_5510006				1	孤独焦糖拿铁	孤獨焦糖拿鐵	Lonely Caramel Latte	キャラメルラテ	고독의 카라멜 라테	โลนลี่คาราเมลลาเต้	这是一张料理食谱，获得后可在咖啡馆中制作对应的料理。	這是一張料理食譜，獲得後可在咖啡館中製作對應的料理。	This is a cooking recipe. Once acquired, you can prepare the corresponding food in the cafe.	レシピ。獲得後、対応する料理を製作できるようになる。	요리 레시피. 획득 후 카페에서 기록된 요리를 제작할 수 있다.	นี่​คือ​สูตร​อาหาร​ใบ​หนึ่ง​ หลัง​ได้รับ​แล้ว​สามารถ​นำ​ไป​ปรุงอาหาร​ที่​คาเฟ่​ได้​	孤独焦糖拿铁的食谱，记录着独特的配方与料理手法。	孤獨焦糖拿鐵的食譜，記錄著獨特的配方與料理手法。	The secret recipe for Lonely Caramel Latte, detailing its exclusive formula and expert techniques.	キャラメルラテのレシピ。独特の調理方法と必要な食材が記載されている。	고독의 카라멜 라테 레시피. 독특한 배합방법과 요리법이 기록되어 있다.	สูตร​โลน​ลี่​คาราเมล​ลาเต้​ ได้​บันทึก​สูตร​และ​เทคนิค​ใน​การ​ทำ​เฉพาะ​ไว้​
5510007	55	551	2			248	2030501	6:recipe_icon_5510007				1	悠然绿茶	悠然綠茶	Carefree Green Tea	ゆるゆる緑茶	여유의 녹차	ชาเขียวผ่อนคลาย	这是一张料理食谱，获得后可在咖啡馆中制作对应的料理。	這是一張料理食譜，獲得後可在咖啡館中製作對應的料理。	This is a cooking recipe. Once acquired, you can prepare the corresponding food in the cafe.	レシピ。獲得後、対応する料理を製作できるようになる。	요리 레시피. 획득 후 카페에서 기록된 요리를 제작할 수 있다.	นี่​คือ​สูตร​อาหาร​ใบ​หนึ่ง​ หลัง​ได้รับ​แล้ว​สามารถ​นำ​ไป​ปรุงอาหาร​ที่​คาเฟ่​ได้​	悠然绿茶的食谱，记录着独特的配方与料理手法。	悠然綠茶的食譜，記錄著獨特的配方與料理手法。	The secret recipe for Carefree Green Tea, detailing its exclusive formula and expert techniques.	ゆるゆる緑茶のレシピ。独特の調理方法と必要な食材が記載されている。	여유의 녹차 레시피. 독특한 배합방법과 요리법이 기록되어 있다.	สูตร​ชาเขียว​ผ่อนคลาย​ ได้​บันทึก​สูตร​และ​เทคนิค​ใน​การ​ทำ​เฉพาะ​ไว้​
5510008	55	551	3			248	2030502	6:recipe_icon_5510008				1	悠然奶茶	悠然奶茶	Carefree Milk Tea	ゆるゆるミルクティー	여유의 밀크티	ชานมสบายใจ	这是一张料理食谱，获得后可在咖啡馆中制作对应的料理。	這是一張料理食譜，獲得後可在咖啡館中製作對應的料理。	This is a cooking recipe. Once acquired, you can prepare the corresponding food in the cafe.	レシピ。獲得後、対応する料理を製作できるようになる。	요리 레시피. 획득 후 카페에서 기록된 요리를 제작할 수 있다.	นี่​คือ​สูตร​อาหาร​ใบ​หนึ่ง​ หลัง​ได้รับ​แล้ว​สามารถ​นำ​ไป​ปรุงอาหาร​ที่​คาเฟ่​ได้​	悠然奶茶的食谱，记录着独特的配方与料理手法。	悠然奶茶的食譜，記錄著獨特的配方與料理手法。	The secret recipe for Carefree Milk Tea, detailing its exclusive formula and expert techniques.	ゆるゆるミルクティーのレシピ。独特の調理方法と必要な食材が記載されている。	여유의 밀크티 레시피. 독특한 배합방법과 요리법이 기록되어 있다.	ชา​นม​สบายใจ​ ได้​บันทึก​สูตร​และ​เทคนิค​ใน​การ​ทำ​เฉพาะ​ไว้​
5510009	55	551	4			248	2030503	6:recipe_icon_5510009				1	悠然珍珠奶茶	悠然珍珠奶茶	Carefree Bubble Tea	ゆるゆるタピオカミルクティー	여유의 버블티	เพิร์ลมิลก์ทีสบายใจ	这是一张料理食谱，获得后可在咖啡馆中制作对应的料理。	這是一張料理食譜，獲得後可在咖啡館中製作對應的料理。	This is a cooking recipe. Once acquired, you can prepare the corresponding food in the cafe.	レシピ。獲得後、対応する料理を製作できるようになる。	요리 레시피. 획득 후 카페에서 기록된 요리를 제작할 수 있다.	นี่​คือ​สูตร​อาหาร​ใบ​หนึ่ง​ หลัง​ได้รับ​แล้ว​สามารถ​นำ​ไป​ปรุงอาหาร​ที่​คาเฟ่​ได้​	悠然珍珠奶茶的食谱，记录着独特的配方与料理手法。	悠然珍珠奶茶的食譜，記錄著獨特的配方與料理手法。	The secret recipe for Carefree Bubble Tea, detailing its exclusive formula and expert techniques.	ゆるゆるタピオカミルクティーのレシピ。独特の調理方法と必要な食材が記載されている。	여유의 버블티 레시피. 독특한 배합방법과 요리법이 기록되어 있다.	สูตร​เพิร์ล​มิลก์​ที​สบายใจ​ ได้​บันทึก​สูตร​และ​เทคนิค​ใน​การ​ทำ​เฉพาะ​ไว้​
