id	type	showType	quality	stack	openType	openParameter	photoId	bagUsed	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
5300001	53	531	4	0	0	0	6:goods_icon_5300001		401	1	0	1	新海市声望	新海市聲望	Catto City Reputation	新海市評判	뉴오션 시티 명성	ชื่อเสียงแคทโตะ ซิตี้	对应调查获得的点数。	對應調查獲得的點數。	Points earned from investigations.	Pending对应调查获得的点数。	조사를 통해 획득한 점수다.	จำนวน​แต้ม​ที่​ได้รับ​จาก​การ​ตรวจสอบ​ที่​สอดคล้อง​	用以升级新海市声望	用以升級新海市聲望	Used to improve your reputation in Catto City.	新海市評判のレベルアップに使用する。	뉴오션 시티 명성 레벨업에 사용된다.	ใช้​สำหรับ​อัปเกรด​เล​เวล​ชื่อเสียง​แค​ทโตะ​ ซิตี้​
5300099	53	531	4	0	0	0	6:goods_icon_5300099		402	100	0	1	人物经验	人物經驗	Character EXP	調査官EXP	인물 경험	EXP ตัวละคร	人物经验	人物經驗	Character EXP	調査官EXP	인물 경험	EXP ตัวละคร	人物经验	人物經驗	Character EXP	調査官EXP	인물 경험	EXP ตัวละคร
5310000	53	531	4	0	0	0	6:goods_icon_5310000		501	1	1	1	活跃值	活躍值	Activeness	活躍度	활약도	ค่าแอ็กทีฟ	主要通过完成日常任务获得，可提升合约等级。	主要通過完成日常任務獲得，可提升合約等級。	Primarily earned through daily missions, it helps boost your contract level.	契約のレベルアップに必要な経験値。デイリー任務をクリアすることで獲得できる。	일상 미션을 통해 획득할 수 있다. 계약 레벨을 올릴 수 있다.	ส่วนใหญ่​ได้รับ​จาก​การ​สำเร็จ​ภารกิจ​รายวัน​ สามารถ​อัปเกรด​เล​เวล​พาส​ได้​	用于提升调查官合约等级的点数。	用於提升調查官合約等級的點數。	Points that are used to boost your contract level.	契約のレベルアップに使用するポイント。	조사관 계약 레벨업에 사용되는 점수이다.	จำนวน​แต้ม​ที่​ใช้​สำหรับ​อัปเกรด​เล​เวล​พาส​ผู้ตรวจสอบ​
5320000	53		4	0	0	0	6:goods_icon_5320000		201	1	1	1	小白的信	小白的信	Shiro's Letter	シロの手紙	화이트의 편지	จดหมายของชิโระ	打开后可查看小白想对您说的话	打開後可查看小白想對您說的話	Open to reveal a personal message from Shiro.	手紙を開いて、シロの言いたいことを読んでみましょう。	오픈 후 화이트가 당신에게 하고 싶은 말을 볼 수 있다.	หลัง​เปิด​สามารถ​ตรวจสอบ​ดู​คำพูด​ที่​ชิ​โระ​อยาก​พูด​กับ​ท่าน​	不善于表达的她，将千言万语都写在了纸上	不善於表達的她，將千言萬語都寫在了紙上	Not adept at expressing herself, she tends to write everything on paper.	口下手な彼女は、言いたいことを手紙に書いた。	표현이 서투른 그녀는 모든 말을 종이에 쓰는 편이다.	นาง​แสดงออก​ไม่​เก่ง​จึง​เขียน​คำพูด​นับ​หมื่น​พัน​นั้น​ลง​ใน​กระดาษ​
5300002	53	531	4	0	0	0	6:goods_icon_5300002		805	3000003	100	1	餐厅经验	餐廳經驗	Cafe EXP	レストランEXP	카페테리아 EXP	EXP คาเฟ่	可用于提升餐厅等级	可用於提升餐廳等級	Used to upgrade your Cafe.	レストランのレベルアップに使用する。	카페테리아 레벨업에 사용된다.	สามารถ​ใช้​อัปเกรด​เล​เวล​คาเฟ่​	在餐厅内忙碌的每一天，都会化成宝贵的经验。	在餐廳內忙碌的每一天，都會化成寶貴的經驗。	Every busy day at the Cafe adds to your experience.	レストランでの忙しい毎日が、貴重な経験に変わります。	카페테리아의 바쁜 하루하루가 귀한 경험이 된다.	แต่ละวัน​ที่ทำงาน​วุ่นวาย​ใน​คาเฟ่​จะ​กลายเป็น​ EXP​ ที่​ล้ำค่า​
5340001	53		4	0	0	0	6:goods_icon_5340001					1	战斗员语音	戰鬥員語音	Combatant Voices	ボイス	전투원 음성	เสียงตัวละคร	战斗员好感度提升获得的奖励语音	戰鬥員好感度提升獲得的獎勵語音	Audio obtained by increasing Affection with the corresponding Combatants.	戦闘員好感度	전투원 호감도 상승 시 획득할 수 있는 보상 음성	เสียง​ที่​ได้รับ​จาก​การ​อัปเกรด​ค่า​ความสัมพันธ์​ตัวละคร​	战斗员好感度提升获得的奖励语音	戰鬥員好感度提升獲得的獎勵語音	Audio obtained by increasing Affection with the corresponding Combatants.	戦闘員好感度	전투원 호감도 상승 시 획득할 수 있는 보상 음성	เสียง​ที่​ได้รับ​จาก​การ​อัปเกรด​ค่า​ความสัมพันธ์​ตัวละคร​
5340002	53		4	0	0	0	6:goods_icon_5340002					1	战斗员属性	戰鬥員屬性	Combatant Attributes	基本ステータス	전투원 속성	คุณสมบัติตัวละคร	战斗员好感度提升获得的属性加成	戰鬥員好感度提升獲得的屬性加成	Bonus stats obtained by increasing Affection with the corresponding Combatants.	好感度を上げると、ステータスボーナスを獲得できます。	전투원 호감도 상승 시 획득할 수 있는 속성 보너스	โบนัส​คุณสมบัติ​ที่​ได้รับ​จาก​การ​อัปเกรด​ค่า​ความสัมพันธ์​ตัวละคร​	战斗员好感度提升获得的属性加成	戰鬥員好感度提升獲得的屬性加成	Bonus stats obtained by increasing Affection with the corresponding Combatants.	好感度を上げると、ステータスボーナスを獲得できます。	전투원 호감도 상승 시 획득할 수 있는 속성 보너스	โบนัส​คุณสมบัติ​ที่​ได้รับ​จาก​การ​อัปเกรด​ค่า​ความสัมพันธ์​ตัวละคร​
5340003	53		4	0	0	0	6:goods_icon_5340003					1	战斗员档案	戰鬥員檔案	Combatant Archive	戦闘員プロファイル	전투원 파일	ไฟล์ตัวละคร	可以在档案里查看	可以在檔案裡查看	Displayed in the Archive.	キャラ情報で確認できます。	파일에서 볼 수 있음	สามารถ​ตรวจสอบ​ดู​ได้​ไฟล์​เอกสาร​	可以在档案里查看	可以在檔案裡查看	Displayed in the Archive.	キャラ情報で確認できます。	파일에서 볼 수 있음	สามารถ​ตรวจสอบ​ดู​ได้​ไฟล์​เอกสาร​
5340004	53		4	0	0	0	6:goods_icon_5340004					1	猫形态	貓形態	Cat Form	猫形態	고양이 모드	รูปลักษณ์แมว	战斗员解锁猫形态	戰鬥員解鎖貓形態	Cat Forms unlocked for Combatants	猫形態開放	전투원 고양이 모드 기능 잠금 해제	ตัวละคร​ปลดล็อก​รูปลักษณ์​แมว​	战斗员解锁猫形态	戰鬥員解鎖貓形態	Cat Forms unlocked for Combatants	猫形態開放	전투원 고양이 모드 기능 잠금 해제	ตัวละคร​ปลดล็อก​รูปลักษณ์​แมว​
