id	group	reward	name	minNum	maxNum	weight	random	type	dropType	dropParameter	status
int	int	int	int	int	int	int	int	int	int	int	int
1001001	1001	4100011	重构金属	10	10	1000	1	1			1
1001002	1001	4101002	中级武装经验	5	5	2000	1	1			1
1001004	1001	4102031	SSR升阶情绪粒子	1	1	1000	1	1			1
1001005	1001	4102105	5星升阶模块 R	1	1	1000	1	1			1
1001006	1001	4102205	5星升阶模块 G	1	1	1000	1	1			1
1001007	1001	4102305	5星升阶模块 B	1	1	1000	1	1			1
1001008	1001	4102021	SR升阶情绪粒子	3	3	1000	1	1			1
1001009	1001	5100015	5级资金包	1	1	2000	1	1			1
3000001	3000	3000002	猫眼石	50	50	300	1	1			1
3000002	3000	4100011	强化金属	5	5	200	1	1			1
3000003	3000	4102011	情绪粒子·初级	3	3	200	1	1			1
3000004	3000	3000003	新海币	10000	10000	150	1	1			1
3000005	3000	4101001	初级武装经验	5	5	150	1	1			1
1000301	10003	4104041	皮肤低	5	5	9000	1	1			1
1000302	10003	4104042	皮肤中	5	5	3000	1	1			1
1000303	10003	4104043	皮肤高	5	5	1000	1	1			1
1000306	10003	4104041	皮肤低	3	3	3000	0.6	3			1
1000307	10003	4104042	皮肤中	3	3	2000	0.6	3			1
1000308	10003	4104043	皮肤高	3	3	1000	0.6	3			1
1000309	10003	3000018	猫球	1	1	2500	0.6	4			1
1000310	10003	3000018	猫球	2	2	5000	0.6	4			1
2101101	21011	4010111	101套装部位1品质1	1	1	4000	1	1			1
2101102	21011	4010112	101套装部位2品质1	1	1	6000	1	1			1
2101103	21011	4010113	101套装部位3品质1	1	1	4000	1	1			1
2101104	21011	4010114	101套装部位4品质1	1	1	6000	1	1			1
2101105	21011	4010115	101套装部位5品质1	1	1	4000	1	1			1
2101106	21011	4010116	101套装部位6品质1	1	1	6000	1	1			1
2101107	21011	4010121	101套装部位1品质2	1	1	2000	1	1			1
2101108	21011	4010122	101套装部位2品质2	1	1	3000	1	1			1
2101109	21011	4010123	101套装部位3品质2	1	1	2000	1	1			1
2101110	21011	4010124	101套装部位4品质2	1	1	3000	1	1			1
2101111	21011	4010125	101套装部位5品质2	1	1	2000	1	1			1
2101112	21011	4010126	101套装部位6品质2	1	1	3000	1	1			1
2101113	21011	4010131	101套装部位1品质3	1	1	1000	1	1			1
2101114	21011	4010132	101套装部位2品质3	1	1	1500	1	1			1
2101115	21011	4010133	101套装部位3品质3	1	1	1000	1	1			1
2101116	21011	4010134	101套装部位4品质3	1	1	1500	1	1			1
2101117	21011	4010135	101套装部位5品质3	1	1	1000	1	1			1
2101118	21011	4010136	101套装部位6品质3	1	1	1500	1	1			1
2101201	21012	4010121	101套装部位1品质2	1	1	2000	1	1			1
2101202	21012	4010122	101套装部位2品质2	1	1	3000	1	1			1
