id	time	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	nextRecoveryDesc	nextRecoveryDesc_zh_TW	nextRecoveryDesc_en_UK	nextRecoveryDesc_ja_JP	nextRecoveryDesc_ko_KR	nextRecoveryDesc_th_TH	allRecoveryDesc	allRecoveryDesc_zh_TW	allRecoveryDesc_en_UK	allRecoveryDesc_ja_JP	allRecoveryDesc_ko_KR	allRecoveryDesc_th_TH	helpDesc	helpDesc_zh_TW	helpDesc_en_UK	helpDesc_ja_JP	helpDesc_ko_KR	helpDesc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
3000004	300	1	情绪	情緒	Pathos	エモーション	이모션	พาโธส	距离下次恢复：	距離下次恢復：	Until Next Recovery:	次の回復まで：	다음 회복 남은 시간:	การฟื้นฟูครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每5分钟恢复1点情绪	每5分鐘恢復1點情緒	Restores 1 Pathos every 5 min.	5分ごとにエモーション1回復	매 5분마다 이모션 1점 회복	ฟื้นฟู​พา​โธส​ 1​ แต้ม​ ทุกๆ​ 5​ นาที​
3000021	28800	1	日常副本SP特殊材料	日常副本SP特殊材料	Daily Stage - SP Special Material	デイリーステージSP特殊素材	일상 던전 SP 특수 재료	วัตถุดิบ​พิเศษ​ของ​ดัน​เจี้ยน​ SP​ รายวัน​	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每8小时发放1张入场凭证	每8小時發放1張入場憑證	Distributes 1 ticket every 8 hr	8時間ごとに入場券1回復	매 8시간마다 입장권 1장 지급	แจก​บัตร​เข้า​สนาม​ 1​ ใบ​ ทุกๆ​ 8​ ชั่วโมง​
3000012	10800	1	幻影斗技证	幻影鬥技證	Phantom Clash Ticket	ファントム闘技券	팬텀 투기장 입장권	พาสแฟนธอมอารีน่า	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3小时发放1张训练证	每3小時發放1張訓練證	Get 1 ticket every 3 hours.	3時間ごとに訓練パス1回復	매 3시간마다 훈련증 1장 지급	แจก​พาส​ฝึก​ 1​ ใบ​ ทุกๆ​ 3​ ชั่วโมง​
3000022	10800	1	幻影特训证	幻影特訓證	Master Duel Ticket	ファントム特訓券	팬텀 특훈 입장권	พาสสนามซ้อมแฟนธ่อม	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3小时发放1张训练证	每3小時發放1張訓練證	Get 1 ticket every 3 hours.	3時間ごとに訓練パス1回復	매 3시간마다 훈련증 1장 지급	แจก​พาส​ฝึก​ 1​ ใบ​ ทุกๆ​ 3​ ชั่วโมง​
9000010	180	1	果香烤鸡	果香烤雞	Roasted Chicken	ローストチキン	과일향 로스트 치킨	ไก่ย่างผลไม้	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3分钟恢复1个果香烤鸡	每3分鐘恢復1個果香烤雞	Get 1 Roasted Chicken every 3 min.	3分ごとにローストチキン1回復	매 3분마다 과일향 로스트 치킨 1개 회복	ฟื้นฟู​ไก่ย่าง​ผลไม้​ 1​ ตัว​ ทุกๆ​ 3​ นาที​
9000037	180	1	行动力	行動力	Action Points	行動力	행동력	เอเนอร์จี	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每3分钟恢复1个行动力	每3分鐘恢復1個行動力	Get 1 Action Point every 3 min.	3分ごとに行動力1回復	3분 마다 행동력 1개 회복	ฟื้นฟู​เอ​เนอร์​จี​ 1​ แต้ม​ ทุกๆ​ 3​ นาที​
9000042	240	1	竹子	竹子	Bamboo	竹	대나무	ไม้ไผ่	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每4分钟恢复1根竹子	每4分鐘恢復1根竹子	Get 1 Bamboo every 4 min.	4分ごとに竹1つ回復。	매 4분마다 대나무 1개 회복	ฟื้นฟู​ไม้​ไผ่​ 1​ ไม้​ ทุกๆ​ 4​ นาที​
9030001	240	1	逗猫棒	逗貓棒	Cat Teaser	猫じゃらし	고양이낚시대	ไม้ล่อแมว	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每4分钟恢复1根逗猫棒	每4分鐘恢復1根逗貓棒	Get 1 Cat Teaser every 4 min.	4分ごとに猫じゃらし1本回復	4분마다 고양이낚시대 1개가 회복된다.	ฟื้นฟู​ไม้​ล่อ​แมว​ 1​ ไม้​ ทุกๆ​ 4​ นาที​
3000024	604800	1	试炼信物	試煉信物	Trial Token	試練の証	시련의 증거	สัญลักษณ์ทดสอบ	距离下次发放：	距離下次發放：	Until Next Distribution:	次の回復まで：	다음 지급까지 남은 시간:	การแจกจ่ายครั้งถัดไป:	预计达到上限：	預計達到上限：	Estimation to Limit:	上限まで：	예상 상한선:	จะฟื้นฟูเต็มในอีก:	每7天恢复1个试炼信物	每7天恢復1個試煉信物	Get 1 Trial Token every 7 days.	7日ごとに試練の証が1個回復する	7일마다 시련의 증거가 1개 회복한다	ฟื้นฟู​สัญลักษณ์​ทดสอบ​ 1​ ชิ้น​ ทุกๆ​ 7​ วัน​
