id	type	showType	quality	stack	sellitem	sellMoney	openType	openParameter	photoId	bagUsed	redPoint	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
5100011	51	301	1	999	0	0			6:goods_icon_5100011	1	1	201	3000003	2400	1	1级资金包	1級資金包	Lv.1 Fund Package	新海コインパックLv.1	뉴오션 코인 패키지Ⅰ	แพ็กเกจเงินทุนระดับ 1	打开获得2400新海币	打開獲得2400新海幣	Contains 2400 Catto Coins.	使用すると新海コイン2400を獲得できます。	오픈 시 2400 뉴오션 코인 획득	เมื่อ​เปิด​จะ​ได้รับ​เหรียญ​แค​ทโตะ​ 2,400​ เหรียญ​	调查官，您的补给到了	調查官，您的補給到了	Inspector, your supplies have arrived.	調査官、補給が届きました。	조사관님, 보급이 도착했습니다	คุณ​ผู้ตรวจการ​ เสบียง​ของ​คุณ​มาถึง​แล้ว​
5100012	51	301	2	999	0	0	635;637		6:goods_icon_5100012	1	1	201	3000003	6000	1	2级资金包	2級資金包	Lv.2 Fund Package	新海コインパックLv.2	뉴오션 코인 패키지Ⅱ	แพ็กเกจเงินทุนระดับ 2	打开获得6000新海币	打開獲得6000新海幣	Contains 6000 Catto Coins.	使用すると新海コイン6000を獲得できます。	오픈 시 6000 뉴오션 코인 획득	เมื่อ​เปิด​จะ​ได้รับ​เหรียญ​แค​ทโตะ​ 6,000​ เหรียญ​	调查官，您的补给到了	調查官，您的補給到了	Inspector, your supplies have arrived.	調査官、補給が届きました。	조사관님, 보급이 도착했습니다	คุณ​ผู้ตรวจการ​ เสบียง​ของ​คุณ​มาถึง​แล้ว​
5100013	51	301	3	999	0	0	635;626;628;637	0;0;0	6:goods_icon_5100013	1	1	201	3000003	15000	1	3级资金包	3級資金包	Lv.3 Fund Package	新海コインパックLv.3	뉴오션 코인 패키지Ⅲ	แพ็กเกจเงินทุนระดับ 3	打开获得15000新海币	打開獲得15000新海幣	Contains 15000 Catto Coins.	使用すると新海コイン15000を獲得できます。	오픈 시 15000 뉴오션 코인 획득	เมื่อ​เปิด​จะ​ได้รับ​เหรียญ​แค​ทโตะ​ 15,000​ เหรียญ​	调查官，您的补给到了	調查官，您的補給到了	Inspector, your supplies have arrived.	調査官、補給が届きました。	조사관님, 보급이 도착했습니다	คุณ​ผู้ตรวจการ​ เสบียง​ของ​คุณ​มาถึง​แล้ว​
5100014	51	301	4	999	0	0	635;626;637	0	6:goods_icon_5100014	1	1	201	3000003	37500	1	4级资金包	4級資金包	Lv.4 Fund Package	新海コインパックLv.4	뉴오션 코인 패키지IV	แพ็กเกจเงินทุนระดับ 4	打开获得37500新海币	打開獲得37500新海幣	Contains 37500 Catto Coins.	使用すると新海コイン37500を獲得できます。	오픈 시 37500 뉴오션 코인 획득	เมื่อ​เปิด​จะ​ได้รับ​เหรียญ​แค​ทโตะ​ 37,500​ เหรียญ​	调查官，您的补给到了	調查官，您的補給到了	Inspector, your supplies have arrived.	調査官、補給が届きました。	조사관님, 보급이 도착했습니다	คุณ​ผู้ตรวจการ​ เสบียง​ของ​คุณ​มาถึง​แล้ว​
5100015	51	301	5	999	0	0	635	0	6:goods_icon_5100015	1	1	201	3000003	93750	1	5级资金包	5級資金包	Lv.5 Fund Package	新海コインパックLv.5	뉴오션 코인 패키지V	แพ็กเกจเงินทุนระดับ 5	打开获得93750新海币	打開獲得93750新海幣	Contains 93750 Catto Coins.	使用すると新海コイン93750を獲得できます。	오픈 시 93750 뉴오션 코인 획득	เมื่อ​เปิด​จะ​ได้รับ​เหรียญ​แค​ทโตะ​ 93,750​ เหรียญ​	调查官，您的补给到了	調查官，您的補給到了	Inspector, your supplies have arrived.	調査官、補給が届きました。	조사관님, 보급이 도착했습니다	คุณ​ผู้ตรวจการ​ เสบียง​ของ​คุณ​มาถึง​แล้ว​
5100021	51	302	5	999	0	0	635	0	6:goods_icon_5100021	1	0	201	3000021	3	1	SP副本票夹	SP副本票夾	Ticket Folder	SPステージ入場券セット	SP던전 티켓 케이스	คลิปตั๋วดันเจี้ยน SP	打开获得3张SP副本门票	打開獲得3張SP副本門票	Contains 3 SP stage tickets.	使用するとSPステージ入場券3枚獲得できます。	오픈 시 SP던전 티켓 3장 획득	เมื่อ​เปิด​จะ​ได้รับ​ตั๋ว​ดัน​เจี้ยน​ SP​ จำนวน​ 3​ ใบ​	打开获得3张SP副本门票	打開獲得3張SP副本門票	Contains 3 SP stage tickets.	使用するとSPステージ入場券3枚獲得できます。	오픈 시 SP던전 티켓 3장 획득	เมื่อ​เปิด​จะ​ได้รับ​ตั๋ว​ดัน​เจี้ยน​ SP​ จำนวน​ 3​ ใบ​
5100001	51	511	4	999	0	0	636	0	6:goods_icon_5100001	1	0	201	3000004	60	1	情绪罐头	情緒罐頭	Pathos Can	エモ缶	이모션 캔	เอเนอร์จีพาโธส	消耗后可增加60点情绪值。	消耗後可增加60點情緒值。	Open it to gain 60 Pathos.	使用すると、気分値を60点回復する。	사용 시 이모션 60포인트가 증가한다.	เมื่อ​ใช้​จะ​ฟื้นฟู​พา​โธส​ 60​ หน่วย​	当精力大量被消耗时，可以用来补充精力的食物，除了美味的口感以外，还附带优质纯净的情绪粒子波动，用以激发和调整情绪状态。	當精力大量被消耗時，可以用來補充精力的食物，除了美味的口感以外，還附帶優質純淨的情緒粒子波動，用以激發和調整情緒狀態。	Food that can replenish your depleted energy. In addition to delicious taste, it also comes with pure Pathos Particles of high quality, which can stimulate or adjust your emotional state.	便利で美味しい缶詰め。ハイクオリティで純度の高いエモーション粒子を多く含んでおり、エモーショナル状態を手早く調整できる。	에너지가 대량으로 소모되었을 때 에너지를 보충하는 데 사용되는 음식이다. 뛰어한 식감 외에 고품질의 순수한 이모션 파티클 웨이브가 함유되어 있어, 이모션을 자극하거나 조정할 수 있다.	เมื่อ​พลังงาน​ถูก​ใช้​ไป​จำนวนมาก​ อาหาร​ที่​สามารถ​ใช้​เติม​พลังงาน​ได้​ นอกจาก​จะ​มี​รสชาติ​อร่อย​แล้ว​ ยังมี​การ​ปล่อย​คลื่น​อนุภาค​พา​โธส​บริสุทธิ์​ที่​ช่วย​กระตุ้น​และ​ปรับ​สมดุล​สภาพ​พา​โธส​อีกด้วย​
5111011	51	501	3	999	0	0			6:goods_icon_5111011	1	1	202	11011	1	1	3星昆士区补给箱	3星昆士區補給箱	3★ Quince Supply Box	★3コンシ区補給箱	3★ 퀸즈 타운 보급 상자	เสบียงเขตควินซ์ 3★	进攻套装补给箱	進攻套裝補給箱	Offense Set Supply Box	攻撃セット補給箱	진격 세트 장비 보급 상자	กล่องเสบียงเซ็ตโจมตี	随机获得：攻击套中头饰、颈环、嘴套的NC、N、R品质装备 或 强化金属、1星升星纤维、2星升星纤维、3星升星纤维、重组器	隨機獲得：攻擊套中頭飾、頸環、嘴套的NC、N、R品質裝備 或 強化金屬、1星升星纖維、2星升星纖維、3星升星纖維、重組器	Randomly contains: Offense Set NC, N, R Headpiece, Necklace, Mouthpiece, Enhancement Metal, 1★ Star-up Fiber, 2★ Star-up Fiber, 3★ Star-up Fiber, and Recombinator.	以下のアイテムの内いずれか1つを獲得:攻撃セット･頭部、首、顔のNC、N、R品質の装備。または強化金属、★1昇格繊維、★2昇格繊維、★3昇格繊維、リセットマシン。	랜덤 획득: [공격 세트 중 머리 장식, 목걸이, 마스크의 NC, N, R 등급의 장비] 혹은 [강화 금속, 1★ 승급 섬유, 2★ 승급 섬유, 3★ 승급 섬유, 재구성기]	สุ่ม​รับ​:​ ประดับ​หัว​ ปลอกคอ​ ส่วน​ปาก​ของ​เซ็ต​โจมตี​ ระดับ​ NC​, N​, R​ หรือ​ เหล็กรีไฟน์,​ ไฟเบอร์​เพิ่ม​ดาว​ 1★​, ไฟเบอร์​เพิ่ม​ดาว​ 2★​, ไฟเบอร์​เพิ่ม​ดาว​ 3★​ และ​ตัวรีคอมโพส​
5111021	51	501	3	999	0	0			6:goods_icon_5111021	1	1	202	11021	1	1	3星南港区补给箱	3星南港區補給箱	3★ Southport Supply Box	★3南港区補給箱	3★ 사우스포트 보급 상자	เสบียงเขตทะเลใต้ 3★	防守套装补给箱	防守套裝補給箱	Defense Set Supply Box	防御セット補給箱	방어 세트 장비 보급 상자	กล่องเสบียงเซ็ตป้องกัน	随机获得：防御套中头饰、颈环、嘴套的NC、N、R品质装备 或 强化金属、1星升星纤维、2星升星纤维、3星升星纤维、重组器	隨機獲得：防禦套中頭飾、頸環、嘴套的NC、N、R品質裝備 或 強化金屬、1星升星纖維、2星升星纖維、3星升星纖維、重組器	Randomly contains: Defense Set NC, N, R Headpiece, Necklace, Mouthpiece, Enhancement Metal, 1★ Star-up Fiber, 2★ Star-up Fiber, 3★ Star-up Fiber, and Recombinator.	以下のアイテムの内いずれか1つを獲得：防御セット･頭部、首、顔のNC、N、R品質の装備。または強化金属、★1昇格繊維、★2昇格繊維、★3昇格繊維、リセットマシン。	랜덤 획득: [방어 세트 중 머리 장식, 목걸이, 마스크의 NC, N, R 등급의 장비] 혹은 [강화 금속, 1★ 승급 섬유, 2★ 승급 섬유, 3★ 승급 섬유, 재구성기]	สุ่ม​รับ​:​ ประดับ​หัว​ ปลอกคอ​ ส่วน​ปาก​ของ​เซ็ต​ป้องกัน​ ระดับ​ NC​, N​, R​ หรือ​ เหล็กรีไฟน์​, ไฟเบอร์​เพิ่ม​ดาว​ 1★​, ไฟเบอร์​เพิ่ม​ดาว​ 2★​, ไฟเบอร์​เพิ่ม​ดาว​ 3★​ และ​ตัวรีคอมโพส​
