id	type	showType	quality	stack	sellitem	sellMoney	openType	openParameter	photoId	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
8000111	80	801	1	999	3000003	100	230	8000111;6	6:goods_icon_8000111				1	鲦鱼	鰷魚	Mudskipper	カワイワシ	살치	ปลาซิว	玛瑙湾产出的鱼获。可用于离岛空运的筹备。	瑪瑙灣產出的魚獲。可用於離島空運的籌備。	Caught from Cowrie Cove. Can be used for Air Express preparation.	メノウベイの漁獲。離島空便の準備にも使われる。	카넬리언 베이에서 잡히는 물고기. 항공 운송 준비에 사용된다.	ปลา​ที่​ตก​ได้ที่​อ่าว​อา​เก​ต​ ใช้​เพื่อ​ขนส่ง​ทางอากาศ​ไป​ยัง​เกาะ​นอก​ชายฝั่ง​ได้​	生活于河流、湖泊中，从春至秋常喜群集于沿岸水面游泳，行动迅速。常见的淡水鱼之一。\n<color=#f94dc1>TIPS</color>：使用「玛瑙1星鱼饵」时有更大概率出现。	生活於河流、湖泊中，從春至秋常喜群集於沿岸水面游泳，行動迅速。常見的淡水魚之一。\n<color=#f94dc1>TIPS</color>：使用「瑪瑙1星魚餌」時有更大機率出現。	Living in rivers and lakes, they tend to gather along the water's edge from spring to autumn, swift in their movements. A common freshwater fish.\n<color=#f94dc1>Tip</color>: Using 1★ Cowrie Bait increases the chances of encountering it.	河川や湖沼に生息し、春から秋にかけて水面を群れで泳ぎ、 よく見られる淡水魚。\n<color=#f94dc1>TIPS</color>：「メノウベイ用餌・★1」使用時、出現率アップ。	강과 호수에 살며 봄부터 가을까지 연안 수면에 모여 수영을 즐긴다. 속도가 빠른 흔한 민물고기 중 하나.\n<color=#f94dc1>TIPS</color>: 「카넬리언 1★ 미끼」를 사용하면 더 높은 확률로 등장한다.	อาศัย​อยู่​ใน​แม่น้ำ​ ทะเลสาบ​ ตั้งแต่​ฤดูใบไม้ผลิ​ถึง​ฤดูใบไม้ร่วง​ มักจะ​ชอบ​รวมตัวกัน​เป็น​ฝูง​อยู่​ตาม​ผิวน้ำ​แนว​ชายฝั่ง​ เคลื่อนไหว​รวดเร็ว​ เป็น​ปลาน้ำจืด​ที่​พบ​ได้​บ่อย​ \n<color=#f94dc1>TIPS</color>:​ มีโอกาส​เจอ​มากขึ้น​ เมื่อ​ใช้​ [​เหยื่อ​ตกปลา​อา​เก​ต​ 1★​]​
8000321	80	801	1	999	3000003	100	230	8000321;4	6:goods_icon_8000321				1	鲈鱼	鱸魚	Sea Bass	スズキ	농어	ปลากะพง	玛瑙湾产出的鱼获。可用于制作料理。	瑪瑙灣產出的魚獲。可用於製作料理。	Caught from Cowrie Cove. Used as an ingredient.	メノウベイの漁獲。料理製作にも使われる。	카넬리언 베이에서 잡히는 물고기. 요리 제작에 사용된다.	ปลา​ที่​ตก​ได้ที่​อ่าว​อา​เก​ต​ ใช้​สำหรับ​การ​ทำอาหาร​	能够在淡水中生活的鱼类。当心，它的脾气可不怎么好！\n<color=#f94dc1>TIPS</color>：使用「玛瑙1星鱼饵」时有更大概率出现。	能夠在淡水中生活的魚類。當心，它的脾氣可不怎麼好！\n<color=#f94dc1>TIPS</color>：使用「瑪瑙1星魚餌」時有更大機率出現。	A fish that can live in freshwater. Be careful, it has a bad temper!\n<color=#f94dc1>Tip</color>: Using 1★ Cowrie Bait increases the chances of encountering it.	淡水で生きられる魚。気性が荒いので注意！\n<color=#f94dc1>TIPS</color>：「メノウベイ用餌・★1」使用時、出現率アップ。	민물에 서식하는 물고기. 명심하라, 이 녀석은 성질이 그다지 좋지 않다는 걸!\n<color=#f94dc1>TIPS</color>: 「카넬리언 1★ 미끼」를 사용하면 더 높은 확률로 등장한다.	เป็น​ปลา​ที่​อาศัย​อยู่​ใน​น้ำจืด​ ระวัง​!​ อารมณ์​ของ​มัน​ไม่ค่อย​ดีมาก​นัก​ \n<color=#f94dc1>TIPS</color>:​ มีโอกาส​เจอ​มากขึ้น​ เมื่อ​ใช้​ [​เหยื่อ​ตกปลา​อา​เก​ต​ 1★​]​
8000121	80	801	2	999	3000003	120	230	8000121;4	6:goods_icon_8000121				1	河鲫鱼	河鯽魚	Crucian Carp	フナ	붕어	ปลาตะเพียน	玛瑙湾产出的鱼获。可用于制作料理。	瑪瑙灣產出的魚獲。可用於製作料理。	Caught from Cowrie Cove. Used as an ingredient.	メノウベイの漁獲。料理製作にも使われる。	카넬리언 베이에서 잡히는 물고기. 요리 제작에 사용된다.	ปลา​ที่​ตก​ได้ที่​อ่าว​อา​เก​ต​ ใช้​สำหรับ​การ​ทำอาหาร​	生活在淡水中的杂食性鱼，体态丰腴，水中穿梭游动的姿态优美。是餐桌上较为常见的淡水鱼。\n<color=#f94dc1>TIPS</color>：使用「玛瑙2星鱼饵」时有更大概率出现。	生活在淡水中的雜食性魚，體態豐腴，水中穿梭遊動的姿態優美。是餐桌上較為常見的淡水魚。\n<color=#f94dc1>TIPS</color>：使用「瑪瑙2星魚餌」時有更大機率出現。	A plump, omnivorous fish that lives in freshwater, gracefully swimming through the water. It is a commonly found freshwater fish frequently enjoyed on dining tables.\n<color=#f94dc1>Tip</color>: Using 2★ Cowrie Bait increases the chances of encountering it.	淡水に生息する雑食性の魚で、ふくよかで水中を優雅に泳ぐのが特徴。食卓に上る淡水魚の中でも一般的な存在。\n<color=#f94dc1>TIPS</color>：「メノウベイ用餌・★2」使用時、出現率アップ。	민물에 서식하는 잡식성 물고기로, 몸집이 통통하고 물속을 누비는 자태가 아름답다. 식탁에서 흔히 볼 수 있는 민물고기이다.\n<color=#f94dc1>TIPS</color>: 「카넬리언 2★ 미끼」를 사용하면 더 높은 확률로 등장한다.	ปลาน้ำจืด​ที่​กิน​ได้​ทั้ง​พืช​และ​สัตว์​ ลำตัว​อวบ​อิ่ม​ และ​มี​ท่วงท่า​การ​แหวกว่าย​ที่​งดงาม​ เป็นที่นิยม​สำหรับ​การ​นำมา​ทำอาหาร​\n<color=#f94dc1>TIPS</color>:​ มีโอกาส​เจอ​มากขึ้น​ เมื่อ​ใช้​ [​เหยื่อ​ตกปลา​อา​เก​ต​ 2★​]​
8000222	80	801	2	999	3000003	120	230	8000222;6	6:goods_icon_8000222				1	黄花鱼	黃花魚	Yellow Croaker	フウセイ	참조기	ปลาสำลี	玛瑙湾产出的鱼获。可用于离岛空运的筹备。	瑪瑙灣產出的魚獲。可用於離島空運的籌備。	Caught from Cowrie Cove. Can be used for Air Express preparation.	メノウベイの漁獲。離島空便の準備にも使われる。	카넬리언 베이에서 잡히는 물고기. 항공 운송 준비에 사용된다.	ปลา​ที่​ตก​ได้ที่​อ่าว​อา​เก​ต​ ใช้​เพื่อ​ขนส่ง​ทางอากาศ​ไป​ยัง​เกาะ​นอก​ชายฝั่ง​ได้​	永宁料理“黄花面”的主料，金色的鱼鳞看起来赏心悦目。\n<color=#f94dc1>TIPS</color>：使用「玛瑙2星鱼饵」时有更大概率出现。	永甯料理“黃花麵”的主料，金色的魚鱗看起來賞心悅目。\n<color=#f94dc1>TIPS</color>：使用「瑪瑙2星魚餌」時有更大機率出現。	The primary ingredient in the Yongning cuisine specialty "Daylily Noodles." Its golden scales are pleasing to the eye.\n<color=#f94dc1>Tip</color>: Using 2★ Cowrie Bait increases the chances of encountering it.	魚の金色の鱗が見た目にも美しい。\n<color=#f94dc1>TIPS</color>：「メノウベイ用餌・★2」使用時、出現率アップ。	참조기 국수의 주 재료. 금빛 지느러미가 눈을 즐겁게 한다.\n<color=#f94dc1>TIPS</color>: 「카넬리언 2★ 미끼」를 사용하면 더 높은 확률로 등장한다.	เป็น​วัตถุดิบ​หลัก​ใน​ "​บะหมี่​ปลา​สำลี​"​ อาหาร​ของ​เมือง​โย​นิ​น​ เกล็ดปลา​สี​ทอง​ดู​แล้ว​สวยงาม​น่ากิน​\n<color=#f94dc1>TIPS</color>:​ มีโอกาส​เจอ​มากขึ้น​ เมื่อ​ใช้​ [​เหยื่อ​ตกปลา​อา​เก​ต​ 2★​]​
8000131	80	801	3	999	3000003	160	230	8000131;4	6:goods_icon_8000131				1	花鲢鱼	花鰱魚	Silver Carp	コクレン	연어	ปลาคาร์ปเงิน	玛瑙湾产出的鱼获。可用于制作料理。	瑪瑙灣產出的魚獲。可用於製作料理。	Caught from Cowrie Cove. Used as an ingredient.	メノウベイの漁獲。料理製作にも使われる。	카넬리언 베이에서 잡히는 물고기. 요리 제작에 사용된다.	ปลา​ที่​ตก​ได้ที่​อ่าว​อา​เก​ต​ ใช้​สำหรับ​การ​ทำอาหาร​	体型相当可观的淡水鱼，分量与鲜美程度让任何猫族都无法拒绝。\n<color=#f94dc1>TIPS</color>：使用「玛瑙3星鱼饵」时有更大概率出现。	體型相當可觀的淡水魚，分量與鮮美程度讓任何貓族都無法拒絕。\n<color=#f94dc1>TIPS</color>：使用「瑪瑙3星魚餌」時有更大機率出現。	A considerably large freshwater fish, both its weight and deliciousness make it irresistible to any Felinian.\n<color=#f94dc1>Tip</color>: Using 3★ Cowrie Bait increases the chances of encountering it.	かなりの大きさの淡水魚、その新鮮さもたまらない。\n<color=#f94dc1>TIPS</color>：「メノウベイ用餌・★3」使用時、出現率アップ。	상당한 크기의 민물고기로 양과 맛 둘 다 탁월하다. 그 어떤 캣족도 거부하기 힘든 물고기이다.\n<color=#f94dc1>TIPS</color>: 「카넬리언 3★ 미끼」를 사용하면 더 높은 확률로 등장한다.	ปลาน้ำจืด​ที่​มี​รูปร่าง​สง่างาม​ ระดับ​ของ​น้ำหนัก​และ​ความสวยงาม​ของ​มัน​ทำให้​ไม่​มี​เผ่า​แมว​ตัว​ไหน​ปฏิเสธ​มัน​ได้​\n<color=#f94dc1>TIPS</color>:​ มีโอกาส​เจอ​มากขึ้น​ เมื่อ​ใช้​ [​เหยื่อ​ตกปลา​อา​เก​ต​ 3★​]​
8000422	80	801	3	999	3000003	160	230	8000422;6	6:goods_icon_8000422				1	弓鳍鱼	弓鰭魚	Bowfin	アミアカルヴァ	보우핀	ปลาโบว์ฟิน	玛瑙湾产出的鱼获。可用于离岛空运的筹备。	瑪瑙灣產出的魚獲。可用於離島空運的籌備。	Caught from Cowrie Cove. Can be used for Air Express preparation.	メノウベイの漁獲。離島空便の準備にも使われる。	카넬리언 베이에서 잡히는 물고기. 항공 운송 준비에 사용된다.	ปลา​ที่​ตก​ได้ที่​อ่าว​อา​เก​ต​ ใช้​เพื่อ​ขนส่ง​ทางอากาศ​ไป​ยัง​เกาะ​นอก​ชายฝั่ง​ได้​	最早可以追溯到侏罗纪的古老鱼种，会游动的化石。\n<color=#f94dc1>TIPS</color>：使用「玛瑙3星鱼饵」时有更大概率出现。	最早可以追溯到侏羅紀的古老魚種，會遊動的化石。\n<color=#f94dc1>TIPS</color>：使用「瑪瑙3星魚餌」時有更大機率出現。	An ancient fish species that can be traced back to the Jurassic period, a swimming fossil.\n<color=#f94dc1>Tip</color>: Using 3★ Cowrie Bait increases the chances of encountering it.	「泳げる化石」と言われる、ジュラ紀にまでさかのぼる古代魚。\n<color=#f94dc1>TIPS</color>：「メノウベイ用餌・★3」使用時、出現率アップ。	쥐라기 시대까지 거슬러 올라가는 가장 오래된 어종이다. 헤엄치는 화석이라 불린다.\n<color=#f94dc1>TIPS</color>: 「카넬리언 3★ 미끼」를 사용하면 더 높은 확률로 등장한다.	ปลา​สาย​พัน​ธุ๋​โบราณ​ที่​ย้อนกลับ​ไป​ใน​ยุค​จู​รา​ส​สิ​ก​ เปรียบ​ดั่ง​ฟอสซิล​ที่​ว่ายน้ำ​ได้​\n<color=#f94dc1>TIPS</color>:​ มีโอกาส​เจอ​มากขึ้น​ เมื่อ​ใช้​ [​เหยื่อ​ตกปลา​อา​เก​ต​ 3★​]​
8000462	80	801	4	999	3000003	200	230	8000462;6	6:goods_icon_8000462				1	金眼狼鲈	金眼狼鱸	White Bass	ホワイトバス	화이트 배스	ปลากะพงตาทอง	玛瑙湾产出的鱼获。可用于离岛空运的筹备。	瑪瑙灣產出的魚獲。可用於離島空運的籌備。	Caught from Cowrie Cove. Can be used for Air Express preparation.	メノウベイの漁獲。離島空便の準備にも使われる。	카넬리언 베이에서 잡히는 물고기. 항공 운송 준비에 사용된다.	ปลา​ที่​ตก​ได้ที่​อ่าว​อา​เก​ต​ ใช้​เพื่อ​ขนส่ง​ทางอากาศ​ไป​ยัง​เกาะ​นอก​ชายฝั่ง​ได้​	生命周期漫长的鱼种，身披浅淡的条纹。用来炖汤的口感醇香浓厚。\n<color=#f94dc1>TIPS</color>：使用「玛瑙4星鱼饵」时有更大概率出现。	生命週期漫長的魚種，身披淺淡的條紋。用來燉湯的口感醇香濃厚。\n<color=#f94dc1>TIPS</color>：使用「瑪瑙4星魚餌」時有更大機率出現。	A long-living fish species with light stripes. It has a rich and strong flavor when used in stew.\n<color=#f94dc1>Tip</color>: Using 4★ Cowrie Bait increases the chances of encountering it.	淡い縞模様が特徴。煮込み料理に使うとまろやかでコクのある風味になる。\n<color=#f94dc1>TIPS</color>：「メノウベイ用餌・★4」使用時、出現率アップ。	수명이 긴 어종으로 얇은 줄무늬를 가지고 있다. 찌개에 주로 들어가며 진하고 구수한 맛이 일품이다.\n<color=#f94dc1>TIPS</color>: 「카넬리언 4★ 미끼」를 사용하면 더 높은 확률로 등장한다.	ปลา​ที่​มี​วงจรชีวิต​ยืนยาว​ ผิวหนัง​ลาย​ทาง​สี​อ่อน​ ใช้​ใน​การ​ตุ๋น​ซุป​ที่​มี​รสชาติ​เข็ม​ข้น​ กลมกล่อม​\n<color=#f94dc1>TIPS</color>:​ มีโอกาส​เจอ​มากขึ้น​ เมื่อ​ใช้​ [​เหยื่อ​ตกปลา​อา​เก​ต​ 4★​]​
8000151	80	801	4	999	3000003	200	230	8000151;4	6:goods_icon_8000151				1	凤尾鱼	鳳尾魚	Coilia mystus	カタクチイワシ	엔초비	ปลาแอนโชวี่	玛瑙湾产出的鱼获。可用于制作料理。	瑪瑙灣產出的魚獲。可用於製作料理。	Caught from Cowrie Cove. Used as an ingredient.	メノウベイの漁獲。料理製作にも使われる。	카넬리언 베이에서 잡히는 물고기. 요리 제작에 사용된다.	ปลา​ที่​ตก​ได้ที่​อ่าว​อา​เก​ต​ ใช้​สำหรับ​การ​ทำอาหาร​	体型虽小，漂亮不少。鱼如其名，凤尾是它最引人注目的地方。据说是名贵的鱼类。\n<color=#f94dc1>TIPS</color>：使用「玛瑙4星鱼饵」时有更大概率出现。	體型雖小，漂亮不少。魚如其名，鳳尾是它最引人注目的地方。據說是名貴的魚類。\n<color=#f94dc1>TIPS</color>：使用「瑪瑙4星魚餌」時有更大機率出現。	It's small, but pretty. As the fish is named, the tail is where your eyes should be. It is said to be a valuable fish.\n<color=#f94dc1>Tip</color>: Using 4★ Cowrie Bait increases the chances of encountering it.	小ぶりでなかなかの美しさ、尾がチャームポイント。貴重な魚と言われている。\n<color=#f94dc1>TIPS</color>：「メノウベイ用餌・★4」使用時、出現率アップ。	몸집은 작지만 예쁘다. 봉황 꼬리가 눈길을 끄는 진귀한 생선이다.\n<color=#f94dc1>TIPS</color>: 「카넬리언 4★ 미끼」를 사용하면 더 높은 확률로 등장한다.	รูปร่าง​เล็ก​ สวยงาม​ ชื่อ​ของ​มัน​บ่งบอกถึง​ลักษณะ​ของ​ปลา​ หาง​ของ​มัน​เป็น​ส่วน​ที่​สะดุดตา​มาก​ที่สุด​ ว่า​กัน​ว่า​เป็น​ปลา​หา​ยาก​ \n<color=#f94dc1>TIPS</color>:​ มีโอกาส​เจอ​มากขึ้น​ เมื่อ​ใช้​ [​เหยื่อ​ตกปลา​อา​เก​ต​ 4★​]​
8000141	80	801	5	999	3000003	260	230	8000141;4	6:goods_icon_8000141				1	香鱼	香魚	Sweetfish	アユ	은어	ปลาอายุ (Ayu)	玛瑙湾产出的鱼获。可用于制作料理。	瑪瑙灣產出的魚獲。可用於製作料理。	Caught from Cowrie Cove. Used as an ingredient.	メノウベイの漁獲。料理製作にも使われる。	카넬리언 베이에서 잡히는 물고기. 요리 제작에 사용된다.	ปลา​ที่​ตก​ได้ที่​อ่าว​อา​เก​ต​ ใช้​สำหรับ​การ​ทำอาหาร​	“淡水鱼之王”，身上的独特香味让它在料理中也别具一格。\n<color=#f94dc1>TIPS</color>：使用「玛瑙5星鱼饵」时有更大概率出现。	“淡水魚之王”，身上的獨特香味讓它在料理中也別具一格。\n<color=#f94dc1>TIPS</color>：使用「瑪瑙5星魚餌」時有更大機率出現。	The "King of freshwater fish," renowned for its distinctive aroma that sets it apart in culinary dishes.\n<color=#f94dc1>Tip</color>: Using 5★ Cowrie Bait increases the chances of encountering it.	その独特の香りは、料理においても独特なものとなっている。\n<color=#f94dc1>TIPS</color>：「メノウベイ用餌・★5」使用時、出現率アップ。	민물고기의 왕'. 은어가 가진 독특한 향은 요리도 독특하게 만든다.\n<color=#f94dc1>TIPS</color>: 「카넬리언 5★ 미끼」를 사용하면 더 높은 확률로 등장한다.	ราชา​แห่ง​ปลาน้ำจืด​ กลิ่นหอม​บน​ตัว​ที่​พิเศษ​ไม่​เหมือน​ใคร​ ทำให้​มัน​เป็น​อาหาร​ที่​มี​เอกลักษณ์​\n<color=#f94dc1>TIPS</color>:​ มีโอกาส​เจอ​มากขึ้น​ เมื่อ​ใช้​ [​เหยื่อ​ตกปลา​อา​เก​ต​ 5★​]​
