id	type	showType	effectType	effectId	effectNum	showMark	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int
4700101	47	401	205	4010111	1001	1	1						
4700102	47	401	205	4010112	1002	1	1						
4700103	47	401	205	4010113	1003	1	1						
4700104	47	401	205	4010114	1004	1	1						
4700105	47	401	205	4010115	1005	1	1						
4700106	47	401	205	4010116	1006	1	1						
4700107	47	401	205	4010121	1007	1	1						
4700108	47	401	205	4010122	1008	1	1						
4700109	47	401	205	4010123	1005	1	1						
4700110	47	401	205	4010124	1006	1	1						
4700111	47	401	205	4010125	1007	1	1						
4700112	47	401	205	4010126	1008	1	1						
4700113	47	401	205	4010131	1009	1	1						
4700114	47	401	205	4010132	1010	1	1						
4700115	47	401	205	4010133	1011	1	1						
4700116	47	401	205	4010134	1012	1	1						
4700117	47	401	205	4010411	1013	1	1						
4700118	47	401	205	4010412	1013	1	1						
4700119	47	401	205	4010413	1013	1	1						
4700120	47	401	205	4010414	1013	1	1						
4700121	47	401	205	4010415	1013	1	1						
4700122	47	401	205	4010416	1013	1	1						
4700123	47	401	205	4010421	1013	1	1						
4700124	47	401	205	4010422	1013	1	1						
4700125	47	401	205	4010423	1013	1	1						
4700126	47	401	205	4010424	1013	1	1						
4700127	47	401	205	4010425	1013	1	1						
4700128	47	401	205	4010426	1013	1	1						
4700129	47	401	205	4010421	1014	1	1						
4700130	47	401	205	4010422	1014	1	1						
4700131	47	401	205	4010423	1014	1	1						
4700132	47	401	205	4010424	1014	1	1						
4700133	47	401	205	4010425	1014	1	1						
4700134	47	401	205	4010426	1014	1	1						
4700135	47	401	205	4010421	1015	1	1						
4700136	47	401	205	4010422	1015	1	1						
4700137	47	401	205	4010423	1015	1	1						
4700138	47	401	205	4010424	1015	1	1						
4700139	47	401	205	4010425	1015	1	1						
4700140	47	401	205	4010426	1015	1	1						
4700141	47	401	205	4010431	1015	1	1						
4700142	47	401	205	4010432	1015	1	1						
4700143	47	401	205	4010433	1015	1	1						
4700144	47	401	205	4010434	1015	1	1						
4700145	47	401	205	4010435	1015	1	1						
4700146	47	401	205	4010436	1015	1	1						
4700147	47	401	205	4010431	1016	1	1						
4700148	47	401	205	4010432	1016	1	1						
4700149	47	401	205	4010433	1016	1	1						
4700150	47	401	205	4010434	1016	1	1						
4700151	47	401	205	4010435	1016	1	1						
4700152	47	401	205	4010436	1016	1	1						
4700153	47	401	205	4010431	1017	1	1						
4700154	47	401	205	4010432	1017	1	1						
4700155	47	401	205	4010433	1017	1	1						
4700156	47	401	205	4010434	1017	1	1						
4700157	47	401	205	4010435	1017	1	1						
4700158	47	401	205	4010436	1017	1	1						
4700159	47	401	205	4010441	1017	1	1						
4700160	47	401	205	4010442	1017	1	1						
4700161	47	401	205	4010443	1017	1	1						
4700162	47	401	205	4010444	1017	1	1						
4700163	47	401	205	4010445	1017	1	1						
4700164	47	401	205	4010446	1017	1	1						
4700165	47	401	205	4010441	1018	1	1						
4700166	47	401	205	4010442	1018	1	1						
4700167	47	401	205	4010443	1018	1	1						
4700168	47	401	205	4010444	1018	1	1						
4700169	47	401	205	4010445	1018	1	1						
4700170	47	401	205	4010446	1018	1	1						
4700171	47	401	205	4010451	1018	1	1						
4700172	47	401	205	4010452	1018	1	1						
4700173	47	401	205	4010453	1018	1	1						
4700174	47	401	205	4010454	1018	1	1						
4700175	47	401	205	4010455	1018	1	1						
4700176	47	401	205	4010456	1018	1	1						
4700177	47	401	205	4010451	1019	1	1						
4700178	47	401	205	4010452	1020	1	1						
4700179	47	401	205	4010453	1021	1	1						
4700180	47	401	205	4010454	1022	1	1						
4700181	47	401	205	4010455	1023	1	1						
4700182	47	401	205	4010456	1024	1	1						
4700183	47	401	205	4010451	2020	1	1						
4700184	47	401	205	4010451	2021	1	1						
4700185	47	401	205	4010431	2022	1	1						
4700186	47	401	205	4011151	1025	1	1						
4700187	47	401	205	4011152	1026	1	1						
4700188	47	401	205	4011153	1027	1	1						
4700189	47	401	205	4011154	1028	1	1						
4700190	47	401	205	4011155	1029	1	1						
4700191	47	401	205	4011156	1030	1	1						
4700192	47	401	205	4011151	1019	1	1						
4700193	47	401	205	4011152	1020	1	1						
4700194	47	401	205	4011153	1021	1	1						
4700195	47	401	205	4011154	1022	1	1						
4700196	47	401	205	4011155	1023	1	1						
4700197	47	401	205	4011156	1024	1	1						
4700198	47	401	205	4010851	1019	1	1						
4700199	47	401	205	4010852	1020	1	1						
4700200	47	401	205	4010853	1021	1	1						
4700201	47	401	205	4010854	1022	1	1						
4700202	47	401	205	4010855	1023	1	1						
4700203	47	401	205	4010856	1024	1	1						
4700204	47	401	205	4011051	1031	1	1						
4700205	47	401	205	4011052	1031	1	1						
4700206	47	401	205	4011053	1031	1	1						
4700207	47	401	205	4011054	1031	1	1						
4700208	47	401	205	4011055	1031	1	1						
4700209	47	401	205	4011056	1031	1	1						
4700210	47	401	205	4010451	1032	1	1						
4700211	47	401	205	4010452	1033	1	1						
4700212	47	401	205	4010453	1034	1	1						
4700213	47	401	205	4010454	1035	1	1						
4700214	47	401	205	4010455	1036	1	1						
4700215	47	401	205	4010456	1037	1	1						
4700216	47	401	205	4010451	1038	1	1						
4700217	47	401	205	4010452	1039	1	1						
4700218	47	401	205	4010453	1040	1	1						
4700219	47	401	205	4010454	1041	1	1						
4700220	47	401	205	4010455	1042	1	1						
4700221	47	401	205	4010456	1043	1	1						
4700222	47	401	205	4010851	1044	1	1						
4700223	47	401	205	4010852	1045	1	1						
4700224	47	401	205	4010853	1046	1	1						
4700225	47	401	205	4010854	1047	1	1						
4700226	47	401	205	4010855	1048	1	1						
4700227	47	401	205	4010856	1049	1	1						
