id	type	showType	quality	stack	sellitem	sellMoney	openType	openParameter	showGotoIcon	photoId	photoIdSmall	bagUsed	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
4101001	41	4101	3	999	3000003	200	224		1	6:goods_icon_4101001		0	101	0	200	1	初级武装经验	初級武裝經驗	Basic EXP Orb	戦闘員EXP･初級	초급 전투원 EXP	EXP ตัวละครระดับต้น	战斗员升级用道具，可提供200点经验。	戰鬥員升級用道具，可提供200點經驗。	An item used to upgrade Combatants, providing 200 EXP.	戦闘員レベルアップ用道具、使用すると200EXPを獲得する。	전투원 레벨업 아이템이다. EXP를 200 올려준다.	ไอเทม​อัป​เล​เวล​ตัวละคร​ สามารถ​มอบ​ค่า​ EXP​ 200​ แต้ม​	存储着少量的惰性情绪粒子，可用于拓展回路的通道宽幅度，以提高战斗员的强度。	存儲著少量的惰性情緒粒子，可用於拓展回路的通道寬幅度，以提高戰鬥員的強度。	Containing a small amount of inert Pathos Particles, it can expand circuit pathways and enhance the strength of Combatants.	少量の不活発なエモーション粒子が含まれている。回路の帯域幅を拡大し、戦闘員の実力を上げるのに使える。	소량의 이모션 파티클이 저장되어 있다. 전투원의 회로를 넓혀 보다 강하게 만들 수 있다.	กักเก็บ​อนุภาค​พา​โธส​เฉื่อย​ไว้​ใน​ปริมาณ​น้อย​ ซึ่ง​สามารถ​ใช้​เพื่อ​ขยายความ​กว้าง​ของ​ช่อง​ทางใน​วงจร​ เพื่อ​เพิ่ม​ความ​แข็งแกร่ง​ของ​ตัวละคร​ได้​
4101002	41	4101	4	999	3000003	400	224;628;635		1	6:goods_icon_4101002		0	101	0	1000	1	中级武装经验	中級武裝經驗	Intermediate EXP Orb	戦闘員EXP･中級	중급 전투원 EXP	EXP ตัวละครระดับกลาง	战斗员升级用道具，可提供1000点经验。	戰鬥員升級用道具，可提供1000點經驗。	An item used to upgrade Combatants, providing 1,000 EXP.	戦闘員レベルアップ用道具、使用すると1000EXPを獲得する。	전투원 레벨업 아이템이다. EXP를 1000 올려준다.	ไอเทม​อัป​เล​เวล​ตัวละคร​ สามารถ​มอบ​ค่า​ EXP​ 1,000​ แต้ม​	存储着一定量的惰性情绪粒子，可用于拓展回路的通道宽幅度，以提高战斗员的强度。	存儲著一定量的惰性情緒粒子，可用於拓展回路的通道寬幅度，以提高戰鬥員的強度。	Containing a medium amount of inert Pathos Particles, it can expand circuit pathways and enhance the strength of Combatants.	不活発なエモーション粒子が含まれている。回路の帯域幅を拡大し、戦闘員の実力を上げるのに使える。	일정량의 이모션 파티클이 저장되어 있다. 전투원의 회로를 넓혀 보다 강하게 만들 수 있다.	กักเก็บ​อนุภาค​พา​โธส​เฉื่อย​ไว้​จำนวน​หนึ่ง​ ซึ่ง​สามารถ​ใช้​เพื่อ​ขยายความ​กว้าง​ของ​ช่อง​ทางใน​วงจร​ เพื่อ​เพิ่ม​ความ​แข็งแกร่ง​ของ​ตัวละคร​ได้​
4101003	41	4101	5	999	3000003	800	628;635		1	6:goods_icon_4101003		0	101	0	5000	1	高级武装经验	高級武裝經驗	Advanced EXP Orb	戦闘員EXP･高級	고급 전투원 EXP	EXP ตัวละครระดับสูง	战斗员升级用道具，可提供5000点经验。	戰鬥員升級用道具，可提供5000點經驗。	An item used to upgrade Combatants, providing 5,000 EXP.	戦闘員レベルアップ用道具、使用すると5000EXPを獲得する。	전투원 레벨업 아이템이다. EXP를 5000 올려준다.	ไอเทม​อัป​เล​เวล​ตัวละคร​ สามารถ​มอบ​ค่า​ EXP​ 5,000​ แต้ม​	存储着大量的惰性情绪粒子，可用于拓展回路的通道宽幅度，以提高战斗员的强度。	存儲著大量的惰性情緒粒子，可用於拓展回路的通道寬幅度，以提高戰鬥員的強度。	Containing a large amount of inert Pathos Particles, it can expand circuit pathways and significantly boost the strength of Combatants.	大量の不活発なエモーション粒子が含まれている。回路の帯域幅を拡大し、戦闘員の実力を上げるのに使える。	대량의 이모션 파티클이 저장되어 있다. 전투원의 회로를 넓혀 보다 강하게 만들 수 있다.	กักเก็บ​อนุภาค​พา​โธส​เฉื่อย​ไว้​จำนวนมาก​ ซึ่ง​สามารถ​ใช้​เพื่อ​ขยายความ​กว้าง​ของ​ช่อง​ทางใน​วงจร​ เพื่อ​เพิ่ม​ความ​แข็งแกร่ง​ของ​ตัวละคร​ได้​
4101004	41	4101	6	999	3000003	1600			1	6:goods_icon_4101004		0		0	20000	1	超高级武装经验	超高級武裝經驗	Ultra EXP Orb	戦闘員EXP･超高級	최고급 전투원 EXP	EXP ตัวละครระดับสูงสุด	战斗员升级用道具，可提供20000点经验。	戰鬥員升級用道具，可提供20000點經驗。	An item used to upgrade Combatants, providing 20,000 EXP.	戦闘員レベルアップ用道具、使用すると20000EXPを獲得する。	전투원 레벨업 아이템이다. EXP를 20000 올려준다.	ไอเทม​อัป​เล​เวล​ตัวละคร​ สามารถ​มอบ​ค่า​ EXP​ 20,000​ แต้ม​	存储着大量的惰性情绪粒子，可用于拓展回路的通道宽幅度，以提高战斗员的强度。	存儲著大量的惰性情緒粒子，可用於拓展回路的通道寬幅度，以提高戰鬥員的強度。	Containing a large amount of inert Pathos Particles, it can expand circuit pathways and significantly boost the strength of Combatants.	大量の不活発なエモーション粒子が含まれている。回路の帯域幅を拡大し、戦闘員の実力を上げるのに使える。	대량의 이모션 파티클이 저장되어 있다. 전투원의 회로를 넓혀 보다 강하게 만들 수 있다.	กักเก็บ​อนุภาค​พา​โธส​เฉื่อย​ไว้​จำนวนมาก​ ซึ่ง​สามารถ​ใช้​เพื่อ​ขยายความ​กว้าง​ของ​ช่อง​ทางใน​วงจร​ เพื่อ​เพิ่ม​ความ​แข็งแกร่ง​ของ​ตัวละคร​ได้​
4103001	41	701	3	-1	0	0	706		0	6:goods_icon_4103001		0				1	基础核心	基礎核心	Basic Core	基本核心	기본 코어	แกนหลักพื้นฐาน	核心商店的货币，由初始品阶为R的战斗员核心转换而来。	核心商店的貨幣，由初始品階為R的戰鬥員核心轉換而來。	Currency obtained from the cores of Combatants initially graded R, used in the Core Shop.	核心ショップの通貨。初期レアリティがRの戦闘員核心から変換される。	코어 상점의 화폐단위. 기본 등급 R인 전투원의 코어 전환을 통해 획득할 수 있다.	สกุล​เงิน​ใน​ร้านค้า​แกน​หลัก​ ซึ่ง​แปลง​มาจาก​แกน​หลัก​ของ​ตัวละคร​คุณภาพ​เริ่มต้น​ระดับ​ R​	神秘的能源物质，经由转换获得。	神秘的能源物質，經由轉換獲得。	A mysterious energy substance obtained through conversion.	神秘的なエネルギー物質。転換によって獲得する。	신비한 에너지원이다. 전환으로 획득할 수 있다.	แหล่งพลังงาน​ลึกลับ​ ได้รับ​จาก​การ​เปลี่ยนสภาพ​
4103002	41	701	4	-1	0	0	706		0	6:goods_icon_4103002		0				1	进阶核心	進階核心	Intermediate Core	上級核心	상급 코어	แกนหลักอัปเกรด	核心商店的货币，由初始品阶为SR的战斗员核心转换而来。	核心商店的貨幣，由初始品階為SR的戰鬥員核心轉換而來。	Currency obtained from the cores of Combatants initially graded SR, used in the Core Shop.	核心ショップの通貨。初期レアリティがSRの戦闘員核心から変換される。	코어 상점의 화폐단위. 기본 등급 SR인 전투원의 코어 전환을 통해 획득할 수 있다.	สกุล​เงิน​ใน​ร้านค้า​แกน​หลัก​ ซึ่ง​แปลง​มาจาก​แกน​หลัก​ของ​ตัวละคร​คุณภาพ​เริ่มต้น​ระดับ​ SR​	神秘的能源物质，经由转换获得。	神秘的能源物質，經由轉換獲得。	A mysterious energy substance obtained through conversion.	神秘的なエネルギー物質。転換によって獲得する。	신비한 에너지원이다. 전환으로 획득할 수 있다.	แหล่งพลังงาน​ลึกลับ​ ได้รับ​จาก​การ​เปลี่ยนสภาพ​
4103003	41	701	5	-1	0	0	706		0	6:goods_icon_4103003		0				1	高阶核心	高階核心	Advanced Core	特級核心	최상급 코어	แกนหลักขั้นสูง	核心商店的货币，由初始品阶为SSR的战斗员核心转换而来。	核心商店的貨幣，由初始品階為SSR的戰鬥員核心轉換而來。	Currency obtained from the cores of Combatants initially graded SSR, used in the Core Shop.	核心ショップの通貨。初期レアリティがSSRの戦闘員核心から変換される。	코어 상점의 화폐단위. 기본 등급 SSR인 전투원의 코어 전환을 통해 획득할 수 있다.	สกุล​เงิน​ใน​ร้านค้า​แกน​หลัก​ ซึ่ง​แปลง​มาจาก​แกน​หลัก​ของ​ตัวละคร​คุณภาพ​เริ่มต้น​ระดับ​ SSR​	神秘的能源物质，经由转换获得。	神秘的能源物質，經由轉換獲得。	A mysterious energy substance obtained through conversion.	神秘的なエネルギー物質。転換によって獲得する。	신비한 에너지원이다. 전환으로 획득할 수 있다.	แหล่งพลังงาน​ลึกลับ​ ได้รับ​จาก​การ​เปลี่ยนสภาพ​
4102101	41	4102	1	999	3000003	50	283;708		1	6:goods_icon_4102101		0				1	红色芯片·Ⅰ型	紅色晶片·Ⅰ型	Red Chip I	チップ：赤I型	레드 칩I	ชิปสีแดง·รุ่น Ⅰ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含红色情绪粒子的序列模块，可以有效提升战斗员强度。	富含紅色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Red Pathos Particles, capable of significantly enhancing the strength of Combatants.	レッドエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 레드 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สีแดง​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
4102102	41	4102	2	999	3000003	200	707;283;708	0;4102102	1	6:goods_icon_4102102		0				1	红色芯片·Ⅱ型	紅色晶片·Ⅱ型	Red Chip II	チップ：赤Ⅱ型	레드 칩II	ชิปสีแดง·รุ่น Ⅱ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含红色情绪粒子的序列模块，可以有效提升战斗员强度。	富含紅色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Red Pathos Particles, capable of significantly enhancing the strength of Combatants.	レッドエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 레드 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สีแดง​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
4102103	41	4102	3	999	3000003	600	707;283;708	0;4102103	1	6:goods_icon_4102103		0				1	红色芯片·Ⅲ型	紅色晶片·Ⅲ型	Red Chip III	チップ：赤Ⅲ型	레드 칩III	ชิปสีแดง·รุ่น Ⅲ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含红色情绪粒子的序列模块，可以有效提升战斗员强度。	富含紅色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Red Pathos Particles, capable of significantly enhancing the strength of Combatants.	レッドエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 레드 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สีแดง​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
4102104	41	4102	4	999	3000003	1200	707;708	4102104	1	6:goods_icon_4102104		0				1	红色芯片·Ⅳ型	紅色晶片·Ⅳ型	Red Chip IV	チップ：赤Ⅳ型	레드 칩IV	ชิปสีแดง·รุ่น Ⅳ	用于战斗员突破的材料。	用於戰鬥員突破的材料。	Material for Combatant ascension.	戦闘員突破に使う素材。	전투원 돌파 재료이다.	วัตถุดิบ​สำหรับ​ปลด​ลิมิต​ตัวละคร​	富含红色情绪粒子的序列模块，可以有效提升战斗员强度。	富含紅色情緒粒子的序列模組，可以有效提升戰鬥員強度。	A module rich in Red Pathos Particles, capable of significantly enhancing the strength of Combatants.	レッドエモーション粒子を豊富に含んだシリアルモジュール。戦闘員のパワーアップに不可欠。	풍부한 레드 이모션 파티클이 함유되어 있는 시퀀스 모듈이다. 효과적으로 전투원을 강화할 수 있다.	ซีรีส์​โมดูล​ที่​เต็มไปด้วย​อนุภาค​พา​โธส​สีแดง​ สามารถ​เพิ่ม​ความ​แข็งแกร่ง​ให้​กับ​ตัวละคร​ได้​อย่าง​มีประสิทธิภาพ​
