id	type	showType	activetyType	activityId	quality	stack	openType	showGotoIcon	openParameter	photoId	effectType	effectId	effectNum	mailId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
9000004	90	901	120501		5	-1	0	1	0	6:goods_icon_9000004					1	紧急封锁勋章	緊急封鎖勳章	Lockdown Medal	緊急封鎖勲章	긴급 봉쇄 훈장	เหรียญปิดล้อมฉุกเฉิน	仅在活动期间限量发行的勋章，用于表彰战斗勇猛的指挥官。	僅在活動期間限量發行的勳章，用於表彰戰鬥勇猛的指揮官。	A limited-edition medal issued only during the event, used to commend brave commanders in battle.	イベント期間のみ授与される勲章。勇敢な調査官を称えるためのものである。	이벤트 기간에 한정 발행되는 훈장이다. 전투에서 용맹함을 떨친 지휘관을 표창하는 데 쓰인다.	เหรียญ​ที่​มี​จำนวน​จำกัด​เฉพาะ​ใน​ช่วงเวลา​กิจกรรม​ ใช้​เพื่อ​เป็นการ​ยกย่อง​ผู้บังคับบัญชา​ที่​กล้าหาญ​ใน​การ​รบ​	功勋章	功勳章	Medal of Merit	勲章	유공 훈장	เหรียญผลงาน
9000005	90	901	1206		5	-1	0	1	0	6:goods_icon_9000005	302	3000003	1	90003	1	点赞币	點讚幣	Like Coins	Goodコイン	칭찬 코인	เหรียญกดไลก์	用于增幅道具的增益效果，仅能通过侵蚀空间获得。	用於增幅道具的增益效果，僅能通過侵蝕空間獲得。	Used to enhance the effects of items, can only be obtained through Void of Decay.	アイテムのボーナス効果を向上させる。侵蝕空間でのみ獲得できます。	증폭 아이템의 효과 버프에 사용된다. 침식 공간에서만 획득할 수 있다.	ใช้​สำหรับ​เพิ่มประสิทธิภาพ​บัฟ​ของ​ไอเทม​ หา​ได้​จาก​ "​มิติ​กัดกร่อน​"​ เท่านั้น​	点赞币的积累是读者对漫画的正向反馈，这些反馈也时刻影响着侵蚀空间的一切。	點讚幣的積累是讀者對漫畫的正向回饋，這些回饋也時刻影響著侵蝕空間的一切。	Accumulation of Like Coins is the readers' positive feedback on the manga, and these feedbacks constantly influence everything in Void of Decay.	Goodコインの蓄積は、漫画の読者からのポジティブなフィードバックである。そのフィードバックは侵蝕空間に常に影響を与えている。	칭찬 코인은 만화에 대한 독자들의 긍정적인 피드백이다. 이 피드백들은 침식 공간의 모든 것에 실시간으로 영향을 준다.	"​เหรียญ​กด​ไลก์​"​ เป็นการ​สะสม​ผล​ตอบรับ​เชิง​บวก​จาก​ผู้อ่าน​มัง​งะ​ ผล​ตอบรับ​เหล่านี้​จะ​ส่งผล​ต่อ​ "​มิติ​กัดกร่อน​"​ ทั้งหมด​ด้วย​
9000006	90	901	1206		5	-1	0	1	0	6:goods_icon_9000006	302	3000003	1	90004	1	阅读券	閱讀券	Reading Ticket	読書券	열람권	คูปองการอ่าน	用于解锁漫画剧情的阅读券，仅能通过侵蚀空间获得。	用於解鎖漫畫劇情的閱讀券，僅能通過侵蝕空間獲得。	Used to unlock manga storylines, can only be obtained through Void of Decay.	漫画開放用アイテム。侵蝕空間でのみ獲得できる。	만화 스토리 잠금 해제에 사용되는 열람권이다. 침식 공간에서만 획득할 수 있다.	คูปอง​การ​อ่าน​ที่​ใช้​สำหรับ​ปลดล็อก​มัง​งะ​ หา​ได้​จาก​ "​มิติ​กัดกร่อน​"​ เท่านั้น​	每部成功的漫画都需要读者的支持，这一点在漫画家的潜意识里也已根深蒂固。	每部成功的漫畫都需要讀者的支援，這一點在漫畫家的潛意識裡也已根深蒂固。	Every successful manga requires the support of readers, which is deeply ingrained in the subconscious of manga artists.	成功する漫画には読者の応援が必要だということは、漫画家の潜在意識にも刻み込まれている。	성공한 만화는 모두 독자의 지지 덕분이라는 사실은 만화가의 잠재의식에 뿌리깊게 박혀 있다.	ทุก​ความสำเร็จ​ของ​มัง​งะ​ล้วน​ต้อง​มี​ผู้อ่าน​ที่​คอย​ซัพพอร์ต​ ข้อ​นี้​ฝัง​ลึก​อยู่​ใน​จิตสำนึก​ของ​เหล่า​นักเขียน​
9012000	90	901	112000		5	-1	636	0	0	6:goods_icon_9012000	302	4190001	100	112000	1	绪晶·致命音符	緒晶·致命音符	Pathite: One False Note	緒晶・フォルティッシッシモ	이모션 크리스털 - 포르티시모	พาไธต์·เดธฮาร์โมนี	可在"活动召唤·致命音符"中抽取当期活动的情绪武装。	可在"活動召喚·致命音符"中抽取當期活動的戰鬥員。	Can be used in the "Event Summon: One False Note" to summon Pathos Armament.	イベント召喚で「緒晶・フォルティッシッシモ」を使用し召喚を行うことができる。	이벤트 소환 - 포르티시모'에서 획득할 수 있는 이모션 전투원이다.	สามารถ​สุ่ม​รับ​ตัวละคร​พา​โธส​ของ​กิจกรรม​ปัจจุบัน​ได้​ใน​ "​กิจกรรม​รับสมัคร​·​เด​ธฮาร์​โม​นี​"​	特质化的武装绪晶，可以用来制造稀有情绪武装。	特質化的武裝緒晶，可以用來製造稀有情緒武裝。	Special Combatant Pathite, used in the manufacturing of rare Pathos Armaments.	特質化した緒晶、希少な武装の製造に使用される。	특성화된 이모션 크리스털이다. 희귀 이모션 전투원 제작에 사용된다.	พา​ไธต์​ตัวละคร​ที่​ถูกปรับ​แต่ง​พิเศษ​ ใช้​สำหรับ​สร้าง​ตัวละคร​พา​โธส​หา​ยาก​ได้​
9012001	90	901	112000		5	-1	636	0	0	6:goods_icon_9012001	302	4190001	100	112000	1	绪晶·耀夜之星	緒晶·耀夜之星	Pathite: Luminous Star	緒晶・モーニングスター	이모션 크리스털 - 나이트 스타	พาไธต์·ดวงดาวรัตติกาล	可在"活动召唤·耀夜之星"中抽取当期活动的情绪武装。	可在"活動召喚·耀夜之星"中抽取當期活動的情緒武裝。	Can be used in the "Event Summon: Luminous Star" to summon Pathos Armament.	イベント召喚で「緒晶・モーニングスター」を使用し召喚を行うことができる。	이벤트 소환 - 나이트 스타'에서 획득할 수 있는 이모션 전투원이다.	สามารถ​สุ่ม​รับ​ตัวละคร​พา​โธส​ของ​กิจกรรม​ปัจจุบัน​ได้​ใน​ "​กิจกรรม​รับสมัคร​·​ดวงดาว​รัตติกาล​"​	特质化的武装绪晶，可以用来制造稀有情绪武装。	特質化的武裝緒晶，可以用來製造稀有情緒武裝。	Special Combatant Pathite, used in the manufacturing of rare Pathos Armaments.	特質化した緒晶、希少な武装の製造に使用される。	특성화된 이모션 크리스털이다. 희귀 이모션 전투원 제작에 사용된다.	พา​ไธต์​ตัวละคร​ที่​ถูกปรับ​แต่ง​พิเศษ​ ใช้​สำหรับ​สร้าง​ตัวละคร​พา​โธส​หา​ยาก​ได้​
9012002	90	901	112000		5	-1	636	0	0	6:goods_icon_9012002	302	4190001	100	112000	1	绪晶·远花火	緒晶·遠花火	Pathite: Hanabi	緒晶・遠花火	이모션 크리스털 - 머나먼 불꽃	พาไธต์·เฟลมสตาร์	可在"活动召唤·远花火"中抽取当期活动的情绪武装。	可在"活動召喚·遠花火"中抽取當期活動的情緒武裝。	Can be used in the "Event Summon: Hanabi" to summon Pathos Armament.	イベント召喚で「緒晶・遠花火」を使用し召喚を行うことができる。	이벤트 소환 - 머나먼 불꽃'에서 획득할 수 있는 이모션 전투원이다.	สามารถ​สุ่ม​รับ​ตัวละคร​พา​โธส​ของ​กิจกรรม​ปัจจุบัน​ได้​ใน​ "​กิจกรรม​รับสมัคร​·​เฟลม​สตาร์​"​	特质化的武装绪晶，可以用来制造稀有情绪武装。	特質化的武裝緒晶，可以用來製造稀有情緒武裝。	Special Combatant Pathite, used in the manufacturing of rare Pathos Armaments.	特質化した緒晶、希少な武装の製造に使用される。	특성화된 이모션 크리스털이다. 희귀 이모션 전투원 제작에 사용된다.	พา​ไธต์​ตัวละคร​ที่​ถูกปรับ​แต่ง​พิเศษ​ ใช้​สำหรับ​สร้าง​ตัวละคร​พา​โธส​หา​ยาก​ได้​
9012003	90	901	112000		5	-1	636	0	0	6:goods_icon_9012003	302	4190001	100	112000	1	绪晶·涤荡者	緒晶·滌蕩者	Pathite: Combat Mode	绪晶・穢れを浄化せし者	이모션 크리스털 - 메이드	พาไธต์·คอมแบทโหมด	可在"活动召唤·涤荡者"中抽取当期活动的情绪武装。	可在"活動召喚·滌蕩者"中抽取當期活動的情緒武裝。	Can be used in the "Event Summon: Combat Mode" to summon Pathos Armament.	イベント召喚で「绪晶・穢れを浄化せし者」を使用し召喚を行うことができる。	이벤트 소환 - 메이드'에서 획득할 수 있는 이모션 전투원이다.	สามารถ​สุ่ม​รับ​ตัวละคร​พา​โธส​ของ​กิจกรรม​ปัจจุบัน​ได้​ใน​ "​กิจกรรม​รับสมัคร​·​คอม​แบ​ท​โหมด​"​	特质化的武装绪晶，可以用来制造稀有情绪武装。	特質化的武裝緒晶，可以用來製造稀有情緒武裝。	Special Combatant Pathite, used in the manufacturing of rare Pathos Armaments.	特質化した緒晶、希少な武装の製造に使用される。	특성화된 이모션 크리스털이다. 희귀 이모션 전투원 제작에 사용된다.	พา​ไธต์​ตัวละคร​ที่​ถูกปรับ​แต่ง​พิเศษ​ ใช้​สำหรับ​สร้าง​ตัวละคร​พา​โธส​หา​ยาก​ได้​
9000007	90	901	120001	1	5	-1	0	0	0	6:goods_icon_9000007	302	3000003	1	99999	1	红莲花	紅蓮花	Red Lotus	紅蓮華	홍련화	ดอกบัวสีแดง	可在业火红莲活动商店内兑换奖励	可在業火紅蓮活動商店內兌換獎勵	Can be exchanged for rewards in the Vermilion Blaze event shop.	「業火紅蓮」のイベントショップで報酬を交換できる。	업화홍련 이벤트 상점 내에서 교환 가능	แลก​รางวัล​ได้ที่​ร้านค้า​กิจกรรม​ "เพลิงบาปบัวสีชาด"​	业火燃烧，生生不息。	業火燃燒，生生不息。	Hellfire blaze, relentless and omnipresent.	業火燎原、生生流転。	업화는 불타오르고, 생명은 이어지리라	เปลวไฟ​ลุกโชน​ ลุกไหม้​อย่าง​ไม่​สิ้นสุด​
9000008	90	901	120001	2	5	-1	0	0	0	6:goods_icon_9000008	302	3000003	1	99999	1	惊憷兔	驚怵兔	Startled Rabbit	怯えるうさぎ	겁먹은 토끼	กระต่ายตื่นตูม	可在兔与鹰之草活动商店内兑换奖励	可在兔與鷹之草活動商店內兌換獎勵	Can be exchanged for rewards in the Bunny and Hollyhock event shop.	「うさぎとヒエラクスの花」のイベントショップで報酬を交換できる。	토끼와 매의 싸움 이벤트 상점 내에서 교환 가능	แลก​รางวัล​ได้ที่​ร้านค้า​กิจกรรม​ "กระต่ายและฮอลลีฮอก"​	来吧……服从或是毁灭，总得做出选择吧？	來吧……服從或是毀滅，總得做出選擇吧？	Come on... Either obey or be destroyed. There has to be a choice, right?	さあ……選びなさい。服従か、それとも滅亡か？	자...... 복종이냐, 파멸이냐. 선택해야겠지?	มา​เถอะ​...​จะ​เชื่อฟัง​หรือ​ถูก​ทำลาย​ คุณ​ต้อง​เลือก​สัก​ทาง​ใช่ไหม​ล่ะ​?​
9000009	90	901	120001	3	5	-1	0	0	0	6:goods_icon_9000009	302	3000003	1	99999	1	爱心猫爪	愛心貓爪	Love Paw	ハート肉球	사랑스런 고양이 발바닥	อุ้งแมวแห่งรัก	可在恋心未卜活动商店内兑换奖励	可在戀心未卜活動商店內兌換獎勵	Can be exchanged for rewards in the Heart to Heart event shop.	「恋の予感」のイベントショップで報酬を交換できる。	연심미복 이벤트 상점 내에서 교환 가능	แลก​รางวัล​ได้ที่​ร้านค้า​กิจกรรม​ปริศนา​ลิขิต​รัก​	软乎乎的猫爪加上爱心形状的肉垫，双倍的可爱，双倍的治愈。	軟乎乎的貓爪加上愛心形狀的肉墊，雙倍的可愛，雙倍的治癒。	With soft cat claws and heart-shaped pads, double the cuteness.	柔らかな猫足にハートの形をした肉球、可愛さダブル、癒しもダブル。	말랑말랑한 고양이 발바닥에 하트 모양의 패드가 더해져, 귀여움이 더블, 힐링도 더블!	เท้า​แมว​ที่​นุ่มนิ่ม​ บวก​กับ​อุ้งเท้า​รูป​หัวใจ​ น่ารัก​สองเท่า​ เยียวยา​สองเท่า​
9000022	90	901	121801		5	-1	0	0	0	6:goods_icon_9000022	302				1	火绒	火絨	Tinder	火口	점화재	เชื้อเพลิง	每获得60充值积分，可获得1个火绒。	每獲得60儲值積分，可獲得1個火絨。	Gain 1 Tinder for every 60 Top-up Points.	60点のポイントにつき、火口を1個獲得できます。	충전 포인트를 60 획득할 때마다, 점화재 1개를 획득할 수 있다.	ทุกครั้งที่​ได้รับ​คะแนน​เติม​เงิน​ 60​ แต้ม​ จะ​ได้รับ​เชื้อเพลิง​ 1​ ชิ้น​	在天灯祈愿活动中使用，点亮花灯后获得奖励道具。	在天燈祈願活動中使用，點亮天燈後獲得獎勵道具。	Used in the Sky Lantern Wishing event to receive reward items after lighting the lantern.	「燈籠が煌く夜に」で使う。	천등 기원 이벤트에서 사용되며, 등불을 밝히면 보상을 획득할 수 있다.	สำหรับ​ใช้​ใน​กิจกรรม​โคม​อธิษฐาน​ หลัง​จุด​โคมไฟ​จะ​ได้รับ​ไอเทม​รางวัล​
9000010	90	901	120002		5	-1	0	1	0	6:goods_icon_9000010	302	3000003	1	90016	1	果香烤鸡	果香烤雞	Roasted Chicken	ローストチキン	과일향 로스트 치킨	ไก่ย่างผลไม้	是暖雪来信活动中，游玩关卡的必备消耗品	是暖雪來信活動中，遊玩關卡的必備消耗品	Necessary consumables for clearing stages in the Letters From Afar event.	「思いを手紙に乗せて」でステージに入るための消費品。	눈과 함께 온 편지 이벤트에서 스테이지 플레이 시 필요한 소모품	ไอเทม​ใช้งาน​ที่​จำเป็น​สำหรับ​เข้า​เล่น​ด่าน​ใน​กิจกรรม​จดหมาย​ลับ​ แดน​หิมะ​	香气馥郁的蜜色烤鸡就像是燃料，保证肉体与心灵的燃烧。	香氣馥鬱的蜜色烤雞就像是燃料，保證肉體與心靈的燃燒。	Fragrant honey-roasted chicken is like fuel, ensuring the burning of the body and soul.	香ばしい蜂蜜色の焼き鳥は燃料のように、一口食べると肉体も心も燃え上がる。	향긋한 촉촉한 금빛 통닭은 몸과 마음이 불타오르는 데 필요한 연료와 같다.	ไก่ย่าง​สี​น้ำผึ้ง​หอมกรุ่น​เหมือนกับ​เชื้อเพลิง​ที่​ช่วย​เผาไหม้​ให้​ร่างกาย​และ​จิตใจ​มีพลัง​
