id	type	showType	quality	stack	sellitem	sellMoney	gift	openType	openParameter	photoId	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
5900000	59	590	1	9999999										1	粉尘	粉塵	Powder		더스트	ผงธุลี												
5900001	59	591	1	9999999										1	一号牌	一號牌	Token No.1		1번패	ไพ่หมายเลข 1												
5910001	59	591	1	9999999										1	垃圾恶毒者	垃圾惡毒者	Garbage Plaguer	悪辣ゴミ	빌런 쓰레기통	ขยะจอมอาฆาต	一张精致的纸牌，可在提尔拉战牌玩法中使用；	一張精緻的紙牌，可在提爾拉戰牌玩法中使用；	A beautifully crafted playing card, ready for use in Tyrian Battle Card gameplay.	細部まで作り込まれたカード、戦札ステージで使用できる。	정교한 종이 카드. 티올라 배틀카드 콘텐츠에 사용된다	การ์ด​ที่​ละเอียด​และ​ประณีต​ สามารถ​ใช้​ใน​โหมด​เกม​การ์ด​เทีย​ร่า​						
5910002	59	591	1	9999999										1	铁皮巡逻者	鐵皮巡邏者	Iron Sentinel	ブリキのパトローラー	아이언 패트롤	สตีลเซ็นทรี	一张精致的纸牌，可在提尔拉战牌玩法中使用；	一張精緻的紙牌，可在提爾拉戰牌玩法中使用；	A beautifully crafted playing card, ready for use in Tyrian Battle Card gameplay.	細部まで作り込まれたカード、戦札ステージで使用できる。	정교한 종이 카드. 티올라 배틀카드 콘텐츠에 사용된다	การ์ด​ที่​ละเอียด​และ​ประณีต​ สามารถ​ใช้​ใน​โหมด​เกม​การ์ด​เทีย​ร่า​						
5910003	59	591	1	9999999										1	爆米花平板	爆米花平板	Popcorn Tablet	ポップコーンタブレット	팝콘 태블릿	ป๊อปคอร์นแท็บเล็ต	一张精致的纸牌，可在提尔拉战牌玩法中使用；	一張精緻的紙牌，可在提爾拉戰牌玩法中使用；	A beautifully crafted playing card, ready for use in Tyrian Battle Card gameplay.	細部まで作り込まれたカード、戦札ステージで使用できる。	정교한 종이 카드. 티올라 배틀카드 콘텐츠에 사용된다	การ์ด​ที่​ละเอียด​และ​ประณีต​ สามารถ​ใช้​ใน​โหมด​เกม​การ์ด​เทีย​ร่า​						
5910004	59	591	1	9999999										1	咬咬恶猫	咬咬惡貓	Snapping Kitty	カミカミ猫	악묘 깨물기	ดีมอนแคท	一张精致的纸牌，可在提尔拉战牌玩法中使用；	一張精緻的紙牌，可在提爾拉戰牌玩法中使用；	A beautifully crafted playing card, ready for use in Tyrian Battle Card gameplay.	細部まで作り込まれたカード、戦札ステージで使用できる。	정교한 종이 카드. 티올라 배틀카드 콘텐츠에 사용된다	การ์ด​ที่​ละเอียด​และ​ประณีต​ สามารถ​ใช้​ใน​โหมด​เกม​การ์ด​เทีย​ร่า​						
5910005	59	591	1	9999999										1	拳击贩售机	拳擊販售機	Boxing Automat	ボクシング販売機	권투 게임기	มินิบ็อกเซอร์	一张精致的纸牌，可在提尔拉战牌玩法中使用；	一張精緻的紙牌，可在提爾拉戰牌玩法中使用；	A beautifully crafted playing card, ready for use in Tyrian Battle Card gameplay.	細部まで作り込まれたカード、戦札ステージで使用できる。	정교한 종이 카드. 티올라 배틀카드 콘텐츠에 사용된다	การ์ด​ที่​ละเอียด​และ​ประณีต​ สามารถ​ใช้​ใน​โหมด​เกม​การ์ด​เทีย​ร่า​						
5910006	59	591	1	9999999										1	妖怪信号灯	妖怪信號燈	Spook Light	妖怪信号機	요괴 신호등	สัญญาณไฟแห่งอสูร	一张精致的纸牌，可在提尔拉战牌玩法中使用；	一張精緻的紙牌，可在提爾拉戰牌玩法中使用；	A beautifully crafted playing card, ready for use in Tyrian Battle Card gameplay.	細部まで作り込まれたカード、戦札ステージで使用できる。	정교한 종이 카드. 티올라 배틀카드 콘텐츠에 사용된다	การ์ด​ที่​ละเอียด​และ​ประณีต​ สามารถ​ใช้​ใน​โหมด​เกม​การ์ด​เทีย​ร่า​						
5910007	59	591	1	9999999										1	干扰放射者	干擾放射者	Flux Emitter	干渉者	방사선 레이더	ผู้ส่งคลื่นรบกวน	一张精致的纸牌，可在提尔拉战牌玩法中使用；	一張精緻的紙牌，可在提爾拉戰牌玩法中使用；	A beautifully crafted playing card, ready for use in Tyrian Battle Card gameplay.	細部まで作り込まれたカード、戦札ステージで使用できる。	정교한 종이 카드. 티올라 배틀카드 콘텐츠에 사용된다	การ์ด​ที่​ละเอียด​และ​ประณีต​ สามารถ​ใช้​ใน​โหมด​เกม​การ์ด​เทีย​ร่า​						
5910008	59	591	1	9999999										1	无面涂鸦犬	無面塗鴉犬	Faceless Tagger Hound	顔なき落書き犬	낙서견	กราฟฟิตี้ด็อก	一张精致的纸牌，可在提尔拉战牌玩法中使用；	一張精緻的紙牌，可在提爾拉戰牌玩法中使用；	A beautifully crafted playing card, ready for use in Tyrian Battle Card gameplay.	細部まで作り込まれたカード、戦札ステージで使用できる。	정교한 종이 카드. 티올라 배틀카드 콘텐츠에 사용된다	การ์ด​ที่​ละเอียด​และ​ประณีต​ สามารถ​ใช้​ใน​โหมด​เกม​การ์ด​เทีย​ร่า​						
