id	type	showType	quality	stack	openType	openParameter	photoId	effectType	effectId	effectNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
8200001	82	821	1	-1			6:goods_icon_8200001				1	基础鱼饵	基礎魚餌	Common Bait	通常餌	기본 미끼	เหยื่อตกปลาพื้นฐาน	大鱼概率+10%	大魚機率+10%	Big Catch Chance +10%	大型魚出現率＋10%	월척 확률 +10%	โอกาส​ได้​ปลา​ตัว​ใหญ่​ +10%​	俱乐部自制的改良鱼饵，似乎能吸引更大的鱼。	俱樂部自製的改良魚餌，似乎能吸引更大的魚。	The club creates its own improved baits that seem to attract larger fish.	クラブが独自に改良した魚餌。より大きな魚を引き寄せるようだ。	클럽에서 직접 만든 개량형 미끼. 더 큰 물고기를 유인할 수 있는 것 같다.	เหยื่อ​ตกปลา​ที่​ได้รับ​การปรับปรุง​โดย​ชมรม​ ดูเหมือน​จะ​สามารถ​ดึงดูด​ปลา​ที่​ใหญ่​กว่า​ได้​
8200101	82	822	1	-1			6:goods_icon_8200201				1	玛瑙1星鱼饵	瑪瑙1星魚餌	Cowrie 1★ Bait	メノウベイ用餌・★1	카넬리언 1★ 미끼	เหยื่อตกปลาอาเกต 1★	「鲦鱼」和「鲈鱼」的出率提升。	「鰷魚」和「鱸魚」的出率提升。	Increases the chance of Mudskipper and Sea Bass.	「カワイワシ」と「スズキ」の出現率アップ。	「살치」와 「농어」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลาซิว​]​ และ​ [​ปลา​กะพง​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200102	82	822	2	-1			6:goods_icon_8200202				1	玛瑙2星鱼饵	瑪瑙2星魚餌	Cowrie 2★ Bait	メノウベイ用餌・★2	카넬리언 2★ 미끼	เหยื่อตกปลาอาเกต 2★	「黄花鱼」和「河鲫鱼」的出率提升。	「黃花魚」和「河鯽魚」的出率提升。	Increases the chance of Yellow Croaker and Crucian Carp.	「フウセイ」と「フナ」の出現率アップ。	「참조기」와 「붕어」의 출현 확률이 증가한다.	โอกาสได้รับ [ปลาสำลี] และ [ปลา​ตะเพียน] เพิ่มขึ้น	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200103	82	822	3	-1			6:goods_icon_8200203				1	玛瑙3星鱼饵	瑪瑙3星魚餌	Cowrie 3★ Bait	メノウベイ用餌・★3	카넬리언 3★ 미끼	เหยื่อตกปลาอาเกต 3★	「弓鳍鱼」和「花鲢鱼」的出率提升。	「弓鰭魚」和「花鰱魚」的出率提升。	Increases the chance of Bowfin and Silver Carp.	「アミアカルヴァ」と「コクレン」の出現率アップ。	「보우핀」과 「연어」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​โบว์​ฟิน​]​ และ​ [​ปลา​คาร์​ป​เงิน​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200104	82	822	4	-1			6:goods_icon_8200204				1	玛瑙4星鱼饵	瑪瑙4星魚餌	Cowrie 4★ Bait	メノウベイ用餌・★4	카넬리언 4★ 미끼	เหยื่อตกปลาอาเกต 4★	「金眼狼鲈」和「凤尾鱼」的出率提升。	「金眼狼鱸」和「鳳尾魚」的出率提升。	Increases the chance of White Bass and Coilia mystus.	「ホワイトバス」と「カタクチイワシ」の出現率アップ。	「화이트 배스」와 「엔초비」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​กะพง​ตา​ทอง​]​ และ​ [​ปลา​แอนโชวี่​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200105	82	822	5	-1			6:goods_icon_8200205				1	玛瑙5星鱼饵	瑪瑙5星魚餌	Cowrie 5★ Bait	メノウベイ用餌・★5	카넬리언 5★ 미끼	เหยื่อตกปลาอาเกต 5★	「黄金锦鲤」和「香鱼」的出率提升。	「黃金錦鯉」和「香魚」的出率提升。	Increases the chance of Golden Koi and Sweetfish.	「山吹黄金」と「アユ」の出現率アップ。	「황금잉어」와 「은어」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​คาร์​ป​ทองคำ​]​ และ​ [​ปลา​อายุ​ (Ayu)]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200201	82	822	1	-1			6:goods_icon_8200501				1	水库1星鱼饵	水庫1星魚餌	Reservoir 1★ Bait	貯水池用餌・★1	저수지 1★ 미끼	เหยื่อตกปลาอ่างเก็บน้ำ 1★	「黄姑鱼」和「小黄鱼」的出率提升。	「黃姑魚」和「小黃魚」的出率提升。	Increases the chance of Yellow Drum and Small Yellow Croaker.	「アカグチ」と「キグチ」の出現率アップ。	「수조기」와 「조기」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​สวาย​]​ และ​ [​ปลา​เหลือง​ตัวเล็ก​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200202	82	822	2	-1			6:goods_icon_8200502				1	水库2星鱼饵	水庫2星魚餌	Reservoir 2★ Bait	貯水池用餌・★2	저수지 2★ 미끼	เหยื่อตกปลาอ่างเก็บน้ำ 2★	「青鳞鱼」和「白带鱼」的出率提升。	「青鱗魚」和「白帶魚」的出率提升。	Increases the chance of Japanese Scaled Sardine and Largehead Hairtail.	「サッパ」と「タチウオ」の出現率アップ。	「전어」와 「은갈치」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​ซาร์ดีน​]​ และ​ [​ปลา​ดาบเงิน​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
8200203	82	822	3	-1			6:goods_icon_8200503				1	水库3星鱼饵	水庫3星魚餌	Reservoir 3★ Bait	貯水池用餌・★3	저수지 3★ 미끼	เหยื่อตกปลาอ่างเก็บน้ำ 3★	「石鲽」和「鳗鱼」的出率提升。	「石鰈」和「鰻魚」的出率提升。	Increases the chance of Stone Flounder and Eel.	「イシガレイ」と「ウナギ」の出現率アップ。	「돌가자미」와 「장어」의 출현 확률이 증가한다.	โอกาส​ได้รับ​ [​ปลา​ลิ้นหมา​]​ และ​ [​ปลาไหล​]​ เพิ่มขึ้น​	散发着部分鱼儿喜欢的味道。	散發著部分魚兒喜歡的味道。	It emanates a scent that certain fish may find irresistible.	一部の魚が好む香りを漂わせている。	일부 물고기들이 좋아하는 냄새를 풍긴다.	ส่งกลิ่น​ที่​ปลา​บาง​ตัว​ชื่นชอบ​
