type	id	status
string	string	int
1001	4100011,4101002,4102031,4102105,4102205,4102305,4102021,5100015	1
3000	3000002,4100011,4102011,3000003,4101001	1
10003	4104041,4104042,4104043,4104041,4104042,4104043,3000018,3000018	1
21011	4010111,4010112,4010113,4010114,4010115,4010116,4010121,4010122,4010123,4010124,4010125,4010126,4010131,4010132,4010133,4010134,4010135,4010136	1
21012	4010121,4010122,4010123,4010124,4010125,4010126,4010131,4010132,4010133,4010134,4010135,4010136,4010141,4010142,4010143,4010144,4010145,4010146	1
21013	4010131,4010132,4010133,4010134,4010135,4010136,4010141,4010142,4010143,4010144,4010145,4010146,4010151,4010152,4010153,4010154,4010155,4010156	1
21021	4010211,4010212,4010213,4010214,4010215,4010216,4010221,4010222,4010223,4010224,4010225,4010226,4010231,4010232,4010233,4010234,4010235,4010236	1
21022	4010221,4010222,4010223,4010224,4010225,4010226,4010231,4010232,4010233,4010234,4010235,4010236,4010241,4010242,4010243,4010244,4010245,4010246	1
21023	4010231,4010232,4010233,4010234,4010235,4010236,4010241,4010242,4010243,4010244,4010245,4010246,4010251,4010252,4010253,4010254,4010255,4010256	1
21031	4010311,4010312,4010313,4010314,4010315,4010316,4010321,4010322,4010323,4010324,4010325,4010326,4010331,4010332,4010333,4010334,4010335,4010336	1
21032	4010321,4010322,4010323,4010324,4010325,4010326,4010331,4010332,4010333,4010334,4010335,4010336,4010341,4010342,4010343,4010344,4010345,4010346	1
21033	4010331,4010332,4010333,4010334,4010335,4010336,4010341,4010342,4010343,4010344,4010345,4010346,4010351,4010352,4010353,4010354,4010355,4010356	1
21041	4010411,4010412,4010413,4010414,4010415,4010416,4010421,4010422,4010423,4010424,4010425,4010426,4010431,4010432,4010433,4010434,4010435,4010436	1
21042	4010421,4010422,4010423,4010424,4010425,4010426,4010431,4010432,4010433,4010434,4010435,4010436,4010441,4010442,4010443,4010444,4010445,4010446	1
21043	4010431,4010432,4010433,4010434,4010435,4010436,4010441,4010442,4010443,4010444,4010445,4010446,4010451,4010452,4010453,4010454,4010455,4010456	1
21051	4010511,4010512,4010513,4010514,4010515,4010516,4010521,4010522,4010523,4010524,4010525,4010526,4010531,4010532,4010533,4010534,4010535,4010536	1
21052	4010521,4010522,4010523,4010524,4010525,4010526,4010531,4010532,4010533,4010534,4010535,4010536,4010541,4010542,4010543,4010544,4010545,4010546	1
21053	4010531,4010532,4010533,4010534,4010535,4010536,4010541,4010542,4010543,4010544,4010545,4010546,4010551,4010552,4010553,4010554,4010555,4010556	1
21081	4010816,4010816,4010816,4010816,4010816,4010816,4010826,4010826,4010826,4010826,4010826,4010826,4010836,4010836,4010836,4010836,4010836,4010836	1
21082	4010826,4010826,4010826,4010826,4010826,4010826,4010836,4010836,4010836,4010836,4010836,4010836,4010846,4010846,4010846,4010846,4010846,4010846	1
21083	4010836,4010836,4010836,4010836,4010836,4010836,4010846,4010846,4010846,4010846,4010846,4010846,4010856,4010856,4010856,4010856,4010856,4010856	1
21061	4010611,4010612,4010613,4010614,4010615,4010616	1
21062	4010621,4010622,4010623,4010624,4010625,4010626	1
21063	4010631,4010632,4010633,4010634,4010635,4010636	1
21064	4010641,4010642,4010643,4010644,4010645,4010646	1
21065	4010651,4010652,4010653,4010654,4010655,4010656	1
21071	4010711,4010712,4010713,4010714,4010715,4010716	1
21072	4010721,4010722,4010723,4010724,4010725,4010726	1
21073	4010731,4010732,4010733,4010734,4010735,4010736	1
21074	4010741,4010742,4010743,4010744,4010745,4010746	1
21075	4010751,4010752,4010753,4010754,4010755,4010756	1
21091	4010911,4010912,4010913,4010914,4010915,4010916	1
21092	4010921,4010922,4010923,4010924,4010925,4010926	1
21093	4010931,4010932,4010933,4010934,4010935,4010936	1
21094	4010941,4010942,4010943,4010944,4010945,4010946	1
21095	4010951,4010952,4010953,4010954,4010955,4010956	1
91041	4010411,4010412,4010413,4010414,4010415,4010416	1
91042	4010421,4010422,4010423,4010424,4010425,4010426	1
91043	4010431,4010432,4010433,4010434,4010435,4010436	1
91044	4010441,4010442,4010443,4010444,4010445,4010446	1
91045	4010451,4010452,4010453,4010454,4010455,4010456	1
91081	4010811,4010812,4010813,4010814,4010815,4010816	1
91082	4010821,4010822,4010823,4010824,4010825,4010826	1
91083	4010831,4010832,4010833,4010834,4010835,4010836	1
91084	4010841,4010842,4010843,4010844,4010845,4010846	1
91085	4010851,4010852,4010853,4010854,4010855,4010856	1
91061	4010611,4010612,4010613,4010614,4010615,4010616	1
91062	4010621,4010622,4010623,4010624,4010625,4010626	1
91063	4010631,4010632,4010633,4010634,4010635,4010636	1
91064	4010641,4010642,4010643,4010644,4010645,4010646	1
91065	4010651,4010652,4010653,4010654,4010655,4010656	1
91071	4010711,4010712,4010713,4010714,4010715,4010716	1
91072	4010721,4010722,4010723,4010724,4010725,4010726	1
91073	4010731,4010732,4010733,4010734,4010735,4010736	1
91074	4010741,4010742,4010743,4010744,4010745,4010746	1
91075	4010751,4010752,4010753,4010754,4010755,4010756	1
91091	4010911,4010912,4010913,4010914,4010915,4010916	1
91092	4010921,4010922,4010923,4010924,4010925,4010926	1
91093	4010931,4010932,4010933,4010934,4010935,4010936	1
91094	4010941,4010942,4010943,4010944,4010945,4010946	1
91095	4010951,4010952,4010953,4010954,4010955,4010956	1
21101	4011011,4011012,4011013,4011014,4011015,4011016,4011021,4011022,4011023,4011024,4011025,4011026,4011031,4011032,4011033,4011034,4011035,4011036	1
