id	itemId	itemNum	getItemId	getItemNum	sort	status
int	int	int	int	int	int	int
1	4190004	1	9012004	1	3	1
2	3000002	9	9012004	5	2	1
3	3000001	9	9012004	5	1	1
4	4190004	1	9012005	1	3	1
5	3000002	9	9012005	5	2	1
6	3000001	9	9012005	5	1	1
7	4190004	1	9012003	1	3	1
8	3000002	9	9012003	5	2	1
9	3000001	9	9012003	5	1	1
10	4190004	1	9012006	1	3	1
11	3000002	9	9012006	5	2	1
12	3000001	9	9012006	5	1	1
13	4190004	1	9012007	1	3	1
14	3000002	9	9012007	5	2	1
15	3000001	9	9012007	5	1	1
16	4190004	1	9012008	1	3	1
17	3000002	9	9012008	5	2	1
18	3000001	9	9012008	5	1	1
19	4190004	1	9012009	1	3	1
20	3000002	9	9012009	5	2	1
21	3000001	9	9012009	5	1	1
22	4190004	1	9012010	1	3	1
23	3000002	9	9012010	5	2	1
24	3000001	9	9012010	5	1	1
25	4190004	1	9012011	1	3	1
26	3000002	9	9012011	5	2	1
27	3000001	9	9012011	5	1	1
28	4190004	1	9012012	1	3	1
29	3000002	9	9012012	5	2	1
30	3000001	9	9012012	5	1	1
31	4190004	1	9012013	1	3	1
32	3000002	9	9012013	5	2	1
33	3000001	9	9012013	5	1	1
34	4190004	1	9012014	1	3	1
35	3000002	9	9012014	5	2	1
36	3000001	9	9012014	5	1	1
37	4190004	1	9012015	1	3	1
38	3000002	9	9012015	5	2	1
39	3000001	9	9012015	5	1	1
40	4190004	1	9012016	1	3	1
41	3000002	9	9012016	5	2	1
42	3000001	9	9012016	5	1	1
43	4190004	1	9012017	1	3	1
44	3000002	9	9012017	5	2	1
45	3000001	9	9012017	5	1	1
46	4190004	1	9012018	1	3	1
47	3000002	9	9012018	5	2	1
48	3000001	9	9012018	5	1	1
49	4190004	1	9012019	1	3	1
50	3000002	9	9012019	5	2	1
51	3000001	9	9012019	5	1	1
52	4190004	1	9012020	1	3	1
53	3000002	9	9012020	5	2	1
54	3000001	9	9012020	5	1	1
55	4190004	1	9012021	1	3	1
56	3000002	9	9012021	5	2	1
57	3000001	9	9012021	5	1	1
58	4190004	1	9012022	1	3	1
59	3000002	9	9012022	5	2	1
60	3000001	9	9012022	5	1	1
61	4190004	1	9012023	1	3	1
62	3000002	9	9012023	5	2	1
63	3000001	9	9012023	5	1	1
64	4190004	1	9012024	1	3	1
65	3000002	9	9012024	5	2	1
66	3000001	9	9012024	5	1	1
67	4190004	1	9012026	1	3	1
68	3000002	9	9012026	5	2	1
69	3000001	9	9012026	5	1	1
70	4190004	1	9012025	1	3	1
71	3000002	9	9012025	5	2	1
72	3000001	9	9012025	5	1	1
73	4190004	1	9012027	1	3	1
74	3000002	9	9012027	5	2	1
75	3000001	9	9012027	5	1	1
76	4190004	1	9012028	1	3	1
77	3000002	9	9012028	5	2	1
78	3000001	9	9012028	5	1	1
79	4190004	1	9012029	1	3	1
80	3000002	9	9012029	5	2	1
81	3000001	9	9012029	5	1	1
82	4190004	1	9012030	1	3	1
83	3000002	9	9012030	5	2	1
84	3000001	9	9012030	5	1	1
85	4190004	1	9012031	1	3	1
86	3000002	9	9012031	5	2	1
87	3000001	9	9012031	5	1	1
88	4190004	1	9012032	1	3	1
89	3000002	9	9012032	5	2	1
90	3000001	9	9012032	5	1	1
91	4190004	1	9012033	1	3	1
92	3000002	9	9012033	5	2	1
93	3000001	9	9012033	5	1	1
94	4190004	1	9012034	1	3	1
95	3000002	9	9012034	5	2	1
96	3000001	9	9012034	5	1	1
97	4190004	1	9012035	1	3	1
98	3000002	9	9012035	5	2	1
99	3000001	9	9012035	5	1	1
100	4190004	1	9012036	1	3	1
101	3000002	9	9012036	5	2	1
102	3000001	9	9012036	5	1	1
103	4190004	1	9012037	1	3	1
104	3000002	9	9012037	5	2	1
105	3000001	9	9012037	5	1	1
106	4190004	1	9012038	1	3	1
107	3000002	9	9012038	5	2	1
108	3000001	9	9012038	5	1	1
109	4190004	1	9012039	1	3	1
110	3000002	9	9012039	5	2	1
111	3000001	9	9012039	5	1	1
112	4190004	1	9012040	1	3	1
113	3000002	9	9012040	5	2	1
114	3000001	9	9012040	5	1	1
115	4190004	1	9012041	1	3	1
116	3000002	9	9012041	5	2	1
117	3000001	9	9012041	5	1	1
118	4190004	1	9012042	1	3	1
119	3000002	9	9012042	5	2	1
120	3000001	9	9012042	5	1	1
121	4190004	1	9012043	1	3	1
122	3000002	9	9012043	5	2	1
123	3000001	9	9012043	5	1	1
124	4190004	1	9012044	1	3	1
125	3000002	9	9012044	5	2	1
126	3000001	9	9012044	5	1	1
127	4190004	1	9012045	1	3	1
128	3000002	9	9012045	5	2	1
129	3000001	9	9012045	5	1	1
130	4190004	1	9012047	1	3	1
131	3000002	9	9012047	5	2	1
132	3000001	9	9012047	5	1	1
133	4190004	1	9012046	1	3	1
134	3000002	9	9012046	5	2	1
135	3000001	9	9012046	5	1	1
136	4190004	1	9012048	1	3	1
137	3000002	9	9012048	5	2	1
138	3000001	9	9012048	5	1	1
139	4190004	1	9012049	1	3	1
140	3000002	9	9012049	5	2	1
141	3000001	9	9012049	5	1	1
142	4190004	1	9012050	1	3	1
143	3000002	9	9012050	5	2	1
144	3000001	9	9012050	5	1	1
