id	ScheduleId	level	PayRewardId	PayRewardNum	status
int	int	int	int	int	int
2001	1	1	12900250;6000005	1;1	1
2002	1	2	3000002;4104042	500;100	1
2003	1	3	4190004;4104043	500;50	1
2004	1	4	3000002;4104042	500;100	1
2005	1	5	4190004;4104043	500;50	1
2006	1	6	3000002;4104042	500;100	1
2007	1	7	4190004;4104043	500;50	1
2008	1	8	3000002;4104042	500;100	1
2009	1	9	4190004;4104043	500;50	1
2010	1	10	6210027;3000002	1;500	1
2011	1	11	4190004;4104042	500;100	1
2012	1	12	3000002;4104043	500;50	1
2013	1	13	4190004;4104042	500;100	1
2014	1	14	3000002;4104043	500;50	1
2015	1	15	6220023;4190004	1;500	1
2101	2	1	12300802;4104041	1;100	1
2102	2	2	9000033;4104042	2;50	1
2103	2	3	5200011;4104043	2;20	1
2104	2	4	9000033;4104041	2;100	1
2105	2	5	9000033;4104042	2;50	1
2106	2	6	5200011;4104043	2;20	1
2107	2	7	9000033;4104041	2;100	1
2108	2	8	9000033;4104042	2;50	1
2109	2	9	5200011;4104043	2;20	1
2110	2	10	9000033;4104041	2;100	1
2111	2	11	9000033;4104042	2;50	1
2112	2	12	5200011;4104043	2;20	1
2113	2	13	9000033;4104041	2;100	1
2114	2	14	9000033;4104042	2;50	1
2115	2	15	5200011;4104043	2;20	1
2201	3	1	14400102;4104041	1;100	1
2202	3	2	9000033;4104042	2;50	1
2203	3	3	4140001;4104043	2;20	1
2204	3	4	9000033;4104041	2;100	1
2205	3	5	9000033;4104042	2;50	1
2206	3	6	4140001;4104043	2;20	1
2207	3	7	9000033;4104041	2;100	1
2208	3	8	9000033;4104042	2;50	1
2209	3	9	4140001;4104043	2;20	1
2210	3	10	9000033;4104041	2;100	1
2211	3	11	9000033;4104042	2;50	1
2212	3	12	4140001;4104043	2;20	1
2213	3	13	9000033;4104041	2;100	1
2214	3	14	9000033;4104042	2;50	1
2215	3	15	4140001;4104043	2;20	1
2301	4	1	12500802;4104041	1;100	1
2302	4	2	9000033;4104042	2;50	1
2303	4	3	5200011;4104043	2;20	1
2304	4	4	9000033;4104041	2;100	1
2305	4	5	9000033;4104042	2;50	1
2306	4	6	5200011;4104043	2;20	1
2307	4	7	9000033;4104041	2;100	1
2308	4	8	9000033;4104042	2;50	1
2309	4	9	5200011;4104043	2;20	1
2310	4	10	9000033;4104041	2;100	1
2311	4	11	9000033;4104042	2;50	1
2312	4	12	5200011;4104043	2;20	1
2313	4	13	9000033;4104041	2;100	1
2314	4	14	9000033;4104042	2;50	1
