id	ScheduleId	level	freeRewardId	freeRewardNum	status
int	int	int	int	int	int
1001	1	1	4104041	100	1
1002	1	2	4190001	100	1
1003	1	3	4104042	50	1
1004	1	4	4190001	100	1
1005	1	5	4104043	20	1
1006	1	6	4104041	100	1
1007	1	7	4190001	100	1
1008	1	8	4104042	50	1
1009	1	9	4190001	100	1
1010	1	10	4104043	20	1
1011	1	11	4104041	100	1
1012	1	12	4190001	100	1
1013	1	13	4104042	50	1
1014	1	14	4190001	100	1
1015	1	15	4104043	20	1
1101	2	1	9000033	1	1
1102	2	2	4104041	40	1
1103	2	3	4104042	20	1
1104	2	4	4104043	10	1
1105	2	5	9000033	1	1
1106	2	6	4104041	40	1
1107	2	7	4104042	20	1
1108	2	8	4104043	10	1
1109	2	9	9000033	1	1
1110	2	10	4104041	40	1
1111	2	11	4104042	20	1
1112	2	12	4104043	10	1
1113	2	13	9000033	1	1
1114	2	14	4104042	20	1
1115	2	15	4104043	10	1
1201	3	1	9000033	1	1
1202	3	2	4104041	40	1
1203	3	3	4104042	20	1
1204	3	4	4104043	10	1
1205	3	5	9000033	1	1
1206	3	6	4104041	40	1
1207	3	7	4104042	20	1
1208	3	8	4104043	10	1
1209	3	9	4104041	40	1
1210	3	10	4104042	20	1
1211	3	11	4104043	10	1
1212	3	12	4104041	40	1
1213	3	13	4104042	20	1
1214	3	14	4104043	10	1
1215	3	15	4104043	10	1
1301	4	1	9000033	1	1
1302	4	2	4104041	40	1
1303	4	3	4104042	20	1
1304	4	4	4104043	10	1
1305	4	5	9000033	1	1
1306	4	6	4104041	40	1
1307	4	7	4104042	20	1
1308	4	8	4104043	10	1
1309	4	9	4104041	40	1
1310	4	10	4104042	20	1
1311	4	11	4104043	10	1
1312	4	12	4104041	40	1
1313	4	13	4104042	20	1
1314	4	14	4104043	10	1
1315	4	15	4104043	10	1
1401	5	1	9000033	1	1
1402	5	2	4104041	40	1
1403	5	3	4104042	20	1
1404	5	4	4104043	10	1
1405	5	5	9000033	1	1
1406	5	6	4104041	40	1
1407	5	7	4104042	20	1
1408	5	8	4104043	10	1
1409	5	9	4104041	40	1
1410	5	10	4104042	20	1
1411	5	11	4104043	10	1
1412	5	12	4104041	40	1
1413	5	13	4104042	20	1
1414	5	14	4104043	10	1
1415	5	15	4104043	10	1
1416	6	1	9000033	1	1
1417	6	2	4104041	40	1
1418	6	3	4104042	20	1
1419	6	4	4104043	10	1
1420	6	5	9000033	1	1
1421	6	6	4104041	40	1
1422	6	7	4104042	20	1
1423	6	8	4104043	10	1
1424	6	9	4104041	40	1
1425	6	10	4104042	20	1
1426	6	11	4104043	10	1
1427	6	12	4104041	40	1
1428	6	13	4104042	20	1
1429	6	14	4104043	10	1
1430	6	15	4104043	10	1
1501	7	1	9000033	1	1
1502	7	2	4104041	40	1
1503	7	3	4104042	20	1
1504	7	4	4104043	10	1
1505	7	5	9000033	1	1
1506	7	6	4104041	40	1
1507	7	7	4104042	20	1
1508	7	8	4104043	10	1
1509	7	9	4104041	40	1
1510	7	10	4104042	20	1
1511	7	11	4104043	10	1
1512	7	12	4104041	40	1
1513	7	13	4104042	20	1
1514	7	14	4104043	10	1
1515	7	15	4104043	10	1
1801	8	1	9000033	1	1
1802	8	2	4104041	40	1
1803	8	3	4104042	20	1
1804	8	4	4104043	10	1
1805	8	5	9000033	1	1
1806	8	6	4104041	40	1
1807	8	7	4104042	20	1
1808	8	8	4104043	10	1
1809	8	9	4104041	40	1
1810	8	10	4104042	20	1
1811	8	11	4104043	10	1
1812	8	12	4104041	40	1
1813	8	13	4104042	20	1
1814	8	14	4104043	10	1
1815	8	15	4104043	10	1
1901	9	1	9000033	1	1
1902	9	2	4104041	40	1
1903	9	3	4104042	20	1
1904	9	4	4104043	10	1
1905	9	5	9000033	1	1
1906	9	6	4104041	40	1
1907	9	7	4104042	20	1
1908	9	8	4104043	10	1
1909	9	9	4104041	40	1
1910	9	10	4104042	20	1
1911	9	11	4104043	10	1
1912	9	12	4104041	40	1
1913	9	13	4104042	20	1
1914	9	14	4104043	10	1
1915	9	15	4104043	10	1
1116	10	1	9000033	1	1
1117	10	2	4104041	40	1
1118	10	3	4104042	20	1
1119	10	4	4104043	10	1
1120	10	5	9000033	1	1
1121	10	6	4104041	40	1
1122	10	7	4104042	20	1
1123	10	8	4104043	10	1
1124	10	9	4104041	40	1
1125	10	10	4104042	20	1
1126	10	11	4104043	10	1
1127	10	12	4104041	40	1
1128	10	13	4104042	20	1
1129	10	14	4104043	10	1
1130	10	15	4104043	10	1
1016	11	1	9000033	1	1
1017	11	2	4104041	40	1
1018	11	3	4104042	20	1
1019	11	4	4104043	10	1
1020	11	5	9000033	1	1
1021	11	6	4104041	40	1
1022	11	7	4104042	20	1
1023	11	8	4104043	10	1
1024	11	9	4104041	40	1
1025	11	10	4104042	20	1
1026	11	11	4104043	10	1
1027	11	12	4104041	40	1
1028	11	13	4104042	20	1
1029	11	14	4104043	10	1
1030	11	15	4104043	10	1
1031	12	1	9000033	1	1
1032	12	2	4104041	40	1
1033	12	3	4104042	20	1
1034	12	4	4104043	10	1
1035	12	5	9000033	1	1
1036	12	6	4104041	40	1
1037	12	7	4104042	20	1
1038	12	8	4104043	10	1
1039	12	9	4104041	40	1
1040	12	10	4104042	20	1
1041	12	11	4104043	10	1
1042	12	12	4104041	40	1
1043	12	13	4104042	20	1
1044	12	14	4104043	10	1
1045	12	15	4104043	10	1
1046	13	1	9000033	1	1
1047	13	2	4104041	40	1
1048	13	3	4104042	20	1
1049	13	4	4104043	10	1
1050	13	5	9000033	1	1
1051	13	6	4104041	40	1
1052	13	7	4104042	20	1
1053	13	8	4104043	10	1
1054	13	9	4104041	40	1
1055	13	10	4104042	20	1
1056	13	11	4104043	10	1
1057	13	12	4104041	40	1
1058	13	13	4104042	20	1
1059	13	14	4104043	10	1
1060	13	15	4104043	10	1
1061	14	1	3000002	50	1
1062	14	2	4100032	2	1
1063	14	3	4100032	2	1
1064	14	4	4100032	2	1
1065	14	5	4100032	2	1
1066	14	6	3000002	50	1
1067	14	7	4100032	5	1
1068	14	8	4100032	5	1
1069	14	9	4100032	5	1
1070	14	10	4100032	5	1
1071	14	11	3000002	50	1
1072	14	12	4100036	5	1
1073	14	13	4100036	5	1
1074	14	14	4100036	5	1
1075	14	15	4100036	5	1
