id	lobbyMode	prefabId	bodyIcon	sceneId	commodityId	goodsConsum	goodsConsumNum	mailId	ruleID	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	12900250	12002701	90:card_img_12900250_l	102:a_bg_120021_01_241113	54001	3000001	6480			1	解锁豪华合约可获得深渊誓约时装【危情夜魅】及专属互动情景等海量奖励！	解鎖豪華合約可獲得深淵誓約時裝【危情夜魅】及專屬互動情景等海量獎勵！	Unlock the Deluxe Contract to obtain the Abyss Oath outfit [Dangerous Night], along with exclusive interactive scenes and other rewards!	豪華契約を解放すると、深淵誓約の外観「捜査開始」や専用シーンなどの豪華報酬を獲得できます！	프리미엄 계약을 해제하면, 심연의 맹세 스킨 [위험한 밤의 유혹] 및 대량의 보상을 얻을 수 있습니다.	ปลดล็อก​พาส​พรีเมียม​จะ​ได้รับ​คอสตูม​ [​ไนต์​เทมพ์​เท​รส​]​ ของ​พันธะ​อเวจี​และ​ฉาก​โต้ตอบ​พิเศษ​ รวมถึง​รางวัล​อีก​มากมาย​!​
2	12300802	12002701	90:card_img_12300802_l	102:a_bg_120027_02_241218	54002	3000001	1280			1	解锁豪华合约可获得絵空事时装【红莲】等海量奖励！	解鎖豪華合約可獲得絵空事時裝【紅蓮】等海量獎勵！	Unlock the Deluxe Contract to receive Pipe Dream (Vermillion) and a plethora of awesome rewards!	豪華契約を解放すると、外観「絵空事・紅蓮」などの豪華報酬がもらえます！	프리미엄을 구매 후 해제하면 한정 스킨 [비현실-홍련] 등 호화 보상을 획득할 수 있습니다!	ปลดล็อก​พาส​พรีเมียม​จะ​ได้รับ​คอสตูม​ [​บัว​สี​ชาด​]​ ของ​เงามืดมายา​และ​รางวัล​อีก​มากมาย​!​
3	14400102	12002701	90:card_img_14400102_l	102:a_bg_14400102_03_25312	54003	3000001	1280			1	解锁豪华合约可获得【千术之王时装】等海量奖励！	解鎖豪華合約可獲得【千術之王時裝】等海量獎勵！	Unlock the Deluxe Contract to receive Tricky Wicky's outfit and a plethora of awesome rewards!	豪華契約を解放すると、「イカサマ女王」の外観などの豪華報酬がもらえます！	프리미엄 계약을 해제하면, [트릭의 제왕 스킨] 및 대량의 보상을 얻을 수 있습니다.	ปลดล็อก​พาส​พรีเมียม​เพื่อ​รับ​ [​คอสตูม​ของ​รา​นี​แห่ง​กลอุบาย​]​ และ​ของรางวัล​อีก​มากมาย​!​
4	12500802	12002701	90:card_img_12500802_l	102:a_bg_120027_04_250410	54004	3000001	1280			1	解锁豪华合约可获得【架刑罪赎时装】等海量奖励！	解鎖豪華合約可獲得【架刑罪贖時裝】等海量獎勵！	Unlock the Deluxe Contract to receive Pure Redemption's outfit and a plethora of awesome rewards!	豪華契約を解放すると、「断罪なる磔刑」の外観などの豪華報酬がもらえます！	프리미엄 계약을 해제하면, [십자가 위의 용서 스킨] 및 대량의 보상을 얻을 수 있습니다.	ปลดล็อกพาสพรีเมียมเพื่อรับ [คอสตูมของบาปบริสุทธิ์] และของรางวัลอีกมากมาย!
5	14900802	12002701	90:card_img_14900802_l	102:a_bg_120027_05_250508	54005	3000001	1280			1	解锁豪华合约可获得【掌上女仆时装】等海量奖励！	解鎖豪華合約可獲得【掌上女僕時裝】等海量獎勵！	Unlock the Deluxe Contract to receive Pocket Maiden's outfit and a plethora of awesome rewards!	豪華契約を解放すると、「ポケットメイデン」の外観などの豪華報酬がもらえます！	프리미엄 계약을 해제하면, [포켓 레이디 스킨] 및 대량의 보상을 얻을 수 있습니다.	ปลดล็อก​พาส​พรีเมียม​เพื่อ​รับ​ [​คอสตูม​ของ​เจ้าหญิง​ตัว​น้อย​]​ และ​ของรางวัล​อีก​มากมาย​!​
6	10100202	12002701	90:card_img_10100202_l	102:a_bg_120027_02_241218	54006	3000001	1280			1	解锁豪华合约可获得【深蓝执法者时装】等海量奖励！	解鎖豪華合約可獲得【深藍執法者時裝】等海量獎勵！	Unlock the Deluxe Contract to receive Deep Blue Enforcer's outfit and a plethora of awesome rewards!	豪華契約を解放すると、「群青のエンフォーサー」の外観などの豪華報酬がもらえます！	프리미엄 계약을 해제하면, [검푸른 법무관 스킨] 및 대량의 보상을 얻을 수 있습니다.	ปลดล็อก​พาส​พรีเมียม​เพื่อ​รับ​ [​คอสตูม​ของ​ผู้พิทักษ์​ท้องทะเล​]​ และ​ของรางวัล​อีก​มากมาย​!​
7	15400850	12002701	90:card_img_15400850_l	102:a_bg_120027_02_250626	54007	3000001	1280			1	解锁豪华合约可获得【恶兆之影时装】等海量奖励！	解鎖豪華合約可獲得【惡兆之影時裝】等海量獎勵！	Unlock the Deluxe Contract to receive Eclipse of Omen's outfit and a plethora of awesome rewards!	豪華契約を解放すると、「悪兆の影」の外観など豪華報酬がもらえます！	프리미엄 해제하면 [불길의 징조 스킨] 등 호화 보상을 획득할 수 있습니다!	ปลดล็อก​พาส​พรีเมียม​เพื่อ​รับ​ [​คอสตูม​ของ​ผู้ส่งสาร​แห่ง​ความมืด​]​ และ​ของรางวัล​อีก​มากมาย​!​
8	12300803	12002701	90:card_img_12300803_l	102:a_bg_120027_08_250730	54008	3000001	1280			1	解锁豪华合约可获得【絵空事时装】等海量奖励！	解鎖豪華合約可獲得【絵空事時裝】等海量獎勵！	Unlock the Deluxe Contract to receive Pipe Dream's outfit and a plethora of awesome rewards!	豪華契約を解放すると、「絵空事」の外観など豪華報酬がもらえます！	프리미엄 해제하면 [비현실 스킨] 등 호화 보상을 획득할 수 있습니다!	ปลดล็อก​พาส​พรีเมียม​เพื่อ​รับ​ [​คอสตูม​ของ​เงามืด​มายา​]​ และ​ของรางวัล​อีก​มากมาย​!​
9	16200802	12002701	90:card_img_16200802_l	102:a_bg_120027_09_250821	54009	3000001	1280			1	解锁豪华合约可获得【暗巷深宵时装】等海量奖励！	解鎖豪華合約可獲得【暗巷深宵時裝】等海量獎勵！	Unlock the Deluxe Contract to receive Haven's Claw's outfit and a plethora of awesome rewards!	豪華契約を解放すると、「路地裏トワイライト」の外観などの豪華報酬がもらえます！	프리미엄 해제하면 [골목 위의 밤하늘 스킨] 등 호화 보상을 획득할 수 있습니다!	ปลดล็อกพาสพรีเมียมเพื่อรับ​ [คอสตูมของคมเขี้ยวรัตติกาล]​ และ​รางวัล​อีก​มากมาย​!​
10	15300802	12002701	90:card_img_15300802_l	102:a_bg_120027_10_250918	54010	3000001	1280			1	解锁豪华合约可获得【衍罪之渊时装】等海量奖励！	解鎖豪華合約可獲得【衍罪之淵時裝】等海量獎勵！	Unlock the Deluxe Contract to receive Depths of Guilt's outfit and a plethora of awesome rewards!	豪華契約を解放すると、外観「ハマルティアの淵・ミノタ」などの豪華報酬がもらえます！	프리미엄 계약을 해제하면, [죄의 심연 스킨] 및 대량의 보상을 얻을 수 있습니다!	ปลดล็อกพาสพรีเมียมเพื่อรับ [คอสตูมของ "ห้วงลึกตราบาป"] และรางวัลอีกมากมาย!
11	10301002	12002701	90:card_img_10301002_l	102:a_bg_120027_11_251112	54011	3000001	1280			1	解锁豪华合约可获得【电音风暴时装】等海量奖励！	解鎖豪華合約可獲得【電音風暴時裝】等海量獎勵！	Unlock the Deluxe Contract to receive Electro Storm's outfit and a plethora of awesome rewards!	豪華契約を解放すると、外観「エレクトロストーム」などの豪華報酬がもらえます！	프리미엄 계약을 해제하면,  [일렉트로닉 스톰 스킨] 및 대량의 보상을 얻을 수 있습니다.	ปลดล็อก​พาส​พรีเมียม​เพื่อ​รับ​ [​คอสตูม​ของ​อิ​เล็ก​โทร​สตอร์ม​]​ และ​ของรางวัล​อีก​มากมาย​
