id	moduleId	mark	systemFunction	trigger	condition	completeCondition	preGuideBehavior	eventInfo	eventBehavior	actionInfo	actionBehavior	actionHLParams	postGuideBehavior	moduleQuitFlag	sync	requestPath	isWaitAnimateComplete	dialogPos	dialogLineDirection	dialogType	voice	goods	goodsNum	skip	renderCameraType	particle	status	text	text_zh_TW	text_en_UK	text_ja_JP	text_ko_KR	text_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1_1	1	1	0	1#103		-3#999999		1#UIHomeView/Root/RighPanel/BottomPanel/BtnDrawCard:1:1	2	1#UIHomeView/Root/RighPanel/BottomPanel/BtnDrawCard:1:1#0	3	0:28:0		0			0	-405.9888;103.73||0;0	0	2				0	1	1	1	调查官，请前往<color=#f44eef>【召唤】</color>，这是我们获得<color=#f44eef>【战斗员】</color>的主要来源。	調查官，請前往<color=#f44eef>【召喚】</color>，這是我們獲得<color=#f44eef>【戰鬥員】</color>的主要來源。	Inspector, let's head over to the <color=#f44eef>[Summon]</color> page. That's where we get our <color=#f44eef>[Combatants]</color>.	調査官、<color=#f44eef>「召喚」</color>に進んでください。これが<color=#f44eef>「戦闘員」</color>を入手する主要な方法です。	조사관님, <color=#f44eef>[전투원]</color>을 획득할 수 있는 주요 수단인 <color=#f44eef>[소환]</color>으로 이동해 주세요	คุณผู้ตรวจการ โปรดไปที่ <color=#f44eef>[รับสมัคร]</color>\nเพื่อหา<color=#f44eef>[เอเจนต์]</color> ใหม่เข้าทีมค่ะ
1_2	1	2	0	1#2211				1#GachaponEntry/Container/Root/RotatePanel/RightPanel/BtnNewNode/AnimRoot/BtnOne/FontStyleButton:0.96:0.96	1#2	1#GachaponEntry/Container/Root/RotatePanel/RightPanel/BtnNewNode/AnimRoot/BtnOne/FontStyleButton:1:1#0	3	0:0:0		0			0	1.77190000000002;308.8152||0;0	0	2				0	1	1	1	<color=#f44eef>【召唤】</color>需要消耗一定的<color=#f44eef>【绪晶】</color>。	<color=#f44eef>【召喚】</color>需要消耗一定的<color=#f44eef>【緒晶】</color>。	It requires consuming some <color=#f44eef>[Pathites]</color> to <color=#f44eef>[summon]</color> Combatants.	<color=#f44eef>「召喚」</color>を行うには、<color=#f44eef>「緒晶」</color>が消費されます。	<color=#f44eef>[소환]</color> 시에는 일정량의 <color=#f44eef>[이모션 크리스털]</color>이 필요합니다	คุณผู้ตรวจการ สามารถใช้ <color=#f44eef>[พาไธต์]</color>\nเพื่อ <color=#f44eef>[รับสมัคร]</color> เอเจนต์ใหม่ได้ค่ะ
1_3	1	3	0	1#2222									1#GachaponGuide/Container/Root/btnSkip;1#GachaponGuide/Container/Root/TextSkip;4	0	5		0		0	0				0	0	1	1						
1_4	1	4	0	1#2224				1#GachaponResultViewNew/Container/Root/ButtonGroup/FontStyleButton1:1:1	1	1#GachaponResultViewNew/Container/Root/ButtonGroup/FontStyleButton1:1:1	3	16.79999:348.9:0		0			0		0	0				0	0	1	1						
1_5	1	5	0	1#2211				1#UINavigationBarRoot/TopLeftNav/BackButton:1:1	1	2#UINavigationBarRoot/TopLeftNav/BackButton:-76.37:0:152.74:100:1:0.5:1:0.5:1:1	3	0:0:0		0			0	1175.3605;-466||0;0	0	2				0	0	1	1	调查官，<color=#f44eef>【主线故事】</color>功能开放了，请<color=#f44eef>【返回】</color>集结点。	調查官，<color=#f44eef>【主線故事】</color>功能開放了，請<color=#f44eef>【返回】</color>集結點。	Inspector, the <color=#f44eef>[Main Story]</color> is now unlocked. Please <color=#f44eef>[return]</color> to the rally point.	調査官、<color=#f44eef>「メインストーリー」</color>が開放されました。<color=#f44eef>「戻る」</color>をタップして、「メイン画面」に戻ってください。	조사관님, <color=#f44eef>[메인 스토리]</color> 기능이 활성화 되었으니, 집결지로 <color=#f44eef>[돌아가기]</color> 바랍니다.	คุณผู้ตรวจการค่ะ <color=#f44eef>[เนื้อเรื่องหลัก]</color>\nเปิดแล้ว ไปออกผจญภัยกันต่อนะคะ
2_1	2	1	0	1#103	-2#1	4#101010		1#UIHomeView/Root/RighPanel/BottomPanel/BtnMainChapter:1:1	1	1#UIHomeView/Root/RighPanel/BottomPanel/BtnMainChapter:1:1#0	3	0:28:0		0			0	-431.558;368||0;0	0	2				0	1	1	1	调查官，我们快开始行动吧！\n <size=26><color=#808080>提示：【主线故事】是推进整个游戏进程的关键功能</color>。</size> 	調查官，我們快開始行動吧！\n <size=26><color=#808080>提示：【主線故事】是推進整個遊戲進程的關鍵功能</color>。</size>	Inspector, let's get moving!\n<size=26><color=#808080>Tip: The Main Story is crucial for progressing the game</color>.</size>	調査官、さっそく始めましょう！\n <size=26><color=#808080>ヒント：メインストーリーは、ゲーム全体の流れを進める重要な機能です</color>。</size> 	조사관님, 어서 가시죠!\n<size=26><color=#808080>Tips: [메인 스토리]는 게임 진행에 가장 필요한 핵심 콘텐츠입니다</color></size>	คุณผู้ตรวจการคะ รีบลงมือกันเถอะค่ะ\n<size=26><color=#808080>คำแนะนำ: [เนื้อเรื่องหลัก] เป็นฟังก์ชัน</color></size>\n<size=26><color=#808080>ในการขับเคลื่อนความคืบหน้าของเกม</color></size>
2_2	2	2	0	1#2710				3#MainBattlePanel/Root/PerspectivePanel/BtnChapterList:1:0:1:1:1	2	3#MainBattlePanel/Root/PerspectivePanel/BtnChapterList:1:BtnChapter/Select/Area:0:1:1	3	17.35999:5.140002:354.81		0			0		0	0				0	0	1	1						
2_3	2	3	0	1#2320				1#MainChapterDialog/Container/RightBg/RightPanel/BtnStart/BtnNode:1:1	2	2#MainChapterDialog/Container/RightBg/RightPanel/BtnStart/BtnNode:4.88:35.683:384.43:277.77:0.5:0.5:0.5:0.5:1:1#0	3	0:0:0		0			0		0	0				0	1	1	1						
2_4	2	4	0	1#721						2#FightTeamDialog/Root/LeftRect/Root/Normal:397.15:-113.75:556:267:0:1:0:1:1:1#0	3	0:0:0	5	0			0	863.8842;371.38||0;0	0	2				0	1	1	1	这里是关卡信息，请重点关注<color=#f44eef>【推荐战斗力】</color>。	這裡是關卡資訊，請重點關注<color=#f44eef>【推薦戰鬥力】</color>。	Here are the stage details. Please pay close attention to the <color=#f44eef>[Recommended Power]</color>.	こちらはステージ情報です。<color=#f44eef>「推奨戦闘力」</color>に注目してください。	스테이지 정보입니다. <color=#f44eef>[추천 전투력]</color>을 확인해주세요	คุณผู้ตรวจการคะ นี่คือข้อมูลด่านนะคะ\nโปรดให้ความสำคัญกับ <color=#f44eef>[CP ที่แนะนำ]</color>\nด้วยค่ะ
