id	guideModuleId	type	title	guideRolo	action	voice	region	regionId	regionType	ifFrame	position	special	timeDelay	regionCoordinate	ifGuide	status	text	text_zh_TW	text_en_UK	text_ja_JP	text_ko_KR	text_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	100010_1_1	1	0	42:card_icon_108008_2	idleR1		9	1	1	1	3	0	0	20,0,-1,-1	0	1	这两张牌代表：它下一步要进行<color=#f44eef>两次单体攻击</color>。	這兩張牌代表：它下一步要進行<color=#f44eef>兩次單體攻擊</color>。	These two cards signify that the character will execute <color=#f44eef>two single-target attacks</color> next.	こちらの2枚のカードは、敵の次の行動が<color=#f44eef>単体攻撃を2回</color>行うことを示しています。	해당 아이콘은 다음 단계에서 수행하게 될 <color=#f44eef>두 번의 단일 공격</color>을 의미합니다	การ์ด 2 ใบนี้ หมายถึง หุ่นเชิดเตรียม\nจะทำการ<color=#f44eef>โจมตีทั้งหมด 2 ครั้ง</color>ค่ะ
2	100010_1_1	2	0	42:card_icon_108008_2	idleR1		4	1	1	1	3;0;-50	0	0	-30,35,220,380	0	1	请<color=#f44eef>锁定</color>该傀为首要目标，<color=#f44eef>优先击杀</color>。	請<color=#f44eef>鎖定</color>該傀為首要目標，<color=#f44eef>優先擊殺</color>。	<color=#f44eef>Target</color> this Anomaly as your primary focus and <color=#f44eef>eliminate it first</color>.	こちらの傀をメインターゲットとして<color=#f44eef>指定</color>してください。<color=#f44eef>優先的に撃破</color>します。	해당 퍼펫을 첫 목표로 <color=#f44eef>고정</color>하고, <color=#f44eef>우선적으로 처치</color>하세요	ล็อกเป้าหุ่นเชิดตัวนี้เป็นเป้าหมายหลัก\nและจัดการมันก่อนค่ะ
3	100010_1_1	1	0	42:card_icon_108008_2	idleR1		4	1	1	1	3	0	0	0	0	1	首要目标为<color=#f44eef>优先攻击对象</color>。\n\n<size=26><color=#808080>提示：可再次点击取消</color></size> 	首要目標為<color=#f44eef>優先攻擊對象</color>。\n\n<size=26><color=#808080>提示：可再次點擊取消</color></size>	Your primary target will be <color=#f44eef>attacked first</color>.\n<size=26><color=#808080>Remember, you can tap again to cancel the selection.</color></size>	指定されたメインターゲットは<color=#f44eef>優先攻撃対象</color>となります。\n\n<size=26><color=#808080>ヒント：再度タップすると、キャンセルできます。</color></size>	첫 목표는 <color=#f44eef>우선 공격 대상</color>입니다.\n\n<size=26><color=#808080>Tips: 다시 터치하면 취소됩니다</color></size> 	เมื่อล็อกเป้าแล้ว เอเจนต์จะโจมตี\n<color=#f44eef>หุ่นเชิดตัวนั้นก่อนค่ะ</color>\n<size=26><color=#808080>คำแนะนำ: กดอีกครั้งเพื่อยกเลิกล็อกเป้า</color></size>
4	100010_1_1	2	0	42:card_icon_108008_2	idleR1		1;1	6;6	2	0	4;-100,0	1	0	0	0	1	请选择<color=#f44eef>技能牌</color>，进行战斗吧。	請選擇<color=#f44eef>技能牌</color>，進行戰鬥吧。	Now, select your <color=#f44eef>Skill Cards</color> and engage in battle.	<color=#f44eef>スキルカード</color>を選択して、戦闘を開始してください。	<color=#f44eef>스킬 카드</color>를 선택하고, 전투를 시작하세요	เลือก<color=#f44eef>การ์ดสกิล</color>และโจมตีหุ่นเชิดค่ะ
5	100010_2_1	1	0	42:card_icon_108008_2	idleR1		0	0	1	0	4;300,300	11	0	0	0	1	通过<color=#f44eef>释放技能牌</color>，能使<color=#f44eef>相邻的同一技能牌合成</color>。	通過<color=#f44eef>釋放技能牌</color>，能使<color=#f44eef>相鄰的同一技能牌合成</color>。	You can <color=#f44eef>fuse adjacent skill cards of the same type</color> <color=#f44eef>by playing them</color>.	スキルカードを<color=#f44eef>発動</color>すると、<color=#f44eef>隣接する同じスキルカードを合成させることができます。</color>	<color=#f44eef>스킬 카드를 터치</color>하여, <color=#f44eef>인접한 동일 스킬 카드를 합성</color>할 수 있습니다	เมื่อ<color=#f44eef>กดใช้การ์ดสกิล</color>ออกไปแล้ว จะทำให้\n<color=#f44eef>การ์ดสกิลเดียวกันที่อยู่ติดกันผสมกัน</color>\nและ<color=#f44eef>เพิ่มดาวของการ์ดสกิลใบนั้น</color>ค่ะ
6	100010_2_1	2	0	42:card_icon_108008_2	idleR1		1	2	1	0	4;300,300	10	0	0	0	1	现在<color=#f44eef>释放这张技能牌</color>开始<color=#f44eef>合成</color>。	現在<color=#f44eef>釋放這張技能牌</color>開始<color=#f44eef>合成</color>。	Now, <color=#f44eef>release this skill card</color> to initiate <color=#f44eef>the fusion</color>.	では、こちらのスキルカードを<color=#f44eef>発動</color>し、<color=#f44eef>合成</color>させてください。	이제 <color=#f44eef>이 스킬 카드를 터치</color>하여, <color=#f44eef>합성</color>을 시작하세요	<color=#f44eef>กดใช้การ์ดสกิลใบนี้</color>\nเพื่อ<color=#f44eef>ผสมการ์ด</color>สกิลใบที่อยู่ติดกันค่ะ
7	100010_2_1	1	0	42:card_icon_108008_2	idleR1		1;1	1;2	1	0	4;-100,0	10	0	0	0	1	技能牌的<color=#f44eef>星数越高</color>效果就越强。	技能牌的<color=#f44eef>星數越高</color>效果就越強。	Skill cards with <color=#f44eef>higher star ratings</color> are more powerful.	スキルカードの<color=#f44eef>★の数</color>に注目してください。★の数が多いほど、より強力な効果を発揮します。	스킬 카드의 <color=#f44eef>별 등급이 높을수록</color> 스킬 효과가 더욱 뛰어납니다	การ์ดสกิลที่มี<color=#f44eef>จำนวนดาวยิ่งสูง</color>\nเอฟเฟกต์ของสกิลจะยิ่งแข็งแกร่งค่ะ
8	100010_2_1	1	0	42:card_icon_108008_2	idleR1		1;1	6;1	1	0	4;-100,0	10	0	0	0	1	调查官请尽可能多的<color=#f44eef>合成</color>技能牌。	調查官請盡可能多的<color=#f44eef>合成</color>技能牌。	<color=#f44eef>Fuse</color> as many skill cards as you can, Inspector.	調査官、戦闘中にできるだけ<color=#f44eef>合成</color>を利用してください。より強いスキルカードを駆使して、戦局を有利にしましょう。	조사관님, 최대한 많은 스킬 카드를 <color=#f44eef>합성</color>하세요	เพื่อจัดการหุ่นเชิดอย่างมีประสิทธิภาพ\nต้อง<color=#f44eef>ผสม</color>การ์ดสกิลให้ได้มากที่สุดค่ะ
9	100010_2_1	1	0	42:card_icon_108008_2	idleR1		13	21	1	0	4;-100,0	10	0	0	0	1	在<color=#f44eef>出牌或发生合牌</color>时战斗员会获得<color=#f44eef>奥义能量</color>。当能量满后可以在下一回合获得<color=#f44eef>奥义牌</color>。	在<color=#f44eef>出牌或發生合牌</color>時戰鬥員會獲得<color=#f44eef>奧義能量</color>。當能量滿後可以在下一回合獲得<color=#f44eef>奧義牌</color>。	<color=#f44eef>Playing or fusing cards</color> will accumulate <color=#f44eef>SP</color> for your Combatant. Fill the SP bar to gain an <color=#f44eef>Ultimate Card</color> next turn.	カードを<color=#f44eef>発動または合成</color>すると、<color=#f44eef>SP</color>が回復します。SPが満タンになると、次のターン開始時に<color=#f44eef>SP技</color>を発動できます。	전투원은 <color=#f44eef>카드를 사용하거나 합성</color>할 때, <color=#f44eef>필살기 게이지</color>를 얻을 수 있습니다. 게이지가 가득 차면 다음 턴에 <color=#f44eef>필살기 카드</color>를 얻습니다	เมื่อใช้<color=#f44eef>การ์ดสกิล หรือผสมการ์ด</color>\nเอเจนต์ดังกล่าวจะได้รับ<color=#f44eef>พลังงาน SP</color>\nเมื่อ SP เต็ม เอเจนต์ดังกล่าวจะได้รับ\n<color=#f44eef>การ์ดสกิลอัลติเมท</color>ในเทิร์นถัดไปค่ะ
