key	ids	status
string	string	int
1	1_1;1_2;1_3;1_4;1_5	1
2	2_1;2_2;2_3;2_4;2_5;2_6;2_7;2_8;2_9	1
1000	1000_1;1000_2;1000_3;1000_4;1000_5;1000_6;1000_7	1
1001	1001_1;1001_2;1001_3;1001_4;1001_5;1001_6;1001_7;1001_8;1001_9;1001_10;1001_11;1001_12;1001_13;1001_14;1001_15	1
1003	1003_1;1003_2;1003_3;1003_4	1
1004	1004_1;1004_2;1004_3;1004_4;1004_5;1004_6;1004_7;1004_8;1004_9;1004_10;1004_11	1
1005	1005_1;1005_2;1005_3;1005_4;1005_5;1005_6	1
1006	1006_1;1006_2	1
1007	1007_1;1007_2;1007_3;1007_4;1007_5	1
1008	1008_1;1008_2;1008_3;1008_4;1008_5	1
1009	1009_1;1009_2;1009_3;1009_4	1
1010	1010_1;1010_2;1010_3;1010_4;1010_5	1
1011	1011_1;1011_2;1011_3;1011_4;1011_5	1
1012	1012_1;1012_2;1012_3	1
1013	1013_1;1013_2;1013_3;1013_4;1013_5;1013_6	1
1014	1014_1;1014_2;1014_3;1014_4;1014_5;1014_6;1014_7	1
1015	1015_1;1015_2;1015_3;1015_4;1015_5;1015_6	1
1016	1016_1;1016_2;1016_3;1016_4;1016_5;1016_6;1016_7;1016_8;1016_9;1016_10;1016_11;1016_12;1016_13;1016_14;1016_15	1
1017	1017_1;1017_2;1017_3;1017_4;1017_5	1
1018	1018_1;1018_2;1018_3;1018_4;1018_5;1018_6;1018_7	1
1019	1019_1;1019_2;1019_3;1019_4;1019_5;1019_6;1019_7	1
1020	1020_1;1020_2;1020_3;1020_4;1020_5;1020_6;1020_7	1
1021	1021_1;1021_2;1021_3;1021_4;1021_5;1021_6	1
1022	1022_1;1022_2;1022_3;1022_4;1022_5;1022_6;1022_7;1022_8;1022_9;1022_10;1022_11;1022_12;1022_13;1022_14;1022_15;1022_16;1022_17;1022_18;1022_19;1022_20;1022_21;1022_22	1
1024	1024_1;1024_2	1
1025	1025_1;1025_2;1025_3;1025_4;1025_5;1025_6;1025_7;1025_8	1
1023	1023_1;1023_2;1023_3	1
1026	1026_1;1026_2;1026_3;1026_4;1026_5	1
1027	1027_1;1027_2;1027_3;1027_4;1027_5;1027_6;1027_7;1027_8;1027_9;1027_10	1
1028	1028_1;1028_2;1028_3;1028_4;1028_5;1028_6	1
1029	1029_1;1029_2;1029_3;1029_4;1029_5;1029_6;1029_7	1
1030	1030_1;1030_2;1030_3;1030_4;1030_5;1030_6;1030_7;1030_8;1030_9	1
1002	1002_1;1002_2;1002_3;1002_4;1002_5;1002_6;1002_7;1002_8	1
1031	1031_1;1031_2;1031_3;1031_4;1031_5;1031_6;1031_7	1
1032	1032_1;1032_2;1032_3;1032_4;1032_5;1032_6;1032_7;1032_8;1032_9	1
1033	1033_1;1033_2;1033_3;1033_4	1
1034	1034_1;1034_2;1034_3	1
1035	1035_1	1
1036	1036_1;1036_2	1
1037	1037_1	1
1038	1038_1;1038_2;1038_3;1038_4;1038_5;1038_6;1038_7	1
1039	1039_1;1039_2;1039_3;1039_4;1039_5;1039_6	1
1040	1040_1;1040_2	1
1041	1041_1;1041_2;1041_3;1041_4	1
1042	1042_1;1042_2;1042_3;1042_4;1042_5	1
1043	1043_1;1043_2	1
1044	1044_1;1044_2;1044_3	1
1045	1045_1	1
1046	1046_1	1
1047	1047_1;1047_2;1047_3;1047_4;1047_5	1
1048	1048_1;1048_2	1
1049	1049_1;1049_2;1049_3	1
