guideModuleId	specialGuide	isClosePreSync	exitAdd1	exitAdd2	exitAdd2params	exitStopRequestCheckStep	status	steamStatus
int	int	int	int	int	int	int	int	int
1	0	0					1	1
2	0	0					1	1
1000	1	0		1000_4#1000_5#1000_6#1000_7			1	1
1002	1	0		1002_3#1002_4#1002_5#1002_6#1002_7#1002_8			1	1
1004	1	0		1004_4#1004_5#1004_6#1004_7#1004_8#1004_9#1004_10#1004_11			1	1
1005	1	0		1005_4#1005_5#1005_6			1	1
1007	1	0		1007_3#1007_4#1007_5			1	1
1008	1	0		1008_3#1008_4#1008_5			1	1
1010	1	0					1	1
1013	1	0		1013_4#1013_5#1013_6			1	1
1014	1	0		1014_4#1014_5#1014_6#1014_7			1	1
1015	1	0		1015_4#1015_5#1015_6			1	1
1016	1	0		1016_4#1016_5#1016_6#1016_7#1016_8#1016_9#1016_10#1016_11#1016_12#1016_13#1016_14#1016_15			1	1
1017	1	0					1	1
1021	1	0		1021_3#1021_4#1021_5#1021_6			1	1
1022	1	1		1022_4#1022_5#1022_6#1022_7#1022_8#1022_9#1022_10#1022_11#1022_12#1022_13#1022_14#1022_15#1022_16#1022_17#1022_18#1022_19#1022_20#1022_21#1022_22			1	1
1023	1	0					1	1
1024	1	0					1	1
1027	1	0		1027_4#1027_5#1027_6#1027_7#1027_8#1027_9#1027_10			1	1
1028	1	0		1028_4#1028_5#1028_6			1	1
1029	1	0		1029_4#1029_5#1029_6#1029_7			1	1
1030	1	0		1030_2#1030_3#1030_4#1030_5#1030_6#1030_7#1030_8#1030_9			1	1
1031	1	0		1031_3#1031_4#1031_5#1031_6#1031_7			1	1
1032	1	0		1032_4#1032_5#1032_6#1032_7#1032_8#1032_9			1	1
1034	1	0					1	1
1037	2	0					1	1
1038	1	0					1	1
1039	0	0					1	1
1040	1	0					1	1
1041	1	0					1	1
1042	1	0		1042_3#1042_4#1042_5			1	1
1043	1	0					1	1
1044	1	0					1	1
1046	1	0					1	0
1047	1	0					1	0
1048	0	0					1	1
