id	unlockType	unlockId	unlockNum	status
int	int	int	int	int
4101001	0	0	0	1
4190004	0	0	0	1
4101002	0	0	0	1
4100032	25	0	103001	1
4105031	25	0	107160	1
3000003	0	0	0	1
4190001	0	0	0	1
4102011	0	0	0	1
4100031	25	0	103001	1
5100001	0	0	0	1
4198002	0	0	0	1
3000018	0	0	0	1
3000004	0	0	0	1
9000033	0	0	0	1
5100015	0	0	0	1
5200010	0	0	0	1
4105023	25	0	107160	1
4199001	0	0	0	1
4190002	0	0	0	1
4102901	0	0	0	1
5200009	25	0	107160	1
4102902	0	0	0	1
4104041	0	0	0	1
4199004	0	0	0	1
4102903	0	0	0	1
4104042	0	0	0	1
4101003	0	0	0	1
5121065	25	0	103001	1
4104043	0	0	0	1
5121135	25	0	103001	1
4100011	0	0	0	1
5121145	25	0	103001	1
4100021	0	0	0	1
5121075	25	0	103001	1
5121125	25	0	103001	1
5121095	25	0	103001	1
5121105	25	0	103001	1
5121115	25	0	103001	1
