id	type	productId	goodsId	goodsNum	firstGoodsId	firstGoodsNum	reset	stock	payPoint	status
int	int	int	int	int	int	int	int	int	int	int
80001		com.elex.catfantasy.web01_99	3000001;3000099;3000001	60;60;6	3000002	60	1	-1	60	1
80002		com.elex.catfantasy.web01_499	3000001;3000099;3000001	300;300;30	3000002	300	1	-1	300	1
80003		com.elex.catfantasy.web01_1499	3000001;3000099;3000001	980;980;98	3000002	980	1	-1	980	1
80004		com.elex.catfantasy.web01_2999	3000001;3000099;3000001	1980;1980;198	3000002	1980	1	-1	1980	1
80005		com.elex.catfantasy.web01_4999	3000001;3000099;3000001	3280;3280;328	3000002	3280	1	-1	3280	1
80006		com.elex.catfantasy.web01_9999	3000001;3000099;3000001	6480;6480;648	3000002	6480	1	-1	6480	1
8800007		com.elex.catfantasy.web01_19999	3000001;3000099;3000001	12980;12980;1298				-1	12980	1
8800008		com.elex.catfantasy.web01_49999	3000001;3000099;3000001	32980;32980;3298				-1	32980	1
8800009		com.elex.catfantasy.web01_99999	3000001;3000099;3000001	64980;64980;6498				-1	64980	1
8800010		com.elex.catfantasy.webspecial01_199	3000001;3000099;3000001	120;120;120	3000002	120		1	120	1
51018	2	com.elex.catfantasy.webperk02_299						1	180	1
