id	amount	reward	rewardNum	showCard	rare	skinId	status
int	int	int	int	int	int	int	int
1	300	4190001;6200004;4101002	500;1;20	129002	3	12900202	1
2	1000	4190001;4010446;4010444;4010442	1000;1;1;1				1
3	2000	4190001;4010445;4010443;4010441	2000;1;1;1				1
4	5000	4190002;4102901;4010453;4010456	1;5;1;1				1
5	10000	129002;6401008;4010451;4010452	1;1;1;1				1
6	20000	129002;6401008;4010455;4010454	1;1;1;1				1
7	30000	129002;6401008;4100011;4100032	1;1;300;100				1
8	50000	129002;6401008;4190004;4700177	1;1;2000;1				1
9	70000	129002;6401008;4190004;4700178	1;1;2000;1				1
10	100000	129002;6401008;4190004;4700179	1;1;4000;1				1
11	120000	129002;6401008;4190002;4700180	1;1;1;1				1
12	150000	129002;6401008;4190002;4700181	1;2;1;1				1
13	170000	129002;6401008;4190002;4700182	1;2;1;1				1
14	200000	129002;6401008;4190002;4100032	1;2;1;300				1
15	300000	12900202;6210024;6220021;6230017;6240000	1;1;1;1;1				1
