Id	name	screen	link	gotoUrl	status
int	int	int	int	int	int
1	主界面	1	https://bbs-api.fantanggame.com/user/login?json=	https://bbs-web.fantanggame.com?sectionId=15&isPre=2	1
2	个人武装信息	0	https://community.duobaogame.com/user/login?json=	https://community-web.duobaogame.com/#/pages/strategy/strategy?id=1&type=7&name=cat&toolId=33&tagStatus=0&gohome=true	1
3	好友	0	https://bbs-api.fantanggame.com/user/login?json=	https://bbs.fantanggame.com/community/index.html#/pages/horizontal/topic?id=120&isPre=2&gohome=true	1
4	猫屋	0	https://bbs-api.fantanggame.com/user/login?json=	https://bbs.fantanggame.com/community/index.html#/pages/horizontal/topic?id=121&isPre=2&gohome=true	1
5	商城	0	https://qiyukf.com/client?k=fa9fdc3c4baf6db3cdfa77121d1cc324&wp=1		1
6	预下载	1	https://bbs-api.fantanggame.com/user/login?json=	https://bbs-web.fantanggame.com?sectionId=15&isPre=2	1
7	活动	0	https://bbs-api.fantanggame.com/user/login?json=	https://bbs.fantanggame.com/community/index.html#/pages/horizontal/topic?id=171&isPre=2&gohome=true	1
8	直播	1	https://bbs-api.fantanggame.com/user/login?json=	https://bbs.fantanggame.com/community/index.html#/pages/appointment/appointment?isPre=2&gohome=true&title=直播&src=https://www.bilibili.com/blackboard/live/live-activity-player.html?cid=25203824&quality=0	1
9	社区	0	https://bbs-api.fantanggame.com/user/login?json=	https://bbs.fantanggame.com/community/index.html#/pages/issue/issue?isPre=2&gohome=true&sectionId=15	1
