id	activityId	startLevel	icon	maxLevel	levelupConsumeItem	levelupConsume	processingTime	burntTime	kitchenwareNum	unlockLevel	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	des	des_zh_TW	des_en_UK	des_ja_JP	des_ko_KR	des_th_TH	des2	des2_zh_TW	des2_en_UK	des2_ja_JP	des2_ko_KR	des2_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	172:9030207;172:9030208;172:9030209	3	9030002;9030002	300;800	7;5;3	8	1;2;3	1	1	平底锅	平底鍋	Pan	フライパン	프라이팬	กระทะ	数量提升至_kitchenwareNum_个，烹饪时间从_curTime_秒降低到_upgradeTime_秒。	數量提升至_kitchenwareNum_個，烹飪時間從_curTime_秒降低到_upgradeTime_秒。	Quantity changed to _kitchenwareNum_, cooking time changed from _curTime_ sec to _upgradeTime_ sec.	レベルアップ効果：使用できる数が_kitchenwareNum_個に増え、調理の所要時間が_curTime_秒から_upgradeTime_秒まで短縮する。	수량이 _kitchenwareNum_개로 증가되며, 조리 시간도 _curTime_초에서 _upgradeTime_초로 감소된다.	จำนวน​เพิ่มขึ้น​เป็น​ _kitchenwareNum_​ ชิ้น​ เวลา​ทำอาหาร​ลดลง​จาก​ _curTime_​ วิ​ เหลือ​ _upgradeTime_​ วิ​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
2	1	1	172:9030210;172:9030211;172:9030212	3	9030002;9030002	300;800	7;5;3	8	1;2;3	5	1	炸锅	炸鍋	Fryer	天ぷら鍋	튀김기	หม้อทอด	数量提升至_kitchenwareNum_个，烹饪时间从_curTime_秒降低到_upgradeTime_秒。	數量提升至_kitchenwareNum_個，烹飪時間從_curTime_秒降低到_upgradeTime_秒。	Quantity changed to _kitchenwareNum_, cooking time changed from _curTime_ sec to _upgradeTime_ sec.	レベルアップ効果：使用できる数が_kitchenwareNum_個に増え、調理の所要時間が_curTime_秒から_upgradeTime_秒まで短縮する。	수량이 _kitchenwareNum_개로 증가되며, 조리 시간도 _curTime_초에서 _upgradeTime_초로 감소된다.	จำนวน​เพิ่มขึ้น​เป็น​ _kitchenwareNum_​ ชิ้น​ เวลา​ทำอาหาร​ลดลง​จาก​ _curTime_​ วิ​ เหลือ​ _upgradeTime_​ วิ​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
3	1	1	172:9030204;172:9030205;172:9030206	3	9030002;9030002	300;800	7;5;3		1;2;3	10	1	酸奶机	優酪乳機	Yogurt Maker	ヨーグルトメーカー	요거트 머신	เครื่องทำโยเกิร์ต	数量提升至_kitchenwareNum_个，烹饪时间从_curTime_秒降低到_upgradeTime_秒。	數量提升至_kitchenwareNum_個，烹飪時間從_curTime_秒降低到_upgradeTime_秒。	Quantity changed to _kitchenwareNum_, cooking time changed from _curTime_ sec to _upgradeTime_ sec.	レベルアップ効果：使用できる数が_kitchenwareNum_個に増え、調理の所要時間が_curTime_秒から_upgradeTime_秒まで短縮する。	수량이 _kitchenwareNum_개로 증가되며, 조리 시간도 _curTime_초에서 _upgradeTime_초로 감소된다.	จำนวน​เพิ่มขึ้น​เป็น​ _kitchenwareNum_​ ชิ้น​ เวลา​ทำอาหาร​ลดลง​จาก​ _curTime_​ วิ​ เหลือ​ _upgradeTime_​ วิ​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
4	1	1	172:9030201;172:9030202;172:9030203	3	9030002;9030002	300;800	7;5;3		1;2;3	3	1	咖啡机	咖啡機	Coffee Maker	コーヒーメーカー	커피 머신	เครื่องชงกาแฟ	数量提升至_kitchenwareNum_个，烹饪时间从_curTime_秒降低到_upgradeTime_秒。	數量提升至_kitchenwareNum_個，烹飪時間從_curTime_秒降低到_upgradeTime_秒。	Quantity changed to _kitchenwareNum_, cooking time changed from _curTime_ sec to _upgradeTime_ sec.	レベルアップ効果：使用できる数が_kitchenwareNum_個に増え、調理の所要時間が_curTime_秒から_upgradeTime_秒まで短縮する。	수량이 _kitchenwareNum_개로 증가되며, 조리 시간도 _curTime_초에서 _upgradeTime_초로 감소된다.	จำนวน​เพิ่มขึ้น​เป็น​ _kitchenwareNum_​ ชิ้น​ เวลา​ทำอาหาร​ลดลง​จาก​ _curTime_​ วิ​ เหลือ​ _upgradeTime_​ วิ​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
5	2	1	199:9030307;199:9030308;199:9030309	3	9000078;9000078	300;800	7;5;3	8	1;2;3	22	1	春饼锅	春餅鍋	Spring Roll Pan	春餅鍋	전병 냄비	หม้อปอเปี๊ยะ	数量提升至_kitchenwareNum_个，烹饪时间从_curTime_秒降低到_upgradeTime_秒。	數量提升至_kitchenwareNum_個，烹飪時間從_curTime_秒降低到_upgradeTime_秒。	Quantity changed to _kitchenwareNum_, cooking time changed from _curTime_ sec to _upgradeTime_ sec.	レベルアップ効果：使用できる数が_kitchenwareNum_個に増え、調理の所要時間が_curTime_秒から_upgradeTime_秒まで短縮する。	수량이 _kitchenwareNum_개로 증가되며, 조리 시간도 _curTime_초에서 _upgradeTime_초로 감소된다.	จำนวน​เพิ่มขึ้น​เป็น​ _kitchenwareNum_​ ชิ้น​ เวลา​ทำอาหาร​ลดลง​จาก​ _curTime_​ วิ​ เหลือ​ _upgradeTime_​ วิ​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
6	2	1	199:9030310;199:9030311;199:9030312	3	9000078;9000078	300;800	7;5;3	8	1;2;3	26	1	米线锅	米線鍋	Rice Noodle Pot	米線鍋	쌀국수 냄비	หม้อหมี่เส้น	数量提升至_kitchenwareNum_个，烹饪时间从_curTime_秒降低到_upgradeTime_秒。	數量提升至_kitchenwareNum_個，烹飪時間從_curTime_秒降低到_upgradeTime_秒。	Quantity changed to _kitchenwareNum_, cooking time changed from _curTime_ sec to _upgradeTime_ sec.	レベルアップ効果：使用できる数が_kitchenwareNum_個に増え、調理の所要時間が_curTime_秒から_upgradeTime_秒まで短縮する。	수량이 _kitchenwareNum_개로 증가되며, 조리 시간도 _curTime_초에서 _upgradeTime_초로 감소된다.	จำนวน​เพิ่มขึ้น​เป็น​ _kitchenwareNum_​ ชิ้น​ เวลา​ทำอาหาร​ลดลง​จาก​ _curTime_​ วิ​ เหลือ​ _upgradeTime_​ วิ​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
7	2	1	199:9030304;199:9030305;199:9030306	3	9000078;9000078	300;800	7;5;3		1;2;3	31	1	烧麦蒸笼	燒麥蒸籠	Shaomai Steamer	シュウマイ蒸籠	슈마이 찜통	เข่งขนมจีบ	数量提升至_kitchenwareNum_个，烹饪时间从_curTime_秒降低到_upgradeTime_秒。	數量提升至_kitchenwareNum_個，烹飪時間從_curTime_秒降低到_upgradeTime_秒。	Quantity changed to _kitchenwareNum_, cooking time changed from _curTime_ sec to _upgradeTime_ sec.	レベルアップ効果：使用できる数が_kitchenwareNum_個に増え、調理の所要時間が_curTime_秒から_upgradeTime_秒まで短縮する。	수량이 _kitchenwareNum_개로 증가되며, 조리 시간도 _curTime_초에서 _upgradeTime_초로 감소된다.	จำนวน​เพิ่มขึ้น​เป็น​ _kitchenwareNum_​ ชิ้น​ เวลา​ทำอาหาร​ลดลง​จาก​ _curTime_​ วิ​ เหลือ​ _upgradeTime_​ วิ​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
8	2	1	199:9030301;199:9030302;199:9030303	3	9000078;9000078	300;800	7;5;3		1;2;3	24	1	茶桶	茶桶	Tea Cask	やかん	차 항아리	ถังน้ำชา	数量提升至_kitchenwareNum_个，烹饪时间从_curTime_秒降低到_upgradeTime_秒。	數量提升至_kitchenwareNum_個，烹飪時間從_curTime_秒降低到_upgradeTime_秒。	Quantity changed to _kitchenwareNum_, cooking time changed from _curTime_ sec to _upgradeTime_ sec.	レベルアップ効果：使用できる数が_kitchenwareNum_個に増え、調理の所要時間が_curTime_秒から_upgradeTime_秒まで短縮する。	수량이 _kitchenwareNum_개로 증가되며, 조리 시간도 _curTime_초에서 _upgradeTime_초로 감소된다.	จำนวน​เพิ่มขึ้น​เป็น​ _kitchenwareNum_​ ชิ้น​ เวลา​ทำอาหาร​ลดลง​จาก​ _curTime_​ วิ​ เหลือ​ _upgradeTime_​ วิ​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
9	3	1	206:9030407;206:9030408;206:9030409	3	9000094;9000094	300;800	7;5;3	8	1;2;3	43	1	炸锅	炸鍋	Fryer	天ぷら鍋	튀김기	หม้อทอด	数量提升至_kitchenwareNum_个，烹饪时间从_curTime_秒降低到_upgradeTime_秒。	數量提升至_kitchenwareNum_個，烹飪時間從_curTime_秒降低到_upgradeTime_秒。	Quantity changed to _kitchenwareNum_, cooking time changed from _curTime_ sec to _upgradeTime_ sec.	レベルアップ効果：使用できる数が_kitchenwareNum_個に増え、調理の所要時間が_curTime_秒から_upgradeTime_秒まで短縮する。	수량이 _kitchenwareNum_개로 증가되며, 조리 시간도 _curTime_초에서 _upgradeTime_초로 감소된다.	จำนวน​เพิ่มขึ้น​เป็น​ _kitchenwareNum_​ ชิ้น​ เวลา​ทำอาหาร​ลดลง​จาก​ _curTime_​ วิ​ เหลือ​ _upgradeTime_​ วิ​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
10	3	1	206:9030410;206:9030411;206:9030412	3	9000094;9000094	300;800	7;5;3	8	1;2;3	47	1	微波炉	微波爐	Microwave Oven	電子レンジ	전자레인지	ไมโครเวฟ	数量提升至_kitchenwareNum_个，烹饪时间从_curTime_秒降低到_upgradeTime_秒。	數量提升至_kitchenwareNum_個，烹飪時間從_curTime_秒降低到_upgradeTime_秒。	Quantity changed to _kitchenwareNum_, cooking time changed from _curTime_ sec to _upgradeTime_ sec.	レベルアップ効果：使用できる数が_kitchenwareNum_個に増え、調理の所要時間が_curTime_秒から_upgradeTime_秒まで短縮する。	수량이 _kitchenwareNum_개로 증가되며, 조리 시간도 _curTime_초에서 _upgradeTime_초로 감소된다.	จำนวน​เพิ่มขึ้น​เป็น​ _kitchenwareNum_​ ชิ้น​ เวลา​ทำอาหาร​ลดลง​จาก​ _curTime_​ วิ​ เหลือ​ _upgradeTime_​ วิ​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
11	3	1	206:9030404;206:9030405;206:9030406	3	9000094;9000094	300;800	7;5;3		1;2;3	52	1	烤箱	烤箱	Oven	オーブン	오븐	เตาอบ	数量提升至_kitchenwareNum_个，烹饪时间从_curTime_秒降低到_upgradeTime_秒。	數量提升至_kitchenwareNum_個，烹飪時間從_curTime_秒降低到_upgradeTime_秒。	Quantity changed to _kitchenwareNum_, cooking time changed from _curTime_ sec to _upgradeTime_ sec.	レベルアップ効果：使用できる数が_kitchenwareNum_個に増え、調理の所要時間が_curTime_秒から_upgradeTime_秒まで短縮する。	수량이 _kitchenwareNum_개로 증가되며, 조리 시간도 _curTime_초에서 _upgradeTime_초로 감소된다.	จำนวน​เพิ่มขึ้น​เป็น​ _kitchenwareNum_​ ชิ้น​ เวลา​ทำอาหาร​ลดลง​จาก​ _curTime_​ วิ​ เหลือ​ _upgradeTime_​ วิ​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
12	3	1	206:9030401;206:9030402;206:9030403	3	9000094;9000094	300;800	7;5;3		1;2;3	45	1	自动饮料机	自動飲料機	Drink Dispenser	自動販売機	자동 음료기	ตู้กดเครื่องดื่ม	数量提升至_kitchenwareNum_个，烹饪时间从_curTime_秒降低到_upgradeTime_秒。	數量提升至_kitchenwareNum_個，烹飪時間從_curTime_秒降低到_upgradeTime_秒。	Quantity changed to _kitchenwareNum_, cooking time changed from _curTime_ sec to _upgradeTime_ sec.	レベルアップ効果：使用できる数が_kitchenwareNum_個に増え、調理の所要時間が_curTime_秒から_upgradeTime_秒まで短縮する。	수량이 _kitchenwareNum_개로 증가되며, 조리 시간도 _curTime_초에서 _upgradeTime_초로 감소된다.	จำนวน​เพิ่มขึ้น​เป็น​ _kitchenwareNum_​ ชิ้น​ เวลา​ทำอาหาร​ลดลง​จาก​ _curTime_​ วิ​ เหลือ​ _upgradeTime_​ วิ​	已升至满级	已升至滿級	Max level reached	Lv.MAXになりました。	최대 레벨 달성	อัปถึงเลเวลสูงแล้ว
