id	cookingActivityId	type	groupId	unlockStarNum	preId	levelDuration	ratingCondition	ratingPara	guidePic	costItem	costNum	failingCondition	awardItem1	num1	awardItem2	num2	awardItem3	num3	trashCan	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	des	des_zh_TW	des_en_UK	des_ja_JP	des_ko_KR	des_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	1	0		30	2	8;12;16	1	9030001	10		9030002;9030003	50;50	9030002;9030003	80;50	9030002;9030003;3000003	100;100;100000	0	1	1	1	1	1	1	1	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
2	1	1	3	0	1	45	2	32;50;68	1	9030001	10		9030002;9030003	50;50	9030002;9030003	80;50	9030002;9030003;3000003	100;100;100000	0	1	2	2	2	2	2	2	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
3	1	1	4	0	2	50	2	60;90;120	3	9030001	10		9030002;9030003	50;50	9030002;9030003	80;50	9030002;9030003;3000003	100;100;100000	0	1	3	3	3	3	3	3	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
4	1	1	6	0	3	50	2	98;148;188		9030001	10		9030002;9030003	60;50	9030002;9030003	80;50	9030002;9030003;3000003	100;100;100000	0	1	4	4	4	4	4	4	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
5	1	1	7	0	4	55	2	100;160;208	2	9030001	10		9030002;9030003	60;50	9030002;9030003	80;50	9030002;9030003;3000003	100;100;100000	0	1	5	5	5	5	5	5	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
6	1	1	8	0	5	60	2	136;188;240		9030001	10		9030002;9030003	60;50	9030002;9030003	80;50	9030002;9030003;3000003	100;100;100000	0	1	6	6	6	6	6	6	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
7	1	1	9	0	6	75	2	168;256;308		9030001	10		9030002;9030003	60;50	9030002;9030003	80;50	9030002;9030003;3000003	100;100;100000	0	1	7	7	7	7	7	7	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
8	1	1	10	0	7	75	2	208;288;340	1	9030001	10		9030002;9030003	80;50	9030002;9030003	90;50	9030002;9030003;3000003	110;100;100000	1	1	8	8	8	8	8	8	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
9	1	1	5	0	8	70	2	228;288;368		9030001	10		9030002;9030003	100;50	9030002;9030003	120;50	9030002;9030003;3000003	170;100;100000	1	1	9	9	9	9	9	9	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
10	1	1	11	0	9	65	2	240;340;380	3	9030001	10		9030002;9030003	100;50	9030002;9030003	130;50	9030002;9030003;3000003	200;100;100000	1	1	10	10	10	10	10	10	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
11	1	1	12	0	10	68	2	260;358;398		9030001	10		9030002;9030003	100;50	9030002;9030003	150;50	9030002;9030003;3000003	200;100;100000	1	1	11	11	11	11	11	11	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
12	1	1	13	0	11	75	2	280;350;420		9030001	10		9030002;9030003	120;50	9030002;9030003	150;50	9030002;9030003;3000003	200;100;100000	1	1	12	12	12	12	12	12	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
13	1	1	14	0	12	80	2	298;388;458		9030001	10		9030002;9030003	120;50	9030002;9030003	160;50	9030002;9030003;3000003	200;100;100000	1	1	13	13	13	13	13	13	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
14	1	1	15	0	13	80	2	298;388;498		9030001	10		9030002;9030003	150;50	9030002;9030003	180;50	9030002;9030003;3000003	200;100;100000	1	1	14	14	14	14	14	14	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
15	1	1	16	0	14	90	2	308;398;518		9030001	10		9030002;9030003	160;50	9030002;9030003	200;50	9030002;9030003;3000003	300;100;100000	1	1	15	15	15	15	15	15	营业额达到_num_	營業額達到_num_	Revenue reaches _num_.	売上が_num_に達する。	매출액 _num_ 달성	ยอดขายถึง _num_
