id	groupId	changeId	customerId	location	birthTime	needFood	survivalTime	addTime	status
int	int	int	int	int	int	int	int	int	int
1	1	1	1	2	2	1	20		1
2	1	2	2	3	10	1	20		1
3	1	3	3		18	1	20		1
7	3	1	4	3	2	2	20		1
8	3	2	5	2	8	1	20		1
9	3	3	6	1	14	2	20		1
10	3	4	7	4	20	2	20		1
11	3	5	8		26	1	20		1
12	3	6	9		32	2	20		1
13	4	1	10	3	2	10	20		1
14	4	2	11	2	7	2	20		1
15	4	3	12	4	12	10;2	20		1
16	4	4	13		17	1	20		1
17	4	5	14		22	10;2	20		1
18	4	6	15		27	10;1	20		1
19	4	7	16		32	2	20		1
20	4	8	17		37	10	20		1
21	4	9	18		42	10;2	20		1
22	4	10	1		47	1;2	20		1
23	6	1	2		2	10;2	20		1
24	6	2	3		6	2	20		1
25	6	3	4		10	10;1	20		1
26	6	4	5		14	10;2	20		1
27	6	5	6		18	10	20		1
28	6	6	7		22	10;2	20		1
29	6	7	8		26	10;1	20		1
30	6	8	9		30	10;1	20		1
31	6	9	10		34	10;2	20		1
32	6	10	11		38	10;2	20		1
33	6	11	12		42	10;2	20		1
34	6	12	13		46	10;2	20		1
35	7	1	14		2	10;5	20		1
36	7	2	15		6	10;2	20		1
37	7	3	16		12	10;1	20		1
38	7	4	17		14	5;2	20		1
39	7	5	18		18	10;2	20		1
40	7	6	1		22	5;1	20		1
41	7	7	2		26	10;2	20		1
42	7	8	3		30	10;5	20		1
43	7	9	4		34	10;2	20		1
44	7	10	5		38	5;2	20		1
45	7	11	6		44	10;1	20		1
46	7	12	7		47	5;2	20		1
47	8	1	8		3	10;2	20		1
48	8	2	9		7	10;5	20		1
49	8	3	10		11	10;1	20		1
50	8	4	11		15	10;2	20		1
51	8	5	12		19	10;5	20		1
52	8	6	13		23	10;1	20		1
53	8	7	14		27	10;2	20		1
54	8	8	15		31	10;5	20		1
55	8	9	16		35	10;2	20		1
56	8	10	17		39	5;1	20		1
57	8	11	18		43	10;2	20		1
58	8	12	1		47	10;5	20		1
59	8	13	2		51	10;1	20		1
60	8	14	3		55	2;5	20		1
61	9	1	4		3	10;10	20		1
62	9	2	5		7	5;2	20		1
63	9	3	6		11	10;10	20		1
64	9	4	7		15	5;1	20		1
65	9	5	8		19	10;2	20		1
66	9	6	9		23	10;5	20		1
67	9	7	10		27	10;2	20		1
68	9	8	11		31	10;5	20		1
69	9	9	12		35	5;2	20		1
70	9	10	13		39	10;5	20		1
71	9	11	14		43	5;2	20		1
72	9	12	15		47	10;5	20		1
73	9	13	16		51	5;2	20		1
74	9	14	17		55	10;5	20		1
75	9	15	18		58	5;1	20		1
76	9	16	1		61	10;5	20		1
77	9	17	2		64	10;10	20		1
78	9	18	3		68	5;2	20		1
79	10	1	4		3	5;4	20		1
80	10	2	5		8	10;10	20		1
81	10	3	6		13	5;4	20		1
82	10	4	7		18	10;5	20		1
83	10	5	8		23	10;4	20		1
84	10	6	9		28	5;5	20		1
85	10	7	10		33	10;2	20		1
86	10	8	11		38	10;5	20		1
87	10	9	12		43	5;4	20		1
88	10	10	13		48	10;10	20		1
89	10	11	14		53	10;4	20		1
90	10	12	15		58	5;5	20		1
91	10	13	16		63	10;2	20		1
92	10	14	17		68	5;4	20		1
93	21	1	18		3	5;4	11	4	1
94	5	1	14	3	3	5;4	20		1
95	5	2	15	2	6	4;10	20		1
96	5	3	16	1	10	5;3	20		1
97	5	4	17	4	14	10;5	20		1
98	5	5	18		18	10;4	20		1
99	5	6	1		22	5;5	20		1
100	5	7	2		26	5;2	20		1
101	5	8	3		30	10;5	20		1
102	5	9	4		34	5;3	20		1
103	5	10	5		38	10;10	20		1
104	5	11	6		42	2;5	20		1
105	5	12	7		46	10;5	20		1
106	5	13	8		50	10;3	20		1
107	5	14	9		54	5;5	20		1
108	11	1	10	2	2	9;4	20		1
109	11	2	11	4	5	5;3	20		1
110	11	3	12	3	9	9;5	20		1
111	11	4	13	1	13	10;4	20		1
112	11	5	14		17	9;10	20		1
113	11	6	15		21	5;4	20		1
114	11	7	16		25	9;4	20		1
115	11	8	17		29	10;10	20		1
116	11	9	18		33	5;5	20		1
117	11	10	1		37	9;4	20		1
118	11	11	2		41	10;4	20		1
119	11	12	3		45	9;10	20		1
120	11	13	4		49	5;5	20		1
121	11	14	5		53	10;4	20		1
122	11	15	6		55	9;3	20		1
123	12	1	7		2	5;3	18		1
124	12	2	8		6	10;9	18		1
125	12	3	9		10	4;5	18		1
126	12	4	10		14	10;9	18		1
127	12	5	11		18	5;2	18		1
128	12	6	12		22	9;3	18		1
129	12	7	13		26	10;10	18		1
130	12	8	14		30	5;4	18		1
131	12	9	15		34	9;2	18		1
132	12	10	16		38	5;5	18		1
133	12	11	17		42	10;2	18		1
134	12	12	18		46	9;4	18		1
135	12	13	1		50	5;5	18		1
136	12	14	2		54	9;3	18		1
137	12	15	3		58	10;1	18		1
138	13	1	4		2	10;5	18		1
139	13	2	5		6	4;3	18		1
140	13	3	6		10	9;9	18		1
141	13	4	7		14	6;2	18		1
142	13	5	8		18	6;10	18		1
143	13	6	9		22	3;9	18		1
144	13	7	10		26	6;2	18		1
145	13	8	11		30	6;10	18		1
146	13	9	12		34	4;5	18		1
147	13	10	13		38	4;9	18		1
148	13	11	14		42	1;2	18		1
149	13	12	15		46	3;6	18		1
150	13	13	16		50	9;10	18		1
151	13	14	17		54	4;5	18		1
152	13	15	18		58	9;6	18		1
153	13	16	1		62	4;10	18		1
154	14	1	2		2	6;10	17		1
155	14	2	3		6	3;5	17		1
156	14	3	4		10	4;9	17		1
157	14	4	5		14	6;2	17		1
158	14	5	6		18	6;10	17		1
159	14	6	7		22	3;9	17		1
160	14	7	8		26	5;9	17		1
161	14	8	9		30	1;4	17		1
162	14	9	10		34	4;10	17		1
163	14	10	11		38	6;9	17		1
164	14	11	12		42	5;3	17		1
165	14	12	13		46	2;9	17		1
166	14	13	14		50	5;10	17		1
167	14	14	15		54	9;3	17		1
168	14	15	16		58	10;4	17		1
169	14	16	17		62	6;9	17		1
170	14	17	18		66	2;10	17		1
171	15	1	1		2	1;7	16		1
172	15	2	2		6	3;10	16		1
173	15	3	3		10	4;7	16		1
174	15	4	4		14	1;9	16		1
175	15	5	5		18	9;5	16		1
176	15	6	6		22	2;5	16		1
177	15	7	7		26	10;6	16		1
178	15	8	8		30	9;10	16		1
179	15	9	9		34	1;5	16		1
180	15	10	10		38	3;9	16		1
181	15	11	11		42	9;7	16		1
182	15	12	12		46	4;10	16		1
183	15	13	13		50	3;8	16		1
184	15	14	14		54	4;10	16		1
185	15	15	15		58	9;6	16		1
186	15	16	16		62	2;9	16		1
187	15	17	17		66	3;7	16		1
188	16	1	18		2	9;8	16		1
189	16	2	1		7	1;10	16		1
190	16	3	2		12	4;8	16		1
191	16	4	3		17	7;9	16		1
192	16	5	4		22	3;8	16		1
193	16	6	5		27	5;2	16		1
194	16	7	6		32	6;10	16		1
195	16	8	7		37	10;8	16		1
196	16	9	8		42	10;4	16		1
197	16	10	9		47	2;9	16		1
198	16	11	10		52	9;8	16		1
199	16	12	11		57	3;10	16		1
200	16	13	12		62	7;8	16		1
201	16	14	13		67	3;10	16		1
202	16	15	14		72	7;9	16		1
203	16	16	15		76	4;8	16		1
204	16	17	16		80	3;10	16		1
205	17	1	17		2	9;8	15		1
206	17	2	18		7	1;10	15		1
207	17	3	1		12	4;8	15		1
208	17	4	2		17	7;9	15		1
209	17	5	3		22	3;8	15		1
210	17	6	4		27	5;2	15		1
211	17	7	5		32	6;10	15		1
212	17	8	6		37	10;8;5	15		1
213	17	9	7		42	10;4	15		1
214	17	10	8		47	2;9;9	15		1
215	17	11	9		52	9;8	15		1
216	17	12	10		57	3;10	15		1
217	17	13	11		62	7;8;2	15		1
218	17	14	12		67	3;10	15		1
219	17	15	13		72	7;9	15		1
220	17	16	14		76	4;8	15		1
221	17	17	15		80	3;10	15		1
222	18	1	16		2	9;8	12		1
223	18	2	17		7	1;10	12		1
224	18	3	18		12	4;8	12		1
225	18	4	1		17	7;9	12		1
226	18	5	2		22	3;8	12		1
227	18	6	3		27	5;2;4	12		1
228	18	7	4		32	6;10	12		1
229	18	8	5		37	10;8	12		1
230	18	9	6		42	10;4	12		1
231	18	10	7		47	2;9	12		1
232	18	11	8		52	9;8;6	12		1
233	18	12	9		57	3;10	12		1
234	18	13	10		62	7;8;7	12		1
235	18	14	11		67	3;10	12		1
236	18	15	12		72	7;9;9	12		1
237	18	16	13		76	4;8	12		1
238	18	17	14		80	3;10	12		1
239	19	1	15		2	9;8	16		1
240	19	2	16		7	1;10	16		1
241	19	3	17		12	4;8	16		1
242	19	4	18		17	7;9	16		1
243	19	5	1		22	3;8;10	16		1
244	19	6	2		27	5;2	16		1
245	19	7	3		32	6;10	16		1
246	19	8	4		37	10;8	16		1
247	19	9	5		42	10;4	16		1
248	19	10	6		47	2;9;8	16		1
249	19	11	7		52	9;8	16		1
250	19	12	8		57	3;10	16		1
251	19	13	9		62	7;8	16		1
252	19	14	10		67	3;10	16		1
253	19	15	11		72	7;9	16		1
254	19	16	12		76	4;8	16		1
255	19	17	13		80	3;10	16		1
256	20	1	14		2	9;8	16		1
257	20	2	15		7	1;10	16		1
258	20	3	16		12	4;8	16		1
259	20	4	17		17	7;9;8	16		1
260	20	5	18		22	3;8;10	16		1
261	20	6	1		27	5;2;3	16		1
262	20	7	2		32	6;10	16		1
263	20	8	3		37	10;8	16		1
264	20	9	4		42	10;4	16		1
265	20	10	5		47	2;9	16		1
266	20	11	6		52	9;8;5	16		1
267	20	12	7		57	3;10	16		1
268	20	13	8		62	7;8;2	16		1
269	20	14	9		67	3;10	16		1
270	20	15	10		72	7;9	16		1
271	20	16	11		76	4;8	16		1
272	20	17	12		80	3;10	16		1
273	22	1	13		2	9;8;9	16		1
274	22	2	14		7	1;10	16		1
275	22	3	15		12	4;8;3	16		1
276	22	4	16		17	7;9;9	16		1
277	22	5	17		22	3;8;10	16		1
278	22	6	18		27	5;2;9	16		1
279	22	7	1		32	6;10	16		1
280	22	8	2		37	10;8	16		1
281	22	9	3		42	10;4	16		1
282	22	10	4		47	2;9;7	16		1
283	22	11	5		52	9;8;4	16		1
284	22	12	6		57	3;10	16		1
285	22	13	7		62	7;8;4	16		1
286	22	14	8		67	3;10	16		1
287	22	15	9		72	7;9;1	16		1
288	22	16	10		76	4;8;2	16		1
289	22	17	11		80	3;10	16		1
290	21	2	1		7	10;10;8	11	4	1
291	21	3	2		11	5;4;8	11	4	1
292	21	4	3		15	10;5	11	4	1
293	21	5	4		19	7;9	11	4	1
294	21	6	5		23	3;8	11	4	1
295	21	7	6		27	5;2	11	4	1
296	21	8	7		31	6;10	11	4	1
297	21	9	8		35	10;8	11	4	1
298	21	10	9		39	10;4;1	11	4	1
299	21	11	10		43	10;4	11	4	1
300	21	12	11		47	5;5;8	11	4	1
301	21	13	12		51	10;2	11	4	1
302	21	14	13		55	7;9;4	11	4	1
303	21	15	14		59	3;8	11	4	1
304	21	16	15		63	5;2;4	11	4	1
305	21	17	16		67	6;10	11	4	1
306	21	18	17		71	10;8	11	4	1
307	21	19	18		75	10;4	11	4	1
308	21	20	1		79	5;5;8	11	4	1
309	21	21	2		83	10;2	11	4	1
310	21	22	3		87	7;9	11	4	1
311	21	23	4		91	3;8;9	11	4	1
312	21	24	5		95	5;2;9	10	4	1
313	21	25	6		99	6;10	10	4	1
314	21	26	7		103	10;8	10	4	1
315	21	27	8		107	10;4	10	4	1
316	21	28	9		111	5;4;9	10	4	1
317	21	29	10		115	9;9;6	10	4	1
318	21	30	11		119	8;7;2	10	4	1
319	21	31	12		123	3;5;9	10	4	1
320	21	32	13		127	10;9	10	4	1
321	21	33	14		129	7;9	10	3	1
322	21	34	15		131	4;8	10	3	1
323	21	35	16		133	3;10	10	3	1
324	21	36	17		135	4;8;3	10	3	1
325	21	37	18		137	7;9;9	10	3	1
326	21	38	1		139	3;8;10	10	3	1
327	21	39	2		141	5;2;9	10	3	1
328	21	40	3		143	6;10	10	3	1
329	21	41	4		145	7;9;1	10	3	1
330	21	42	5		147	4;8;2	10	3	1
331	21	43	6		149	5;6	10	3	1
332	21	44	7		151	1;4	10	3	1
