id	activityId	icon	ingredientsId	status
int	int	int	int	int
1	1	165:9030001	1	1
2	1	165:9030002	1;2	1
3	1	165:9030003	1;3	1
4	1	165:9030004	1;2;3	1
5	1	165:9030005	4	1
6	1	165:9030006	4;5	1
7	1	165:9030007	4;6	1
8	1	165:9030008	4;5;6	1
9	1	165:9030012;165:9030013;165:9030014	7	1
10	1	165:9030009;165:9030010;165:9030011	8	1
11	2	197:9030001	9	1
12	2	197:9030002	9;10	1
13	2	197:9030003	9;11	1
14	2	197:9030004	9;10;11	1
15	2	197:9030005	12	1
16	2	197:9030006	12;13	1
17	2	197:9030007	12;14	1
18	2	197:9030008	12;13;14	1
19	2	197:9030012;197:9030013;197:9030014	15	1
20	2	197:9030009;197:9030010;197:9030011	16	1
21	3	207:9030001	17	1
22	3	207:9030002	17;18	1
23	3	207:9030003	17;19	1
24	3	207:9030004	17;18;19	1
25	3	207:9030005	20	1
26	3	207:9030006	20;21	1
27	3	207:9030007	20;22	1
28	3	207:9030008	20;21;22	1
29	3	207:9030012;207:9030013;207:9030014	23	1
30	3	207:9030009;207:9030010;207:9030011	24	1
